fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
730837,2021-07-31T17:00:00+00:00,CANC,1st Round,Oppagne-Wéris,5892,Spa,14203,,,False,4377
730864,2021-07-31T17:30:00+00:00,CANC,1st Round,Schelde Serskamp,14200,Avanti,5746,,,False,
730942,2021-07-25T14:00:00+00:00,FT,Preliminary Round,Helson Helchteren,5818,Wezel,8429,2,3,True,4322
730941,2021-07-25T14:00:00+00:00,FT,Preliminary Round,Tollembeek,5954,Dendermonde,5775,0,3,True,
730940,2021-07-25T14:00:00+00:00,PEN,Preliminary Round,Bossière,14153,Fernelmont-Hemptinne,8487,2,2,False,20824
730876,2021-07-31T14:00:00+00:00,FT,1st Round,Renaissance Mons 44 II,16979,Stockel,5943,1,0,True,11664
730833,2021-07-31T16:00:00+00:00,FT,1st Round,Adegem,5738,Houthulst,14173,1,5,True,4257
730834,2021-07-31T16:00:00+00:00,FT,1st Round,Sint-Dymphna,8427,Zwarte Leeuw,6003,3,4,True,5986
730838,2021-07-31T17:00:00+00:00,FT,1st Round,Betekom,5756,Punt-Larum,14190,2,0,True,4273
730836,2021-07-31T17:00:00+00:00,FT,1st Round,Glabbeek-Zuurbemde,14167,Sart-Bernard,14198,0,1,True,
730835,2021-07-31T17:00:00+00:00,FT,1st Round,Rumbeke,14195,Sassport Boezinge,5921,2,1,True,10581
730842,2021-07-31T17:30:00+00:00,FT,1st Round,Esperanza Pelt,5795,Verbroedering Lommel,14211,3,0,True,4303
730840,2021-07-31T17:30:00+00:00,FT,1st Round,Svelta Melsele,5944,Berlare,8491,5,0,True,
730839,2021-07-31T17:30:00+00:00,PEN,1st Round,Torhout,5955,Oostnieuwkerke,5891,1,1,False,4427
730844,2021-07-31T17:30:00+00:00,FT,1st Round,Turnhout,5959,Torpedo Hasselt,5956,3,2,True,4431
730841,2021-07-31T17:30:00+00:00,FT,1st Round,Witgoor Sport,5993,St-Jozef Rijkevorsel,14204,5,0,True,19020
730843,2021-07-31T17:30:00+00:00,FT,1st Round,Berlaar-Heikant,8424,Herselt,14169,1,0,True,5983
730881,2021-07-31T17:30:00+00:00,FT,1st Round,Antoing,8447,Tempo Overijse,5947,0,4,True,6004
730906,2021-07-31T17:30:00+00:00,FT,1st Round,Snef-Tyber,8453,PAC Buzet,5896,1,0,True,6010
730845,2021-07-31T17:30:00+00:00,FT,1st Round,Achel,8468,De Kempen,5773,0,2,True,6024
730918,2021-07-31T17:30:00+00:00,FT,1st Round,KFC Eksel,15162,Lummen,16976,3,0,True,10873
730894,2021-07-31T18:00:00+00:00,FT,1st Round,Football Club Schaerbeek,8434,Racing Mechelen,5906,1,4,True,4283
730847,2021-07-31T18:00:00+00:00,FT,1st Round,Marloie Sport,8481,La Roche,5852,4,0,True,6037
730846,2021-07-31T18:00:00+00:00,FT,1st Round,Saint-Hubert,8482,Habay-la-Neuve,5814,1,6,True,6038
730900,2021-08-01T13:00:00+00:00,FT,1st Round,Nismes,5885,Flavion-Morialmé,15166,2,3,True,4370
730908,2021-08-01T13:00:00+00:00,FT,1st Round,Jeunesse Freylangeoise,8479,Aywaille,5747,0,2,True,6035
730924,2021-08-01T13:00:00+00:00,FT,1st Round,FC Tilleur,14162,Racing Vaux,14191,3,1,True,4425
730850,2021-08-01T13:00:00+00:00,PEN,1st Round,Herseaux,16975,Havinnes,16974,2,2,False,
730872,2021-08-01T13:00:00+00:00,FT,1st Round,Montigny,16977,Rapid Symphorinois,5909,0,4,True,
730901,2021-08-01T14:00:00+00:00,FT,1st Round,Aische,5739,Arquet,14150,3,2,True,4258
730873,2021-08-01T14:00:00+00:00,FT,1st Round,Albert Quévy-Mons,5740,BX Brussels,8431,8,1,True,11664
730897,2021-08-01T14:00:00+00:00,PEN,1st Round,Andennais,5742,Gosselies Sports,5809,1,1,False,10877
730860,2021-08-01T14:00:00+00:00,PEN,1st Round,Ardennen,5745,Voorde Appelterre,5975,2,2,False,
730871,2021-08-01T14:00:00+00:00,FT,1st Round,Belœil,5750,AFC Evere,14149,2,1,True,4268
730919,2021-08-01T14:00:00+00:00,FT,1st Round,Berg en Dal,5752,Vorselaar,14213,2,0,True,4270
747057,2021-08-01T14:00:00+00:00,FT,1st Round,Beringen,5754,Wezel,8429,1,2,True,4271
730891,2021-08-01T14:00:00+00:00,FT,1st Round,Bertem-Leefdaal,5755,Kosova Schaerbeek,5850,1,3,True,4272
730893,2021-08-01T14:00:00+00:00,FT,1st Round,Bornem,5762,Berchem Sport II,14152,2,1,True,4278
730880,2021-08-01T14:00:00+00:00,FT,1st Round,Braine,5764,Léopold,5865,3,1,True,4279
730878,2021-08-01T14:00:00+00:00,PEN,1st Round,Crossing Schaerbeek,5770,Union Lasne-Ohain,5963,1,1,False,4283
730922,2021-08-01T14:00:00+00:00,FT,1st Round,Diest,5777,Sport Koersel,5928,7,1,True,4289
730855,2021-08-01T14:00:00+00:00,FT,1st Round,Eendracht Wervik,5787,Eendracht Aalter,5784,2,1,True,
730862,2021-08-01T14:00:00+00:00,FT,1st Round,Elene-Grotenberge,5790,Haasdonk,8493,5,0,True,4299
730877,2021-08-01T14:00:00+00:00,PEN,1st Round,Entité Manageoise,5793,Hoeilaart,14170,0,0,False,4301
747946,2021-08-01T14:00:00+00:00,FT,1st Round,Excelsior Mariakerke,5800,Dendermonde,5775,2,1,True,4306
