fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
874728,2022-07-22T18:45:00+00:00,FT,Regular Season - 1,Standard Liege,733,Gent,631,2,2,True,192
874729,2022-07-23T14:00:00+00:00,FT,Regular Season - 1,Charleroi,736,AS Eupen,739,3,1,True,177
874731,2022-07-23T16:15:00+00:00,FT,Regular Season - 1,Zulte Waregem,600,Seraing United,10244,2,0,True,11891
874730,2022-07-23T16:15:00+00:00,FT,Regular Season - 1,Kortrijk,734,OH Leuven,260,0,2,True,182
874732,2022-07-23T18:45:00+00:00,FT,Regular Season - 1,St. Truiden,735,Union St. Gilloise,1393,1,1,True,19611
874733,2022-07-24T11:30:00+00:00,FT,Regular Season - 1,Club Brugge KV,569,Genk,742,3,2,True,176
874734,2022-07-24T14:00:00+00:00,FT,Regular Season - 1,KV Mechelen,266,Antwerp,740,0,2,True,185
874735,2022-07-24T16:30:00+00:00,FT,Regular Season - 1,Anderlecht,554,Oostende,624,2,0,True,174
874736,2022-07-24T19:00:00+00:00,FT,Regular Season - 1,KVC Westerlo,261,Cercle Brugge,741,2,0,True,195
874737,2022-07-29T18:45:00+00:00,FT,Regular Season - 2,Union St. Gilloise,1393,Charleroi,736,1,0,True,194
874738,2022-07-30T14:00:00+00:00,FT,Regular Season - 2,Cercle Brugge,741,Anderlecht,554,1,0,True,176
874740,2022-07-30T16:15:00+00:00,FT,Regular Season - 2,OH Leuven,260,KVC Westerlo,261,2,0,True,186
874739,2022-07-30T16:15:00+00:00,FT,Regular Season - 2,Oostende,624,KV Mechelen,266,2,1,True,10509
874741,2022-07-30T18:45:00+00:00,FT,Regular Season - 2,Gent,631,St. Truiden,735,1,1,True,19773
874742,2022-07-31T11:30:00+00:00,FT,Regular Season - 2,Genk,742,Standard Liege,733,3,1,True,12455
874743,2022-07-31T14:00:00+00:00,FT,Regular Season - 2,AS Eupen,739,Club Brugge KV,569,2,1,True,178
874744,2022-07-31T16:30:00+00:00,FT,Regular Season - 2,Seraing United,10244,Kortrijk,734,0,1,True,4600
874745,2022-07-31T19:00:00+00:00,FT,Regular Season - 2,Antwerp,740,Zulte Waregem,600,1,0,True,175
874746,2022-08-05T18:45:00+00:00,FT,Regular Season - 3,Club Brugge KV,569,Zulte Waregem,600,1,1,True,176
874747,2022-08-06T14:00:00+00:00,FT,Regular Season - 3,Genk,742,AS Eupen,739,4,2,True,12455
874748,2022-08-06T16:15:00+00:00,FT,Regular Season - 3,Kortrijk,734,St. Truiden,735,0,0,True,182
874749,2022-08-06T16:15:00+00:00,FT,Regular Season - 3,Charleroi,736,Oostende,624,1,3,True,177
874750,2022-08-06T18:45:00+00:00,FT,Regular Season - 3,KV Mechelen,266,Union St. Gilloise,1393,3,0,True,185
874751,2022-08-07T11:30:00+00:00,FT,Regular Season - 3,Standard Liege,733,Cercle Brugge,741,2,0,True,192
874752,2022-08-07T14:00:00+00:00,FT,Regular Season - 3,Gent,631,KVC Westerlo,261,2,1,True,19773
874753,2022-08-07T16:30:00+00:00,FT,Regular Season - 3,Anderlecht,554,Seraing United,10244,3,1,True,174
874754,2022-08-07T19:00:00+00:00,FT,Regular Season - 3,Antwerp,740,OH Leuven,260,4,2,True,175
874755,2022-08-12T18:45:00+00:00,FT,Regular Season - 4,Oostende,624,Gent,631,1,3,True,10509
874756,2022-08-13T14:00:00+00:00,FT,Regular Season - 4,KVC Westerlo,261,Standard Liege,733,4,2,True,195
