fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
724666,2021-07-16T18:00:00+00:00,FT,Regular Season - 1,Radnik Bijeljina,3359,Leotar,3370,0,1,True,2183
708918,2021-07-17T19:00:00+00:00,FT,Regular Season - 1,Zeljeznicar Sarajevo,654,Borac Banja Luka,3364,1,1,True,201
708914,2021-07-18T17:00:00+00:00,FT,Regular Season - 1,Sloboda Tuzla,3360,Rudar Prijedor,3377,1,0,True,2184
708915,2021-07-18T19:00:00+00:00,FT,Regular Season - 1,Siroki Brijeg,642,Zrinjski,588,0,0,True,200
708917,2021-07-19T17:00:00+00:00,FT,Regular Season - 1,FK Sarajevo,679,Tuzla City,3361,1,2,True,199
708916,2021-07-19T18:00:00+00:00,FT,Regular Season - 1,Velež,3381,Posušje,14146,2,0,True,2200
724667,2021-07-24T17:00:00+00:00,FT,Regular Season - 2,Radnik Bijeljina,3359,Sloboda Tuzla,3360,1,2,True,2183
724668,2021-07-24T19:00:00+00:00,FT,Regular Season - 2,Tuzla City,3361,Zeljeznicar Sarajevo,654,2,1,True,2184
724669,2021-07-25T15:00:00+00:00,FT,Regular Season - 2,Rudar Prijedor,3377,Siroki Brijeg,642,1,1,True,2196
724671,2021-07-25T15:00:00+00:00,FT,Regular Season - 2,Posušje,14146,FK Sarajevo,679,0,2,True,10571
724670,2021-07-25T19:00:00+00:00,FT,Regular Season - 2,Borac Banja Luka,3364,Leotar,3370,0,0,True,2187
724673,2021-07-30T18:00:00+00:00,FT,Regular Season - 3,Sloboda Tuzla,3360,Leotar,3370,1,0,True,2184
724674,2021-07-31T17:00:00+00:00,FT,Regular Season - 3,Zeljeznicar Sarajevo,654,Posušje,14146,1,0,True,201
724675,2021-07-31T19:00:00+00:00,FT,Regular Season - 3,FK Sarajevo,679,Zrinjski,588,0,2,True,199
724677,2021-08-01T19:00:00+00:00,FT,Regular Season - 3,Siroki Brijeg,642,Radnik Bijeljina,3359,0,0,True,200
724678,2021-08-02T18:00:00+00:00,FT,Regular Season - 3,Velež,3381,Rudar Prijedor,3377,0,2,True,2200
724682,2021-08-07T15:00:00+00:00,FT,Regular Season - 4,Leotar,3370,Tuzla City,3361,0,2,True,2192
724679,2021-08-07T17:00:00+00:00,FT,Regular Season - 4,Sloboda Tuzla,3360,Siroki Brijeg,642,0,0,True,2184
724683,2021-08-07T19:00:00+00:00,FT,Regular Season - 4,Zrinjski,588,Zeljeznicar Sarajevo,654,3,0,True,202
724681,2021-08-08T14:55:00+00:00,FT,Regular Season - 4,Posušje,14146,Borac Banja Luka,3364,1,0,True,10571
724684,2021-08-08T15:00:00+00:00,FT,Regular Season - 4,Rudar Prijedor,3377,FK Sarajevo,679,0,2,True,2196
724680,2021-08-08T17:00:00+00:00,FT,Regular Season - 4,Radnik Bijeljina,3359,Velež,3381,1,1,True,2183
724690,2021-08-13T18:00:00+00:00,FT,Regular Season - 5,Siroki Brijeg,642,Leotar,3370,2,0,True,200
724685,2021-08-14T17:00:00+00:00,FT,Regular Season - 5,Tuzla City,3361,Posušje,14146,4,1,True,2184
724687,2021-08-15T17:00:00+00:00,FT,Regular Season - 5,FK Sarajevo,679,Radnik Bijeljina,3359,2,1,True,199
724689,2021-08-15T19:00:00+00:00,FT,Regular Season - 5,Velež,3381,Sloboda Tuzla,3360,0,2,True,2200
724688,2021-08-16T16:00:00+00:00,FT,Regular Season - 5,Zeljeznicar Sarajevo,654,Rudar Prijedor,3377,2,0,True,201
724686,2021-08-16T18:00:00+00:00,FT,Regular Season - 5,Borac Banja Luka,3364,Zrinjski,588,1,5,True,2187
724694,2021-08-21T17:00:00+00:00,FT,Regular Season - 6,Sloboda Tuzla,3360,FK Sarajevo,679,1,2,True,2184
724695,2021-08-21T19:00:00+00:00,FT,Regular Season - 6,Zrinjski,588,Tuzla City,3361,1,1,True,202
724696,2021-08-22T15:00:00+00:00,FT,Regular Season - 6,Rudar Prijedor,3377,Borac Banja Luka,3364,1,1,True,2196
724692,2021-08-22T17:00:00+00:00,FT,Regular Season - 6,Radnik Bijeljina,3359,Zeljeznicar Sarajevo,654,0,0,True,2183
724691,2021-08-22T19:00:00+00:00,FT,Regular Season - 6,Siroki Brijeg,642,Velež,3381,0,1,True,200
724693,2021-08-25T15:00:00+00:00,FT,Regular Season - 6,Leotar,3370,Posušje,14146,2,2,True,2192
724700,2021-08-27T18:00:00+00:00,FT,Regular Season - 7,FK Sarajevo,679,Siroki Brijeg,642,0,0,True,199
724698,2021-08-28T17:00:00+00:00,FT,Regular Season - 7,Tuzla City,3361,Rudar Prijedor,3377,3,2,True,2184
724699,2021-08-28T19:00:00+00:00,FT,Regular Season - 7,Velež,3381,Leotar,3370,2,1,True,2200
724697,2021-08-29T15:00:00+00:00,FT,Regular Season - 7,Posušje,14146,Zrinjski,588,0,0,True,10571
724702,2021-08-29T17:00:00+00:00,FT,Regular Season - 7,Borac Banja Luka,3364,Radnik Bijeljina,3359,4,3,True,2187
724701,2021-08-29T19:00:00+00:00,FT,Regular Season - 7,Zeljeznicar Sarajevo,654,Sloboda Tuzla,3360,1,1,True,201
724703,2021-09-10T18:00:00+00:00,FT,Regular Season - 8,Velež,3381,FK Sarajevo,679,1,1,True,2200
724705,2021-09-11T14:30:00+00:00,FT,Regular Season - 8,Leotar,3370,Zrinjski,588,0,1,True,2192
724707,2021-09-11T17:00:00+00:00,FT,Regular Season - 8,Radnik Bijeljina,3359,Tuzla City,3361,1,3,True,2183
724708,2021-09-11T19:00:00+00:00,FT,Regular Season - 8,Sloboda Tuzla,3360,Borac Banja Luka,3364,1,1,True,2184
724706,2021-09-12T14:30:00+00:00,FT,Regular Season - 8,Rudar Prijedor,3377,Posušje,14146,3,0,True,2196
724704,2021-09-12T19:00:00+00:00,FT,Regular Season - 8,Siroki Brijeg,642,Zeljeznicar Sarajevo,654,0,0,True,200
724672,2021-09-15T15:00:00+00:00,FT,Regular Season - 2,Zrinjski,588,Velež,3381,2,1,True,202
724713,2021-09-17T16:00:00+00:00,FT,Regular Season - 9,FK Sarajevo,679,Leotar,3370,0,1,True,199
724712,2021-09-17T18:00:00+00:00,FT,Regular Season - 9,Borac Banja Luka,3364,Siroki Brijeg,642,2,1,True,2187
724710,2021-09-18T14:30:00+00:00,FT,Regular Season - 9,Posušje,14146,Radnik Bijeljina,3359,1,1,True,10571
724711,2021-09-18T15:00:00+00:00,FT,Regular Season - 9,Zeljeznicar Sarajevo,654,Velež,3381,0,0,True,201
724714,2021-09-18T16:55:00+00:00,FT,Regular Season - 9,Tuzla City,3361,Sloboda Tuzla,3360,1,0,True,2184
724709,2021-09-18T19:10:00+00:00,FT,Regular Season - 9,Zrinjski,588,Rudar Prijedor,3377,3,0,True,202
724717,2021-09-21T14:00:00+00:00,FT,Regular Season - 10,Sloboda Tuzla,3360,Posušje,14146,1,1,True,2184
724716,2021-09-21T18:10:00+00:00,FT,Regular Season - 10,Velež,3381,Borac Banja Luka,3364,0,2,True,2200
724719,2021-09-22T14:00:00+00:00,FT,Regular Season - 10,Leotar,3370,Rudar Prijedor,3377,2,1,True,2192
724720,2021-09-22T16:00:00+00:00,FT,Regular Season - 10,Siroki Brijeg,642,Tuzla City,3361,2,1,True,200
724718,2021-09-22T16:00:00+00:00,FT,Regular Season - 10,Radnik Bijeljina,3359,Zrinjski,588,1,0,True,2183
724715,2021-09-22T18:30:00+00:00,FT,Regular Season - 10,FK Sarajevo,679,Zeljeznicar Sarajevo,654,2,0,True,199
724722,2021-09-25T13:00:00+00:00,FT,Regular Season - 11,Rudar Prijedor,3377,Radnik Bijeljina,3359,2,0,True,2196
724726,2021-09-25T15:00:00+00:00,FT,Regular Season - 11,Tuzla City,3361,Velež,3381,2,1,True,2184
724725,2021-09-25T17:00:00+00:00,FT,Regular Season - 11,Borac Banja Luka,3364,FK Sarajevo,679,1,0,True,2187
724724,2021-09-26T13:00:00+00:00,FT,Regular Season - 11,Posušje,14146,Siroki Brijeg,642,2,2,True,10571
724721,2021-09-26T15:00:00+00:00,FT,Regular Season - 11,Zeljeznicar Sarajevo,654,Leotar,3370,1,0,True,201
724723,2021-09-26T19:00:00+00:00,FT,Regular Season - 11,Zrinjski,588,Sloboda Tuzla,3360,1,0,True,202
800759,2021-10-02T13:00:00+00:00,FT,Regular Season - 12,Leotar,3370,Radnik Bijeljina,3359,1,0,True,2192
800758,2021-10-02T13:00:00+00:00,FT,Regular Season - 12,Posušje,14146,Velež,3381,2,4,True,10571
800761,2021-10-02T17:00:00+00:00,FT,Regular Season - 12,Zrinjski,588,Siroki Brijeg,642,4,0,True,202
800760,2021-10-03T13:00:00+00:00,FT,Regular Season - 12,Rudar Prijedor,3377,Sloboda Tuzla,3360,1,1,True,2196
800762,2021-10-03T15:00:00+00:00,FT,Regular Season - 12,Tuzla City,3361,FK Sarajevo,679,1,1,True,2184
800757,2021-10-04T16:00:00+00:00,FT,Regular Season - 12,Borac Banja Luka,3364,Zeljeznicar Sarajevo,654,1,1,True,2187
800766,2021-10-15T15:00:00+00:00,FT,Regular Season - 13,Velež,3381,Zrinjski,588,0,1,True,2200
800763,2021-10-16T12:00:00+00:00,FT,Regular Season - 13,Leotar,3370,Borac Banja Luka,3364,1,1,True,2192
800767,2021-10-16T15:00:00+00:00,FT,Regular Season - 13,Zeljeznicar Sarajevo,654,Tuzla City,3361,2,1,True,201
