fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1368206,2025-05-17T18:00:00+00:00,FT,1st Phase - 1,Duque de Caxias,12278,Petrópolis,23262,0,2,True,7815
1368204,2025-05-17T18:00:00+00:00,FT,1st Phase - 1,América RJ,13104,Cabofriense,10672,1,1,True,8281
1368207,2025-05-17T18:00:00+00:00,FT,1st Phase - 1,Olaria,13114,Bangu,7854,0,2,True,8289
1368202,2025-05-17T18:00:00+00:00,FT,1st Phase - 1,São Gonçalo EC RJ,13118,Americano Campos,2203,2,1,True,8292
1368203,2025-05-17T22:00:00+00:00,FT,1st Phase - 1,CEAC / Araruama,20006,Pérolas Negras,17738,0,0,True,8290
1368205,2025-05-18T18:00:00+00:00,FT,1st Phase - 1,Audax Rio,13107,Resende,4857,2,1,True,8292
1368208,2025-05-20T18:00:00+00:00,FT,1st Phase - 2,Pérolas Negras,17738,América RJ,13104,0,1,True,3680
1368210,2025-05-21T18:00:00+00:00,FT,1st Phase - 2,Americano Campos,2203,CEAC / Araruama,20006,3,1,True,208
1368212,2025-05-21T18:00:00+00:00,FT,1st Phase - 2,Resende,4857,Duque de Caxias,12278,1,0,True,3680
1368211,2025-05-21T18:00:00+00:00,FT,1st Phase - 2,Cabofriense,10672,Audax Rio,13107,1,0,True,217
1368209,2025-05-21T22:00:00+00:00,FT,1st Phase - 2,Bangu,7854,São Gonçalo EC RJ,13118,0,2,True,5679
1368213,2025-05-21T22:00:00+00:00,FT,1st Phase - 2,Petrópolis,23262,Olaria,13114,0,4,True,8290
1368216,2025-05-24T18:00:00+00:00,FT,1st Phase - 3,Resende,4857,América RJ,13104,1,1,True,3680
1368218,2025-05-24T22:00:00+00:00,FT,1st Phase - 3,Bangu,7854,Duque de Caxias,12278,0,1,True,5679
1368217,2025-05-24T23:00:00+00:00,FT,1st Phase - 3,Petrópolis,23262,Audax Rio,13107,1,1,True,8290
1368215,2025-05-25T18:00:00+00:00,FT,1st Phase - 3,Cabofriense,10672,CEAC / Araruama,20006,1,1,True,20721
1368214,2025-05-26T14:00:00+00:00,FT,1st Phase - 3,Olaria,13114,São Gonçalo EC RJ,13118,2,1,True,8289
1368219,2025-05-26T18:00:00+00:00,FT,1st Phase - 3,Pérolas Negras,17738,Americano Campos,2203,1,1,True,3680
1368225,2025-05-31T18:00:00+00:00,FT,1st Phase - 4,Americano Campos,2203,Cabofriense,10672,1,1,True,208
1368224,2025-05-31T18:00:00+00:00,FT,1st Phase - 4,Duque de Caxias,12278,Olaria,13114,3,2,True,7815
1368222,2025-05-31T18:00:00+00:00,FT,1st Phase - 4,América RJ,13104,Petrópolis,23262,0,1,True,8281
1368220,2025-05-31T18:00:00+00:00,FT,1st Phase - 4,São Gonçalo EC RJ,13118,Pérolas Negras,17738,2,1,True,8292
1368221,2025-05-31T18:00:00+00:00,FT,1st Phase - 4,CEAC / Araruama,20006,Resende,4857,0,2,True,8290
1368223,2025-06-01T18:00:00+00:00,FT,1st Phase - 4,Audax Rio,13107,Bangu,7854,2,2,True,8292
1368230,2025-06-04T17:45:00+00:00,FT,1st Phase - 5,Resende,4857,Americano Campos,2203,0,1,True,3680
1368228,2025-06-04T17:45:00+00:00,FT,1st Phase - 5,Bangu,7854,América RJ,13104,0,1,True,5679
