fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1318089,2025-01-11T18:30:00+00:00,FT,1st Phase - 1,Dorense,13122,Falcon,18299,0,2,True,
1318090,2025-01-11T19:00:00+00:00,FT,1st Phase - 1,Sergipe,2224,Barra SE,24803,1,1,True,273
1318091,2025-01-11T21:00:00+00:00,FT,1st Phase - 1,Lagarto,10002,América SE,18298,2,1,True,7044
1318093,2025-01-11T23:15:00+00:00,FT,1st Phase - 1,AO Itabaiana,2204,Carmópolis,22819,2,1,True,245
1318092,2025-01-13T22:00:00+00:00,FT,1st Phase - 1,Confiança,7772,Guarany SE,24812,5,1,True,273
1318094,2025-01-14T18:30:00+00:00,FT,1st Phase - 2,América SE,18298,Dorense,13122,1,0,True,12664
1318096,2025-01-15T23:00:00+00:00,FT,1st Phase - 2,Carmópolis,22819,Sergipe,2224,1,2,True,273
1318098,2025-01-16T22:00:00+00:00,FT,1st Phase - 2,Falcon,18299,Confiança,7772,1,3,True,273
1332410,2025-01-18T18:30:00+00:00,FT,1st Phase - 3,Dorense,13122,Carmópolis,22819,0,0,True,
1332412,2025-01-18T19:00:00+00:00,FT,1st Phase - 3,Lagarto,10002,Guarany SE,24812,4,0,True,7044
1332411,2025-01-19T19:00:00+00:00,FT,1st Phase - 3,AO Itabaiana,2204,Sergipe,2224,1,1,True,245
1332409,2025-01-20T22:00:00+00:00,FT,1st Phase - 3,Falcon,18299,Barra SE,24803,4,0,True,273
1318097,2025-01-22T18:30:00+00:00,FT,1st Phase - 2,Guarany SE,24812,AO Itabaiana,2204,1,1,True,21210
1318095,2025-01-23T23:00:00+00:00,FT,1st Phase - 2,Barra SE,24803,Lagarto,10002,0,5,True,7044
1332415,2025-01-25T18:30:00+00:00,FT,1st Phase - 4,América SE,18298,AO Itabaiana,2204,1,1,True,12664
1332416,2025-01-25T19:00:00+00:00,FT,1st Phase - 4,Sergipe,2224,Falcon,18299,0,1,True,273
1332414,2025-01-26T18:30:00+00:00,FT,1st Phase - 4,Guarany SE,24812,Barra SE,24803,1,0,True,21210
1332417,2025-01-26T19:00:00+00:00,FT,1st Phase - 4,Lagarto,10002,Dorense,13122,1,1,True,7044
1332413,2025-01-26T19:00:00+00:00,FT,1st Phase - 4,Carmópolis,22819,Confiança,7772,1,2,True,273
1332408,2025-01-29T18:30:00+00:00,FT,1st Phase - 3,América SE,18298,Confiança,7772,1,1,True,12664
1332419,2025-02-01T18:30:00+00:00,FT,1st Phase - 5,Dorense,13122,Sergipe,2224,0,1,True,
1332421,2025-02-01T19:00:00+00:00,FT,1st Phase - 5,AO Itabaiana,2204,Falcon,18299,4,0,True,245
1332420,2025-02-02T18:30:00+00:00,FT,1st Phase - 5,América SE,18298,Guarany SE,24812,3,0,True,12664
1332418,2025-02-02T20:00:00+00:00,FT,1st Phase - 5,Confiança,7772,Lagarto,10002,4,0,True,273
1332422,2025-02-03T19:00:00+00:00,FT,1st Phase - 5,Barra SE,24803,Carmópolis,22819,3,2,True,7044
1332425,2025-02-08T18:30:00+00:00,FT,1st Phase - 6,Dorense,13122,Guarany SE,24812,1,2,True,
1332424,2025-02-08T19:00:00+00:00,FT,1st Phase - 6,Lagarto,10002,AO Itabaiana,2204,0,1,True,7044
1332427,2025-02-09T19:00:00+00:00,FT,1st Phase - 6,Barra SE,24803,América SE,18298,1,0,True,7044
1332423,2025-02-09T21:00:00+00:00,FT,1st Phase - 6,Confiança,7772,Sergipe,2224,2,1,True,273
1332426,2025-02-10T18:30:00+00:00,FT,1st Phase - 6,Falcon,18299,Carmópolis,22819,3,2,True,273
1332429,2025-02-15T18:30:00+00:00,FT,1st Phase - 7,Carmópolis,22819,América SE,18298,1,1,True,
1332430,2025-02-15T18:30:00+00:00,FT,1st Phase - 7,Guarany SE,24812,Falcon,18299,2,0,True,21210
1332428,2025-02-15T19:00:00+00:00,FT,1st Phase - 7,Confiança,7772,Barra SE,24803,8,1,True,273
1332431,2025-02-16T19:00:00+00:00,FT,1st Phase - 7,AO Itabaiana,2204,Dorense,13122,4,1,True,245
1332432,2025-02-16T19:00:00+00:00,FT,1st Phase - 7,Sergipe,2224,Lagarto,10002,0,4,True,273
1332435,2025-02-22T18:30:00+00:00,FT,1st Phase - 8,Carmópolis,22819,Lagarto,10002,1,1,True,
1332436,2025-02-22T18:30:00+00:00,FT,1st Phase - 8,Barra SE,24803,Dorense,13122,0,2,True,7044
1332434,2025-02-22T19:00:00+00:00,FT,1st Phase - 8,Sergipe,2224,Guarany SE,24812,4,0,True,273
1332433,2025-02-23T20:00:00+00:00,FT,1st Phase - 8,Confiança,7772,AO Itabaiana,2204,0,0,True,273
1332437,2025-02-24T18:30:00+00:00,FT,1st Phase - 8,Falcon,18299,América SE,18298,0,1,True,273
1332438,2025-03-01T18:40:00+00:00,FT,1st Phase - 9,AO Itabaiana,2204,Barra SE,24803,4,2,True,245
1332441,2025-03-01T18:40:00+00:00,FT,1st Phase - 9,Sergipe,2224,América SE,18298,0,1,True,273
1332440,2025-03-01T18:40:00+00:00,FT,1st Phase - 9,Lagarto,10002,Falcon,18299,3,0,True,7044
1332439,2025-03-01T18:40:00+00:00,FT,1st Phase - 9,Dorense,13122,Confiança,7772,2,1,True,
1332442,2025-03-01T18:40:00+00:00,FT,1st Phase - 9,Guarany SE,24812,Carmópolis,22819,2,1,True,21210
1356743,2025-03-05T18:15:00+00:00,FT,Play-offs,América SE,18298,Guarany SE,24812,1,0,True,12664
1356744,2025-03-05T23:30:00+00:00,FT,Play-offs,AO Itabaiana,2204,Sergipe,2224,2,0,True,245
1356745,2025-03-05T23:30:00+00:00,PEN,Play-offs,Lagarto,10002,Falcon,18299,0,0,False,7044
1358841,2025-03-08T19:00:00+00:00,FT,Semi-final,Falcon,18299,Confiança,7772,1,2,True,273
1358843,2025-03-09T18:30:00+00:00,FT,Semi-final,América SE,18298,AO Itabaiana,2204,1,1,True,12664
1358844,2025-03-15T19:00:00+00:00,FT,Semi-final,AO Itabaiana,2204,América SE,18298,1,0,True,245
1358842,2025-03-15T22:00:00+00:00,FT,Semi-final,Confiança,7772,Falcon,18299,3,0,True,273
1361610,2025-03-22T19:30:00+00:00,FT,Final,AO Itabaiana,2204,Confiança,7772,1,2,True,245
1361611,2025-03-29T19:30:00+00:00,FT,Final,Confiança,7772,AO Itabaiana,2204,1,1,True,273
