fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1481187,2025-10-11T12:00:00+00:00,FT,Round of 64,Yambol 1915,8539,Vihren,5025,2,1,True,0
1481186,2025-10-11T12:00:00+00:00,FT,Round of 64,Rilski Sportist,8547,Belasitsa,8540,2,1,True,0
1481195,2025-10-12T12:00:00+00:00,FT,Round of 64,Vitosha Bistritsa,850,Lokomotiv G. Oryahovitsa,1420,2,1,True,
1481194,2025-10-12T12:00:00+00:00,FT,Round of 64,Litex,1419,Chernomorets 1919 Burgas,8530,0,5,True,
1481193,2025-10-12T12:00:00+00:00,FT,Round of 64,Partizan,6395,FK Minyor Pernik,6392,0,2,True,0
1481196,2025-10-12T12:00:00+00:00,AET,Round of 64,Botev Novi Pazar,8509,Sportist Svoge,8550,1,4,False,0
1481197,2025-10-12T12:00:00+00:00,AET,Round of 64,Chernolomets 1919,8510,Sevlievo,5024,2,4,False,0
1481192,2025-10-12T12:00:00+00:00,FT,Round of 64,Septemvri Tervel,8514,Marek,8543,0,3,True,0
1481189,2025-10-12T12:00:00+00:00,FT,Round of 64,Bdin,8519,Etar Veliko Tarnovo,855,2,1,True,3511
1481191,2025-10-12T12:00:00+00:00,AET,Round of 64,Kom Berkovitsa,8521,Yantra 2019,8528,0,1,False,0
1481200,2025-10-12T12:00:00+00:00,FT,Round of 64,Germaneya,8558,Fratria,21836,0,4,True,0
1481188,2025-10-12T12:00:00+00:00,FT,Round of 64,Spartak Plovdiv,14568,Pirin Blagoevgrad,1428,2,1,True,0
1481201,2025-10-12T12:00:00+00:00,FT,Round of 64,Sayana Haskovo,17308,Spartak Pleven,1418,0,4,True,0
1481199,2025-10-12T12:00:00+00:00,FT,Round of 64,Metalurg Pernik,20032,Hebar 1918,4659,1,8,True,0
1481190,2025-10-12T12:00:00+00:00,FT,Round of 64,Benkovski Isperih,21835,Dunav Ruse,683,0,4,True,0
1481555,2025-10-28T10:45:00+00:00,FT,Round of 32,Spartak Pleven,1418,Botev Plovdiv,634,0,4,True,
1481547,2025-10-28T11:30:00+00:00,FT,Round of 32,Bdin,8519,Dobrudzha,1427,2,7,True,3511
1481515,2025-10-28T11:30:00+00:00,FT,Round of 32,Yambol 1915,8539,Spartak Varna,4660,1,3,True,
1481514,2025-10-28T11:30:00+00:00,FT,Round of 32,Rilski Sportist,8547,Lokomotiv Sofia,1416,2,3,True,
1481550,2025-10-28T13:45:00+00:00,FT,Round of 32,Fratria,21836,Arda Kardzhali,1430,1,2,True,
1481549,2025-10-28T16:45:00+00:00,AET,Round of 32,Dunav Ruse,683,Lokomotiv Plovdiv,858,1,2,False,
