fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1205424,2024-07-19T16:00:00+00:00,FT,Regular Season - 1,Aarhus,406,FC Midtjylland,397,1,1,True,441
1205425,2024-07-19T18:00:00+00:00,FT,Regular Season - 1,FC Nordsjaelland,398,Aalborg,402,3,0,True,454
1205426,2024-07-21T12:00:00+00:00,FT,Regular Season - 1,Silkeborg,2073,Sonderjyske,396,1,0,True,459
1205427,2024-07-21T14:00:00+00:00,FT,Regular Season - 1,Vejle,395,Randers FC,401,2,3,True,462
1205428,2024-07-21T16:00:00+00:00,FT,Regular Season - 1,Viborg,2070,Brondby,407,3,3,True,463
1205429,2024-07-22T17:00:00+00:00,FT,Regular Season - 1,Lyngby,625,FC Copenhagen,400,0,2,True,452
1205430,2024-07-26T17:00:00+00:00,FT,Regular Season - 2,Sonderjyske,396,Lyngby,625,1,1,True,460
1205431,2024-07-27T14:00:00+00:00,FT,Regular Season - 2,FC Nordsjaelland,398,FC Midtjylland,397,2,2,True,454
1205432,2024-07-28T12:00:00+00:00,FT,Regular Season - 2,Randers FC,401,Viborg,2070,3,1,True,457
1205433,2024-07-28T14:00:00+00:00,FT,Regular Season - 2,Aalborg,402,Silkeborg,2073,2,1,True,440
1205434,2024-07-28T16:00:00+00:00,FT,Regular Season - 2,FC Copenhagen,400,Aarhus,406,3,2,True,11600
1205435,2024-07-29T17:00:00+00:00,FT,Regular Season - 2,Brondby,407,Vejle,395,2,1,True,443
1205437,2024-08-02T17:00:00+00:00,FT,Regular Season - 3,Aarhus,406,Sonderjyske,396,4,0,True,441
1205436,2024-08-03T14:00:00+00:00,FT,Regular Season - 3,FC Midtjylland,397,Aalborg,402,2,0,True,453
1205438,2024-08-04T12:00:00+00:00,FT,Regular Season - 3,Silkeborg,2073,Viborg,2070,3,2,True,459
1205439,2024-08-04T14:00:00+00:00,FT,Regular Season - 3,FC Copenhagen,400,Randers FC,401,1,1,True,11600
1205440,2024-08-04T16:00:00+00:00,FT,Regular Season - 3,Lyngby,625,Brondby,407,0,2,True,452
1205441,2024-08-05T17:00:00+00:00,FT,Regular Season - 3,Vejle,395,FC Nordsjaelland,398,0,1,True,462
1205442,2024-08-09T17:00:00+00:00,FT,Regular Season - 4,FC Midtjylland,397,Vejle,395,2,0,True,453
1205444,2024-08-11T12:00:00+00:00,FT,Regular Season - 4,FC Nordsjaelland,398,Lyngby,625,1,1,True,454
1205443,2024-08-11T12:00:00+00:00,FT,Regular Season - 4,Randers FC,401,Silkeborg,2073,0,2,True,457
1205445,2024-08-11T14:00:00+00:00,FT,Regular Season - 4,Brondby,407,Aarhus,406,0,1,True,443
1205446,2024-08-11T16:00:00+00:00,FT,Regular Season - 4,Sonderjyske,396,FC Copenhagen,400,0,2,True,460
1205447,2024-08-12T17:00:00+00:00,FT,Regular Season - 4,Viborg,2070,Aalborg,402,2,3,True,463
1205448,2024-08-16T17:00:00+00:00,FT,Regular Season - 5,Lyngby,625,FC Midtjylland,397,1,2,True,452
1205449,2024-08-18T12:00:00+00:00,FT,Regular Season - 5,Randers FC,401,Sonderjyske,396,1,2,True,457
1205450,2024-08-18T12:00:00+00:00,FT,Regular Season - 5,Silkeborg,2073,FC Nordsjaelland,398,4,1,True,459
1205451,2024-08-18T14:00:00+00:00,FT,Regular Season - 5,FC Copenhagen,400,Viborg,2070,1,1,True,11600
1205452,2024-08-18T16:00:00+00:00,FT,Regular Season - 5,Aalborg,402,Brondby,407,0,4,True,440
1205453,2024-08-19T17:00:00+00:00,FT,Regular Season - 5,Aarhus,406,Vejle,395,5,1,True,441
1205455,2024-08-23T17:00:00+00:00,FT,Regular Season - 6,Aalborg,402,Aarhus,406,0,4,True,440
1205454,2024-08-24T14:00:00+00:00,FT,Regular Season - 6,FC Midtjylland,397,Sonderjyske,396,3,2,True,453
1205456,2024-08-25T12:00:00+00:00,FT,Regular Season - 6,Vejle,395,Silkeborg,2073,1,3,True,462
1205457,2024-08-25T14:00:00+00:00,FT,Regular Season - 6,FC Nordsjaelland,398,FC Copenhagen,400,3,2,True,454
1205458,2024-08-25T16:00:00+00:00,FT,Regular Season - 6,Brondby,407,Randers FC,401,2,2,True,443
1205459,2024-08-26T17:00:00+00:00,FT,Regular Season - 6,Viborg,2070,Lyngby,625,1,0,True,463
1205460,2024-08-30T17:00:00+00:00,FT,Regular Season - 7,Lyngby,625,Vejle,395,1,0,True,452
1205461,2024-08-31T14:00:00+00:00,FT,Regular Season - 7,Aarhus,406,FC Nordsjaelland,398,4,2,True,441
1205462,2024-09-01T12:00:00+00:00,FT,Regular Season - 7,Sonderjyske,396,Viborg,2070,2,2,True,460
1205463,2024-09-01T12:00:00+00:00,FT,Regular Season - 7,FC Copenhagen,400,Brondby,407,3,1,True,11600
1205464,2024-09-01T14:00:00+00:00,FT,Regular Season - 7,Silkeborg,2073,FC Midtjylland,397,1,3,True,459
1205465,2024-09-01T16:00:00+00:00,FT,Regular Season - 7,Randers FC,401,Aalborg,402,1,0,True,457
1205470,2024-09-13T17:00:00+00:00,FT,Regular Season - 8,Aalborg,402,Lyngby,625,2,1,True,440
1205471,2024-09-14T16:00:00+00:00,FT,Regular Season - 8,FC Midtjylland,397,FC Copenhagen,400,2,1,True,453
1205466,2024-09-15T12:00:00+00:00,FT,Regular Season - 8,Aarhus,406,Silkeborg,2073,1,1,True,441
