fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
716796,2021-08-06T18:45:00+00:00,FT,Regular Season - 1,Bournemouth,35,West Brom,60,2,2,True,504
716799,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Cardiff,43,Barnsley,747,1,1,True,516
716798,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Bristol City,56,Blackpool,1356,1,1,True,509
716804,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Preston,59,Hull City,64,1,4,True,574
716797,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Blackburn,67,Swansea,76,2,1,True,500
716801,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Derby,69,Huddersfield,37,1,1,True,527
716805,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,QPR,72,Millwall,58,1,1,True,575
716807,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Stoke City,75,Reading,53,3,2,True,588
716803,2021-08-07T14:00:00+00:00,FT,Regular Season - 1,Luton,1359,Peterborough,1350,3,0,True,551
716806,2021-08-07T19:00:00+00:00,FT,Regular Season - 1,Sheffield Utd,62,Birmingham,54,0,1,True,581
716802,2021-08-08T12:30:00+00:00,FT,Regular Season - 1,Fulham,36,Middlesbrough,70,1,1,True,535
716800,2021-08-08T15:30:00+00:00,FT,Regular Season - 1,Coventry,1346,Nottingham Forest,65,2,1,True,11896
716816,2021-08-14T11:30:00+00:00,FT,Regular Season - 2,Peterborough,1350,Derby,69,2,1,True,570
716811,2021-08-14T14:00:00+00:00,FT,Regular Season - 2,Huddersfield,37,Fulham,36,1,5,True,543
716817,2021-08-14T14:00:00+00:00,FT,Regular Season - 2,Reading,53,Preston,59,2,1,True,12052
716809,2021-08-14T14:00:00+00:00,FT,Regular Season - 2,Birmingham,54,Stoke City,75,0,0,True,499
716814,2021-08-14T14:00:00+00:00,FT,Regular Season - 2,Millwall,58,Blackburn,67,1,1,True,559
