fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1515686,2026-02-10T19:45:00+00:00,CANC,Quarter-finals,Swindon Town,1353,Plymouth,1357,,,False,
1444570,2025-08-26T18:00:00+00:00,PEN,Southern - 1,Bristol Rovers,1334,Tottenham Hotspur U21,7202,4,4,False,
1444524,2025-08-26T18:00:00+00:00,FT,Northern - 1,Oldham,1349,Manchester City U21,7197,1,5,True,
1444571,2025-08-26T18:00:00+00:00,FT,Southern - 2,Shrewsbury,1352,Chelsea U21,7192,3,1,True,
1444525,2025-09-02T18:00:00+00:00,FT,Northern - 1,Wigan,61,Salford City,1844,0,2,True,
1444529,2025-09-02T18:00:00+00:00,FT,Northern - 1,Bolton,68,Rotherham,73,1,0,True,19923
1444533,2025-09-02T18:00:00+00:00,FT,Northern - 1,Burton Albion,748,Liverpool U21,7196,2,0,True,
1444575,2025-09-02T18:00:00+00:00,FT,Southern - 1,AFC Wimbledon,1333,Stevenage,1368,1,5,True,12456
1444530,2025-09-02T18:00:00+00:00,PEN,Northern - 1,Fleetwood Town,1336,Accrington ST,1360,2,2,False,
1444577,2025-09-02T18:00:00+00:00,FT,Southern - 1,Gillingham,1347,Fulham U21,7194,4,1,True,
1444576,2025-09-02T18:00:00+00:00,FT,Southern - 1,Peterborough,1350,Leyton Orient,1373,1,3,True,570
1444531,2025-09-02T18:00:00+00:00,FT,Northern - 1,Port Vale,1351,Leeds United U21,14430,4,1,True,
1444573,2025-09-02T18:00:00+00:00,FT,Southern - 1,Shrewsbury,1352,Walsall,1342,1,3,True,
1444574,2025-09-02T18:00:00+00:00,FT,Southern - 1,Swindon Town,1353,Reading,53,3,2,True,
1444527,2025-09-02T18:00:00+00:00,FT,Northern - 1,Doncaster,1354,Everton U21,7193,2,1,True,
1444572,2025-09-02T18:00:00+00:00,FT,Southern - 1,Plymouth,1357,Cheltenham,1372,2,0,True,571
1444578,2025-09-02T18:00:00+00:00,FT,Southern - 1,Wycombe,1358,Colchester,1361,1,2,True,
1444532,2025-09-02T18:00:00+00:00,FT,Northern - 1,Crewe,1363,Chesterfield,1345,7,1,True,
1444528,2025-09-02T18:00:00+00:00,FT,Northern - 1,Lincoln,1379,Notts County,1376,3,0,True,
1444526,2025-09-02T18:00:00+00:00,FT,Northern - 1,Stockport County,4686,Wolves U21,7204,5,3,True,
1444534,2025-09-02T18:30:00+00:00,FT,Northern - 1,Bradford,1343,Grimsby,1365,2,1,True,
1444579,2025-09-02T18:30:00+00:00,FT,Southern - 1,Luton,1359,Barnet,1369,4,1,True,
1444535,2025-09-02T18:45:00+00:00,FT,Northern - 1,Huddersfield,37,Newcastle United U21,7199,6,2,True,
1444580,2025-09-02T18:45:00+00:00,PEN,Southern - 1,Bromley,1832,Crystal Palace U21,17000,3,3,False,511
1444536,2025-09-09T18:00:00+00:00,PEN,Northern - 1,Tranmere,1381,Nottingham Forest U21,19746,2,2,False,
1444537,2025-09-09T18:45:00+00:00,FT,Northern - 1,Mansfield Town,1374,Harrogate Town,1842,0,1,True,
1444583,2025-09-16T18:00:00+00:00,FT,Southern - 2,AFC Wimbledon,1333,Crystal Palace U21,17000,3,1,True,12456
1444582,2025-09-16T18:00:00+00:00,FT,Southern - 1,Milton Keynes Dons,1348,West Ham United U21,7203,1,5,True,
1444538,2025-09-16T18:00:00+00:00,FT,Northern - 1,Blackpool,1356,Barrow,1819,5,0,True,
1444581,2025-09-16T18:00:00+00:00,FT,Southern - 1,Exeter City,1364,Cardiff,43,0,1,True,
1444584,2025-09-16T18:45:00+00:00,FT,Southern - 1,Crawley Town,1362,Aston Villa U21,7190,4,2,True,
1444539,2025-09-23T18:00:00+00:00,FT,Northern - 2,Bolton,68,Manchester City U21,7197,3,0,True,19923
1444587,2025-09-23T18:00:00+00:00,FT,Southern - 1,Northampton,1337,Chelsea U21,7192,3,0,True,
1444586,2025-09-23T18:00:00+00:00,FT,Southern - 2,Plymouth,1357,Tottenham Hotspur U21,7202,6,2,True,571
1444585,2025-09-23T18:00:00+00:00,FT,Southern - 1,Newport County,1367,Arsenal U21,7189,1,2,True,
1450865,2025-09-30T18:00:00+00:00,FT,Southern - 3,Reading,53,West Ham United U21,7203,3,1,True,
