fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
593809,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Bolton,68,Forest Green,1378,0,1,True,502
593817,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Scunthorpe,1340,Newport County,1367,1,1,True,
593818,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Southend,1341,Harrogate Town,1842,0,4,True,586
593819,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Walsall,1342,Grimsby,1365,1,0,True,595
593810,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Bradford,1343,Colchester,1361,0,0,True,10609
593814,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Oldham,1349,Leyton Orient,1373,0,1,True,568
593815,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Port Vale,1351,Crawley Town,1362,2,0,True,572
593811,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Cambridge United,1370,Carlisle,1371,3,0,True,515
593812,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Cheltenham,1372,Morecambe,1375,1,2,True,520
593813,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Mansfield Town,1374,Tranmere,1381,0,0,True,557
593808,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Barrow,1819,Stevenage,1368,1,1,True,10608
593816,2020-09-12T14:00:00+00:00,FT,Regular Season - 1,Salford City,1844,Exeter City,1364,2,2,True,579
593820,2020-09-19T12:00:00+00:00,FT,Regular Season - 2,Carlisle,1371,Southend,1341,2,0,True,517
593821,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Colchester,1361,Bolton,68,2,0,True,522
593822,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Crawley Town,1362,Scunthorpe,1340,1,0,True,523
593823,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Exeter City,1364,Port Vale,1351,0,2,True,532
593825,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Grimsby,1365,Salford City,1844,0,4,True,538
593829,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Newport County,1367,Barrow,1819,2,1,True,
593830,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Stevenage,1368,Oldham,1349,3,0,True,587
593827,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Leyton Orient,1373,Mansfield Town,1374,2,2,True,548
593828,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Morecambe,1375,Cambridge United,1370,0,5,True,561
593824,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Forest Green,1378,Bradford,1343,2,2,True,11877
593831,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Tranmere,1381,Cheltenham,1372,0,3,True,594
593826,2020-09-19T14:00:00+00:00,FT,Regular Season - 2,Harrogate Town,1842,Walsall,1342,2,2,True,528
593833,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Bolton,68,Newport County,1367,0,2,True,502
593841,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Scunthorpe,1340,Carlisle,1371,1,0,True,
593842,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Southend,1341,Morecambe,1375,1,2,True,586
593834,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Bradford,1343,Stevenage,1368,2,1,True,10609
593838,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Oldham,1349,Crawley Town,1362,2,3,True,568
593839,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Port Vale,1351,Harrogate Town,1842,0,0,True,572
593835,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Cambridge United,1370,Tranmere,1381,0,0,True,515
593837,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Mansfield Town,1374,Exeter City,1364,1,2,True,557
593832,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Barrow,1819,Colchester,1361,1,1,True,10608
593840,2020-09-26T14:00:00+00:00,FT,Regular Season - 3,Salford City,1844,Forest Green,1378,0,0,True,579
593845,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Colchester,1361,Oldham,1349,3,3,True,522
593846,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Crawley Town,1362,Southend,1341,1,1,True,523
593847,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Exeter City,1364,Cambridge United,1370,2,0,True,532
593853,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Newport County,1367,Mansfield Town,1374,2,1,True,
593854,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Stevenage,1368,Salford City,1844,0,1,True,587
593844,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Carlisle,1371,Barrow,1819,1,0,True,517
593851,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Leyton Orient,1373,Cheltenham,1372,0,2,True,548
593852,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Morecambe,1375,Port Vale,1351,1,0,True,561
593848,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Forest Green,1378,Walsall,1342,1,1,True,11877
593855,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Tranmere,1381,Scunthorpe,1340,2,0,True,594
593850,2020-10-03T14:00:00+00:00,FT,Regular Season - 4,Harrogate Town,1842,Bolton,68,1,2,True,528
593857,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Bolton,68,Grimsby,1365,0,0,True,502
593865,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Scunthorpe,1340,Forest Green,1378,1,4,True,
593866,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Southend,1341,Exeter City,1364,2,2,True,586
593867,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Walsall,1342,Colchester,1361,1,1,True,595
593862,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Oldham,1349,Morecambe,1375,2,3,True,568
593863,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Port Vale,1351,Carlisle,1371,0,1,True,572
593859,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Cambridge United,1370,Newport County,1367,2,1,True,515
593860,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Cheltenham,1372,Crawley Town,1362,2,0,True,520
593861,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Mansfield Town,1374,Stevenage,1368,0,0,True,557
593856,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Barrow,1819,Leyton Orient,1373,1,1,True,10608
593864,2020-10-10T14:00:00+00:00,FT,Regular Season - 5,Salford City,1844,Tranmere,1381,2,2,True,579
593858,2020-10-12T18:45:00+00:00,FT,Regular Season - 5,Bradford,1343,Harrogate Town,1842,0,1,True,10609
593843,2020-10-13T18:00:00+00:00,FT,Regular Season - 3,Walsall,1342,Leyton Orient,1373,2,1,True,595
593836,2020-10-13T18:00:00+00:00,FT,Regular Season - 3,Cheltenham,1372,Grimsby,1365,1,3,True,520
593868,2020-10-17T14:00:00+00:00,FT,Regular Season - 6,Bolton,68,Oldham,1349,1,2,True,502
593877,2020-10-17T14:00:00+00:00,FT,Regular Season - 6,Scunthorpe,1340,Cambridge United,1370,0,5,True,
593878,2020-10-17T14:00:00+00:00,FT,Regular Season - 6,Southend,1341,Cheltenham,1372,0,2,True,586
593879,2020-10-17T14:00:00+00:00,FT,Regular Season - 6,Walsall,1342,Exeter City,1364,0,0,True,595
593876,2020-10-17T14:00:00+00:00,FT,Regular Season - 6,Port Vale,1351,Salford City,1844,1,0,True,572
