fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1065813,2023-07-26T16:00:00+00:00,CANC,Round of 64,Kuressaare,3526,Järva-Jaani,14297,,,False,2334
1030924,2023-07-28T16:00:00+00:00,CANC,Round of 64,Tammeka,3530,Imavere,14294,,,False,2338
1030910,2023-06-07T16:00:00+00:00,FT,Round of 64,NPM Silmet,21394,Kose,14303,0,4,True,8556
1030929,2023-06-18T17:30:00+00:00,FT,64th Finals,TransferWise,14337,Tallinna Wolves,14334,1,0,True,2331
1030928,2023-06-21T15:00:00+00:00,FT,64th Finals,Zenit Tallinn,14341,Hiiumaa,14292,3,1,True,
1030930,2023-06-21T16:00:00+00:00,FT,64th Finals,Tabasalu Ulasabat,18995,Flora III,14288,4,0,True,11599
1030931,2023-06-21T17:00:00+00:00,AET,64th Finals,Kristiine JK,14304,FC Kohvile,14286,2,3,False,10603
1030932,2023-06-21T17:00:00+00:00,FT,64th Finals,Tartu Kalev,16962,Sssolutions,14331,9,0,True,
1030911,2023-06-21T17:30:00+00:00,FT,Round of 64,Eston Villa,14283,Kompanii Marjamaa,14302,3,0,True,10601
1030933,2023-06-22T14:00:00+00:00,FT,64th Finals,Tallinna Kalev,3529,Vana Hea Puur,18997,20,0,True,2331
1030937,2023-06-22T16:00:00+00:00,FT,64th Finals,Viimsi,14340,Paide III,14314,4,0,True,10605
1030936,2023-06-22T16:30:00+00:00,FT,64th Finals,Põhja-Tallinna JK Volta,14322,Rumori Calcio,14327,2,4,True,10601
1030914,2023-06-22T17:00:00+00:00,FT,Round of 64,Saku Sporting,14329,Tallinna Kalev II,3522,2,3,True,
1030938,2023-06-22T17:00:00+00:00,FT,64th Finals,Tallinna Kalev Juunior,21398,Legion,13152,0,10,True,2331
1030917,2023-06-28T17:30:00+00:00,FT,Round of 64,Tallinna FC Zapoos,14333,Vändra Vaprus / Lelle,19464,6,0,True,2929
1030935,2023-07-02T11:00:00+00:00,FT,64th Finals,Keila,13825,Jalgpallihaigla,14296,11,0,True,8549
1030939,2023-07-12T16:00:00+00:00,FT,64th Finals,Jõgeva Wolves,14298,Kuressaare,3526,0,8,True,
1030918,2023-07-12T16:00:00+00:00,FT,Round of 64,Laagri,18657,Pelgu City,21395,12,0,True,18575
1030934,2023-07-14T17:00:00+00:00,FT,64th Finals,Drakon,21392,Nõmme United,10059,0,12,True,2929
1038997,2023-07-15T16:00:00+00:00,FT,Round of 64,Tartu Welco,3524,Tallinna Kalev,3529,0,4,True,
1030916,2023-07-16T11:00:00+00:00,FT,Round of 64,Elva,3516,Saue,21396,1,0,True,2326
1030915,2023-07-25T16:00:00+00:00,FT,Round of 64,Maardu Aliens,14310,FC Tallinn,14287,0,0,True,2335
1030920,2023-07-26T16:00:00+00:00,FT,Round of 64,Warrior,13834,Poseidon,14318,1,6,True,
1037608,2023-07-26T16:00:00+00:00,FT,Round of 64,Tartu Welco II,16723,Tartu Kalev,16962,2,3,True,
1030919,2023-07-26T16:00:00+00:00,AET,Round of 64,Tervis,21399,FCP Pärnu,16717,8,3,False,
1047081,2023-07-27T16:00:00+00:00,FT,Round of 64,Flora II,3518,Keila,13825,2,0,True,2328
1030923,2023-07-27T16:00:00+00:00,FT,Round of 64,TJK Legion II,14332,Soccernet,14330,3,1,True,10603
1071241,2023-07-29T16:00:00+00:00,FT,Round of 64,Nõmme United,10059,Piraaja,14316,4,0,True,7091
1030927,2023-07-29T16:00:00+00:00,FT,Round of 64,Maksatransport,14311,Loo,14307,5,1,True,10598
1030926,2023-07-29T16:00:00+00:00,FT,Round of 64,Raplamaa,14323,Läänemaa Haapsalu,14309,1,5,True,10602
1030913,2023-07-29T16:30:00+00:00,FT,Round of 64,Team Helm,14335,Pärnu,10061,2,0,True,2332
1038995,2023-07-30T11:00:00+00:00,FT,Round of 64,Rumori Calcio,14327,Zenit Tallinn,14341,3,8,True,21838
1038994,2023-07-31T17:00:00+00:00,FT,Round of 64,FC Kohvile,14286,Viimsi,14340,0,3,True,21830
1030925,2023-08-01T16:00:00+00:00,FT,Round of 64,Vaprus,3525,K-Järve JK Järve,3519,6,1,True,7100
1036563,2023-08-01T16:00:00+00:00,FT,Round of 64,TransferWise,14337,Tulevik,3531,0,3,True,10593
1037609,2023-08-02T16:00:00+00:00,FT,Round of 64,Kalju Nomme,662,Tabasalu Ulasabat,18995,4,0,True,
1038996,2023-08-02T16:00:00+00:00,FT,Round of 64,Legion,13152,Phoenix,13209,3,0,True,10593
1030912,2023-08-02T16:30:00+00:00,FT,Round of 64,Aruküla,21391,Flora IV,21393,3,2,True,21837
1030921,2023-08-02T17:00:00+00:00,FT,Round of 64,Tallinna Gorillad,21397,JK Tabasalu,16718,0,16,True,11599
1030922,2023-08-02T17:30:00+00:00,FT,Round of 64,Olympic,14343,Rumori Calcio II,14328,3,0,True,2929
1102641,2023-08-16T15:00:00+00:00,FT,Round of 32,Tartu Kalev,16962,FC Levadia Tallinn,2273,2,6,True,
1102644,2023-08-22T15:00:00+00:00,FT,Round of 32,Elva,3516,Tervis,21399,5,2,True,2326
1102766,2023-08-22T16:00:00+00:00,FT,Round of 32,Nõmme United,10059,Eston Villa,14283,11,1,True,7091
1102767,2023-08-23T16:00:00+00:00,FT,Round of 32,Trans Narva,2274,Zenit Tallinn,14341,5,0,True,
1102640,2023-08-23T17:30:00+00:00,FT,Round of 32,Tallinna FC Zapoos,14333,Tallinna Kalev,3529,1,4,True,2929
1102639,2023-08-29T16:00:00+00:00,FT,Round of 32,Maksatransport,14311,Läänemaa Haapsalu,14309,0,3,True,10598
1102642,2023-08-30T17:00:00+00:00,FT,Round of 32,Team Helm,14335,Tallinna Kalev II,3522,3,7,True,2332
1105091,2023-09-06T16:00:00+00:00,AET,Round of 32,Poseidon,14318,Aruküla Vigri,16725,2,3,False,10599
1102643,2023-09-09T09:30:00+00:00,FT,Round of 32,Kuressaare,3526,Kose,14303,9,1,True,2334
1105089,2023-09-11T14:30:00+00:00,FT,Round of 32,Kalju Nomme,662,Tulevik,3531,5,1,True,
1105092,2023-09-11T16:00:00+00:00,FT,Round of 32,Olympic,14343,Laagri,18657,0,8,True,21837
1102638,2023-09-13T16:00:00+00:00,FT,Round of 32,Flora II,3518,TJK Legion II,14332,13,0,True,10593
1105093,2023-09-20T16:00:00+00:00,FT,Round of 32,Legion,13152,Tammeka,3530,1,3,True,10593
1133233,2023-10-14T11:00:00+00:00,FT,Round of 16,Kalju Nomme,662,Laagri,18657,3,1,True,2337
1102876,2023-10-14T16:00:00+00:00,AET,Round of 32,FC Tallinn,14287,Viimsi,14340,1,1,False,8551
1133231,2023-10-18T16:00:00+00:00,FT,Round of 16,Läänemaa Haapsalu,14309,Vigri Maarjamäe,16725,9,1,True,
1105090,2023-10-18T16:00:00+00:00,AET,Round of 32,JK Tabasalu,16718,Paide,3528,1,3,False,11599
1138467,2023-11-18T12:00:00+00:00,FT,Round of 16,Viimsi,14340,Trans Narva,2274,1,0,True,10605
1139179,2023-11-24T16:00:00+00:00,FT,Round of 16,Paide,3528,Tallinna Kalev II,3522,4,0,True,21833
1135159,2023-11-24T17:00:00+00:00,FT,Round of 16,FC Levadia Tallinn,2273,Tammeka,3530,4,2,True,10593
1133232,2023-11-25T10:30:00+00:00,FT,Round of 16,Kuressaare,3526,Flora II,3518,4,2,True,21456
1102899,2023-11-25T17:00:00+00:00,FT,Round of 32,Flora Tallinn,687,Vaprus,3525,1,0,True,10593
1133230,2023-11-26T13:15:00+00:00,FT,Round of 16,Tallinna Kalev,3529,Nõmme United,10059,3,1,True,21833
1144381,2023-12-03T10:30:00+00:00,FT,Round of 16,Flora Tallinn,687,Elva,3516,10,0,True,10593
1180066,2024-04-09T16:00:00+00:00,FT,Quarter-finals,FC Levadia Tallinn,2273,Flora Tallinn,687,2,1,True,10593
1180067,2024-04-10T16:00:00+00:00,FT,Quarter-finals,Kalju Nomme,662,Tallinna Kalev,3529,2,1,True,10593
1180069,2024-04-10T16:00:00+00:00,FT,Quarter-finals,Paide,3528,Kuressaare,3526,2,0,True,
1180068,2024-04-10T16:00:00+00:00,FT,Quarter-finals,Läänemaa Haapsalu,14309,Viimsi,14340,0,3,True,
1195005,2024-05-08T15:00:00+00:00,FT,Semi-finals,Paide,3528,Kalju Nomme,662,3,1,True,
1195004,2024-05-08T17:30:00+00:00,AET,Semi-finals,FC Levadia Tallinn,2273,Viimsi,14340,1,0,False,605
1199591,2024-05-25T16:00:00+00:00,FT,Final,FC Levadia Tallinn,2273,Paide,3528,4,2,True,605
