fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1168064,2024-03-09T17:00:00+00:00,FT,Regular Season - 1,07 Vestur,4174,Vikingur Gota,580,0,2,True,3188
1168065,2024-03-10T15:00:00+00:00,FT,Regular Season - 1,KI Klaksvik,701,ÍF II,4187,6,0,True,21585
1168066,2024-03-10T17:00:00+00:00,FT,Regular Season - 1,B68,4186,B36 Torshavn,678,0,3,True,
1168067,2024-03-10T18:00:00+00:00,FT,Regular Season - 1,HB Torshavn,4133,NSI Runavik,682,3,2,True,609
1168068,2024-03-10T18:30:00+00:00,FT,Regular Season - 1,Skála,4191,EB / Streymur,4177,3,0,True,3196
1168069,2024-03-15T18:00:00+00:00,FT,Regular Season - 2,Vikingur Gota,580,HB Torshavn,4133,2,1,True,612
1168070,2024-03-16T17:00:00+00:00,FT,Regular Season - 2,B36 Torshavn,678,KI Klaksvik,701,2,0,True,609
1168071,2024-03-16T18:00:00+00:00,FT,Regular Season - 2,NSI Runavik,682,Skála,4191,3,1,True,611
1168072,2024-03-17T15:00:00+00:00,FT,Regular Season - 2,ÍF II,4187,07 Vestur,4174,0,1,True,3195
1168073,2024-03-17T17:00:00+00:00,FT,Regular Season - 2,EB / Streymur,4177,B68,4186,1,1,True,3191
1168074,2024-04-01T14:00:00+00:00,FT,Regular Season - 3,KI Klaksvik,701,NSI Runavik,682,3,2,True,21585
1168075,2024-04-01T14:00:00+00:00,FT,Regular Season - 3,HB Torshavn,4133,ÍF II,4187,4,0,True,609
1168077,2024-04-01T16:00:00+00:00,FT,Regular Season - 3,Vikingur Gota,580,B68,4186,2,0,True,612
1168076,2024-04-01T16:00:00+00:00,FT,Regular Season - 3,Skála,4191,B36 Torshavn,678,1,4,True,3196
1168078,2024-04-02T17:00:00+00:00,FT,Regular Season - 3,07 Vestur,4174,EB / Streymur,4177,4,2,True,3188
1168079,2024-04-06T16:00:00+00:00,FT,Regular Season - 4,Skála,4191,KI Klaksvik,701,1,2,True,3196
1168080,2024-04-07T13:00:00+00:00,FT,Regular Season - 4,B36 Torshavn,678,07 Vestur,4174,2,2,True,609
1168083,2024-04-07T14:00:00+00:00,FT,Regular Season - 4,NSI Runavik,682,EB / Streymur,4177,2,0,True,611
1168081,2024-04-07T14:00:00+00:00,FT,Regular Season - 4,ÍF II,4187,Vikingur Gota,580,1,8,True,3195
1168082,2024-04-08T17:00:00+00:00,FT,Regular Season - 4,B68,4186,HB Torshavn,4133,0,1,True,
1168084,2024-04-14T14:00:00+00:00,FT,Regular Season - 5,Vikingur Gota,580,Skála,4191,2,1,True,612
1168085,2024-04-14T14:00:00+00:00,FT,Regular Season - 5,HB Torshavn,4133,KI Klaksvik,701,1,0,True,609
1168086,2024-04-14T16:00:00+00:00,FT,Regular Season - 5,EB / Streymur,4177,ÍF II,4187,5,0,True,3191
1168087,2024-04-14T18:00:00+00:00,FT,Regular Season - 5,NSI Runavik,682,B36 Torshavn,678,1,0,True,611
1168088,2024-04-15T17:00:00+00:00,FT,Regular Season - 5,B68,4186,07 Vestur,4174,1,2,True,
1168089,2024-04-19T17:00:00+00:00,FT,Regular Season - 6,HB Torshavn,4133,EB / Streymur,4177,2,1,True,609
1168090,2024-04-20T17:30:00+00:00,FT,Regular Season - 6,KI Klaksvik,701,B68,4186,3,0,True,21585
1168092,2024-04-21T14:00:00+00:00,FT,Regular Season - 6,Vikingur Gota,580,B36 Torshavn,678,4,0,True,612
1168091,2024-04-21T14:00:00+00:00,FT,Regular Season - 6,07 Vestur,4174,Skála,4191,1,1,True,3188
1168093,2024-04-21T16:00:00+00:00,FT,Regular Season - 6,ÍF II,4187,NSI Runavik,682,2,4,True,3195
1168097,2024-04-29T17:00:00+00:00,FT,Regular Season - 7,B36 Torshavn,678,ÍF II,4187,3,3,True,609
1168094,2024-04-29T17:00:00+00:00,FT,Regular Season - 7,07 Vestur,4174,HB Torshavn,4133,0,3,True,3188
1168098,2024-04-29T18:00:00+00:00,FT,Regular Season - 7,NSI Runavik,682,Vikingur Gota,580,0,1,True,611
1168096,2024-04-29T18:00:00+00:00,FT,Regular Season - 7,Skála,4191,B68,4186,3,1,True,3196
