fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1353023,2025-02-22T03:00:00+00:00,FT,Regular Season - 2,Tavua,4389,Nadi,4385,0,3,True,3359
1353024,2025-02-23T01:00:00+00:00,FT,Regular Season - 2,Nadroga,4392,Navua,10078,1,3,True,3361
1353026,2025-02-23T03:00:00+00:00,FT,Regular Season - 2,Nasinu,4386,Lautoka,4384,2,0,True,
1353027,2025-02-23T03:00:00+00:00,FT,Regular Season - 2,Rewa,4387,Labasa,4383,1,1,True,3358
1353025,2025-02-23T03:00:00+00:00,FT,Regular Season - 2,Suva,4388,Ba,4382,1,1,True,19498
1353028,2025-03-01T01:30:00+00:00,FT,Regular Season - 3,Labasa,4383,Tavua,4389,6,0,True,3354
1353032,2025-03-02T03:00:00+00:00,FT,Regular Season - 3,Ba,4382,Nadroga,4392,2,2,True,
1353030,2025-03-02T03:00:00+00:00,FT,Regular Season - 3,Nadi,4385,Suva,4388,2,3,True,3356
1353031,2025-03-02T03:00:00+00:00,FT,Regular Season - 3,Navua,10078,Nasinu,4386,1,0,True,
1353033,2025-03-08T03:00:00+00:00,FT,Regular Season - 4,Tavua,4389,Suva,4388,1,1,True,3359
1353034,2025-03-09T01:00:00+00:00,FT,Regular Season - 4,Nadroga,4392,Nadi,4385,0,2,True,3361
1353036,2025-03-09T03:00:00+00:00,FT,Regular Season - 4,Lautoka,4384,Labasa,4383,1,4,True,3355
1353035,2025-03-09T03:00:00+00:00,FT,Regular Season - 4,Nasinu,4386,Ba,4382,3,2,True,19498
1353041,2025-03-16T03:00:00+00:00,FT,Regular Season - 5,Nadi,4385,Nasinu,4386,3,3,True,3356
1353040,2025-03-16T03:00:00+00:00,FT,Regular Season - 5,Suva,4388,Nadroga,4392,2,3,True,19498
1353038,2025-03-16T03:00:00+00:00,FT,Regular Season - 5,Tavua,4389,Lautoka,4384,1,2,True,3359
1353042,2025-03-16T03:00:00+00:00,FT,Regular Season - 5,Navua,10078,Labasa,4383,2,3,True,
1353045,2025-04-12T01:30:00+00:00,FT,Regular Season - 6,Lautoka,4384,Navua,10078,0,1,True,3355
1353044,2025-04-12T03:00:00+00:00,FT,Regular Season - 6,Tavua,4389,Nadroga,4392,1,3,True,3359
1353043,2025-04-12T06:00:00+00:00,FT,Regular Season - 6,Labasa,4383,Ba,4382,2,1,True,3354
1353046,2025-04-13T03:00:00+00:00,FT,Regular Season - 6,Nasinu,4386,Suva,4388,2,7,True,19498
1353029,2025-04-25T06:00:00+00:00,FT,Regular Season - 3,Lautoka,4384,Rewa,4387,1,3,True,3355
1353048,2025-04-27T01:00:00+00:00,FT,Regular Season - 7,Nadroga,4392,Nasinu,4386,4,1,True,3361
1353050,2025-04-27T03:00:00+00:00,FT,Regular Season - 7,Ba,4382,Lautoka,4384,3,0,True,
1353049,2025-04-27T03:00:00+00:00,FT,Regular Season - 7,Nadi,4385,Labasa,4383,0,1,True,3356
1353051,2025-04-27T03:00:00+00:00,FT,Regular Season - 7,Suva,4388,Rewa,4387,2,3,True,19498
1353052,2025-04-27T03:00:00+00:00,FT,Regular Season - 7,Navua,10078,Tavua,4389,3,0,True,
1353037,2025-05-02T03:00:00+00:00,FT,Regular Season - 4,Rewa,4387,Navua,10078,2,0,True,3358
1353053,2025-05-03T03:00:00+00:00,FT,Regular Season - 8,Labasa,4383,Suva,4388,1,1,True,3354
1353055,2025-05-04T03:00:00+00:00,FT,Regular Season - 8,Lautoka,4384,Nadi,4385,2,1,True,3355
1353056,2025-05-04T03:00:00+00:00,FT,Regular Season - 8,Rewa,4387,Nadroga,4392,1,2,True,3358
1353054,2025-05-04T03:00:00+00:00,FT,Regular Season - 8,Tavua,4389,Nasinu,4386,1,1,True,3359
1353057,2025-05-04T03:00:00+00:00,FT,Regular Season - 8,Navua,10078,Ba,4382,1,2,True,
1353039,2025-05-08T06:00:00+00:00,FT,Regular Season - 5,Ba,4382,Rewa,4387,1,2,True,3355
1353059,2025-05-11T01:00:00+00:00,FT,Regular Season - 9,Suva,4388,Lautoka,4384,2,4,True,3358
1353060,2025-05-11T01:00:00+00:00,FT,Regular Season - 9,Nadroga,4392,Labasa,4383,0,3,True,3361
1353058,2025-05-11T03:00:00+00:00,FT,Regular Season - 9,Ba,4382,Tavua,4389,5,0,True,3353
1353062,2025-05-11T03:00:00+00:00,FT,Regular Season - 9,Nadi,4385,Navua,10078,5,2,True,3356
1353061,2025-05-11T03:00:00+00:00,FT,Regular Season - 9,Nasinu,4386,Rewa,4387,0,8,True,3358
1353047,2025-05-16T03:00:00+00:00,FT,Regular Season - 6,Rewa,4387,Nadi,4385,5,1,True,3358
1353018,2025-05-17T01:30:00+00:00,FT,Regular Season - 1,Labasa,4383,Nasinu,4386,4,2,True,3354
