fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1314572,2024-11-15T18:00:00+00:00,FT,7th Round,Les Herbiers,1308,Ajaccio,98,2,1,True,1982
1314555,2024-11-15T19:00:00+00:00,FT,7th Round,Paris FC,114,Quevilly,431,1,1,True,12585
1314556,2024-11-15T19:00:00+00:00,FT,7th Round,Angoulême,3011,Rodez,1301,2,1,True,1986
1314568,2024-11-16T12:45:00+00:00,FT,7th Round,C' Chartres,9237,Caen,88,0,4,True,12095
1314571,2024-11-16T12:45:00+00:00,FT,7th Round,Bayonne,10166,PAU,1297,1,3,True,2081
1314558,2024-11-16T12:45:00+00:00,FT,7th Round,FCSR Obernai,25333,Metz,112,0,3,True,
1314632,2024-11-16T13:00:00+00:00,FT,7th Round,Chaumont,3165,Chasselay MDA,9254,2,3,True,2091
1314573,2024-11-16T13:00:00+00:00,FT,7th Round,Feytiat,3178,Clermont Foot,99,0,3,True,2026
1314561,2024-11-16T13:00:00+00:00,FT,7th Round,Houilles,3188,Boulogne,1299,0,3,True,6417
1314608,2024-11-16T13:00:00+00:00,FT,7th Round,Ginglin Cesson,13648,Alençon,3248,2,0,True,
1314562,2024-11-16T13:00:00+00:00,FT,7th Round,Corte,13723,Linas-Montlhery,9288,1,1,True,8509
1314957,2024-11-16T13:00:00+00:00,FT,7th Round,Dragon,21310,Avranches,1303,2,2,True,2121
1314557,2024-11-16T13:00:00+00:00,FT,7th Round,Freyming,25336,Bastia,1305,0,4,True,2098
1314958,2024-11-16T13:00:00+00:00,PEN,7th Round,Crépy-en-Valois,25357,Diables Noirs,20600,0,0,False,
1314559,2024-11-16T14:00:00+00:00,FT,7th Round,Haubourdin,25338,RED Star FC 93,104,1,7,True,2009
1314593,2024-11-16T14:30:00+00:00,FT,7th Round,Raon l'Etape,3100,Biesheim,3025,1,1,True,2047
1314564,2024-11-16T14:30:00+00:00,FT,7th Round,Ruffiac Malestroit,25349,Lorient,97,0,2,True,
1315438,2024-11-16T14:30:00+00:00,FT,7th Round,RC Saint Joseph,25370,Samaritaine,15592,2,1,True,5761
1314614,2024-11-16T15:00:00+00:00,FT,7th Round,St-Philbert Réorthe JA,25353,SA Mérignac,20581,0,6,True,8480
1315437,2024-11-16T15:30:00+00:00,FT,7th Round,Saint-Pierroise,3295,Saint-Denis,18149,1,4,True,2143
1314612,2024-11-16T15:30:00+00:00,PEN,7th Round,Saint-Pierre Milizac,9309,Dinan Léhon,9275,1,1,False,10831
1314565,2024-11-16T16:00:00+00:00,FT,7th Round,Vannes,3129,Le Mans,1298,1,2,True,
