fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
872862,2022-07-15T18:30:00+00:00,FT,Regular Season - 1,FC Kaiserslautern,745,Hannover 96,166,2,1,True,728
872868,2022-07-16T11:00:00+00:00,FT,Regular Season - 1,Jahn Regensburg,177,SV Darmstadt 98,181,2,0,True,10490
872863,2022-07-16T11:00:00+00:00,FT,Regular Season - 1,SpVgg Greuther Furth,178,Holstein Kiel,191,2,2,True,718
872864,2022-07-16T11:00:00+00:00,FT,Regular Season - 1,FC St. Pauli,186,FC Nurnberg,171,3,2,True,745
872867,2022-07-16T11:00:00+00:00,FT,Regular Season - 1,SV Sandhausen,189,Arminia Bielefeld,188,2,1,True,740
872869,2022-07-16T18:30:00+00:00,FT,Regular Season - 1,FC Magdeburg,179,Fortuna Dusseldorf,158,1,2,True,733
872865,2022-07-17T11:30:00+00:00,FT,Regular Season - 1,SC Paderborn 07,185,Karlsruher SC,785,5,0,True,18622
872870,2022-07-17T11:30:00+00:00,FT,Regular Season - 1,Eintracht Braunschweig,744,Hamburger SV,175,0,2,True,708
872866,2022-07-17T11:30:00+00:00,FT,Regular Season - 1,Hansa Rostock,1321,FC Heidenheim,180,0,1,True,722
872877,2022-07-22T16:30:00+00:00,FT,Regular Season - 2,Fortuna Dusseldorf,158,SC Paderborn 07,185,2,1,True,714
872873,2022-07-22T16:30:00+00:00,FT,Regular Season - 2,SV Darmstadt 98,181,SV Sandhausen,189,2,1,True,705
872875,2022-07-23T11:00:00+00:00,FT,Regular Season - 2,FC Nurnberg,171,SpVgg Greuther Furth,178,2,0,True,713
872874,2022-07-23T11:00:00+00:00,FT,Regular Season - 2,FC Heidenheim,180,Eintracht Braunschweig,744,3,0,True,723
872876,2022-07-23T11:00:00+00:00,FT,Regular Season - 2,Holstein Kiel,191,FC Kaiserslautern,745,2,2,True,725
872878,2022-07-23T18:30:00+00:00,FT,Regular Season - 2,Hannover 96,166,FC St. Pauli,186,2,2,True,18858
872872,2022-07-24T11:30:00+00:00,FT,Regular Season - 2,Hamburger SV,175,Hansa Rostock,1321,0,1,True,720
872871,2022-07-24T11:30:00+00:00,FT,Regular Season - 2,Arminia Bielefeld,188,Jahn Regensburg,177,0,3,True,697
872879,2022-07-24T11:30:00+00:00,FT,Regular Season - 2,Karlsruher SC,785,FC Magdeburg,179,2,3,True,11900
872880,2022-08-05T16:30:00+00:00,FT,Regular Season - 3,SpVgg Greuther Furth,178,Karlsruher SC,785,1,1,True,718
872884,2022-08-05T16:30:00+00:00,FT,Regular Season - 3,SV Sandhausen,189,Fortuna Dusseldorf,158,1,0,True,740
