fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1394053,2025-08-01T17:00:00+00:00,FT,Regular Season - 1,Rot-Weiß Essen,1621,TSV 1860 München,786,1,1,True,19943
1394058,2025-08-02T12:00:00+00:00,FT,Regular Season - 1,FC Ingolstadt 04,184,SSV Jahn Regensburg,177,1,1,True,726
1394055,2025-08-02T12:00:00+00:00,FT,Regular Season - 1,Energie Cottbus,1320,FC Saarbrücken,1639,3,3,True,20472
1394060,2025-08-02T12:00:00+00:00,FT,Regular Season - 1,VfL Osnabrück,1324,Alemannia Aachen,4259,0,0,True,735
1394059,2025-08-02T12:00:00+00:00,FT,Regular Season - 1,Waldhof Mannheim,4268,Verl,4265,2,2,True,3263
1394057,2025-08-02T12:00:00+00:00,FT,Regular Season - 1,Hoffenheim II,9364,Havelse,9342,0,0,True,6469
1394056,2025-08-02T14:30:00+00:00,FT,Regular Season - 1,MSV Duisburg,187,Stuttgart II,12867,2,1,True,730
1394054,2025-08-03T11:30:00+00:00,FT,Regular Season - 1,Erzgebirge Aue,190,Hansa Rostock,1321,0,0,True,712
1394061,2025-08-03T14:30:00+00:00,FT,Regular Season - 1,FC Viktoria Köln,1620,FC Schweinfurt 05,1635,2,0,True,1727
1394062,2025-08-03T17:30:00+00:00,FT,Regular Season - 1,SV Wehen,1319,SSV Ulm 1846,1652,3,1,True,753
1394068,2025-08-08T17:00:00+00:00,FT,Regular Season - 2,FC Schweinfurt 05,1635,Energie Cottbus,1320,0,2,True,742
1394065,2025-08-09T12:00:00+00:00,FT,Regular Season - 2,TSV 1860 München,786,VfL Osnabrück,1324,3,1,True,695
1394067,2025-08-09T12:00:00+00:00,FT,Regular Season - 2,FC Saarbrücken,1639,FC Viktoria Köln,1620,2,1,True,11930
1394071,2025-08-09T12:00:00+00:00,FT,Regular Season - 2,SSV Ulm 1846,1652,Erzgebirge Aue,190,1,0,True,747
1394063,2025-08-09T12:00:00+00:00,FT,Regular Season - 2,Alemannia Aachen,4259,Hoffenheim II,9364,2,4,True,
1394070,2025-08-09T12:00:00+00:00,FT,Regular Season - 2,Havelse,9342,Rot-Weiß Essen,1621,1,1,True,22290
1394072,2025-08-09T14:30:00+00:00,FT,Regular Season - 2,Verl,4265,SV Wehen,1319,2,2,True,3260
1394066,2025-08-10T11:30:00+00:00,FT,Regular Season - 2,SSV Jahn Regensburg,177,MSV Duisburg,187,0,4,True,10490
1394064,2025-08-10T14:30:00+00:00,FT,Regular Season - 2,Hansa Rostock,1321,Waldhof Mannheim,4268,1,0,True,722
1394069,2025-08-10T17:30:00+00:00,FT,Regular Season - 2,Stuttgart II,12867,FC Ingolstadt 04,184,2,1,True,10640
1394082,2025-08-22T17:00:00+00:00,FT,Regular Season - 3,SV Wehen,1319,Rot-Weiß Essen,1621,3,4,True,753
1394079,2025-08-23T12:00:00+00:00,FT,Regular Season - 3,SSV Jahn Regensburg,177,FC Schweinfurt 05,1635,3,0,True,10490
1394081,2025-08-23T12:00:00+00:00,FT,Regular Season - 3,VfL Osnabrück,1324,FC Saarbrücken,1639,2,0,True,735
1394073,2025-08-23T12:00:00+00:00,FT,Regular Season - 3,Alemannia Aachen,4259,TSV 1860 München,786,0,2,True,
1394076,2025-08-23T12:00:00+00:00,FT,Regular Season - 3,Hoffenheim II,9364,Energie Cottbus,1320,4,1,True,6469
1394080,2025-08-23T12:00:00+00:00,FT,Regular Season - 3,Stuttgart II,12867,Verl,4265,1,1,True,10640
1394075,2025-08-23T14:30:00+00:00,FT,Regular Season - 3,MSV Duisburg,187,SSV Ulm 1846,1652,2,1,True,730
1394077,2025-08-24T11:30:00+00:00,FT,Regular Season - 3,FC Ingolstadt 04,184,Hansa Rostock,1321,1,1,True,726
1394074,2025-08-24T14:30:00+00:00,FT,Regular Season - 3,Erzgebirge Aue,190,Havelse,9342,2,1,True,712
1394078,2025-08-24T17:30:00+00:00,FT,Regular Season - 3,Waldhof Mannheim,4268,FC Viktoria Köln,1620,2,0,True,3263
1394092,2025-08-29T17:00:00+00:00,FT,Regular Season - 4,FC Viktoria Köln,1620,SSV Jahn Regensburg,177,1,0,True,1727
1394085,2025-08-30T12:00:00+00:00,FT,Regular Season - 4,TSV 1860 München,786,Stuttgart II,12867,1,1,True,695
1394083,2025-08-30T12:00:00+00:00,FT,Regular Season - 4,Energie Cottbus,1320,FC Ingolstadt 04,184,1,1,True,20472
1394087,2025-08-30T12:00:00+00:00,FT,Regular Season - 4,FC Saarbrücken,1639,Erzgebirge Aue,190,4,1,True,11930
1394091,2025-08-30T12:00:00+00:00,FT,Regular Season - 4,Verl,4265,MSV Duisburg,187,2,3,True,3260
1394089,2025-08-30T12:00:00+00:00,FT,Regular Season - 4,Havelse,9342,VfL Osnabrück,1324,0,2,True,22290
1394084,2025-08-30T14:30:00+00:00,FT,Regular Season - 4,Hansa Rostock,1321,Hoffenheim II,9364,0,1,True,722
1394090,2025-08-31T11:30:00+00:00,FT,Regular Season - 4,SSV Ulm 1846,1652,Waldhof Mannheim,4268,1,2,True,747
1394088,2025-08-31T14:30:00+00:00,FT,Regular Season - 4,FC Schweinfurt 05,1635,SV Wehen,1319,0,1,True,742
1394086,2025-08-31T17:30:00+00:00,FT,Regular Season - 4,Rot-Weiß Essen,1621,Alemannia Aachen,4259,2,3,True,19943
1394100,2025-09-12T17:00:00+00:00,FT,Regular Season - 5,SSV Jahn Regensburg,177,Rot-Weiß Essen,1621,1,3,True,10490
1394097,2025-09-13T12:00:00+00:00,FT,Regular Season - 5,FC Ingolstadt 04,184,FC Schweinfurt 05,1635,2,3,True,726
1394095,2025-09-13T12:00:00+00:00,FT,Regular Season - 5,MSV Duisburg,187,SV Wehen,1319,3,1,True,730
1394094,2025-09-13T12:00:00+00:00,FT,Regular Season - 5,Erzgebirge Aue,190,FC Viktoria Köln,1620,0,3,True,712
1394096,2025-09-13T12:00:00+00:00,FT,Regular Season - 5,Hoffenheim II,9364,Verl,4265,2,4,True,6469
1394101,2025-09-13T12:00:00+00:00,FT,Regular Season - 5,Stuttgart II,12867,FC Saarbrücken,1639,1,3,True,10640
1394093,2025-09-13T14:30:00+00:00,FT,Regular Season - 5,Alemannia Aachen,4259,SSV Ulm 1846,1652,1,3,True,0
1394102,2025-09-14T11:30:00+00:00,FT,Regular Season - 5,VfL Osnabrück,1324,Hansa Rostock,1321,0,0,True,735
1394098,2025-09-14T14:30:00+00:00,FT,Regular Season - 5,Waldhof Mannheim,4268,Energie Cottbus,1320,0,3,True,3263
1394099,2025-09-14T17:30:00+00:00,FT,Regular Season - 5,TSV 1860 München,786,Havelse,9342,3,2,True,695
1394112,2025-09-16T17:00:00+00:00,FT,Regular Season - 6,SV Wehen,1319,SSV Jahn Regensburg,177,2,0,True,753
1394111,2025-09-16T17:00:00+00:00,FT,Regular Season - 6,FC Viktoria Köln,1620,Hoffenheim II,9364,2,1,True,1727
1394108,2025-09-16T17:00:00+00:00,FT,Regular Season - 6,FC Schweinfurt 05,1635,MSV Duisburg,187,0,3,True,742
1394103,2025-09-16T17:00:00+00:00,FT,Regular Season - 6,FC Saarbrücken,1639,SSV Ulm 1846,1652,3,1,True,11930
1394110,2025-09-16T17:00:00+00:00,FT,Regular Season - 6,Verl,4265,Alemannia Aachen,4259,2,1,True,3260
1394104,2025-09-17T17:00:00+00:00,FT,Regular Season - 6,Energie Cottbus,1320,Erzgebirge Aue,190,2,1,True,20472
1394105,2025-09-17T17:00:00+00:00,FT,Regular Season - 6,Hansa Rostock,1321,TSV 1860 München,786,2,1,True,722
1394107,2025-09-17T17:00:00+00:00,FT,Regular Season - 6,Rot-Weiß Essen,1621,VfL Osnabrück,1324,1,1,True,19943
1394106,2025-09-17T17:00:00+00:00,FT,Regular Season - 6,Waldhof Mannheim,4268,Stuttgart II,12867,0,1,True,3263
1394109,2025-09-17T17:00:00+00:00,FT,Regular Season - 6,Havelse,9342,FC Ingolstadt 04,184,2,6,True,22290
1394117,2025-09-19T17:00:00+00:00,FT,Regular Season - 7,FC Saarbrücken,1639,FC Schweinfurt 05,1635,2,1,True,11930
1394114,2025-09-20T12:00:00+00:00,FT,Regular Season - 7,FC Ingolstadt 04,184,SV Wehen,1319,0,0,True,726
1394122,2025-09-20T12:00:00+00:00,FT,Regular Season - 7,VfL Osnabrück,1324,Erzgebirge Aue,190,3,1,True,735
1394116,2025-09-20T12:00:00+00:00,FT,Regular Season - 7,Rot-Weiß Essen,1621,Hansa Rostock,1321,3,0,True,19943
1394113,2025-09-20T12:00:00+00:00,FT,Regular Season - 7,Alemannia Aachen,4259,Waldhof Mannheim,4268,3,2,True,
1394118,2025-09-20T12:00:00+00:00,FT,Regular Season - 7,Stuttgart II,12867,FC Viktoria Köln,1620,2,1,True,10640
1394115,2025-09-20T14:30:00+00:00,FT,Regular Season - 7,TSV 1860 München,786,Hoffenheim II,9364,1,5,True,695
1394119,2025-09-21T11:30:00+00:00,FT,Regular Season - 7,Havelse,9342,MSV Duisburg,187,1,1,True,22290
1394121,2025-09-21T14:30:00+00:00,FT,Regular Season - 7,Verl,4265,Energie Cottbus,1320,2,1,True,3260
1394120,2025-09-21T17:30:00+00:00,FT,Regular Season - 7,SSV Ulm 1846,1652,SSV Jahn Regensburg,177,2,1,True,747
1394124,2025-09-26T17:00:00+00:00,FT,Regular Season - 8,Energie Cottbus,1320,Stuttgart II,12867,5,0,True,20472
1394125,2025-09-27T12:00:00+00:00,FT,Regular Season - 8,MSV Duisburg,187,FC Ingolstadt 04,184,2,1,True,730
1394123,2025-09-27T12:00:00+00:00,FT,Regular Season - 8,Erzgebirge Aue,190,TSV 1860 München,786,2,0,True,712
1394132,2025-09-27T12:00:00+00:00,FT,Regular Season - 8,SV Wehen,1319,FC Saarbrücken,1639,1,1,True,753
1394126,2025-09-27T12:00:00+00:00,FT,Regular Season - 8,Hansa Rostock,1321,Havelse,9342,1,1,True,722
1394130,2025-09-27T12:00:00+00:00,FT,Regular Season - 8,FC Schweinfurt 05,1635,Alemannia Aachen,4259,1,5,True,742
1394128,2025-09-27T14:30:00+00:00,FT,Regular Season - 8,Waldhof Mannheim,4268,Rot-Weiß Essen,1621,6,1,True,3263
1394129,2025-09-28T11:30:00+00:00,FT,Regular Season - 8,SSV Jahn Regensburg,177,Verl,4265,2,0,True,10490
