fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1378938,2025-08-15T16:00:00+00:00,FT,1st Round,SG Sonnenhof Grossaspach,1317,Bayer Leverkusen,168,0,4,True,10640
1378954,2025-08-15T16:00:00+00:00,FT,1st Round,FC Saarbrücken,1639,1. FC Magdeburg,179,1,3,True,
1378937,2025-08-15T16:00:00+00:00,FT,1st Round,FC Gutersloh,14485,Union Berlin,182,0,5,True,10674
1378931,2025-08-15T18:45:00+00:00,FT,1st Round,Arminia Bielefeld,188,Werder Bremen,162,1,0,True,697
1378933,2025-08-16T11:00:00+00:00,AET,1st Round,BFC Dynamo,1636,VfL Bochum,176,1,3,False,19927
1378949,2025-08-16T11:00:00+00:00,AET,1st Round,Pirmasens,9365,Hamburger SV,175,1,2,False,6470
1378955,2025-08-16T13:30:00+00:00,FT,1st Round,SV Sandhausen,189,RB Leipzig,173,2,4,True,
1378940,2025-08-16T13:30:00+00:00,FT,1st Round,Hansa Rostock,1321,1899 Hoffenheim,167,0,4,True,722
1378948,2025-08-16T13:30:00+00:00,PEN,1st Round,Eintracht Norderstedt,1631,FC St. Pauli,186,0,0,False,2702
1378942,2025-08-16T13:30:00+00:00,PEN,1st Round,Illertissen,9330,1. FC Nürnberg,171,3,3,False,6438
1378932,2025-08-16T13:30:00+00:00,FT,1st Round,Bahlinger SC,9359,1. FC Heidenheim,180,0,5,True,
1378941,2025-08-16T13:30:00+00:00,FT,1st Round,Hemelingen,12783,VfL Wolfsburg,161,0,9,True,
1378934,2025-08-16T16:00:00+00:00,FT,1st Round,Energie Cottbus,1320,Hannover 96,166,1,0,True,20472
1378945,2025-08-16T16:00:00+00:00,FT,1st Round,Sportfreunde Lotte,1323,SC Freiburg,160,0,2,True,11901
1378946,2025-08-16T16:00:00+00:00,FT,1st Round,VfB Lübeck,1625,SV Darmstadt 98,181,1,2,True,10508
