fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1409704,2025-07-25T17:00:00+00:00,FT,West - 1,Wuppertaler SV,9375,Fortuna Köln,1326,0,2,True,6480
1409705,2025-07-26T12:00:00+00:00,FT,West - 1,Sportfreunde Lotte,1323,SSVg Velbert,12847,2,2,True,11901
1409708,2025-07-26T12:00:00+00:00,FT,West - 1,Rot-weiss Oberhausen,1658,FC Gutersloh,14485,0,2,True,
1409706,2025-07-26T12:00:00+00:00,FT,West - 1,Borussia M'gladbach II,9368,Fortuna Düsseldorf II,9369,1,1,True,6473
1409711,2025-07-26T12:00:00+00:00,FT,West - 1,FC Bocholt,12764,Köln II,9371,3,0,True,
1409709,2025-07-26T12:00:00+00:00,FT,West - 1,Wiedenbrück,12897,Schalke 04 II,9373,2,1,True,8237
1409707,2025-07-26T12:00:00+00:00,FT,West - 1,Sportfreunde Siegen,13935,SV Rodinghausen,1650,3,0,True,8634
1409710,2025-07-26T12:00:00+00:00,FT,West - 1,Bochum II,24430,Bonner SC,1637,1,4,True,751
1409712,2025-07-27T12:00:00+00:00,FT,West - 1,Paderborn II,12827,Borussia Dortmund II,9367,3,0,True,18622
1409713,2025-08-01T17:30:00+00:00,FT,West - 2,SSVg Velbert,12847,Wuppertaler SV,9375,0,3,True,18621
1409716,2025-08-02T12:00:00+00:00,FT,West - 2,Fortuna Köln,1326,Bochum II,24430,0,0,True,715
1409717,2025-08-02T12:00:00+00:00,FT,West - 2,Bonner SC,1637,Borussia M'gladbach II,9368,0,4,True,2700
1409718,2025-08-02T12:00:00+00:00,FT,West - 2,SV Rodinghausen,1650,Sportfreunde Lotte,1323,1,2,True,1791
1409714,2025-08-02T12:00:00+00:00,FT,West - 2,Fortuna Düsseldorf II,9369,Rot-weiss Oberhausen,1658,1,0,True,6474
1409719,2025-08-02T12:00:00+00:00,FT,West - 2,Köln II,9371,Wiedenbrück,12897,3,0,True,6476
1409715,2025-08-02T12:00:00+00:00,FT,West - 2,Schalke 04 II,9373,Paderborn II,12827,1,1,True,11975
1409720,2025-08-02T12:00:00+00:00,FT,West - 2,FC Gutersloh,14485,FC Bocholt,12764,6,3,True,10674
1409721,2025-08-03T12:00:00+00:00,FT,West - 2,Borussia Dortmund II,9367,Sportfreunde Siegen,13935,2,2,True,6472
1409722,2025-08-08T17:00:00+00:00,FT,West - 3,Paderborn II,12827,Köln II,9371,5,0,True,18622
1409727,2025-08-09T12:00:00+00:00,FT,West - 3,Borussia M'gladbach II,9368,Fortuna Köln,1326,3,2,True,6473
1409723,2025-08-09T12:00:00+00:00,FT,West - 3,Wuppertaler SV,9375,SV Rodinghausen,1650,0,5,True,6480
1409725,2025-08-09T12:00:00+00:00,FT,West - 3,FC Bocholt,12764,Wiedenbrück,12897,4,0,True,
1409729,2025-08-09T12:00:00+00:00,FT,West - 3,Sportfreunde Siegen,13935,Schalke 04 II,9373,2,2,True,8634
1409726,2025-08-09T12:00:00+00:00,FT,West - 3,FC Gutersloh,14485,Fortuna Düsseldorf II,9369,1,3,True,10674
1409724,2025-08-10T12:00:00+00:00,FT,West - 3,Sportfreunde Lotte,1323,Borussia Dortmund II,9367,3,5,True,11901
1409728,2025-08-10T12:00:00+00:00,FT,West - 3,Rot-weiss Oberhausen,1658,Bonner SC,1637,3,1,True,
1409730,2025-08-11T18:00:00+00:00,FT,West - 3,Bochum II,24430,SSVg Velbert,12847,2,2,True,751
1409733,2025-08-16T12:00:00+00:00,FT,West - 4,Fortuna Köln,1326,Rot-weiss Oberhausen,1658,5,1,True,715
1409732,2025-08-16T12:00:00+00:00,FT,West - 4,SV Rodinghausen,1650,Bochum II,24430,0,2,True,1791
1409731,2025-08-16T12:00:00+00:00,FT,West - 4,Fortuna Düsseldorf II,9369,FC Bocholt,12764,2,2,True,6474
1409737,2025-08-17T12:00:00+00:00,FT,West - 4,Borussia Dortmund II,9367,Wuppertaler SV,9375,2,2,True,6472
1409735,2025-08-17T12:00:00+00:00,FT,West - 4,Köln II,9371,Sportfreunde Siegen,13935,2,4,True,6476
1409736,2025-08-17T12:00:00+00:00,FT,West - 4,SSVg Velbert,12847,Borussia M'gladbach II,9368,1,2,True,18621
1409734,2025-08-17T12:00:00+00:00,FT,West - 4,Wiedenbrück,12897,Paderborn II,12827,3,1,True,8237
1409738,2025-08-19T17:00:00+00:00,FT,West - 4,Bonner SC,1637,FC Gutersloh,14485,2,3,True,2700
1409739,2025-08-20T17:00:00+00:00,FT,West - 4,Schalke 04 II,9373,Sportfreunde Lotte,1323,3,0,True,11975
1409747,2025-08-23T12:00:00+00:00,FT,West - 5,Borussia M'gladbach II,9368,SV Rodinghausen,1650,1,1,True,6473
1409743,2025-08-23T12:00:00+00:00,FT,West - 5,Fortuna Düsseldorf II,9369,Bonner SC,1637,2,0,True,6474
1409740,2025-08-23T12:00:00+00:00,FT,West - 5,Wuppertaler SV,9375,Schalke 04 II,9373,0,1,True,6480
1409748,2025-08-23T12:00:00+00:00,FT,West - 5,FC Bocholt,12764,Paderborn II,12827,0,0,True,
1409741,2025-08-23T12:00:00+00:00,FT,West - 5,Sportfreunde Siegen,13935,Wiedenbrück,12897,3,1,True,8634
1409745,2025-08-23T12:00:00+00:00,FT,West - 5,FC Gutersloh,14485,Fortuna Köln,1326,1,1,True,10674
1409744,2025-08-23T12:00:00+00:00,FT,West - 5,Bochum II,24430,Borussia Dortmund II,9367,1,2,True,751
1409746,2025-08-24T12:00:00+00:00,FT,West - 5,Sportfreunde Lotte,1323,Köln II,9371,2,1,True,11901
1409742,2025-08-24T12:00:00+00:00,FT,West - 5,Rot-weiss Oberhausen,1658,SSVg Velbert,12847,0,0,True,
1409756,2025-08-29T17:30:00+00:00,FT,West - 6,Paderborn II,12827,Sportfreunde Siegen,13935,0,2,True,18622
1409750,2025-08-29T17:30:00+00:00,FT,West - 6,SSVg Velbert,12847,FC Gutersloh,14485,0,3,True,18621
1409752,2025-08-30T12:00:00+00:00,FT,West - 6,Bonner SC,1637,FC Bocholt,12764,1,1,True,2700
1409754,2025-08-30T12:00:00+00:00,FT,West - 6,SV Rodinghausen,1650,Rot-weiss Oberhausen,1658,1,1,True,1791
1409749,2025-08-30T12:00:00+00:00,FT,West - 6,Borussia Dortmund II,9367,Borussia M'gladbach II,9368,1,2,True,6472
1409757,2025-08-30T12:00:00+00:00,FT,West - 6,Wiedenbrück,12897,Sportfreunde Lotte,1323,1,2,True,8237
1409753,2025-08-30T14:00:00+00:00,FT,West - 6,Fortuna Köln,1326,Fortuna Düsseldorf II,9369,3,2,True,715
1409751,2025-08-31T12:00:00+00:00,FT,West - 6,Schalke 04 II,9373,Bochum II,24430,3,2,True,11975
1409755,2025-09-01T17:00:00+00:00,FT,West - 6,Köln II,9371,Wuppertaler SV,9375,3,2,True,6476
1409760,2025-09-05T17:30:00+00:00,FT,West - 7,Bonner SC,1637,Fortuna Köln,1326,0,3,True,2700
1409763,2025-09-12T17:30:00+00:00,FT,West - 7,Sportfreunde Lotte,1323,Paderborn II,12827,1,1,True,11901
1409766,2025-09-12T17:30:00+00:00,FT,West - 7,FC Bocholt,12764,Sportfreunde Siegen,13935,0,2,True,
1409765,2025-09-13T12:00:00+00:00,FT,West - 7,Rot-weiss Oberhausen,1658,Borussia Dortmund II,9367,2,1,True,
1409759,2025-09-13T12:00:00+00:00,FT,West - 7,Borussia M'gladbach II,9368,Schalke 04 II,9373,2,4,True,6473
1409764,2025-09-13T12:00:00+00:00,FT,West - 7,Fortuna Düsseldorf II,9369,SSVg Velbert,12847,2,1,True,6474
1409761,2025-09-13T12:00:00+00:00,FT,West - 7,Wuppertaler SV,9375,Wiedenbrück,12897,3,1,True,6480
1409762,2025-09-13T12:00:00+00:00,FT,West - 7,FC Gutersloh,14485,SV Rodinghausen,1650,2,0,True,10674
1409758,2025-09-13T12:00:00+00:00,FT,West - 7,Bochum II,24430,Köln II,9371,0,1,True,751
1409774,2025-09-16T17:30:00+00:00,FT,West - 8,Fortuna Köln,1326,FC Bocholt,12764,1,1,True,715
1409770,2025-09-16T17:30:00+00:00,FT,West - 8,Borussia Dortmund II,9367,FC Gutersloh,14485,2,1,True,6472
1409771,2025-09-16T17:30:00+00:00,FT,West - 8,Wiedenbrück,12897,Bochum II,24430,0,0,True,8237
1409768,2025-09-17T12:00:00+00:00,FT,West - 8,Köln II,9371,Borussia M'gladbach II,9368,2,1,True,6476
1409769,2025-09-17T17:30:00+00:00,FT,West - 8,SV Rodinghausen,1650,Fortuna Düsseldorf II,9369,3,0,True,1791
1409773,2025-09-17T17:30:00+00:00,FT,West - 8,Schalke 04 II,9373,Rot-weiss Oberhausen,1658,0,2,True,11975
1409772,2025-09-17T17:30:00+00:00,FT,West - 8,Paderborn II,12827,Wuppertaler SV,9375,6,1,True,18622
1409767,2025-09-17T17:30:00+00:00,FT,West - 8,SSVg Velbert,12847,Bonner SC,1637,0,0,True,8194
1409775,2025-09-17T17:30:00+00:00,FT,West - 8,Sportfreunde Siegen,13935,Sportfreunde Lotte,1323,0,0,True,8634
1409777,2025-09-20T12:00:00+00:00,FT,West - 9,Fortuna Köln,1326,SSVg Velbert,12847,5,0,True,715
1409782,2025-09-20T12:00:00+00:00,FT,West - 9,Bonner SC,1637,SV Rodinghausen,1650,1,0,True,2700
1409778,2025-09-20T12:00:00+00:00,FT,West - 9,Rot-weiss Oberhausen,1658,Köln II,9371,1,2,True,
1409784,2025-09-20T12:00:00+00:00,FT,West - 9,Borussia M'gladbach II,9368,Wiedenbrück,12897,1,1,True,6473
1409780,2025-09-20T12:00:00+00:00,FT,West - 9,Wuppertaler SV,9375,Sportfreunde Siegen,13935,1,1,True,6480
1409776,2025-09-20T12:00:00+00:00,FT,West - 9,FC Bocholt,12764,Sportfreunde Lotte,1323,4,1,True,
1409783,2025-09-20T12:00:00+00:00,FT,West - 9,FC Gutersloh,14485,Schalke 04 II,9373,1,3,True,10674
1409781,2025-09-20T12:00:00+00:00,FT,West - 9,Bochum II,24430,Paderborn II,12827,2,2,True,751
1409779,2025-09-21T14:00:00+00:00,FT,West - 9,Fortuna Düsseldorf II,9369,Borussia Dortmund II,9367,0,2,True,6474
1409791,2025-09-25T17:30:00+00:00,FT,West - 10,SSVg Velbert,12847,FC Bocholt,12764,1,2,True,18621
1409787,2025-09-26T17:30:00+00:00,FT,West - 10,Sportfreunde Siegen,13935,Bochum II,24430,1,1,True,8634
1409792,2025-09-27T12:00:00+00:00,FT,West - 10,Sportfreunde Lotte,1323,Wuppertaler SV,9375,1,2,True,11901
1409786,2025-09-27T12:00:00+00:00,FT,West - 10,SV Rodinghausen,1650,Fortuna Köln,1326,0,4,True,1791
1409785,2025-09-27T12:00:00+00:00,FT,West - 10,Köln II,9371,FC Gutersloh,14485,0,0,True,6476
1409793,2025-09-27T12:00:00+00:00,FT,West - 10,Wiedenbrück,12897,Rot-weiss Oberhausen,1658,1,2,True,8237
1409788,2025-09-27T14:00:00+00:00,FT,West - 10,Schalke 04 II,9373,Fortuna Düsseldorf II,9369,3,1,True,11975
1409789,2025-09-28T12:00:00+00:00,FT,West - 10,Borussia Dortmund II,9367,Bonner SC,1637,1,1,True,6472
1409790,2025-09-29T12:00:00+00:00,FT,West - 10,Paderborn II,12827,Borussia M'gladbach II,9368,1,1,True,18622
1409801,2025-10-03T12:00:00+00:00,FT,West - 11,SSVg Velbert,12847,SV Rodinghausen,1650,2,3,True,8194
1409798,2025-10-03T16:00:00+00:00,FT,West - 11,FC Gutersloh,14485,Wiedenbrück,12897,1,0,True,10674
1409800,2025-10-03T17:30:00+00:00,FT,West - 11,Rot-weiss Oberhausen,1658,Paderborn II,12827,1,0,True,
1409795,2025-10-03T17:30:00+00:00,FT,West - 11,Fortuna Düsseldorf II,9369,Köln II,9371,3,3,True,6474
1409799,2025-10-03T17:30:00+00:00,FT,West - 11,FC Bocholt,12764,Wuppertaler SV,9375,1,3,True,
1409794,2025-10-04T12:00:00+00:00,FT,West - 11,Fortuna Köln,1326,Borussia Dortmund II,9367,2,2,True,715
1409802,2025-10-04T12:00:00+00:00,FT,West - 11,Bochum II,24430,Sportfreunde Lotte,1323,1,2,True,751
1409797,2025-10-05T12:00:00+00:00,FT,West - 11,Borussia M'gladbach II,9368,Sportfreunde Siegen,13935,3,3,True,6473
1409796,2025-10-05T14:30:00+00:00,FT,West - 11,Bonner SC,1637,Schalke 04 II,9373,0,1,True,2700
1409806,2025-10-11T12:00:00+00:00,FT,West - 12,Paderborn II,12827,FC Gutersloh,14485,0,2,True,18622
1409805,2025-10-17T17:30:00+00:00,FT,West - 12,Schalke 04 II,9373,Fortuna Köln,1326,0,0,True,11975
1409804,2025-10-18T12:00:00+00:00,FT,West - 12,Sportfreunde Lotte,1323,Borussia M'gladbach II,9368,0,1,True,11901
1409807,2025-10-18T12:00:00+00:00,FT,West - 12,SV Rodinghausen,1650,FC Bocholt,12764,3,1,True,1791
1409809,2025-10-18T12:00:00+00:00,FT,West - 12,Borussia Dortmund II,9367,SSVg Velbert,12847,5,0,True,6472
1409803,2025-10-18T12:00:00+00:00,FT,West - 12,Wiedenbrück,12897,Fortuna Düsseldorf II,9369,5,2,True,8237
1409811,2025-10-18T12:00:00+00:00,FT,West - 12,Sportfreunde Siegen,13935,Rot-weiss Oberhausen,1658,0,1,True,8634
1409808,2025-10-18T13:30:00+00:00,FT,West - 12,Köln II,9371,Bonner SC,1637,0,1,True,6476
1409810,2025-10-18T16:00:00+00:00,FT,West - 12,Wuppertaler SV,9375,Bochum II,24430,2,2,True,6480
1409820,2025-10-25T12:00:00+00:00,FT,West - 13,Fortuna Köln,1326,Köln II,9371,3,2,True,715
1409814,2025-10-25T12:00:00+00:00,FT,West - 13,Bonner SC,1637,Wiedenbrück,12897,2,1,True,2700
1409817,2025-10-25T12:00:00+00:00,FT,West - 13,Rot-weiss Oberhausen,1658,Sportfreunde Lotte,1323,1,1,True,739
1409815,2025-10-25T12:00:00+00:00,FT,West - 13,Borussia M'gladbach II,9368,Wuppertaler SV,9375,2,1,True,6473
1409819,2025-10-25T12:00:00+00:00,FT,West - 13,Fortuna Düsseldorf II,9369,Paderborn II,12827,0,2,True,6474
1409816,2025-10-25T12:00:00+00:00,FT,West - 13,FC Bocholt,12764,Bochum II,24430,3,1,True,
1409818,2025-10-25T12:00:00+00:00,FT,West - 13,SSVg Velbert,12847,Schalke 04 II,9373,1,3,True,8194
1409813,2025-10-25T14:30:00+00:00,FT,West - 13,SV Rodinghausen,1650,Borussia Dortmund II,9367,2,4,True,1791
1409812,2025-10-26T13:00:00+00:00,FT,West - 13,FC Gutersloh,14485,Sportfreunde Siegen,13935,3,2,True,10674
1409827,2025-10-31T17:30:00+00:00,FT,West - 14,Schalke 04 II,9373,SV Rodinghausen,1650,3,2,True,11975
1409825,2025-10-31T18:30:00+00:00,FT,West - 14,Sportfreunde Lotte,1323,FC Gutersloh,14485,2,2,True,11901
1409828,2025-10-31T18:30:00+00:00,FT,West - 14,Wuppertaler SV,9375,Rot-weiss Oberhausen,1658,2,3,True,6480
1409821,2025-11-01T17:00:00+00:00,FT,West - 14,Borussia M'gladbach II,9368,Bochum II,24430,4,1,True,751
1409822,2025-11-02T13:00:00+00:00,FT,West - 14,Borussia Dortmund II,9367,FC Bocholt,12764,1,2,True,6472
1409829,2025-11-02T13:00:00+00:00,FT,West - 14,Köln II,9371,SSVg Velbert,12847,4,1,True,6476
1409826,2025-11-02T13:00:00+00:00,FT,West - 14,Wiedenbrück,12897,Fortuna Köln,1326,1,3,True,8237
1409823,2025-11-02T13:00:00+00:00,FT,West - 14,Sportfreunde Siegen,13935,Fortuna Düsseldorf II,9369,3,1,True,8634
1409824,2025-11-02T17:00:00+00:00,FT,West - 14,Paderborn II,12827,Bonner SC,1637,1,3,True,18622
1409832,2025-11-08T13:00:00+00:00,FT,West - 15,SV Rodinghausen,1650,Köln II,9371,2,3,True,1791
1480383,2025-11-08T13:00:00+00:00,FT,West - 15,Borussia Dortmund II,9367,Schalke 04 II,9373,4,1,True,6472
1409830,2025-11-08T13:00:00+00:00,FT,West - 15,FC Bocholt,12764,Borussia M'gladbach II,9368,0,2,True,
1409835,2025-11-08T13:00:00+00:00,FT,West - 15,SSVg Velbert,12847,Wiedenbrück,12897,2,1,True,8194
1480385,2025-11-09T13:00:00+00:00,FT,West - 15,Fortuna Köln,1326,Paderborn II,12827,0,0,True,
1409833,2025-11-09T13:00:00+00:00,FT,West - 15,Bonner SC,1637,Sportfreunde Siegen,13935,1,1,True,2700
1409831,2025-11-09T13:00:00+00:00,FT,West - 15,Rot-weiss Oberhausen,1658,Bochum II,24430,1,0,True,
1480384,2025-11-09T13:00:00+00:00,FT,West - 15,Fortuna Düsseldorf II,9369,Sportfreunde Lotte,1323,2,3,True,
1409834,2025-11-09T13:00:00+00:00,FT,West - 15,FC Gutersloh,14485,Wuppertaler SV,9375,0,0,True,10674
1409838,2025-11-15T13:00:00+00:00,FT,West - 16,Paderborn II,12827,SSVg Velbert,12847,3,2,True,18622
1409840,2025-11-22T13:00:00+00:00,FT,West - 16,Sportfreunde Lotte,1323,Bonner SC,1637,1,0,True,11901
1409844,2025-11-22T13:00:00+00:00,FT,West - 16,Borussia M'gladbach II,9368,Rot-weiss Oberhausen,1658,0,6,True,6473
1409841,2025-11-22T13:00:00+00:00,FT,West - 16,Wuppertaler SV,9375,Fortuna Düsseldorf II,9369,2,4,True,6480
1409843,2025-11-22T13:00:00+00:00,FT,West - 16,FC Bocholt,12764,Schalke 04 II,9373,2,3,True,
1409837,2025-11-22T13:00:00+00:00,FT,West - 16,Sportfreunde Siegen,13935,Fortuna Köln,1326,2,2,True,8634
1409842,2025-11-22T14:30:00+00:00,FT,West - 16,Köln II,9371,Borussia Dortmund II,9367,3,5,True,6476
1409839,2025-11-23T17:00:00+00:00,FT,West - 16,Bochum II,24430,FC Gutersloh,14485,1,1,True,751
1480386,2025-11-28T18:30:00+00:00,FT,West - 17,SV Rodinghausen,1650,Paderborn II,12827,2,1,True,
1409850,2025-11-28T18:30:00+00:00,FT,West - 17,SSVg Velbert,12847,Sportfreunde Siegen,13935,2,2,True,8194
1409851,2025-11-29T13:00:00+00:00,FT,West - 17,Fortuna Köln,1326,Sportfreunde Lotte,1323,4,0,True,715
1480387,2025-11-29T13:00:00+00:00,FT,West - 17,Bonner SC,1637,Wuppertaler SV,9375,1,1,True,2700
1409848,2025-11-29T13:00:00+00:00,FT,West - 17,Rot-weiss Oberhausen,1658,FC Bocholt,12764,3,2,True,739
1409847,2025-11-29T13:00:00+00:00,FT,West - 17,Fortuna Düsseldorf II,9369,Bochum II,24430,0,2,True,6474
1409845,2025-11-29T13:00:00+00:00,FT,West - 17,FC Gutersloh,14485,Borussia M'gladbach II,9368,2,1,True,10674
1409849,2025-11-29T14:00:00+00:00,FT,West - 17,Schalke 04 II,9373,Köln II,9371,2,3,True,11975
1409846,2025-11-30T12:00:00+00:00,FT,West - 17,Borussia Dortmund II,9367,Wiedenbrück,12897,2,2,True,6472
1409852,2025-12-05T18:30:00+00:00,FT,West - 18,Fortuna Köln,1326,Wuppertaler SV,9375,3,0,True,715
1480389,2025-12-05T18:30:00+00:00,FT,West - 18,Fortuna Düsseldorf II,9369,Borussia M'gladbach II,9368,1,3,True,
1409853,2025-12-06T13:00:00+00:00,FT,West - 18,SV Rodinghausen,1650,Sportfreunde Siegen,13935,3,4,True,1791
1409854,2025-12-06T13:00:00+00:00,FT,West - 18,Köln II,9371,FC Bocholt,12764,3,2,True,6476
1409856,2025-12-06T13:00:00+00:00,FT,West - 18,Schalke 04 II,9373,Wiedenbrück,12897,5,0,True,11975
1409857,2025-12-06T13:00:00+00:00,FT,West - 18,FC Gutersloh,14485,Rot-weiss Oberhausen,1658,0,0,True,10674
1480388,2025-12-06T15:00:00+00:00,FT,West - 18,Borussia Dortmund II,9367,Paderborn II,12827,1,0,True,6472
1409858,2026-01-16T18:00:00+00:00,FT,West - 18,SSVg Velbert,12847,Sportfreunde Lotte,1323,0,3,True,8194
1480390,2026-01-24T13:00:00+00:00,FT,West - 19,Rot-weiss Oberhausen,1658,Fortuna Düsseldorf II,9369,2,0,True,
1409865,2026-01-24T13:00:00+00:00,FT,West - 19,Borussia M'gladbach II,9368,Bonner SC,1637,1,2,True,6473
1409863,2026-01-24T13:00:00+00:00,FT,West - 19,Wuppertaler SV,9375,SSVg Velbert,12847,0,1,True,6480
1409859,2026-01-24T13:00:00+00:00,FT,West - 19,FC Bocholt,12764,FC Gutersloh,14485,0,0,True,
1409866,2026-01-25T13:00:00+00:00,FT,West - 19,Bochum II,24430,Fortuna Köln,1326,0,1,True,751
1409868,2026-01-30T18:30:00+00:00,FT,West - 20,Borussia Dortmund II,9367,Sportfreunde Lotte,1323,1,1,True,6472
1480392,2026-01-31T13:00:00+00:00,FT,West - 20,Fortuna Köln,1326,Borussia M'gladbach II,9368,2,1,True,
1480391,2026-01-31T13:00:00+00:00,FT,West - 20,Fortuna Düsseldorf II,9369,FC Gutersloh,14485,0,2,True,
1409871,2026-01-31T13:00:00+00:00,FT,West - 20,Schalke 04 II,9373,Sportfreunde Siegen,13935,0,2,True,11975
1409873,2026-02-01T13:00:00+00:00,FT,West - 20,Köln II,9371,Paderborn II,12827,1,0,True,6476
1409836,2026-02-04T18:30:00+00:00,FT,West - 16,Wiedenbrück,12897,SV Rodinghausen,1650,2,2,True,8237
1409875,2026-02-07T13:00:00+00:00,FT,West - 21,Rot-weiss Oberhausen,1658,Fortuna Köln,1326,1,3,True,739
1409880,2026-02-07T13:00:00+00:00,FT,West - 21,Borussia M'gladbach II,9368,SSVg Velbert,12847,0,1,True,6473
1409878,2026-02-07T13:00:00+00:00,FT,West - 21,Wuppertaler SV,9375,Borussia Dortmund II,9367,2,2,True,6480
1409877,2026-02-07T13:00:00+00:00,FT,West - 21,FC Bocholt,12764,Fortuna Düsseldorf II,9369,0,3,True,
1409876,2026-02-07T13:00:00+00:00,FT,West - 21,Bochum II,24430,SV Rodinghausen,1650,2,0,True,751
1409881,2026-02-08T13:00:00+00:00,FT,West - 21,Paderborn II,12827,Wiedenbrück,12897,4,0,True,18622
1409891,2026-02-13T18:30:00+00:00,FT,West - 22,Fortuna Köln,1326,FC Gutersloh,14485,3,0,True,715
1409885,2026-02-13T18:30:00+00:00,FT,West - 22,Bonner SC,1637,Fortuna Düsseldorf II,9369,1,0,True,2700
1409890,2026-02-13T18:30:00+00:00,FT,West - 22,SSVg Velbert,12847,Rot-weiss Oberhausen,1658,0,4,True,8194
1409886,2026-02-14T13:00:00+00:00,FT,West - 22,SV Rodinghausen,1650,Borussia M'gladbach II,9368,0,3,True,1791
