fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1390647,2025-07-19T21:00:00+00:00,FT,Apertura - 1,Cobán Imperial,3657,Mixco,3645,0,1,True,
1390645,2025-07-20T00:00:00+00:00,FT,Apertura - 1,Antigua GFC,3656,Marquense,3643,3,0,True,
1390650,2025-07-20T02:00:00+00:00,FT,Apertura - 1,Malacateco,3664,Xelajú,3667,0,1,True,2462
1390646,2025-07-20T17:00:00+00:00,FT,Apertura - 1,Aurora,10154,Guastatoya,3662,1,0,True,
1390649,2025-07-20T21:00:00+00:00,FT,Apertura - 1,Achuapa,3636,Municipal,3665,2,2,True,
1390648,2025-07-20T23:00:00+00:00,FT,Apertura - 1,Comunicaciones,3658,Mictlán,3644,2,0,True,
1390656,2025-07-25T21:45:00+00:00,FT,Apertura - 2,Xelajú,3667,Antigua GFC,3656,0,2,True,2465
1390651,2025-07-26T20:00:00+00:00,FT,Apertura - 2,Mixco,3645,Comunicaciones,3658,1,0,True,
1390655,2025-07-26T22:00:00+00:00,FT,Apertura - 2,Municipal,3665,Aurora,10154,2,1,True,
1390654,2025-07-27T00:00:00+00:00,FT,Apertura - 2,Mictlán,3644,Malacateco,3664,2,2,True,2445
1390653,2025-07-27T02:00:00+00:00,FT,Apertura - 2,Marquense,3643,Achuapa,3636,0,0,True,2444
1390652,2025-07-27T21:00:00+00:00,FT,Apertura - 2,Guastatoya,3662,Cobán Imperial,3657,0,1,True,2460
1390661,2025-08-02T01:00:00+00:00,FT,Apertura - 3,Malacateco,3664,Mixco,3645,1,2,True,2462
1390660,2025-08-02T20:00:00+00:00,FT,Apertura - 3,Achuapa,3636,Antigua GFC,3656,2,0,True,
1390662,2025-08-02T21:45:00+00:00,FT,Apertura - 3,Xelajú,3667,Mictlán,3644,0,0,True,2465
1390657,2025-08-03T17:00:00+00:00,FT,Apertura - 3,Aurora,10154,Marquense,3643,1,1,True,
1390658,2025-08-03T21:00:00+00:00,FT,Apertura - 3,Cobán Imperial,3657,Municipal,3665,0,1,True,
1390659,2025-08-03T23:00:00+00:00,FT,Apertura - 3,Comunicaciones,3658,Guastatoya,3662,2,2,True,
1390665,2025-08-09T21:00:00+00:00,FT,Apertura - 4,Mixco,3645,Xelajú,3667,2,1,True,
1390666,2025-08-09T23:00:00+00:00,FT,Apertura - 4,Guastatoya,3662,Malacateco,3664,1,2,True,2460
1390663,2025-08-10T01:00:00+00:00,FT,Apertura - 4,Antigua GFC,3656,Mictlán,3644,2,0,True,
1390664,2025-08-10T20:00:00+00:00,FT,Apertura - 4,Achuapa,3636,Aurora,10154,1,2,True,
1390668,2025-08-10T23:00:00+00:00,FT,Apertura - 4,Municipal,3665,Comunicaciones,3658,1,1,True,
1390667,2025-08-11T01:00:00+00:00,FT,Apertura - 4,Marquense,3643,Cobán Imperial,3657,1,0,True,2444
1390672,2025-08-16T17:00:00+00:00,FT,Apertura - 5,Malacateco,3664,Municipal,3665,2,3,True,7048
1390669,2025-08-16T17:00:00+00:00,FT,Apertura - 5,Aurora,10154,Antigua GFC,3656,3,2,True,
1390670,2025-08-16T21:00:00+00:00,FT,Apertura - 5,Cobán Imperial,3657,Achuapa,3636,2,2,True,
1390673,2025-08-17T21:00:00+00:00,FT,Apertura - 5,Mictlán,3644,Mixco,3645,0,0,True,2445
1390671,2025-08-17T23:00:00+00:00,FT,Apertura - 5,Comunicaciones,3658,Marquense,3643,3,0,True,
1390674,2025-08-18T02:00:00+00:00,FT,Apertura - 5,Xelajú,3667,Guastatoya,3662,5,0,True,2465
1390675,2025-08-23T01:00:00+00:00,FT,Apertura - 6,Antigua GFC,3656,Mixco,3645,2,1,True,
1390678,2025-08-23T22:00:00+00:00,FT,Apertura - 6,Guastatoya,3662,Mictlán,3644,1,3,True,2460
1390680,2025-08-24T00:00:00+00:00,FT,Apertura - 6,Municipal,3665,Xelajú,3667,1,1,True,
1390676,2025-08-24T17:00:00+00:00,FT,Apertura - 6,Aurora,10154,Cobán Imperial,3657,1,1,True,
1390677,2025-08-24T20:00:00+00:00,FT,Apertura - 6,Achuapa,3636,Comunicaciones,3658,2,1,True,
1390679,2025-08-25T01:00:00+00:00,FT,Apertura - 6,Marquense,3643,Malacateco,3664,4,1,True,2444
1390683,2025-08-30T21:00:00+00:00,FT,Apertura - 7,Mixco,3645,Guastatoya,3662,2,0,True,
1390682,2025-08-30T23:00:00+00:00,FT,Apertura - 7,Comunicaciones,3658,Aurora,10154,0,2,True,2441
1390684,2025-08-31T01:30:00+00:00,FT,Apertura - 7,Malacateco,3664,Achuapa,3636,2,0,True,7048
1390681,2025-08-31T21:00:00+00:00,FT,Apertura - 7,Cobán Imperial,3657,Antigua GFC,3656,2,2,True,2457
1390685,2025-09-01T00:00:00+00:00,FT,Apertura - 7,Mictlán,3644,Municipal,3665,0,0,True,2445
1390686,2025-09-01T02:00:00+00:00,FT,Apertura - 7,Xelajú,3667,Marquense,3643,3,1,True,2465
1390689,2025-09-03T21:00:00+00:00,FT,Apertura - 8,Cobán Imperial,3657,Comunicaciones,3658,3,1,True,2457
1390692,2025-09-04T01:00:00+00:00,FT,Apertura - 8,Municipal,3665,Mixco,3645,3,1,True,2463
1390691,2025-09-06T23:15:00+00:00,FT,Apertura - 8,Marquense,3643,Mictlán,3644,1,0,True,2444
1390687,2025-09-07T01:00:00+00:00,FT,Apertura - 8,Antigua GFC,3656,Guastatoya,3662,3,1,True,2456
1390688,2025-09-07T17:00:00+00:00,FT,Apertura - 8,Aurora,10154,Malacateco,3664,1,0,True,8608
1390690,2025-09-07T21:00:00+00:00,FT,Apertura - 8,Achuapa,3636,Xelajú,3667,4,1,True,
1390694,2025-09-12T21:00:00+00:00,FT,Apertura - 9,Mixco,3645,Marquense,3643,1,0,True,
1390696,2025-09-13T01:00:00+00:00,FT,Apertura - 9,Malacateco,3664,Cobán Imperial,3657,3,0,True,2462
1390693,2025-09-13T23:00:00+00:00,FT,Apertura - 9,Comunicaciones,3658,Antigua GFC,3656,0,3,True,2441
1390697,2025-09-14T01:00:00+00:00,FT,Apertura - 9,Mictlán,3644,Achuapa,3636,1,0,True,2445
1390698,2025-09-14T03:00:00+00:00,FT,Apertura - 9,Xelajú,3667,Aurora,10154,2,2,True,2465
1390695,2025-09-14T21:00:00+00:00,FT,Apertura - 9,Guastatoya,3662,Municipal,3665,0,3,True,2460
1390701,2025-09-16T21:00:00+00:00,FT,Apertura - 10,Cobán Imperial,3657,Xelajú,3667,2,1,True,2457
1390702,2025-09-17T01:00:00+00:00,FT,Apertura - 10,Comunicaciones,3658,Malacateco,3664,1,0,True,2441
1390704,2025-09-18T00:00:00+00:00,FT,Apertura - 10,Marquense,3643,Guastatoya,3662,0,2,True,2444
1390699,2025-09-18T02:00:00+00:00,FT,Apertura - 10,Antigua GFC,3656,Municipal,3665,1,1,True,2456
1390710,2025-09-20T02:00:00+00:00,FT,Apertura - 11,Xelajú,3667,Comunicaciones,3658,3,0,True,2465
1390705,2025-09-20T21:00:00+00:00,FT,Apertura - 11,Mixco,3645,Aurora,10154,2,2,True,
1390709,2025-09-20T23:00:00+00:00,FT,Apertura - 11,Municipal,3665,Marquense,3643,3,0,True,2463
1390707,2025-09-21T02:00:00+00:00,FT,Apertura - 11,Malacateco,3664,Antigua GFC,3656,3,1,True,2462
1390706,2025-09-21T21:00:00+00:00,FT,Apertura - 11,Guastatoya,3662,Achuapa,3636,0,0,True,2460
