fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1449186,2025-08-29T12:00:00+00:00,FT,Regular Season - 1,Eastern,4451,Kitchee,4453,0,1,True,
1449187,2025-08-30T08:00:00+00:00,FT,Regular Season - 1,Southern District,4456,BC Rangers,26471,1,2,True,
1449188,2025-08-30T10:30:00+00:00,FT,Regular Season - 1,Warriors,4207,Wofoo Tai Po,4457,2,2,True,
1449190,2025-08-31T08:00:00+00:00,FT,Regular Season - 1,North District,6401,Hong Kong FC,4462,2,1,True,
1449189,2025-08-31T08:00:00+00:00,FT,Regular Season - 1,Kowloon City,20392,Eastern District,4467,0,0,True,
1449191,2025-09-13T08:00:00+00:00,FT,Regular Season - 2,Southern District,4456,Warriors,4207,0,3,True,
1449192,2025-09-13T08:00:00+00:00,FT,Regular Season - 2,Wofoo Tai Po,4457,North District,6401,0,2,True,
1449193,2025-09-13T10:30:00+00:00,FT,Regular Season - 2,Eastern,4451,Kowloon City,20392,2,1,True,
1449194,2025-09-14T08:00:00+00:00,FT,Regular Season - 2,Eastern District,4467,Kitchee,4453,0,1,True,
1449195,2025-09-14T08:30:00+00:00,FT,Regular Season - 2,Hong Kong FC,4462,BC Rangers,26471,0,2,True,
1449197,2025-09-20T08:00:00+00:00,FT,Regular Season - 3,Warriors,4207,Kitchee,4453,2,3,True,
1449196,2025-09-20T08:00:00+00:00,FT,Regular Season - 3,BC Rangers,26471,North District,6401,2,1,True,
1449198,2025-09-20T10:30:00+00:00,FT,Regular Season - 3,Eastern District,4467,Hong Kong FC,4462,3,0,True,
1449199,2025-09-21T08:00:00+00:00,FT,Regular Season - 3,Southern District,4456,Eastern,4451,1,1,True,
1449200,2025-09-21T08:00:00+00:00,FT,Regular Season - 3,Kowloon City,20392,Wofoo Tai Po,4457,0,2,True,
1449201,2025-10-04T10:00:00+00:00,FT,Regular Season - 4,BC Rangers,26471,Kowloon City,20392,2,3,True,
1449202,2025-10-05T08:30:00+00:00,FT,Regular Season - 13,Hong Kong FC,4462,North District,6401,0,3,True,
1449203,2025-10-18T07:00:00+00:00,FT,Regular Season - 5,Wofoo Tai Po,4457,Kitchee,4453,1,1,True,
1449204,2025-10-18T10:00:00+00:00,FT,Regular Season - 5,Warriors,4207,Eastern District,4467,1,0,True,
1449206,2025-10-19T07:00:00+00:00,FT,Regular Season - 5,Kowloon City,20392,North District,6401,2,2,True,
1449205,2025-10-19T07:00:00+00:00,FT,Regular Season - 5,BC Rangers,26471,Eastern,4451,1,1,True,
1449207,2025-10-19T08:30:00+00:00,FT,Regular Season - 5,Hong Kong FC,4462,Southern District,4456,0,1,True,
1449208,2025-10-25T07:00:00+00:00,FT,Regular Season - 6,Southern District,4456,Eastern District,4467,1,1,True,
1449209,2025-10-26T07:00:00+00:00,FT,Regular Season - 6,Wofoo Tai Po,4457,Eastern,4451,3,1,True,
1449210,2025-10-26T07:00:00+00:00,FT,Regular Season - 6,Kowloon City,20392,Hong Kong FC,4462,1,2,True,
1449211,2025-10-26T10:00:00+00:00,FT,Regular Season - 6,Kitchee,4453,North District,6401,3,3,True,
1449212,2025-10-29T07:00:00+00:00,FT,Regular Season - 13,Eastern District,4467,Kowloon City,20392,0,1,True,
1449213,2025-11-01T07:00:00+00:00,FT,Regular Season - 7,Wofoo Tai Po,4457,BC Rangers,26471,6,1,True,
1449214,2025-11-01T07:00:00+00:00,FT,Regular Season - 7,Eastern District,4467,Eastern,4451,1,0,True,
1449215,2025-11-01T10:00:00+00:00,FT,Regular Season - 7,Warriors,4207,Hong Kong FC,4462,7,1,True,
1449216,2025-11-02T07:00:00+00:00,FT,Regular Season - 7,North District,6401,Southern District,4456,2,1,True,
1449217,2025-11-02T07:00:00+00:00,FT,Regular Season - 7,Kowloon City,20392,Kitchee,4453,0,5,True,
1449219,2025-11-09T07:00:00+00:00,FT,Regular Season - 8,BC Rangers,26471,Eastern District,4467,0,1,True,
1449220,2025-11-09T08:30:00+00:00,FT,Regular Season - 9,Hong Kong FC,4462,Eastern,4451,0,4,True,
1449221,2025-11-22T07:00:00+00:00,FT,Regular Season - 9,Southern District,4456,Kowloon City,20392,2,0,True,
1449222,2025-11-22T07:00:00+00:00,FT,Regular Season - 9,Wofoo Tai Po,4457,Eastern District,4467,1,0,True,
1487962,2025-11-23T07:00:00+00:00,FT,Regular Season - 9,Warriors,4207,North District,6401,2,2,True,
1449218,2025-11-26T07:00:00+00:00,FT,Regular Season - 8,Southern District,4456,Kitchee,4453,2,4,True,
1449223,2025-12-02T12:00:00+00:00,FT,Regular Season - 10,Kitchee,4453,Eastern District,4467,1,0,True,
1449224,2025-12-04T07:00:00+00:00,FT,Regular Season - 10,North District,6401,Wofoo Tai Po,4457,1,1,True,
1449227,2025-12-06T07:00:00+00:00,FT,Regular Season - 10,Warriors,4207,Southern District,4456,1,0,True,
1449225,2025-12-07T07:00:00+00:00,FT,Regular Season - 10,Kowloon City,20392,Eastern,4451,2,1,True,
