fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1232068,2024-08-03T16:00:00+00:00,FT,Preliminary Round,Carrarese,1581,Catania,1580,2,1,True,872
1232069,2024-08-03T18:30:00+00:00,FT,Preliminary Round,Torres,9534,Mantova,1693,1,2,True,6630
1232070,2024-08-04T18:30:00+00:00,FT,Preliminary Round,Cesena,509,Padova,870,3,1,True,2758
1232067,2024-08-04T18:45:00+00:00,FT,Preliminary Round,Avellino,528,Juve Stabia,863,3,1,True,2756
1232055,2024-08-09T16:00:00+00:00,FT,1st Round,Sassuolo,488,Cittadella,510,2,1,True,935
1279552,2024-08-09T16:30:00+00:00,FT,1st Round,Udinese,494,Avellino,528,4,0,True,20416
1232056,2024-08-09T18:45:00+00:00,FT,1st Round,Genoa,495,Reggiana,880,1,0,True,905
1232057,2024-08-09T19:15:00+00:00,PEN,1st Round,Monza,1579,Sudtirol,1578,0,0,False,12086
1232058,2024-08-10T16:00:00+00:00,PEN,1st Round,Cremonese,520,Bari,508,1,1,False,894
1279553,2024-08-10T16:30:00+00:00,FT,1st Round,Hellas Verona,504,Cesena,509,1,2,True,
1232059,2024-08-10T18:45:00+00:00,FT,1st Round,Empoli,511,Catanzaro,1687,4,1,True,20109
1232060,2024-08-10T19:15:00+00:00,PEN,1st Round,Napoli,492,Modena,899,0,0,False,11904
1232061,2024-08-11T16:00:00+00:00,FT,1st Round,Brescia,518,Venezia,517,3,1,True,882
1232062,2024-08-11T16:30:00+00:00,FT,1st Round,Parma,523,Palermo,522,0,1,True,921
1232063,2024-08-11T18:45:00+00:00,PEN,1st Round,Sampdoria,498,Como,895,1,1,False,905
1232064,2024-08-11T19:15:00+00:00,FT,1st Round,Torino,503,Cosenza,10137,2,0,True,943
1232065,2024-08-12T16:00:00+00:00,FT,1st Round,Frosinone,512,Pisa,801,0,3,True,904
1279554,2024-08-12T16:30:00+00:00,FT,1st Round,Lecce,867,Mantova,1693,2,1,True,
1232066,2024-08-12T18:45:00+00:00,PEN,1st Round,Salernitana,514,Spezia,515,3,3,False,933
1279555,2024-08-12T19:15:00+00:00,FT,1st Round,Cagliari,490,Carrarese,1581,3,1,True,12275
1286331,2024-09-24T14:00:00+00:00,FT,2nd Round,Lecce,867,Sassuolo,488,0,2,True,
1286329,2024-09-24T16:30:00+00:00,FT,2nd Round,Cagliari,490,Cremonese,520,1,0,True,12275
1286187,2024-09-24T19:00:00+00:00,FT,2nd Round,Torino,503,Empoli,511,1,2,True,943
1286330,2024-09-25T14:00:00+00:00,FT,2nd Round,Pisa,801,Cesena,509,0,1,True,925
1286332,2024-09-25T16:30:00+00:00,FT,2nd Round,Udinese,494,Salernitana,514,3,1,True,20416
1286189,2024-09-25T19:00:00+00:00,PEN,2nd Round,Genoa,495,Sampdoria,498,1,1,False,905
1286188,2024-09-26T16:30:00+00:00,FT,2nd Round,Monza,1579,Brescia,518,3,1,True,12086
1286190,2024-09-26T19:00:00+00:00,FT,2nd Round,Napoli,492,Palermo,522,5,0,True,11904
1309294,2024-12-03T17:30:00+00:00,FT,Round of 16,Bologna,500,Monza,1579,4,0,True,881
1308637,2024-12-03T20:00:00+00:00,FT,Round of 16,AC Milan,489,Sassuolo,488,6,1,True,907
1308635,2024-12-04T20:00:00+00:00,PEN,Round of 16,Fiorentina,502,Empoli,511,2,2,False,902
1309295,2024-12-05T20:00:00+00:00,FT,Round of 16,Lazio,487,Napoli,492,3,1,True,910
1308634,2024-12-17T20:00:00+00:00,FT,Round of 16,Juventus,496,Cagliari,490,4,0,True,909
1308636,2024-12-18T17:30:00+00:00,FT,Round of 16,Atalanta,499,Cesena,509,6,1,True,879
1308638,2024-12-18T20:00:00+00:00,FT,Round of 16,AS Roma,497,Sampdoria,498,4,1,True,910
1308639,2024-12-19T20:00:00+00:00,FT,Round of 16,Inter,505,Udinese,494,2,0,True,907
1323909,2025-02-04T20:00:00+00:00,FT,Quarter-finals,Atalanta,499,Bologna,500,0,1,True,879
1323910,2025-02-05T20:00:00+00:00,FT,Quarter-finals,AC Milan,489,AS Roma,497,3,1,True,907
1325897,2025-02-25T20:00:00+00:00,FT,Quarter-finals,Inter,505,Lazio,487,2,0,True,907
1323908,2025-02-26T20:00:00+00:00,PEN,Quarter-finals,Juventus,496,Empoli,511,1,1,False,909
1355083,2025-04-01T19:00:00+00:00,FT,Semi-finals,Empoli,511,Bologna,500,0,3,True,20109
1355085,2025-04-02T19:00:00+00:00,FT,Semi-finals,AC Milan,489,Inter,505,1,1,True,907
1355086,2025-04-23T19:00:00+00:00,FT,Semi-finals,Inter,505,AC Milan,489,0,3,True,907
1355084,2025-04-24T19:00:00+00:00,FT,Semi-finals,Bologna,500,Empoli,511,2,1,True,881
1373026,2025-05-14T19:00:00+00:00,FT,Final,AC Milan,489,Bologna,500,0,1,True,910
