fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
731587,2021-08-21T16:30:00+00:00,FT,Regular Season - 1,Hellas Verona,504,Sassuolo,488,2,3,True,890
731588,2021-08-21T16:30:00+00:00,FT,Regular Season - 1,Inter,505,Genoa,495,4,0,True,907
731592,2021-08-21T18:45:00+00:00,FT,Regular Season - 1,Torino,503,Atalanta,499,1,2,True,943
731586,2021-08-21T18:45:00+00:00,FT,Regular Season - 1,Empoli,511,Lazio,487,1,3,True,896
731593,2021-08-22T16:30:00+00:00,FT,Regular Season - 1,Udinese,494,Juventus,496,2,2,True,928
731584,2021-08-22T16:30:00+00:00,FT,Regular Season - 1,Bologna,500,Salernitana,514,3,2,True,881
731589,2021-08-22T18:45:00+00:00,FT,Regular Season - 1,Napoli,492,Venezia,517,2,0,True,11904
731590,2021-08-22T18:45:00+00:00,FT,Regular Season - 1,AS Roma,497,Fiorentina,502,3,1,True,910
731585,2021-08-23T16:30:00+00:00,FT,Regular Season - 1,Cagliari,490,Spezia,515,2,2,True,12275
731591,2021-08-23T18:45:00+00:00,FT,Regular Season - 1,Sampdoria,498,AC Milan,489,0,1,True,905
731603,2021-08-27T16:30:00+00:00,FT,Regular Season - 2,Udinese,494,Venezia,517,3,0,True,928
731597,2021-08-27T18:45:00+00:00,FT,Regular Season - 2,Hellas Verona,504,Inter,505,1,3,True,890
731599,2021-08-28T16:30:00+00:00,FT,Regular Season - 2,Lazio,487,Spezia,515,6,1,True,910
731594,2021-08-28T16:30:00+00:00,FT,Regular Season - 2,Atalanta,499,Bologna,500,0,0,True,879
731598,2021-08-28T18:45:00+00:00,FT,Regular Season - 2,Juventus,496,Empoli,511,0,1,True,909
731595,2021-08-28T18:45:00+00:00,FT,Regular Season - 2,Fiorentina,502,Torino,503,2,1,True,902
731602,2021-08-29T16:30:00+00:00,FT,Regular Season - 2,Sassuolo,488,Sampdoria,498,0,0,True,935
731596,2021-08-29T16:30:00+00:00,FT,Regular Season - 2,Genoa,495,Napoli,492,1,2,True,905
731600,2021-08-29T18:45:00+00:00,FT,Regular Season - 2,AC Milan,489,Cagliari,490,4,1,True,907
731601,2021-08-29T18:45:00+00:00,FT,Regular Season - 2,Salernitana,514,AS Roma,497,0,4,True,933
731607,2021-09-11T13:00:00+00:00,FT,Regular Season - 3,Empoli,511,Venezia,517,1,2,True,896
731609,2021-09-11T16:00:00+00:00,FT,Regular Season - 3,Napoli,492,Juventus,496,2,1,True,11904
731604,2021-09-11T18:45:00+00:00,FT,Regular Season - 3,Atalanta,499,Fiorentina,502,1,2,True,879
731611,2021-09-12T10:30:00+00:00,FT,Regular Season - 3,Sampdoria,498,Inter,505,2,2,True,905
731606,2021-09-12T13:00:00+00:00,FT,Regular Season - 3,Cagliari,490,Genoa,495,2,3,True,12275
731613,2021-09-12T13:00:00+00:00,FT,Regular Season - 3,Torino,503,Salernitana,514,4,0,True,943
731612,2021-09-12T13:00:00+00:00,FT,Regular Season - 3,Spezia,515,Udinese,494,0,1,True,939
731608,2021-09-12T16:00:00+00:00,FT,Regular Season - 3,AC Milan,489,Lazio,487,2,0,True,907
731610,2021-09-12T18:45:00+00:00,FT,Regular Season - 3,AS Roma,497,Sassuolo,488,2,1,True,910
731605,2021-09-13T18:45:00+00:00,FT,Regular Season - 3,Bologna,500,Hellas Verona,504,1,0,True,881
731621,2021-09-17T18:45:00+00:00,FT,Regular Season - 4,Sassuolo,488,Torino,503,0,1,True,935
731615,2021-09-18T13:00:00+00:00,FT,Regular Season - 4,Genoa,495,Fiorentina,502,1,2,True,905
731617,2021-09-18T16:00:00+00:00,FT,Regular Season - 4,Inter,505,Bologna,500,6,1,True,907
731620,2021-09-18T18:45:00+00:00,FT,Regular Season - 4,Salernitana,514,Atalanta,499,0,1,True,933
731614,2021-09-19T10:30:00+00:00,FT,Regular Season - 4,Empoli,511,Sampdoria,498,0,3,True,896
731623,2021-09-19T13:00:00+00:00,FT,Regular Season - 4,Venezia,517,Spezia,515,1,2,True,948
731619,2021-09-19T16:00:00+00:00,FT,Regular Season - 4,Lazio,487,Cagliari,490,2,2,True,910
731616,2021-09-19T16:00:00+00:00,FT,Regular Season - 4,Hellas Verona,504,AS Roma,497,3,2,True,890
731618,2021-09-19T18:45:00+00:00,FT,Regular Season - 4,Juventus,496,AC Milan,489,1,1,True,909
731622,2021-09-20T18:45:00+00:00,FT,Regular Season - 4,Udinese,494,Napoli,492,0,4,True,928
731625,2021-09-21T16:30:00+00:00,FT,Regular Season - 5,Bologna,500,Genoa,495,2,2,True,881
731624,2021-09-21T18:45:00+00:00,FT,Regular Season - 5,Atalanta,499,Sassuolo,488,2,1,True,879
731627,2021-09-21T18:45:00+00:00,FT,Regular Season - 5,Fiorentina,502,Inter,505,1,3,True,902
731630,2021-09-22T16:30:00+00:00,FT,Regular Season - 5,Salernitana,514,Hellas Verona,504,2,2,True,933
731632,2021-09-22T16:30:00+00:00,FT,Regular Season - 5,Spezia,515,Juventus,496,2,3,True,939
731628,2021-09-22T18:45:00+00:00,FT,Regular Season - 5,AC Milan,489,Venezia,517,2,0,True,907
731626,2021-09-22T18:45:00+00:00,FT,Regular Season - 5,Cagliari,490,Empoli,511,0,2,True,12275
731631,2021-09-23T16:30:00+00:00,FT,Regular Season - 5,Sampdoria,498,Napoli,492,0,4,True,905
731633,2021-09-23T16:30:00+00:00,FT,Regular Season - 5,Torino,503,Lazio,487,1,1,True,943
731629,2021-09-23T18:45:00+00:00,FT,Regular Season - 5,AS Roma,497,Udinese,494,1,0,True,910
731641,2021-09-25T13:00:00+00:00,FT,Regular Season - 6,Spezia,515,AC Milan,489,1,2,True,939
731636,2021-09-25T16:00:00+00:00,FT,Regular Season - 6,Inter,505,Atalanta,499,2,2,True,907
731635,2021-09-25T18:45:00+00:00,FT,Regular Season - 6,Genoa,495,Hellas Verona,504,3,3,True,905
731637,2021-09-26T10:30:00+00:00,FT,Regular Season - 6,Juventus,496,Sampdoria,498,3,2,True,909
731640,2021-09-26T13:00:00+00:00,FT,Regular Season - 6,Sassuolo,488,Salernitana,514,1,0,True,935
