fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1063003,2023-08-18T18:30:00+00:00,FT,Regular Season - 1,Bari,508,Palermo,522,0,0,True,2763
1063010,2023-08-19T18:30:00+00:00,FT,Regular Season - 1,Ternana,516,Sampdoria,498,1,2,True,942
1063006,2023-08-19T18:30:00+00:00,FT,Regular Season - 1,Cremonese,520,Catanzaro,1687,0,0,True,894
1063005,2023-08-19T18:30:00+00:00,FT,Regular Season - 1,Cosenza,10137,Ascoli,507,3,0,True,893
1063009,2023-08-20T16:00:00+00:00,FT,Regular Season - 1,Sudtirol,1578,Spezia,515,3,3,True,940
1063004,2023-08-20T18:30:00+00:00,FT,Regular Season - 1,Cittadella,510,Reggiana,880,1,0,True,891
1063011,2023-08-20T18:30:00+00:00,FT,Regular Season - 1,Venezia,517,Como,895,3,0,True,948
1063007,2023-08-20T18:30:00+00:00,FT,Regular Season - 1,Parma,523,Feralpisalo,884,2,0,True,921
1063019,2023-08-25T18:30:00+00:00,FT,Regular Season - 2,Sampdoria,498,Pisa,801,0,2,True,905
1063020,2023-08-26T16:00:00+00:00,FT,Regular Season - 2,Venezia,517,Cosenza,10137,1,1,True,948
1063014,2023-08-26T18:30:00+00:00,FT,Regular Season - 2,Cremonese,520,Bari,508,0,1,True,894
1063018,2023-08-26T18:30:00+00:00,FT,Regular Season - 2,Parma,523,Cittadella,510,2,0,True,921
1063015,2023-08-26T18:30:00+00:00,FT,Regular Season - 2,Feralpisalo,884,Sudtirol,1578,0,2,True,924
1063013,2023-08-26T18:30:00+00:00,FT,Regular Season - 2,Como,895,Reggiana,880,2,2,True,892
1063017,2023-08-26T18:30:00+00:00,FT,Regular Season - 2,Modena,899,Ascoli,507,1,0,True,2771
1063012,2023-08-27T18:30:00+00:00,FT,Regular Season - 2,Catanzaro,1687,Ternana,516,2,1,True,911
1063021,2023-08-29T18:30:00+00:00,FT,Regular Season - 3,Ascoli,507,Feralpisalo,884,3,0,True,876
1063026,2023-08-29T18:30:00+00:00,FT,Regular Season - 3,Pisa,801,Parma,523,1,2,True,925
1063027,2023-08-29T18:30:00+00:00,FT,Regular Season - 3,Reggiana,880,Palermo,522,1,3,True,935
1063025,2023-08-29T18:30:00+00:00,FT,Regular Season - 3,Cosenza,10137,Modena,899,1,2,True,893
1063028,2023-08-30T18:30:00+00:00,FT,Regular Season - 3,Sampdoria,498,Venezia,517,1,2,True,905
1063022,2023-08-30T18:30:00+00:00,FT,Regular Season - 3,Bari,508,Cittadella,510,1,1,True,2763
1063029,2023-08-30T18:30:00+00:00,FT,Regular Season - 3,Ternana,516,Cremonese,520,0,1,True,942
1063023,2023-08-30T18:30:00+00:00,FT,Regular Season - 3,Catanzaro,1687,Spezia,515,3,0,True,888
1063034,2023-09-02T16:30:00+00:00,FT,Regular Season - 4,Palermo,522,Feralpisalo,884,3,0,True,920
1063035,2023-09-02T16:30:00+00:00,FT,Regular Season - 4,Parma,523,Reggiana,880,0,0,True,921
1063033,2023-09-02T16:30:00+00:00,FT,Regular Season - 4,Modena,899,Pisa,801,2,0,True,2771
1063037,2023-09-02T16:30:00+00:00,FT,Regular Season - 4,Sudtirol,1578,Ascoli,507,3,1,True,940
1125198,2023-09-03T14:15:00+00:00,FT,Regular Season - 4,Brescia,518,Cosenza,10137,1,0,True,882
1063036,2023-09-03T16:30:00+00:00,FT,Regular Season - 4,Spezia,515,Como,895,0,1,True,2758
1063038,2023-09-03T16:30:00+00:00,FT,Regular Season - 4,Ternana,516,Bari,508,0,0,True,942
1063031,2023-09-03T16:30:00+00:00,FT,Regular Season - 4,Cremonese,520,Sampdoria,498,1,1,True,894
1063032,2023-09-03T16:30:00+00:00,FT,Regular Season - 4,Lecco,6379,Catanzaro,1687,3,4,True,4705
1063030,2023-09-03T18:45:00+00:00,FT,Regular Season - 4,Cittadella,510,Venezia,517,0,0,True,891
1063047,2023-09-15T18:30:00+00:00,FT,Regular Season - 5,Venezia,517,Spezia,515,1,0,True,948
1063039,2023-09-16T12:00:00+00:00,FT,Regular Season - 5,Ascoli,507,Palermo,522,0,1,True,876
1063044,2023-09-16T12:00:00+00:00,FT,Regular Season - 5,Pisa,801,Bari,508,1,1,True,925
1063043,2023-09-16T12:00:00+00:00,FT,Regular Season - 5,Feralpisalo,884,Modena,899,1,1,True,924
1125199,2023-09-16T12:00:00+00:00,FT,Regular Season - 5,Lecco,6379,Brescia,518,0,2,True,4705
1063042,2023-09-16T12:00:00+00:00,FT,Regular Season - 5,Cosenza,10137,Sudtirol,1578,2,2,True,893
1063045,2023-09-16T14:15:00+00:00,FT,Regular Season - 5,Reggiana,880,Cremonese,520,2,2,True,935
1063041,2023-09-17T14:15:00+00:00,FT,Regular Season - 5,Como,895,Ternana,516,2,1,True,892
1063040,2023-09-17T14:15:00+00:00,FT,Regular Season - 5,Catanzaro,1687,Parma,523,0,5,True,888
1063046,2023-09-18T18:30:00+00:00,FT,Regular Season - 5,Sampdoria,498,Cittadella,510,1,2,True,905
1063053,2023-09-22T18:30:00+00:00,FT,Regular Season - 6,Palermo,522,Cosenza,10137,0,1,True,920
1063056,2023-09-23T12:00:00+00:00,FT,Regular Season - 6,Ternana,516,Sudtirol,1578,1,1,True,942
1125200,2023-09-23T12:00:00+00:00,FT,Regular Season - 6,Brescia,518,Venezia,517,0,0,True,882
1063050,2023-09-23T12:00:00+00:00,FT,Regular Season - 6,Cremonese,520,Ascoli,507,2,2,True,894
1063051,2023-09-23T12:00:00+00:00,FT,Regular Season - 6,Feralpisalo,884,Pisa,801,0,1,True,924
1063052,2023-09-23T12:00:00+00:00,FT,Regular Season - 6,Modena,899,Lecco,6379,0,0,True,2771
1063055,2023-09-23T14:15:00+00:00,FT,Regular Season - 6,Spezia,515,Reggiana,880,1,2,True,2758
1063048,2023-09-24T14:15:00+00:00,FT,Regular Season - 6,Bari,508,Catanzaro,1687,2,2,True,2763
1063049,2023-09-24T14:15:00+00:00,FT,Regular Season - 6,Cittadella,510,Como,895,0,3,True,891
1063054,2023-09-24T14:15:00+00:00,FT,Regular Season - 6,Parma,523,Sampdoria,498,1,1,True,921
1063061,2023-09-26T16:15:00+00:00,FT,Regular Season - 7,Lecco,6379,Feralpisalo,884,1,2,True,4705
1063060,2023-09-26T16:15:00+00:00,FT,Regular Season - 7,Cosenza,10137,Cremonese,520,1,2,True,893
1063057,2023-09-26T18:30:00+00:00,FT,Regular Season - 7,Ascoli,507,Ternana,516,2,0,True,876
1125201,2023-09-26T18:30:00+00:00,FT,Regular Season - 7,Spezia,515,Brescia,518,0,0,True,2758
1063065,2023-09-26T18:30:00+00:00,FT,Regular Season - 7,Venezia,517,Palermo,522,1,3,True,948
1063063,2023-09-26T18:30:00+00:00,FT,Regular Season - 7,Reggiana,880,Pisa,801,0,0,True,935
1063064,2023-09-26T18:30:00+00:00,FT,Regular Season - 7,Sudtirol,1578,Modena,899,0,0,True,940
1063062,2023-09-27T18:30:00+00:00,FT,Regular Season - 7,Parma,523,Bari,508,2,1,True,921
1063059,2023-09-27T18:30:00+00:00,FT,Regular Season - 7,Como,895,Sampdoria,498,1,0,True,892
1063058,2023-09-27T18:30:00+00:00,FT,Regular Season - 7,Catanzaro,1687,Cittadella,510,1,1,True,888
1125202,2023-09-30T12:00:00+00:00,FT,Regular Season - 8,Brescia,518,Ascoli,507,1,1,True,882
1063072,2023-09-30T12:00:00+00:00,FT,Regular Season - 8,Pisa,801,Cosenza,10137,1,2,True,925
1063069,2023-09-30T12:00:00+00:00,FT,Regular Season - 8,Feralpisalo,884,Spezia,515,1,2,True,924
1063070,2023-09-30T12:00:00+00:00,FT,Regular Season - 8,Modena,899,Venezia,517,1,3,True,2771
1063074,2023-09-30T14:15:00+00:00,FT,Regular Season - 8,Ternana,516,Reggiana,880,3,0,True,942
1063073,2023-10-01T14:15:00+00:00,FT,Regular Season - 8,Sampdoria,498,Catanzaro,1687,1,2,True,905
1063066,2023-10-01T14:15:00+00:00,FT,Regular Season - 8,Bari,508,Como,895,1,1,True,2763
1063067,2023-10-01T14:15:00+00:00,FT,Regular Season - 8,Cittadella,510,Lecco,6379,2,1,True,891
1063071,2023-10-01T14:15:00+00:00,FT,Regular Season - 8,Palermo,522,Sudtirol,1578,2,1,True,920
1063068,2023-10-01T16:30:00+00:00,FT,Regular Season - 8,Cremonese,520,Parma,523,1,2,True,894
1125203,2023-10-06T18:30:00+00:00,FT,Regular Season - 9,Brescia,518,Feralpisalo,884,1,1,True,882
1063080,2023-10-07T12:00:00+00:00,FT,Regular Season - 9,Reggiana,880,Bari,508,1,1,True,935
1063079,2023-10-07T12:00:00+00:00,FT,Regular Season - 9,Modena,899,Palermo,522,0,2,True,2771
1063082,2023-10-07T12:00:00+00:00,FT,Regular Season - 9,Sudtirol,1578,Catanzaro,1687,0,1,True,940
1063078,2023-10-07T12:00:00+00:00,FT,Regular Season - 9,Cosenza,10137,Lecco,6379,3,0,True,893
1063075,2023-10-07T14:15:00+00:00,FT,Regular Season - 9,Ascoli,507,Sampdoria,498,1,1,True,876
1063076,2023-10-07T14:15:00+00:00,FT,Regular Season - 9,Cittadella,510,Ternana,516,2,2,True,891
1063083,2023-10-07T14:15:00+00:00,FT,Regular Season - 9,Venezia,517,Parma,523,3,2,True,948
1063081,2023-10-08T14:15:00+00:00,FT,Regular Season - 9,Spezia,515,Pisa,801,0,0,True,2758
1063077,2023-10-08T14:15:00+00:00,FT,Regular Season - 9,Como,895,Cremonese,520,1,3,True,892
1063089,2023-10-20T18:30:00+00:00,FT,Regular Season - 10,Parma,523,Como,895,2,1,True,921
1063084,2023-10-21T12:00:00+00:00,FT,Regular Season - 10,Bari,508,Modena,899,1,1,True,2763
1125204,2023-10-21T12:00:00+00:00,FT,Regular Season - 10,Ternana,516,Brescia,518,0,1,True,942
1063086,2023-10-21T12:00:00+00:00,FT,Regular Season - 10,Cremonese,520,Sudtirol,1578,0,1,True,894
1063090,2023-10-21T12:00:00+00:00,FT,Regular Season - 10,Pisa,801,Cittadella,510,2,1,True,925
1063087,2023-10-21T12:00:00+00:00,FT,Regular Season - 10,Lecco,6379,Ascoli,507,0,2,True,4705
1063085,2023-10-21T14:15:00+00:00,FT,Regular Season - 10,Catanzaro,1687,Feralpisalo,884,3,0,True,888
1063092,2023-10-22T14:15:00+00:00,FT,Regular Season - 10,Sampdoria,498,Cosenza,10137,2,0,True,905
1063091,2023-10-22T16:30:00+00:00,FT,Regular Season - 10,Reggiana,880,Venezia,517,1,0,True,935
1063088,2023-10-23T18:30:00+00:00,FT,Regular Season - 10,Palermo,522,Spezia,515,2,2,True,920
1125195,2023-10-24T16:30:00+00:00,FT,Regular Season - 1,Brescia,518,Modena,899,0,1,True,882
1063008,2023-10-24T16:30:00+00:00,FT,Regular Season - 1,Pisa,801,Lecco,6379,1,2,True,925
1063094,2023-10-27T18:30:00+00:00,FT,Regular Season - 11,Cittadella,510,Cremonese,520,1,2,True,891
1063099,2023-10-28T12:00:00+00:00,FT,Regular Season - 11,Spezia,515,Cosenza,10137,0,0,True,939
1063096,2023-10-28T12:00:00+00:00,FT,Regular Season - 11,Feralpisalo,884,Reggiana,880,0,3,True,924
1063095,2023-10-28T12:00:00+00:00,FT,Regular Season - 11,Como,895,Catanzaro,1687,1,0,True,892
1063100,2023-10-28T12:00:00+00:00,FT,Regular Season - 11,Sudtirol,1578,Sampdoria,498,3,1,True,940
1063093,2023-10-28T14:15:00+00:00,FT,Regular Season - 11,Ascoli,507,Parma,523,1,3,True,876
1063101,2023-10-29T15:15:00+00:00,FT,Regular Season - 11,Venezia,517,Pisa,801,2,1,True,948
1125205,2023-10-29T15:15:00+00:00,FT,Regular Season - 11,Brescia,518,Bari,508,1,2,True,882
1063098,2023-10-29T15:15:00+00:00,FT,Regular Season - 11,Palermo,522,Lecco,6379,1,2,True,920
1063097,2023-10-29T15:15:00+00:00,FT,Regular Season - 11,Modena,899,Ternana,516,2,1,True,2771
1063102,2023-11-04T13:00:00+00:00,FT,Regular Season - 12,Bari,508,Ascoli,507,1,0,True,2763
1125206,2023-11-04T13:00:00+00:00,FT,Regular Season - 12,Cittadella,510,Brescia,518,3,2,True,891
1063110,2023-11-04T13:00:00+00:00,FT,Regular Season - 12,Ternana,516,Venezia,517,0,1,True,942
1063107,2023-11-04T13:00:00+00:00,FT,Regular Season - 12,Pisa,801,Como,895,1,1,True,925
1063103,2023-11-04T13:00:00+00:00,FT,Regular Season - 12,Catanzaro,1687,Modena,899,1,2,True,888
1063104,2023-11-04T13:00:00+00:00,FT,Regular Season - 12,Cosenza,10137,Feralpisalo,884,1,1,True,893
1063109,2023-11-04T15:15:00+00:00,FT,Regular Season - 12,Sampdoria,498,Palermo,522,1,0,True,905
1063105,2023-11-05T15:15:00+00:00,FT,Regular Season - 12,Cremonese,520,Spezia,515,3,0,True,894
1063106,2023-11-05T15:15:00+00:00,FT,Regular Season - 12,Parma,523,Sudtirol,1578,2,0,True,921
1063108,2023-11-05T15:15:00+00:00,FT,Regular Season - 12,Reggiana,880,Lecco,6379,1,1,True,935
1125196,2023-11-08T17:30:00+00:00,FT,Regular Season - 2,Palermo,522,Brescia,518,1,0,True,920
1063016,2023-11-08T17:30:00+00:00,FT,Regular Season - 2,Lecco,6379,Spezia,515,0,0,True,4705
1063119,2023-11-10T19:30:00+00:00,FT,Regular Season - 13,Venezia,517,Catanzaro,1687,2,1,True,948
