fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1250103,2024-08-23T18:00:00+00:00,FT,Girone B - 1,Spal,493,Ascoli,507,2,2,True,938
1250104,2024-08-23T18:45:00+00:00,FT,Girone B - 1,Ternana,516,Pescara,525,1,2,True,942
1250102,2024-08-23T18:45:00+00:00,FT,Girone B - 1,Pineto,9514,Lucchese,889,0,0,True,6610
1250101,2024-08-24T16:00:00+00:00,FT,Girone B - 1,Pianese,6381,Perugia,524,3,3,True,12423
1250100,2024-08-24T16:00:00+00:00,FT,Girone B - 1,Legnago Salus,9472,Pontedera,1591,2,3,True,6567
1250099,2024-08-25T16:00:00+00:00,FT,Girone B - 1,Gubbio,866,Sestri Levante,17815,1,0,True,906
1250106,2024-08-25T18:45:00+00:00,FT,Girone B - 1,Virtus Entella,527,Milan II,24205,1,0,True,872
1250097,2024-08-25T18:45:00+00:00,FT,Girone B - 1,Arezzo,876,Campobasso FC,9510,1,0,True,875
1250105,2024-08-26T18:45:00+00:00,FT,Girone B - 1,Torres,9534,Vis Pesaro,1708,3,0,True,6630
1250098,2024-08-26T18:45:00+00:00,FT,Girone B - 1,Athletic Carpi,17825,Rimini,1709,2,2,True,884
1250111,2024-08-30T18:45:00+00:00,FT,Girone B - 2,Perugia,524,Spal,493,3,0,True,922
1250109,2024-08-30T18:45:00+00:00,FT,Girone B - 2,Lucchese,889,Gubbio,866,0,1,True,913
1250113,2024-08-30T18:45:00+00:00,FT,Girone B - 2,Pontedera,1591,Ternana,516,1,2,True,945
1250108,2024-08-31T16:00:00+00:00,FT,Girone B - 2,Campobasso FC,9510,Legnago Salus,9472,2,0,True,20850
1250114,2024-08-31T18:45:00+00:00,FT,Girone B - 2,Rimini,1709,Virtus Entella,527,1,2,True,932
1250115,2024-08-31T18:45:00+00:00,FT,Girone B - 2,Sestri Levante,17815,Pineto,9514,0,0,True,12413
1250110,2024-09-01T16:00:00+00:00,FT,Girone B - 2,Milan II,24205,Athletic Carpi,17825,1,1,True,929
1250112,2024-09-01T18:45:00+00:00,FT,Girone B - 2,Pescara,525,Torres,9534,2,2,True,923
1250107,2024-09-02T18:45:00+00:00,FT,Girone B - 2,Ascoli,507,Pianese,6381,1,0,True,876
1250116,2024-09-02T18:45:00+00:00,FT,Girone B - 2,Vis Pesaro,1708,Arezzo,876,3,0,True,950
1250118,2024-09-07T18:45:00+00:00,FT,Girone B - 3,Gubbio,866,Ternana,516,0,0,True,906
1250123,2024-09-07T18:45:00+00:00,FT,Girone B - 3,Rimini,1709,Pescara,525,0,1,True,932
1250121,2024-09-07T18:45:00+00:00,FT,Girone B - 3,Pineto,9514,Arezzo,876,3,1,True,6610
1250120,2024-09-08T14:15:00+00:00,FT,Girone B - 3,Pianese,6381,Campobasso FC,9510,2,0,True,12423
1250124,2024-09-08T16:30:00+00:00,FT,Girone B - 3,Spal,493,Lucchese,889,2,3,True,938
1250122,2024-09-08T16:30:00+00:00,FT,Girone B - 3,Pontedera,1591,Sestri Levante,17815,4,1,True,945
1250119,2024-09-08T16:30:00+00:00,FT,Girone B - 3,Legnago Salus,9472,Vis Pesaro,1708,0,1,True,6567
1250117,2024-09-08T16:30:00+00:00,FT,Girone B - 3,Athletic Carpi,17825,Perugia,524,2,0,True,884
1250126,2024-09-09T19:15:00+00:00,FT,Girone B - 3,Virtus Entella,527,Ascoli,507,2,1,True,872
1250135,2024-09-13T18:45:00+00:00,FT,Girone B - 4,Virtus Entella,527,Athletic Carpi,17825,1,1,True,872
1250127,2024-09-13T18:45:00+00:00,FT,Girone B - 4,Arezzo,876,Legnago Salus,9472,1,0,True,875
1250136,2024-09-14T16:30:00+00:00,FT,Girone B - 4,Vis Pesaro,1708,Pontedera,1591,2,0,True,950
1250130,2024-09-14T16:30:00+00:00,FT,Girone B - 4,Milan II,24205,Ascoli,507,0,2,True,
1250128,2024-09-14T18:45:00+00:00,FT,Girone B - 4,Campobasso FC,9510,Torres,9534,0,1,True,20850
1250133,2024-09-14T18:45:00+00:00,FT,Girone B - 4,Sestri Levante,17815,Spal,493,1,3,True,885
1250134,2024-09-15T18:45:00+00:00,FT,Girone B - 4,Ternana,516,Pineto,9514,3,0,True,942
1250131,2024-09-15T18:45:00+00:00,FT,Girone B - 4,Perugia,524,Gubbio,866,1,1,True,922
1250132,2024-09-16T18:45:00+00:00,FT,Girone B - 4,Pescara,525,Pianese,6381,2,1,True,923
1250129,2024-09-16T18:45:00+00:00,FT,Girone B - 4,Lucchese,889,Rimini,1709,2,2,True,913
1250125,2024-09-18T18:45:00+00:00,FT,Girone B - 3,Torres,9534,Milan II,24205,0,0,True,6630
1250138,2024-09-20T18:45:00+00:00,FT,Girone B - 5,Gubbio,866,Campobasso FC,9510,0,0,True,906
1250146,2024-09-20T18:45:00+00:00,FT,Girone B - 5,Vis Pesaro,1708,Ternana,516,0,2,True,950
1250139,2024-09-21T14:15:00+00:00,FT,Girone B - 5,Legnago Salus,9472,Sestri Levante,17815,0,3,True,6567
1250142,2024-09-21T18:45:00+00:00,FT,Girone B - 5,Pontedera,1591,Arezzo,876,0,1,True,945
1250145,2024-09-21T18:45:00+00:00,FT,Girone B - 5,Torres,9534,Pineto,9514,1,1,True,6630
1250137,2024-09-22T16:30:00+00:00,FT,Girone B - 5,Ascoli,507,Lucchese,889,1,2,True,876
1250141,2024-09-22T16:30:00+00:00,FT,Girone B - 5,Pianese,6381,Virtus Entella,527,1,1,True,12423
1250140,2024-09-23T18:30:00+00:00,FT,Girone B - 5,Pescara,525,Perugia,524,0,0,True,923
1250144,2024-09-23T18:45:00+00:00,FT,Girone B - 5,Spal,493,Athletic Carpi,17825,2,1,True,938
1250143,2024-09-23T18:45:00+00:00,FT,Girone B - 5,Rimini,1709,Milan II,24205,1,0,True,932
1250147,2024-09-24T18:45:00+00:00,FT,Girone B - 6,Arezzo,876,Gubbio,866,2,0,True,875
1250154,2024-09-24T18:45:00+00:00,FT,Girone B - 6,Sestri Levante,17815,Torres,9534,1,2,True,885
1250155,2024-09-25T16:30:00+00:00,FT,Girone B - 6,Ternana,516,Legnago Salus,9472,8,0,True,942
1250150,2024-09-25T16:30:00+00:00,FT,Girone B - 6,Lucchese,889,Pianese,6381,3,3,True,913
1250153,2024-09-26T16:30:00+00:00,FT,Girone B - 6,Pineto,9514,Pontedera,1591,1,1,True,6610
1250149,2024-09-26T16:30:00+00:00,FT,Girone B - 6,Athletic Carpi,17825,Ascoli,507,2,2,True,884
1250151,2024-09-26T16:30:00+00:00,FT,Girone B - 6,Milan II,24205,Spal,493,2,1,True,
1250152,2024-09-26T18:45:00+00:00,FT,Girone B - 6,Perugia,524,Rimini,1709,1,4,True,922
1250156,2024-09-26T18:45:00+00:00,FT,Girone B - 6,Virtus Entella,527,Pescara,525,0,1,True,872
1250148,2024-09-26T18:45:00+00:00,FT,Girone B - 6,Campobasso FC,9510,Vis Pesaro,1708,3,2,True,20850
1250159,2024-09-28T18:45:00+00:00,FT,Girone B - 7,Gubbio,866,Torres,9534,1,2,True,906
1250157,2024-09-29T12:00:00+00:00,FT,Girone B - 7,Arezzo,876,Ternana,516,1,2,True,875
1250160,2024-09-29T12:00:00+00:00,FT,Girone B - 7,Legnago Salus,9472,Pineto,9514,2,1,True,6567
1250158,2024-09-29T14:15:00+00:00,FT,Girone B - 7,Ascoli,507,Rimini,1709,0,1,True,876
1250163,2024-09-29T14:15:00+00:00,FT,Girone B - 7,Pianese,6381,Sestri Levante,17815,0,1,True,12423
1250165,2024-09-29T16:30:00+00:00,FT,Girone B - 7,Spal,493,Virtus Entella,527,0,2,True,938
1250164,2024-09-29T16:30:00+00:00,FT,Girone B - 7,Pontedera,1591,Campobasso FC,9510,1,2,True,945
1250162,2024-09-30T18:45:00+00:00,FT,Girone B - 7,Pescara,525,Athletic Carpi,17825,2,1,True,923
1250161,2024-09-30T18:45:00+00:00,FT,Girone B - 7,Lucchese,889,Milan II,24205,1,1,True,913
1250166,2024-09-30T18:45:00+00:00,FT,Girone B - 7,Vis Pesaro,1708,Perugia,524,0,0,True,950
1250172,2024-10-04T18:30:00+00:00,FT,Girone B - 8,Rimini,1709,Spal,493,0,1,True,932
1250173,2024-10-05T13:00:00+00:00,FT,Girone B - 8,Sestri Levante,17815,Vis Pesaro,1708,1,1,True,885
