fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1453996,2025-09-06T13:00:00+00:00,FT,Group B - 1,Chievo,491,Scanzorosciate,9457,2,1,True,21177
1454001,2025-09-07T13:00:00+00:00,FT,Group B - 1,Folgore Caratese,9450,Varesina,18177,2,1,True,
1454003,2025-09-07T13:00:00+00:00,FT,Group B - 1,Sondrio,9458,Brusaporto,9445,1,2,True,6552
1454002,2025-09-07T13:00:00+00:00,FT,Group B - 1,Virtus Ciserano Bergamo,9462,USD Casatese,17563,1,1,True,6556
1453998,2025-09-07T13:00:00+00:00,FT,Group B - 1,Caldiero Terme,9465,Pavia,26512,3,0,True,
1453997,2025-09-07T13:00:00+00:00,FT,Group B - 1,Breno,9481,Castellanzese,9448,0,0,True,6577
1454000,2025-09-07T13:00:00+00:00,FT,Group B - 1,Real Calepina,17140,Villa Valle,9460,1,3,True,12053
1453999,2025-09-07T13:00:00+00:00,FT,Group B - 1,Oltrepò,24695,Vogherese,22320,1,0,True,
1454004,2025-09-13T13:00:00+00:00,FT,Group B - 2,Leon Monza e Brianza,17904,Virtus Ciserano Bergamo,9462,1,1,True,
1454009,2025-09-14T13:00:00+00:00,FT,Group B - 2,Brusaporto,9445,Real Calepina,17140,0,3,True,6556
1454010,2025-09-14T13:00:00+00:00,FT,Group B - 2,Castellanzese,9448,Caldiero Terme,9465,0,0,True,12414
1454006,2025-09-14T13:00:00+00:00,FT,Group B - 2,Scanzorosciate,9457,Sondrio,9458,1,0,True,6551
1454005,2025-09-14T13:00:00+00:00,FT,Group B - 2,Villa Valle,9460,Folgore Caratese,9450,1,2,True,6554
1454007,2025-09-14T13:00:00+00:00,FT,Group B - 2,USD Casatese,17563,Chievo,491,1,3,True,
1454012,2025-09-14T13:00:00+00:00,FT,Group B - 2,Varesina,18177,Oltrepò,24695,2,3,True,12637
1454011,2025-09-14T13:00:00+00:00,FT,Group B - 2,Vogherese,22320,Breno,9481,0,0,True,20272
1454008,2025-09-14T13:00:00+00:00,FT,Group B - 2,Pavia,26512,Milan II,24205,1,2,True,
1454013,2025-09-17T13:00:00+00:00,FT,Group B - 1,Milan II,24205,Leon Monza e Brianza,17904,2,2,True,
1454022,2025-09-20T13:00:00+00:00,FT,Group B - 3,Virtus Ciserano Bergamo,9462,Scanzorosciate,9457,2,0,True,6556
1454021,2025-09-20T13:00:00+00:00,FT,Group B - 3,Caldiero Terme,9465,USD Casatese,17563,1,1,True,
1454018,2025-09-21T13:00:00+00:00,FT,Group B - 3,Folgore Caratese,9450,Castellanzese,9448,2,1,True,
1454014,2025-09-21T13:00:00+00:00,FT,Group B - 3,Sondrio,9458,Varesina,18177,0,2,True,6552
1454020,2025-09-21T13:00:00+00:00,FT,Group B - 3,Breno,9481,Leon Monza e Brianza,17904,2,2,True,6577
1454016,2025-09-21T13:00:00+00:00,FT,Group B - 3,Real Calepina,17140,Vogherese,22320,2,2,True,12053
1454019,2025-09-21T13:00:00+00:00,FT,Group B - 3,Milan II,24205,Chievo,491,3,2,True,
1454015,2025-09-21T13:00:00+00:00,FT,Group B - 3,Oltrepò,24695,Pavia,26512,0,1,True,
1454023,2025-09-24T13:00:00+00:00,FT,Group B - 4,Castellanzese,9448,Oltrepò,24695,2,2,True,12414
1454031,2025-09-24T13:00:00+00:00,FT,Group B - 4,Scanzorosciate,9457,Brusaporto,9445,0,3,True,
1454025,2025-09-24T13:00:00+00:00,FT,Group B - 4,Villa Valle,9460,Sondrio,9458,3,0,True,6554
1454024,2025-09-24T13:00:00+00:00,FT,Group B - 4,Leon Monza e Brianza,17904,Caldiero Terme,9465,0,0,True,
1454029,2025-09-24T13:00:00+00:00,FT,Group B - 4,Varesina,18177,Real Calepina,17140,0,2,True,12637
1454030,2025-09-24T13:00:00+00:00,FT,Group B - 4,Vogherese,22320,Folgore Caratese,9450,0,1,True,20272
