fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1291429,2024-09-08T13:00:00+00:00,FT,Group D - 1,Ravenna,1705,Prato,1680,1,2,True,931
1291425,2024-09-08T13:00:00+00:00,FT,Group D - 1,Fiorenzuola,9485,Pistoiese,1589,1,1,True,6580
1291427,2024-09-08T13:00:00+00:00,FT,Group D - 1,Lentigione,9487,Tuttocuoio,1686,1,0,True,6582
1291428,2024-09-08T13:00:00+00:00,FT,Group D - 1,Progresso,13168,ASD Sasso Marconi,17823,1,3,True,18540
1291424,2024-09-08T13:00:00+00:00,FT,Group D - 1,Corticella,19972,Imolese,893,2,3,True,19054
1291430,2024-09-08T13:00:00+00:00,FT,Group D - 1,Tau Altopascio,19986,Victor San Marino,22124,4,1,True,20201
1291423,2024-09-08T13:00:00+00:00,FT,Group D - 1,Cittadella Vis Modena,24686,Piacenza,872,2,1,True,2771
1291431,2024-09-08T13:00:00+00:00,FT,Group D - 1,Zenith Prato,24704,United Riccione,20111,0,1,True,20254
1291426,2024-09-08T14:00:00+00:00,FT,Group D - 1,Forli,1688,Sammaurese,9489,0,0,True,6575
1291432,2024-09-14T18:45:00+00:00,FT,Group D - 2,Imolese,893,Tau Altopascio,19986,2,3,True,1803
1291433,2024-09-15T13:00:00+00:00,FT,Group D - 2,Piacenza,872,Corticella,19972,2,0,True,924
1291434,2024-09-15T13:00:00+00:00,FT,Group D - 2,Pistoiese,1589,Cittadella Vis Modena,24686,1,2,True,926
1291435,2024-09-15T13:00:00+00:00,FT,Group D - 2,Prato,1680,Lentigione,9487,0,0,True,20254
1291439,2024-09-15T13:00:00+00:00,FT,Group D - 2,Tuttocuoio,1686,Progresso,13168,1,0,True,6589
1291436,2024-09-15T13:00:00+00:00,FT,Group D - 2,Sammaurese,9489,Ravenna,1705,0,3,True,6584
1291438,2024-09-15T13:00:00+00:00,FT,Group D - 2,ASD Sasso Marconi,17823,Fiorenzuola,9485,0,1,True,22408
1291440,2024-09-15T13:00:00+00:00,FT,Group D - 2,United Riccione,20111,Forli,1688,1,2,True,6604
1291437,2024-09-15T13:00:00+00:00,FT,Group D - 2,Victor San Marino,22124,Zenith Prato,24704,2,2,True,4011
1291449,2024-09-22T12:30:00+00:00,FT,Group D - 3,Zenith Prato,24704,Forli,1688,0,3,True,
1291446,2024-09-22T13:00:00+00:00,FT,Group D - 3,Ravenna,1705,Tuttocuoio,1686,2,1,True,931
1291443,2024-09-22T13:00:00+00:00,FT,Group D - 3,Fiorenzuola,9485,Piacenza,872,0,1,True,6580
