fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1175990,2024-03-01T12:00:00+00:00,CANC,Regular Season - 1,Zhetysu,4560,FK Aksu,10416,,,False,3447
1175995,2024-03-05T09:30:00+00:00,CANC,Regular Season - 2,FK Aksu,10416,Aktobe,4563,,,False,3452
1176004,2024-03-30T13:00:00+00:00,CANC,Regular Season - 3,FK Aksu,10416,Kaisar,4562,,,False,3452
1176013,2024-04-07T09:00:00+00:00,CANC,Regular Season - 4,FK Tobol Kostanay,2259,FK Aksu,10416,,,False,991
1176020,2024-04-21T09:00:00+00:00,CANC,Regular Season - 5,FK Aksu,10416,Yelimay Semey,21011,,,False,3452
1176028,2024-04-28T11:30:00+00:00,CANC,Regular Season - 6,Shakhter Karagandy,4566,FK Aksu,10416,,,False,3453
1176034,2024-05-04T00:00:00+00:00,CANC,Regular Season - 7,FK Aksu,10416,Ordabasy,692,,,False,3452
1176040,2024-05-11T00:00:00+00:00,CANC,Regular Season - 8,Atyrau,4564,FK Aksu,10416,,,False,3451
1176047,2024-05-18T00:00:00+00:00,CANC,Regular Season - 9,FK Aksu,10416,Turan Turkistan,21502,,,False,3452
1176052,2024-06-01T00:00:00+00:00,CANC,Regular Season - 10,FC Astana,562,FK Aksu,10416,,,False,989
1176061,2024-06-15T00:00:00+00:00,CANC,Regular Season - 11,FK Aksu,10416,Kyzyl-Zhar,4554,,,False,3452
1176066,2024-06-22T00:00:00+00:00,CANC,Regular Season - 12,Kairat Almaty,664,FK Aksu,10416,,,False,990
1176078,2024-06-29T00:00:00+00:00,CANC,Regular Season - 13,Zhenys,16611,FK Aksu,10416,,,False,3453
1176084,2024-07-13T00:00:00+00:00,CANC,Regular Season - 14,FK Aksu,10416,FC Astana,562,,,False,3452
1176088,2024-07-20T00:00:00+00:00,CANC,Regular Season - 15,FK Aksu,10416,Atyrau,4564,,,False,3452
1176093,2024-08-03T00:00:00+00:00,CANC,Regular Season - 16,Ordabasy,692,FK Aksu,10416,,,False,3203
1176103,2024-08-17T00:00:00+00:00,CANC,Regular Season - 17,FK Aksu,10416,Zhenys,16611,,,False,3452
1176112,2024-08-24T00:00:00+00:00,CANC,Regular Season - 18,Turan Turkistan,21502,FK Aksu,10416,,,False,3203
1176116,2024-08-31T00:00:00+00:00,CANC,Regular Season - 19,Kyzyl-Zhar,4554,FK Aksu,10416,,,False,3444
1176124,2024-09-14T00:00:00+00:00,CANC,Regular Season - 20,FK Aksu,10416,Kairat Almaty,664,,,False,3452
1176132,2024-09-21T00:00:00+00:00,CANC,Regular Season - 21,FK Aksu,10416,Zhetysu,4560,,,False,3452
1176138,2024-10-05T00:00:00+00:00,CANC,Regular Season - 22,Kaisar,4562,FK Aksu,10416,,,False,3440
1176142,2024-10-19T00:00:00+00:00,CANC,Regular Season - 23,Aktobe,4563,FK Aksu,10416,,,False,3450
1176152,2024-10-26T00:00:00+00:00,CANC,Regular Season - 24,FK Aksu,10416,FK Tobol Kostanay,2259,,,False,3452
1176161,2024-11-02T00:00:00+00:00,CANC,Regular Season - 25,Yelimay Semey,21011,FK Aksu,10416,,,False,3436
1176168,2024-11-09T00:00:00+00:00,CANC,Regular Season - 26,FK Aksu,10416,Shakhter Karagandy,4566,,,False,3452
1175988,2024-03-01T09:30:00+00:00,FT,Regular Season - 1,FC Astana,562,Zhenys,16611,2,0,True,989
1175989,2024-03-01T12:00:00+00:00,FT,Regular Season - 1,Kaisar,4562,Aktobe,4563,1,3,True,3440
1175991,2024-03-02T09:00:00+00:00,FT,Regular Season - 1,Kairat Almaty,664,Kyzyl-Zhar,4554,2,1,True,990
1175992,2024-03-02T09:00:00+00:00,FT,Regular Season - 1,Yelimay Semey,21011,Atyrau,4564,0,0,True,3452
1175993,2024-03-02T11:30:00+00:00,FT,Regular Season - 1,Ordabasy,692,Shakhter Karagandy,4566,5,0,True,3203
1175994,2024-03-02T14:00:00+00:00,FT,Regular Season - 1,FK Tobol Kostanay,2259,Turan Turkistan,21502,2,0,True,991
1175996,2024-03-05T12:00:00+00:00,FT,Regular Season - 2,Zhetysu,4560,FC Astana,562,0,2,True,3447
1175997,2024-03-06T09:30:00+00:00,FT,Regular Season - 2,Kaisar,4562,Kyzyl-Zhar,4554,0,3,True,3440
1175998,2024-03-06T12:00:00+00:00,FT,Regular Season - 2,Atyrau,4564,Ordabasy,692,1,1,True,3451
1175999,2024-03-06T14:30:00+00:00,FT,Regular Season - 2,FK Tobol Kostanay,2259,Yelimay Semey,21011,4,2,True,991
1176000,2024-03-07T09:30:00+00:00,FT,Regular Season - 2,Zhenys,16611,Shakhter Karagandy,4566,1,0,True,3452
1176001,2024-03-07T12:00:00+00:00,FT,Regular Season - 2,Turan Turkistan,21502,Kairat Almaty,664,0,0,True,7582
1176002,2024-03-30T09:00:00+00:00,FT,Regular Season - 3,Shakhter Karagandy,4566,Turan Turkistan,21502,0,2,True,3453
1176003,2024-03-30T11:30:00+00:00,FT,Regular Season - 3,Atyrau,4564,Zhetysu,4560,0,1,True,3451
1176005,2024-03-31T09:00:00+00:00,FT,Regular Season - 3,Kyzyl-Zhar,4554,FK Tobol Kostanay,2259,0,0,True,3444
1176006,2024-03-31T09:00:00+00:00,FT,Regular Season - 3,Aktobe,4563,Zhenys,16611,3,0,True,3450
1176007,2024-03-31T11:30:00+00:00,FT,Regular Season - 3,FC Astana,562,Yelimay Semey,21011,0,1,True,989
1176008,2024-03-31T14:00:00+00:00,FT,Regular Season - 3,Ordabasy,692,Kairat Almaty,664,1,2,True,3203
1176009,2024-04-06T09:00:00+00:00,FT,Regular Season - 4,Kyzyl-Zhar,4554,Zhenys,16611,4,0,True,3444
1176010,2024-04-06T11:30:00+00:00,FT,Regular Season - 4,Yelimay Semey,21011,Kaisar,4562,1,0,True,3436
1176011,2024-04-06T14:00:00+00:00,FT,Regular Season - 4,Kairat Almaty,664,Zhetysu,4560,0,0,True,990
1176012,2024-04-07T09:00:00+00:00,FT,Regular Season - 4,Aktobe,4563,Atyrau,4564,1,1,True,3450
1176014,2024-04-07T11:30:00+00:00,FT,Regular Season - 4,Shakhter Karagandy,4566,FC Astana,562,1,0,True,3453
1176015,2024-04-07T14:00:00+00:00,FT,Regular Season - 4,Turan Turkistan,21502,Ordabasy,692,0,1,True,3203
1176017,2024-04-20T09:00:00+00:00,FT,Regular Season - 5,Kaisar,4562,Atyrau,4564,1,1,True,3440
1176016,2024-04-20T09:00:00+00:00,FT,Regular Season - 5,Zhenys,16611,Turan Turkistan,21502,1,0,True,3453
1176018,2024-04-20T11:30:00+00:00,FT,Regular Season - 5,Ordabasy,692,Kyzyl-Zhar,4554,1,1,True,3203
1176019,2024-04-20T14:00:00+00:00,FT,Regular Season - 5,Kairat Almaty,664,Aktobe,4563,1,3,True,990
1176021,2024-04-21T11:30:00+00:00,FT,Regular Season - 5,FC Astana,562,FK Tobol Kostanay,2259,2,2,True,989
1176022,2024-04-21T14:00:00+00:00,FT,Regular Season - 5,Zhetysu,4560,Shakhter Karagandy,4566,1,0,True,3447
1176023,2024-04-27T09:00:00+00:00,FT,Regular Season - 6,FK Tobol Kostanay,2259,Zhenys,16611,1,1,True,991
1176025,2024-04-27T11:30:00+00:00,FT,Regular Season - 6,Atyrau,4564,Kyzyl-Zhar,4554,2,0,True,3451
1176024,2024-04-27T11:30:00+00:00,FT,Regular Season - 6,Turan Turkistan,21502,FC Astana,562,0,2,True,3203
1176026,2024-04-27T14:00:00+00:00,FT,Regular Season - 6,Kaisar,4562,Kairat Almaty,664,1,0,True,3440
1176027,2024-04-28T09:00:00+00:00,FT,Regular Season - 6,Yelimay Semey,21011,Ordabasy,692,1,1,True,3436
1176029,2024-04-28T11:30:00+00:00,FT,Regular Season - 6,Zhetysu,4560,Aktobe,4563,2,1,True,3447
1176032,2024-05-04T09:00:00+00:00,FT,Regular Season - 7,Kyzyl-Zhar,4554,Turan Turkistan,21502,0,1,True,3444
1176036,2024-05-04T09:00:00+00:00,FT,Regular Season - 7,Zhenys,16611,Yelimay Semey,21011,1,2,True,3453
1176031,2024-05-04T11:30:00+00:00,FT,Regular Season - 7,Kairat Almaty,664,Atyrau,4564,1,0,True,990
1176033,2024-05-04T11:30:00+00:00,FT,Regular Season - 7,FK Tobol Kostanay,2259,Zhetysu,4560,1,0,True,991
1176030,2024-05-04T14:00:00+00:00,FT,Regular Season - 7,Aktobe,4563,FC Astana,562,1,1,True,3450
1176035,2024-05-05T14:00:00+00:00,FT,Regular Season - 7,Shakhter Karagandy,4566,Kaisar,4562,0,0,True,3453
1176042,2024-05-11T12:00:00+00:00,FT,Regular Season - 8,Turan Turkistan,21502,Zhetysu,4560,2,3,True,3203
1176039,2024-05-12T12:00:00+00:00,FT,Regular Season - 8,Kyzyl-Zhar,4554,Aktobe,4563,0,2,True,3444
1176041,2024-05-12T12:00:00+00:00,FT,Regular Season - 8,Yelimay Semey,21011,Shakhter Karagandy,4566,2,1,True,3436
1176038,2024-05-12T14:00:00+00:00,FT,Regular Season - 8,FC Astana,562,Kaisar,4562,1,1,True,989
1176043,2024-05-12T14:00:00+00:00,FT,Regular Season - 8,Zhenys,16611,Kairat Almaty,664,0,2,True,3453
1176037,2024-05-12T16:00:00+00:00,FT,Regular Season - 8,Ordabasy,692,FK Tobol Kostanay,2259,1,0,True,3203
1176046,2024-05-18T12:00:00+00:00,FT,Regular Season - 9,Atyrau,4564,FC Astana,562,1,0,True,3451
1176044,2024-05-18T14:00:00+00:00,FT,Regular Season - 9,Aktobe,4563,Ordabasy,692,0,0,True,3450
1176045,2024-05-18T16:00:00+00:00,FT,Regular Season - 9,Kaisar,4562,Zhenys,16611,1,0,True,3440
1176049,2024-05-19T12:00:00+00:00,FT,Regular Season - 9,Zhetysu,4560,Kyzyl-Zhar,4554,0,0,True,3447
1176048,2024-05-19T12:00:00+00:00,FT,Regular Season - 9,Shakhter Karagandy,4566,FK Tobol Kostanay,2259,1,0,True,3453
1176050,2024-05-19T16:00:00+00:00,FT,Regular Season - 9,Yelimay Semey,21011,Kairat Almaty,664,1,1,True,3436
1176055,2024-06-01T14:00:00+00:00,FT,Regular Season - 10,FK Tobol Kostanay,2259,Kaisar,4562,1,2,True,991
