fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
973362,2022-11-17T11:00:00+00:00,CANC,Round of 32,Vëllaznimi,15582,Prishtina,680,,,False,
973371,2022-11-17T11:00:00+00:00,FT,Round of 32,Trepça'89,3885,Kika,15574,3,0,True,2931
973365,2022-11-17T11:00:00+00:00,FT,Round of 32,Feronikeli,4132,2 Korriku,14398,4,1,True,3160
973368,2022-11-17T11:00:00+00:00,AET,Round of 32,Drenica Skënderaj,14392,Flamurtari,14397,2,2,False,11083
973363,2022-11-17T11:00:00+00:00,FT,Round of 32,Dukagjini,14393,Rilindja 1974,20689,2,0,True,12659
973361,2022-11-17T11:00:00+00:00,FT,Round of 32,Llapi,14395,Vllaznia Pozheran,15581,6,2,True,11084
973366,2022-11-17T11:00:00+00:00,FT,Round of 32,Vushtrria,14396,Drenasi,15571,1,0,True,
973370,2022-11-17T11:00:00+00:00,FT,Round of 32,A&N,14399,Rahoveci,18294,2,1,True,
973372,2022-11-17T11:00:00+00:00,FT,Round of 32,Trepça Mitrovicë,14403,Gjilani,12772,0,5,True,8128
973364,2022-11-17T11:00:00+00:00,AET,Round of 32,Prizreni,15578,Istogu,15572,2,0,False,20438
973374,2022-11-17T11:00:00+00:00,FT,Round of 32,Ramiz Sadiku,15579,Malisheva,15576,0,4,True,22690
973373,2022-11-17T11:00:00+00:00,FT,Round of 32,Fushë Kosova,18293,Arbëria,14400,4,1,True,22687
973369,2022-11-17T11:00:00+00:00,FT,Round of 32,Behari,20688,Ferizaj,14394,3,0,True,
973367,2022-11-17T11:00:00+00:00,FT,Round of 32,Vjosa,20690,Ulpiana,15580,1,0,True,12498
973375,2022-11-23T11:00:00+00:00,FT,Round of 32,Drita,14281,Liria Prizren,14402,1,2,True,8128
973376,2022-11-24T11:00:00+00:00,FT,Round of 32,Onix Banjë,15577,Ballkani,12733,1,3,True,
977789,2023-02-04T12:00:00+00:00,FT,Round of 16,Feronikeli,4132,Trepça'89,3885,1,0,True,
977788,2023-02-04T12:00:00+00:00,FT,Round of 16,Ballkani,12733,A&N,14399,2,0,True,8093
977785,2023-02-04T12:00:00+00:00,AET,Round of 16,Flamurtari,14397,Vushtrria,14396,1,1,False,9444
977790,2023-02-04T12:00:00+00:00,FT,Round of 16,Liria Prizren,14402,Llapi,14395,2,3,True,20438
977791,2023-02-05T12:00:00+00:00,FT,Round of 16,Gjilani,12772,Vjosa,20690,4,0,True,8128
977786,2023-02-05T12:00:00+00:00,FT,Round of 16,Malisheva,15576,Fushë Kosova,18293,2,0,True,12497
977792,2023-02-05T12:00:00+00:00,FT,Round of 16,Behari,20688,Prizreni,15578,3,1,True,
977787,2023-02-06T12:00:00+00:00,FT,Round of 16,Prishtina,680,Dukagjini,14393,3,1,True,19337
1011444,2023-03-15T12:00:00+00:00,FT,Quarter-finals,Prishtina,680,Ballkani,12733,2,0,True,19337
1011441,2023-03-15T12:00:00+00:00,FT,Quarter-finals,Trepça'89,3885,Gjilani,12772,1,5,True,2931
1011442,2023-03-15T12:00:00+00:00,AET,Quarter-finals,Llapi,14395,Malisheva,15576,2,2,False,11084
1011443,2023-03-15T12:00:00+00:00,FT,Quarter-finals,Vushtrria,14396,Behari,20688,1,0,True,
1017468,2023-04-05T13:00:00+00:00,FT,Semi-finals,Llapi,14395,Gjilani,12772,1,2,True,11084
1017466,2023-04-05T13:00:00+00:00,FT,Semi-finals,Vushtrria,14396,Prishtina,680,1,2,True,
1017467,2023-04-19T13:00:00+00:00,FT,Semi-finals,Prishtina,680,Vushtrria,14396,6,0,True,22563
1017469,2023-04-19T13:00:00+00:00,FT,Semi-finals,Gjilani,12772,Llapi,14395,1,0,True,8128
1026881,2023-06-05T16:00:00+00:00,FT,Finals,Gjilani,12772,Prishtina,680,0,2,True,22563
