fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1116675,2023-08-12T15:00:00+00:00,FT,Regular Season - 1,Prishtina,680,Feronikeli,4132,3,1,True,
1116673,2023-08-12T15:00:00+00:00,FT,Regular Season - 1,Dukagjini,14393,Malisheva,15576,0,1,True,12659
1116677,2023-08-13T15:00:00+00:00,FT,Regular Season - 1,Drita,14281,Llapi,14395,2,0,True,
1116676,2023-08-13T15:00:00+00:00,FT,Regular Season - 1,Liria Prizren,14402,Ballkani,12733,0,1,True,20438
1116680,2023-08-19T15:00:00+00:00,FT,Regular Season - 2,Liria Prizren,14402,Drita,14281,0,0,True,20438
1116679,2023-08-19T15:00:00+00:00,FT,Regular Season - 2,Malisheva,15576,Fushë Kosova,18293,6,1,True,8093
1116681,2023-08-20T15:00:00+00:00,FT,Regular Season - 2,Ballkani,12733,Feronikeli,4132,2,0,True,8093
1116682,2023-08-20T15:00:00+00:00,FT,Regular Season - 2,Llapi,14395,Dukagjini,14393,3,0,True,11084
1116678,2023-08-21T15:00:00+00:00,FT,Regular Season - 2,Gjilani,12772,Prishtina,680,0,0,True,20315
1116683,2023-08-26T14:00:00+00:00,FT,Regular Season - 3,Prishtina,680,Malisheva,15576,3,1,True,
1116684,2023-08-26T14:00:00+00:00,FT,Regular Season - 3,Feronikeli,4132,Gjilani,12772,1,0,True,3160
1116687,2023-08-27T14:00:00+00:00,FT,Regular Season - 3,Dukagjini,14393,Liria Prizren,14402,0,0,True,12659
1116686,2023-08-27T14:00:00+00:00,FT,Regular Season - 3,Fushë Kosova,18293,Llapi,14395,1,2,True,19337
1116689,2023-09-02T14:00:00+00:00,FT,Regular Season - 4,Liria Prizren,14402,Fushë Kosova,18293,2,1,True,20438
1116688,2023-09-02T14:00:00+00:00,FT,Regular Season - 4,Malisheva,15576,Feronikeli,4132,4,1,True,8093
1116691,2023-09-03T14:00:00+00:00,FT,Regular Season - 4,Ballkani,12733,Gjilani,12772,2,1,True,8093
1116692,2023-09-03T14:00:00+00:00,FT,Regular Season - 4,Drita,14281,Dukagjini,14393,2,2,True,
1116690,2023-09-03T14:00:00+00:00,FT,Regular Season - 4,Llapi,14395,Prishtina,680,0,0,True,11084
1116695,2023-09-16T13:00:00+00:00,FT,Regular Season - 5,Feronikeli,4132,Llapi,14395,0,3,True,3160
1116696,2023-09-16T13:00:00+00:00,FT,Regular Season - 5,Gjilani,12772,Malisheva,15576,1,0,True,20315
1116693,2023-09-16T13:00:00+00:00,FT,Regular Season - 5,Fushë Kosova,18293,Drita,14281,1,1,True,19337
1116694,2023-09-17T13:00:00+00:00,FT,Regular Season - 5,Prishtina,680,Liria Prizren,14402,1,1,True,
1116697,2023-09-17T13:00:00+00:00,FT,Regular Season - 5,Dukagjini,14393,Ballkani,12733,1,1,True,12659
1133554,2023-09-23T13:00:00+00:00,FT,Regular Season - 6,Dukagjini,14393,Fushë Kosova,18293,1,0,True,12659
1133555,2023-09-23T13:00:00+00:00,FT,Regular Season - 6,Llapi,14395,Gjilani,12772,2,1,True,11084
1133556,2023-09-24T13:00:00+00:00,FT,Regular Season - 6,Ballkani,12733,Malisheva,15576,3,2,True,8093
1133558,2023-09-24T13:00:00+00:00,FT,Regular Season - 6,Drita,14281,Prishtina,680,3,0,True,20315
1133557,2023-09-24T13:00:00+00:00,FT,Regular Season - 6,Liria Prizren,14402,Feronikeli,4132,3,5,True,20438
1133560,2023-09-27T13:00:00+00:00,FT,Regular Season - 7,Gjilani,12772,Liria Prizren,14402,1,0,True,20315
