fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1023840,2023-05-14T10:15:00+00:00,CANC,Preliminary Round,Lielupe,14362,Varakļāni,16855,,,False,3177
1029500,2023-06-11T15:00:00+00:00,CANC,2nd Round,Jēkabpils,4150,Limbaži,14364,,,False,3172
1023837,2023-05-12T14:30:00+00:00,FT,Preliminary Round,Kadaga,16830,Namejs,21269,2,1,True,
1023839,2023-05-13T13:00:00+00:00,FT,Preliminary Round,RTU,4147,JFC Jelgava,16753,0,3,True,19582
1023838,2023-05-13T14:00:00+00:00,FT,Preliminary Round,Dobele Allegro,14354,Ludza,21268,1,0,True,
1023841,2023-05-13T16:00:00+00:00,FT,Preliminary Round,Sigulda,16757,Cēsis,14351,2,3,True,
1027475,2023-05-26T17:00:00+00:00,FT,1st Round,Ķekava / Auda,18962,Alberts,14349,5,1,True,3162
1027471,2023-05-26T17:00:00+00:00,FT,1st Round,Iecava,21336,RFS akadēmija ,21382,1,2,True,
1027481,2023-05-26T17:45:00+00:00,FT,1st Round,DVSK Traktors,14352,Upesciema Warriors,21339,0,1,True,3165
1027477,2023-05-27T09:00:00+00:00,FT,1st Round,Madona / BJSS,21337,Lielupe,14362,0,1,True,
1027474,2023-05-27T10:00:00+00:00,FT,1st Round,Pļaviņas / DM,11865,Limbaži,14364,0,3,True,7701
1027483,2023-05-27T12:00:00+00:00,FT,1st Round,Augšdaugava,18935,PPK,18960,1,2,True,7707
1027480,2023-05-27T14:00:00+00:00,AET,1st Round,Ogre United,18936,Parks,18961,1,1,False,21383
1027479,2023-05-27T15:00:00+00:00,FT,1st Round,Cēsis,14351,Staiceles Bebri,4148,4,1,True,
1027476,2023-05-27T15:00:00+00:00,FT,1st Round,JFC Jelgava,16753,LBF FK Daugava,18959,3,4,True,19582
1027482,2023-05-27T16:00:00+00:00,FT,1st Round,Aliance,14350,Kadaga,16830,4,0,True,3177
1027484,2023-05-27T17:00:00+00:00,FT,1st Round,Salaspils,11863,Jēkabpils,4150,1,3,True,7699
