fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1484593,2025-08-12T18:00:00+00:00,FT,Round of 32,Ruggell III,26643,Balzers III,24424,4,1,True,
1431054,2025-08-13T18:00:00+00:00,FT,Round of 32,Ruggell IV,26997,Eschen / Mauren II,16153,1,7,True,
1484594,2025-08-14T18:00:00+00:00,AET,Round of 32,Eschen / Mauren III,16154,Vaduz III,16163,1,5,False,
1469960,2025-09-17T18:00:00+00:00,FT,Round of 16,Balzers II,16152,Eschen / Mauren II,16153,0,4,True,8074
1469961,2025-09-17T18:00:00+00:00,FT,Round of 16,Schaan,16157,Ruggell,16155,1,4,True,11296
1469962,2025-09-17T18:00:00+00:00,FT,Round of 16,Triesenberg II,16162,FC Vaduz,660,0,12,True,11298
1469963,2025-09-17T18:15:00+00:00,FT,Round of 16,Triesen II,16160,Balzers,12711,0,4,True,11297
1469964,2025-09-18T18:00:00+00:00,FT,Round of 16,Ruggell II,16156,Triesen,16159,1,3,True,11295
1470049,2025-09-19T18:00:00+00:00,FT,Round of 16,Ruggell III,26643,Vaduz III,16163,3,7,True,11295
1470050,2025-09-24T18:00:00+00:00,FT,Round of 16,Schaan II,16158,Triesenberg,16161,0,6,True,11296
1470051,2025-10-15T18:00:00+00:00,PEN,Round of 16,Vaduz II,18002,Eschen / Mauren,12713,0,0,False,1545
1484465,2025-10-29T19:00:00+00:00,FT,Quarter-finals,Ruggell,16155,Eschen / Mauren,12713,0,1,True,0
1484466,2025-10-29T19:00:00+00:00,FT,Quarter-finals,Vaduz III,16163,Triesen,16159,2,3,True,0
1484595,2025-11-04T19:00:00+00:00,FT,Quarter-finals,Triesenberg,16161,FC Vaduz,660,1,5,True,
1484467,2025-11-05T19:00:00+00:00,FT,Quarter-finals,Eschen / Mauren II,16153,Balzers,12711,1,4,True,0
1486287,2026-04-14T18:00:00+00:00,FT,Semi-finals,Triesen,16159,Eschen / Mauren,12713,1,11,True,
1486206,2026-04-15T18:00:00+00:00,FT,Semi-finals,Balzers,12711,FC Vaduz,660,2,4,True,
1540857,2026-05-05T18:00:00+00:00,FT,Final,FC Vaduz,660,Eschen / Mauren,12713,4,3,True,1545
