fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1179658,2024-03-01T17:00:00+00:00,FT,Regular Season - 1,Suduva Marijampole,612,Šiauliai,3870,0,0,True,19446
1179659,2024-03-02T11:00:00+00:00,FT,Regular Season - 1,Džiugas Telšiai,3860,Panevėžys,3874,0,0,True,19447
1179660,2024-03-02T13:00:00+00:00,FT,Regular Season - 1,Banga,3858,Kauno Žalgiris,3872,1,1,True,2642
1179661,2024-03-03T11:00:00+00:00,FT,Regular Season - 1,Dainava,3859,FK Zalgiris Vilnius,586,0,1,True,22449
1179662,2024-03-03T16:30:00+00:00,FT,Regular Season - 1,Hegelmann Litauen,3861,TransINVEST Vilnius,18878,2,3,True,22449
1179663,2024-03-09T11:00:00+00:00,FT,Regular Season - 2,Kauno Žalgiris,3872,Hegelmann Litauen,3861,1,2,True,19448
1179664,2024-03-09T13:00:00+00:00,FT,Regular Season - 2,TransINVEST Vilnius,18878,Džiugas Telšiai,3860,0,1,True,19583
1179665,2024-03-10T11:00:00+00:00,FT,Regular Season - 2,Šiauliai,3870,Banga,3858,0,0,True,18559
1179666,2024-03-10T13:00:00+00:00,FT,Regular Season - 2,Panevėžys,3874,Dainava,3859,0,0,True,19449
1179667,2024-03-10T16:30:00+00:00,FT,Regular Season - 2,FK Zalgiris Vilnius,586,Suduva Marijampole,612,3,3,True,
1179668,2024-03-12T16:00:00+00:00,FT,Regular Season - 3,Kauno Žalgiris,3872,TransINVEST Vilnius,18878,2,1,True,19448
1179669,2024-03-13T15:00:00+00:00,FT,Regular Season - 3,Dainava,3859,Džiugas Telšiai,3860,0,0,True,19446
1179671,2024-03-13T16:00:00+00:00,FT,Regular Season - 3,Banga,3858,FK Zalgiris Vilnius,586,1,4,True,2642
1179670,2024-03-13T16:00:00+00:00,FT,Regular Season - 3,Hegelmann Litauen,3861,Šiauliai,3870,2,2,True,12604
1179672,2024-03-13T18:15:00+00:00,FT,Regular Season - 3,Suduva Marijampole,612,Panevėžys,3874,1,0,True,19446
