fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1121361,2023-09-06T18:00:00+00:00,FT,Preliminary Round,Alliance Aischdall,15846,Ehlerange,15862,3,0,True,11189
1121362,2023-09-06T18:00:00+00:00,FT,Preliminary Round,Bourscheid,15855,Stengefort,15909,1,6,True,
1121364,2023-09-06T18:00:00+00:00,FT,Preliminary Round,Minerva Lintgen,15884,Vinesca Ehnen,20005,5,1,True,11214
1121365,2023-09-06T18:00:00+00:00,FT,Preliminary Round,Rambrouch,15895,Boevange / Attert,15854,1,0,True,
1121360,2023-09-06T18:00:00+00:00,FT,Preliminary Round,Red Boys Aspelt,15897,Sporting Bertrange,15907,0,4,True,11220
1121363,2023-09-06T18:00:00+00:00,AET,Preliminary Round,Jeunesse Biwer,17690,Clemency,15859,4,3,False,
1125786,2023-09-09T16:00:00+00:00,FT,1st Round,Pratzerthal-Redange,15893,Atert Bissen,15847,2,4,True,19068
1125787,2023-09-09T17:00:00+00:00,AET,1st Round,Reisdorf,15898,Blo-Wäiss Izeg,15852,1,2,False,
1125788,2023-09-09T17:30:00+00:00,FT,1st Round,Jeunesse Schieren,15870,Colmarberg,15860,9,3,True,11206
1125796,2023-09-10T14:00:00+00:00,FT,1st Round,US Esch,2041,Olympia Christnach,15892,3,4,True,
1131111,2023-09-10T14:00:00+00:00,AET,1st Round,Alliance Aischdall,15846,URB,15913,1,3,False,11189
1125808,2023-09-10T14:00:00+00:00,AET,1st Round,Brouch,15856,Tricolore Gasperich,15912,1,1,False,
1130891,2023-09-10T14:00:00+00:00,FT,1st Round,Claravallis Clervaux,15858,Minerva Lintgen,15884,1,3,True,
1125792,2023-09-10T14:00:00+00:00,FT,1st Round,Hosingen,15867,Jeunesse Useldange,15871,1,4,True,11204
1125789,2023-09-10T14:00:00+00:00,FT,1st Round,Jeunesse Gilsdorf,15868,Red Star Merl-Belair,20004,1,2,True,20289
1125803,2023-09-10T14:00:00+00:00,FT,1st Round,Koerich,15875,Daring Echternach,15861,2,1,True,21154
1125806,2023-09-10T14:00:00+00:00,FT,1st Round,Les Aiglons Dalheim,15877,Bastendorf,15849,0,3,True,
1125800,2023-09-10T14:00:00+00:00,FT,1st Round,Minière Lasauvage,15885,Feulen,15864,1,4,True,
1125805,2023-09-10T14:00:00+00:00,FT,1st Round,Moutfort / Medingen,15887,Sandweiler,15902,2,5,True,
1125802,2023-09-10T14:00:00+00:00,AET,1st Round,Noertzange,15889,RM Hamm Benfica,2031,4,5,False,
1125811,2023-09-10T14:00:00+00:00,FT,1st Round,Racing Troisvierges,15894,Syra Mensdorf,15910,2,1,True,
1130892,2023-09-10T14:00:00+00:00,FT,1st Round,Rambrouch,15895,Jeunesse Junglinster,15869,1,6,True,
1125810,2023-09-10T14:00:00+00:00,FT,1st Round,Red Black Egalité,15896,ALSS Luxembourg,22356,1,2,True,11219
1125794,2023-09-10T14:00:00+00:00,FT,1st Round,SC Ell,15901,Sporting Mertzig,15908,1,3,True,
1125793,2023-09-10T14:00:00+00:00,AET,1st Round,Sanem,15903,Rupensia Lusitanos,15899,3,2,False,11223
1125801,2023-09-10T14:00:00+00:00,AET,1st Round,Schengen,15904,Luna Obercorn,15880,1,0,False,19069
1125791,2023-09-10T14:00:00+00:00,FT,1st Round,Schouweiler,15906,Folschette,15865,1,0,True,
1130889,2023-09-10T14:00:00+00:00,AET,1st Round,Sporting Bertrange,15907,Kopstal 33,15876,3,6,False,11225
1130893,2023-09-10T14:00:00+00:00,FT,1st Round,Stengefort,15909,Les Ardoisiers Perlé,15878,6,0,True,11227
1125809,2023-09-10T14:00:00+00:00,FT,1st Round,The Belval Belvaux,15911,Union Kayl-Tétange,11908,5,3,True,11229
1125797,2023-09-10T14:00:00+00:00,FT,1st Round,Union Mertert,15914,Young Boys,15917,0,3,True,11231
1125807,2023-09-10T14:00:00+00:00,AET,1st Round,Wincrange,15915,Norden,15890,1,4,False,11232
1125804,2023-09-10T14:00:00+00:00,FT,1st Round,Biekerech,17687,Berdorf Consdorf,15851,0,5,True,
1125798,2023-09-10T14:00:00+00:00,FT,1st Round,Excelsior Grevels,17688,Obercorn,15891,0,5,True,
1125790,2023-09-10T14:00:00+00:00,FT,1st Round,Heiderscheid / Eschdorf,17689,Kischpelt Wilwerwiltz,15873,3,1,True,
1130890,2023-09-10T14:00:00+00:00,AET,1st Round,Jeunesse Biwer,17690,Kehlen,15872,4,6,False,
1125795,2023-09-10T14:00:00+00:00,AET,1st Round,Orania Vianden,17691,Green Boys,15866,3,3,False,12375
1125799,2023-09-10T14:30:00+00:00,FT,1st Round,Erpeldange,15863,Munsbach,15888,5,1,True,11201
1134268,2023-09-30T14:00:00+00:00,FT,2nd Round,Bastendorf,15849,Fola Esch,626,0,1,True,11192
1134284,2023-09-30T16:00:00+00:00,FT,2nd Round,Schengen,15904,AS Jeunesse Esch,2034,1,5,True,19069
1134269,2023-09-30T18:00:00+00:00,FT,2nd Round,Stengefort,15909,Bettembourg,10881,0,1,True,11227
1134257,2023-10-01T14:00:00+00:00,FT,2nd Round,RM Hamm Benfica,2031,FC Differdange 03,684,1,3,True,1040
1134266,2023-10-01T14:00:00+00:00,FT,2nd Round,Atert Bissen,15847,Union Titus Petange,2032,3,5,True,20349
1134277,2023-10-01T14:00:00+00:00,AET,2nd Round,Berdorf Consdorf,15851,US Rumelange,2033,3,3,False,11194
1134275,2023-10-01T14:00:00+00:00,FT,2nd Round,Blo-Wäiss Izeg,15852,Marisca Mersch,15883,0,4,True,11195
1134259,2023-10-01T14:00:00+00:00,FT,2nd Round,Erpeldange,15863,Blô-Weiss Medernach,15853,1,0,True,11201
1134271,2023-10-01T14:00:00+00:00,FT,2nd Round,Feulen,15864,F91 Dudelange,578,0,4,True,19424
