fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1435624,2025-08-16T09:00:00+00:00,FT,Round of 16,University Malaya,23666,Selangor,2526,1,3,True,21442
1435625,2025-08-16T12:15:00+00:00,FT,Round of 16,DPMM FC Brunei,4202,Kuching FA,10108,3,2,True,
1437202,2025-08-16T12:15:00+00:00,FT,Round of 16,Damansara,26352,Johor Darul Takzim FC,2523,0,5,True,1050
1437203,2025-08-17T08:45:00+00:00,FT,Round of 16,Bunga Raya,26351,Sabah FA,2505,0,6,True,1056
1435626,2025-08-17T09:00:00+00:00,FT,Round of 16,Imigresen,10430,Terengganu,2518,2,1,True,1061
1435627,2025-08-17T13:00:00+00:00,FT,Round of 16,Melaka,21038,Penang,2504,0,2,True,1055
1435629,2025-08-18T13:00:00+00:00,FT,Round of 16,Negeri Sembilan,2502,Pdrm,2500,5,0,True,
1435628,2025-08-18T13:00:00+00:00,FT,Round of 16,Kelantan United,10107,Kuala Lumpur FA,2517,3,1,True,
1435630,2025-09-12T13:00:00+00:00,FT,Round of 16,Pdrm,2500,Negeri Sembilan,2502,1,0,True,21442
1435631,2025-09-13T12:15:00+00:00,FT,Round of 16,Selangor,2526,University Malaya,23666,9,0,True,21442
1435632,2025-09-13T13:00:00+00:00,FT,Round of 16,Terengganu,2518,Imigresen,10430,3,0,True,
1435633,2025-09-14T12:15:00+00:00,FT,Round of 16,Kuala Lumpur FA,2517,Kelantan United,10107,1,0,True,
1435634,2025-09-14T12:15:00+00:00,FT,Round of 16,Kuching FA,10108,DPMM FC Brunei,4202,7,1,True,
1435635,2025-09-15T13:00:00+00:00,FT,Round of 16,Penang,2504,Melaka,21038,3,0,True,
1437205,2025-09-30T08:45:00+00:00,FT,Round of 16,Sabah FA,2505,Bunga Raya,26351,0,0,True,20348
1437204,2025-10-02T12:15:00+00:00,FT,Round of 16,Johor Darul Takzim FC,2523,Damansara,26352,5,3,True,
1479801,2025-10-17T12:30:00+00:00,FT,Quarter-finals,Penang,2504,Johor Darul Takzim FC,2523,1,2,True,
1479219,2025-10-17T13:00:00+00:00,FT,Quarter-finals,Kelantan United,10107,Sabah FA,2505,1,2,True,
1469511,2025-10-18T12:30:00+00:00,FT,Quarter-finals,Negeri Sembilan,2502,Selangor,2526,0,4,True,
1469877,2025-10-18T13:00:00+00:00,FT,Quarter-finals,Terengganu,2518,Kuching FA,10108,1,4,True,
1469878,2025-10-28T11:45:00+00:00,FT,Quarter-finals,Kuching FA,10108,Terengganu,2518,1,2,True,
1479802,2025-10-28T12:15:00+00:00,FT,Quarter-finals,Johor Darul Takzim FC,2523,Penang,2504,3,0,True,
1479220,2025-10-29T12:15:00+00:00,FT,Quarter-finals,Sabah FA,2505,Kelantan United,10107,3,1,True,20348
1469261,2025-10-29T13:00:00+00:00,FT,Quarter-finals,Selangor,2526,Negeri Sembilan,2502,2,3,True,21442
1484720,2025-11-09T11:30:00+00:00,FT,Semi-finals,Kuching FA,10108,Johor Darul Takzim FC,2523,1,2,True,
1484822,2025-11-09T12:15:00+00:00,FT,Semi-finals,Sabah FA,2505,Selangor,2526,2,2,True,20348
1484721,2025-11-30T12:15:00+00:00,FT,Semi-finals,Johor Darul Takzim FC,2523,Kuching FA,10108,2,0,True,
1484823,2025-11-30T13:00:00+00:00,PEN,Semi-finals,Selangor,2526,Sabah FA,2505,3,3,False,21442
1488580,2025-12-14T13:00:00+00:00,FT,Final,Johor Darul Takzim FC,2523,Sabah FA,2505,5,0,True,19696
