fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1435613,2025-08-15T09:00:00+00:00,FT,Regular Season - 1,Yarmanya United,26331,Ayeyawady United,12523,0,1,True,22278
1435559,2025-08-16T09:00:00+00:00,FT,Regular Season - 1,Rakhine United,12527,Hantharwady United,12525,1,2,True,22278
1435560,2025-08-17T09:00:00+00:00,FT,Regular Season - 1,Yangon United,8013,Yadanarbon,8017,1,0,True,22278
1435561,2025-08-18T09:00:00+00:00,FT,Regular Season - 1,Dagon Port,24090,I.S.P.E,12526,2,1,True,22278
1435562,2025-08-19T09:00:00+00:00,FT,Regular Season - 1,Dagon,12532,Thitsar Arman,24091,2,0,True,19697
1435563,2025-08-22T09:00:00+00:00,FT,Regular Season - 2,Yadanarbon,8017,Sagaing United,12528,3,2,True,22278
1435565,2025-08-23T09:00:00+00:00,FT,Regular Season - 2,Yangon United,8013,Rakhine United,12527,5,0,True,22278
1435564,2025-08-23T09:00:00+00:00,FT,Regular Season - 2,I.S.P.E,12526,Ayeyawady United,12523,3,0,True,
1435566,2025-08-24T09:00:00+00:00,FT,Regular Season - 2,Hantharwady United,12525,Thitsar Arman,24091,0,0,True,22278
1435614,2025-08-24T09:00:00+00:00,FT,Regular Season - 2,Yarmanya United,26331,Dagon,12532,1,5,True,
1435567,2025-08-26T09:00:00+00:00,FT,Regular Season - 2,Dagon Port,24090,Shan United,8015,0,3,True,22278
1435568,2025-09-12T09:00:00+00:00,FT,Regular Season - 3,Hantharwady United,12525,Dagon Port,24090,5,4,True,
1435615,2025-09-12T09:30:00+00:00,FT,Regular Season - 3,Sagaing United,12528,Yarmanya United,26331,0,0,True,19697
1435570,2025-09-13T09:30:00+00:00,FT,Regular Season - 3,Thitsar Arman,24091,Yadanarbon,8017,2,4,True,22278
1435571,2025-09-14T09:00:00+00:00,FT,Regular Season - 3,Shan United,8015,Rakhine United,12527,3,0,True,
1435572,2025-09-14T09:30:00+00:00,FT,Regular Season - 3,Dagon,12532,Ayeyawady United,12523,2,1,True,19697
1435569,2025-09-16T09:30:00+00:00,FT,Regular Season - 3,Yangon United,8013,I.S.P.E,12526,3,0,True,22278
1435616,2025-09-19T09:00:00+00:00,FT,Regular Season - 4,Hantharwady United,12525,Yarmanya United,26331,6,0,True,
1435573,2025-09-19T09:30:00+00:00,FT,Regular Season - 4,Dagon Port,24090,Ayeyawady United,12523,0,4,True,19697
1435574,2025-09-20T09:00:00+00:00,FT,Regular Season - 4,Shan United,8015,Yadanarbon,8017,0,0,True,
1435575,2025-09-20T09:30:00+00:00,FT,Regular Season - 4,I.S.P.E,12526,Dagon,12532,1,1,True,19697
1435576,2025-09-21T09:30:00+00:00,FT,Regular Season - 4,Thitsar Arman,24091,Yangon United,8013,2,1,True,22278
1435577,2025-09-22T09:30:00+00:00,FT,Regular Season - 4,Sagaing United,12528,Rakhine United,12527,3,2,True,19697
1435617,2025-09-26T09:30:00+00:00,FT,Regular Season - 5,Yarmanya United,26331,Yangon United,8013,0,6,True,19697
1435578,2025-09-27T09:00:00+00:00,FT,Regular Season - 5,Shan United,8015,Ayeyawady United,12523,3,1,True,
1435579,2025-09-27T09:30:00+00:00,FT,Regular Season - 5,I.S.P.E,12526,Hantharwady United,12525,2,2,True,19697
1435580,2025-09-28T09:30:00+00:00,FT,Regular Season - 5,Dagon,12532,Dagon Port,24090,3,3,True,19697
1435581,2025-09-29T09:00:00+00:00,FT,Regular Season - 5,Thitsar Arman,24091,Sagaing United,12528,3,0,True,22278
1435582,2025-09-29T09:30:00+00:00,FT,Regular Season - 5,Yadanarbon,8017,Rakhine United,12527,7,3,True,19697
1435583,2025-10-18T09:00:00+00:00,FT,Regular Season - 6,Shan United,8015,Dagon,12532,4,0,True,
1435584,2025-10-18T09:00:00+00:00,FT,Regular Season - 6,I.S.P.E,12526,Sagaing United,12528,1,0,True,
1435585,2025-10-19T09:00:00+00:00,FT,Regular Season - 6,Ayeyawady United,12523,Hantharwady United,12525,1,1,True,
1435586,2025-10-19T09:30:00+00:00,FT,Regular Season - 6,Dagon Port,24090,Yangon United,8013,0,9,True,19697
1435587,2025-10-20T09:00:00+00:00,FT,Regular Season - 6,Thitsar Arman,24091,Rakhine United,12527,0,3,True,22278
1435618,2025-10-20T09:30:00+00:00,FT,Regular Season - 6,Yarmanya United,26331,Yadanarbon,8017,1,5,True,19697
1435589,2025-10-25T09:00:00+00:00,FT,Regular Season - 7,Yangon United,8013,Hantharwady United,12525,1,0,True,22278
1435588,2025-10-25T09:00:00+00:00,FT,Regular Season - 7,I.S.P.E,12526,Thitsar Arman,24091,3,2,True,
1435590,2025-10-26T09:00:00+00:00,FT,Regular Season - 7,Ayeyawady United,12523,Yadanarbon,8017,1,0,True,
1435592,2025-10-27T09:00:00+00:00,FT,Regular Season - 7,Rakhine United,12527,Dagon Port,24090,1,0,True,
1435591,2025-10-27T09:00:00+00:00,FT,Regular Season - 7,Dagon,12532,Sagaing United,12528,2,2,True,19697
1435620,2025-11-01T09:00:00+00:00,FT,Regular Season - 8,Thitsar Arman,24091,Yarmanya United,26331,1,1,True,22278
1435593,2025-11-02T09:00:00+00:00,FT,Regular Season - 8,Yadanarbon,8017,Dagon Port,24090,2,2,True,
1435596,2025-11-02T09:30:00+00:00,FT,Regular Season - 8,Dagon,12532,Yangon United,8013,0,1,True,19697
1435594,2025-11-03T09:00:00+00:00,FT,Regular Season - 8,Ayeyawady United,12523,Sagaing United,12528,1,2,True,7958
1435595,2025-11-03T09:30:00+00:00,FT,Regular Season - 8,I.S.P.E,12526,Rakhine United,12527,4,1,True,19697
1435597,2025-11-06T09:00:00+00:00,FT,Regular Season - 8,Hantharwady United,12525,Shan United,8015,0,4,True,
