fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1213441,2024-08-09T18:00:00+00:00,FT,Regular Season - 1,Groningen,202,NAC Breda,203,4,1,True,12276
1213442,2024-08-10T14:30:00+00:00,FT,Regular Season - 1,Feyenoord,209,Willem II,195,1,1,True,1128
1213443,2024-08-10T16:45:00+00:00,FT,Regular Season - 1,NEC Nijmegen,413,Twente,415,1,2,True,1140
1213444,2024-08-10T18:00:00+00:00,FT,Regular Season - 1,Almere City FC,419,AZ Alkmaar,201,0,1,True,1141
1213445,2024-08-10T19:00:00+00:00,FT,Regular Season - 1,PSV Eindhoven,197,Waalwijk,417,5,1,True,1143
1213446,2024-08-11T10:15:00+00:00,FT,Regular Season - 1,Sparta Rotterdam,426,Heracles,206,0,0,True,10505
1213447,2024-08-11T12:30:00+00:00,FT,Regular Season - 1,Utrecht,207,PEC Zwolle,193,1,0,True,1154
1213448,2024-08-11T12:30:00+00:00,FT,Regular Season - 1,GO Ahead Eagles,410,Fortuna Sittard,205,0,2,True,1130
1213449,2024-08-11T14:45:00+00:00,FT,Regular Season - 1,Ajax,194,Heerenveen,210,1,0,True,1117
1213450,2024-08-16T18:00:00+00:00,FT,Regular Season - 2,Fortuna Sittard,205,Almere City FC,419,3,0,True,1129
1213451,2024-08-17T14:30:00+00:00,FT,Regular Season - 2,Heerenveen,210,Utrecht,207,1,1,True,1132
1213452,2024-08-17T16:45:00+00:00,FT,Regular Season - 2,Twente,415,Sparta Rotterdam,426,1,1,True,1153
1213453,2024-08-17T18:00:00+00:00,FT,Regular Season - 2,AZ Alkmaar,201,NEC Nijmegen,413,1,0,True,1119
1213454,2024-08-17T19:00:00+00:00,FT,Regular Season - 2,Waalwijk,417,Groningen,202,1,2,True,1144
1213455,2024-08-18T10:15:00+00:00,FT,Regular Season - 2,Heracles,206,PSV Eindhoven,197,1,3,True,11906
1213456,2024-08-18T12:30:00+00:00,FT,Regular Season - 2,PEC Zwolle,193,Feyenoord,209,1,5,True,1160
1213457,2024-08-18T12:30:00+00:00,FT,Regular Season - 2,Willem II,195,GO Ahead Eagles,410,2,0,True,1159
1213458,2024-08-18T14:45:00+00:00,FT,Regular Season - 2,NAC Breda,203,Ajax,194,2,1,True,1139
1213459,2024-08-24T16:45:00+00:00,FT,Regular Season - 3,NEC Nijmegen,413,PEC Zwolle,193,1,0,True,1140
1213460,2024-08-24T18:00:00+00:00,FT,Regular Season - 3,Almere City FC,419,PSV Eindhoven,197,1,7,True,1141
1213461,2024-08-24T19:00:00+00:00,FT,Regular Season - 3,NAC Breda,203,Utrecht,207,1,2,True,1139
1213464,2024-08-25T10:15:00+00:00,FT,Regular Season - 3,Groningen,202,AZ Alkmaar,201,0,0,True,12276
1213465,2024-08-25T12:30:00+00:00,FT,Regular Season - 3,Heracles,206,Willem II,195,1,1,True,11906
1213466,2024-08-25T12:30:00+00:00,FT,Regular Season - 3,Sparta Rotterdam,426,Feyenoord,209,1,1,True,10505
1213467,2024-08-25T14:45:00+00:00,FT,Regular Season - 3,GO Ahead Eagles,410,Waalwijk,417,2,0,True,1130
1213468,2024-08-30T18:00:00+00:00,FT,Regular Season - 4,Waalwijk,417,AZ Alkmaar,201,0,3,True,1144
1213469,2024-08-31T14:30:00+00:00,FT,Regular Season - 4,Almere City FC,419,Groningen,202,1,1,True,1141
1213470,2024-08-31T16:45:00+00:00,FT,Regular Season - 4,Fortuna Sittard,205,NEC Nijmegen,413,0,3,True,1129
1213471,2024-08-31T18:00:00+00:00,FT,Regular Season - 4,Heerenveen,210,NAC Breda,203,4,0,True,1132
1213472,2024-08-31T19:00:00+00:00,FT,Regular Season - 4,Willem II,195,Sparta Rotterdam,426,1,2,True,1159
