fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1053318,2023-08-12T12:30:00+00:00,FT,1st Preliminary Round,Eemdijk,1235,Bunde,21637,5,0,True,2862
1053328,2023-08-12T12:30:00+00:00,FT,1st Preliminary Round,Barendrecht,1271,SC Genemuiden,1273,2,1,True,2858
1053330,2023-08-12T12:30:00+00:00,FT,1st Preliminary Round,Hoek,1276,SteDoCo,3905,3,2,True,2888
1053316,2023-08-12T12:30:00+00:00,AET,1st Preliminary Round,SJC Noordwijk,3903,Bon Boys,21636,2,1,False,2962
1053327,2023-08-12T12:30:00+00:00,FT,1st Preliminary Round,Nieuwkoop,21641,RKAV Volendam,1238,0,2,True,
1053315,2023-08-12T13:00:00+00:00,FT,1st Preliminary Round,DVS 33 Ermelo,1244,URK,1253,1,0,True,1125
1053312,2023-08-12T13:00:00+00:00,FT,1st Preliminary Round,Blauw Geel,1263,SVOD '22,21642,5,1,True,2894
1053332,2023-08-12T13:00:00+00:00,AET,1st Preliminary Round,Csv Apeldoorn,1267,HSV ODIN 59,1245,1,0,False,
1053325,2023-08-12T13:00:00+00:00,FT,1st Preliminary Round,Sparta Nijkerk,1274,ONS Sneek,1256,2,0,True,2882
1053338,2023-08-12T13:00:00+00:00,FT,1st Preliminary Round,Ijsselmeervogels,1280,TOGB,19739,2,1,True,
1053324,2023-08-12T13:00:00+00:00,FT,1st Preliminary Round,Kloetinge,3930,BOL,21634,6,0,True,2986
1053336,2023-08-12T13:30:00+00:00,AET,1st Preliminary Round,Vvsb,1251,Rijnvogels,1288,3,3,False,1157
1053329,2023-08-12T13:30:00+00:00,AET,1st Preliminary Round,TEC,1255,Dovo,1234,1,1,False,1789
1053339,2023-08-12T13:30:00+00:00,AET,1st Preliminary Round,DEM,6260,XerxesDZB (Zat),21644,1,0,False,
1053337,2023-08-12T15:00:00+00:00,FT,1st Preliminary Round,Hercules,1264,Berkum,21509,2,1,True,
1053322,2023-08-12T15:00:00+00:00,AET,1st Preliminary Round,Hsc 21,1281,Harkemase Boys,1258,3,4,False,2900
1053334,2023-08-12T15:00:00+00:00,FT,1st Preliminary Round,Purmersteijn,3920,Sportlust '46,3904,0,2,True,2977
1053317,2023-08-12T15:00:00+00:00,FT,1st Preliminary Round,AWC,14227,Staphorst,1239,1,2,True,19729
1053333,2023-08-12T15:00:00+00:00,FT,1st Preliminary Round,GVV Unitas,14233,Blauw Wit '34,21635,4,0,True,
1053313,2023-08-12T15:00:00+00:00,FT,1st Preliminary Round,AGB,21633,Olde Veste '54,3919,1,2,True,
1053335,2023-08-12T15:00:00+00:00,FT,1st Preliminary Round,Veensche Boys,21643,HVCH,21639,1,2,True,
1053340,2023-08-12T16:00:00+00:00,FT,1st Preliminary Round,OJC Rosmalen,1241,OSS '20,3898,5,1,True,2872
1053331,2023-08-12T16:00:00+00:00,FT,1st Preliminary Round,Baronie,14631,Hoogeveen,14235,0,1,True,19730
1053319,2023-08-12T16:00:00+00:00,FT,1st Preliminary Round,Zwaluw VFC,21645,VV Scherpenzeel,14241,1,5,True,
1053326,2023-08-13T12:00:00+00:00,FT,1st Preliminary Round,Westlandia,1243,HV & CV Quick,3894,3,1,True,1145
1053320,2023-08-13T12:00:00+00:00,FT,1st Preliminary Round,Avanti '31,3926,Meerssen,14508,0,3,True,
1053321,2023-08-13T12:00:00+00:00,AET,1st Preliminary Round,Jubbega,21640,UNA,1284,3,5,False,
1053341,2023-08-13T12:30:00+00:00,FT,1st Preliminary Round,Groene Ster,1236,Groen Wit '62,21638,6,0,True,2864
1053314,2023-08-13T12:30:00+00:00,FT,1st Preliminary Round,RKSV Nuenen,3921,Chevremont,3916,4,2,True,2978
1053323,2023-08-13T12:30:00+00:00,FT,1st Preliminary Round,Kampong,21421,Gemert,1230,2,4,True,
1119566,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,Eemdijk,1235,Harkemase Boys,1258,3,2,True,2862
1119579,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,RKAV Volendam,1238,Westlandia,1243,3,0,True,2875
1119563,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,DVS 33 Ermelo,1244,Ijsselmeervogels,1280,0,2,True,1125
1119577,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,Spakenburg,1249,VV Scherpenzeel,14241,1,0,True,
1119562,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,SVV Scheveningen,1250,Hoek,1276,2,1,True,1151
1119573,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,GVVV Veenendaal,1261,Barendrecht,1271,5,2,True,
1119570,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,Csv Apeldoorn,1267,OJC Rosmalen,1241,1,3,True,
1119564,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,Sparta Nijkerk,1274,GVV Unitas,14233,4,2,True,2882
1119565,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,Olde Veste '54,3919,Noordwijk,1247,0,2,True,2976
1119578,2023-09-19T18:00:00+00:00,FT,2nd Preliminary Round,DEM,6260,Sportlust '46,3904,3,1,True,
1119568,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,Groene Ster,1236,Kozakken Boys,1242,1,0,True,2864
1119574,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,Vvsb,1251,UNA,1284,1,2,True,1157
1119571,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,TEC,1255,Meerssen,14508,2,0,True,1789
1119580,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,FC Lisse,1257,Blauw Geel,1263,1,0,True,2879
1119569,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,ADO '20,3886,Quick Boys,1272,0,1,True,18900
1119572,2023-09-20T18:00:00+00:00,PEN,2nd Preliminary Round,SJC Noordwijk,3903,Gemert,1230,0,0,False,2962
1119582,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,ACV,3911,Hercules,1264,1,5,True,
1119567,2023-09-20T18:00:00+00:00,PEN,2nd Preliminary Round,RKSV Nuenen,3921,Excelsior Maassluis,17129,0,0,False,2978
1119576,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,Kloetinge,3930,Koninklijke HFC,1246,1,3,True,2986
1119575,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,Hoogeveen,14235,Staphorst,1239,3,0,True,
1119581,2023-09-20T18:00:00+00:00,FT,2nd Preliminary Round,HVCH,21639,De Treffers,1277,1,3,True,19823
1135694,2023-10-31T17:45:00+00:00,FT,1st Round,De Graafschap,199,Emmen,208,2,0,True,1121
1135703,2023-10-31T19:00:00+00:00,FT,1st Round,Heerenveen,210,VVV Venlo,204,5,1,True,1132
1135695,2023-10-31T19:00:00+00:00,FT,1st Round,Groene Ster,1236,Vitesse,200,0,1,True,2864
1135688,2023-10-31T19:00:00+00:00,FT,1st Round,OJC Rosmalen,1241,Almere City FC,419,1,8,True,2872
1135687,2023-10-31T19:00:00+00:00,AET,1st Round,Koninklijke HFC,1246,GO Ahead Eagles,410,1,4,False,2869
1135693,2023-10-31T19:00:00+00:00,FT,1st Round,Noordwijk,1247,ADO Den Haag,198,0,1,True,2871
1135685,2023-10-31T19:00:00+00:00,FT,1st Round,Spakenburg,1249,Helmond Sport,424,3,1,True,
1135706,2023-10-31T19:00:00+00:00,FT,1st Round,FC Lisse,1257,Dordrecht,409,1,3,True,2879
1135702,2023-10-31T19:00:00+00:00,FT,1st Round,GVVV Veenendaal,1261,Telstar,427,1,0,True,
1135704,2023-10-31T19:00:00+00:00,FT,1st Round,Quick Boys,1272,NAC Breda,203,1,0,True,2874
1135682,2023-10-31T19:00:00+00:00,FT,1st Round,De Treffers,1277,UNA,1284,4,0,True,11890
1135686,2023-10-31T20:00:00+00:00,FT,1st Round,Utrecht,207,Waalwijk,417,3,2,True,1154
