fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1275564,2024-08-15T15:20:00+00:00,FT,Regular Season - 1,Al-Nahda,5327,Al Nasr,2878,1,0,True,4026
1275565,2024-08-15T16:20:00+00:00,FT,Regular Season - 1,Al Seeb,7504,Ibri,15960,3,1,True,4025
1275566,2024-08-16T13:55:00+00:00,FT,Regular Season - 1,Oman Club,5334,Saham,5335,2,1,True,4025
1275567,2024-08-16T16:20:00+00:00,FT,Regular Season - 1,Sohar,5336,Al-Rustaq,5328,2,0,True,4029
1275568,2024-08-16T16:20:00+00:00,FT,Regular Season - 1,Al-Khabourah,11380,Al-Shabab,5329,2,1,True,
1275569,2024-08-20T13:55:00+00:00,FT,Regular Season - 2,Ibri,15960,Al-Nahda,5327,0,1,True,4027
1275570,2024-08-20T15:00:00+00:00,FT,Regular Season - 2,Sur,5337,Al-Khabourah,11380,0,1,True,4024
1275571,2024-08-20T16:20:00+00:00,FT,Regular Season - 2,Al-Shabab,5329,Al Seeb,7504,0,1,True,
1275573,2024-08-21T14:00:00+00:00,FT,Regular Season - 2,Al Nasr,2878,Sohar,5336,4,2,True,4028
1275574,2024-08-21T16:20:00+00:00,FT,Regular Season - 2,Al-Rustaq,5328,Oman Club,5334,0,1,True,
1275576,2024-08-25T15:10:00+00:00,FT,Regular Season - 3,Al-Nahda,5327,Al-Shabab,5329,1,0,True,4026
1275577,2024-08-25T16:00:00+00:00,FT,Regular Season - 3,Al Seeb,7504,Sur,5337,1,0,True,4025
1275578,2024-08-26T13:45:00+00:00,FT,Regular Season - 3,Oman Club,5334,Al Nasr,2878,0,0,True,4025
1275579,2024-08-26T15:10:00+00:00,FT,Regular Season - 3,Sohar,5336,Ibri,15960,0,1,True,4029
1275580,2024-08-26T16:00:00+00:00,FT,Regular Season - 3,Al-Rustaq,5328,Saham,5335,3,1,True,
1293073,2024-09-14T13:35:00+00:00,FT,Regular Season - 4,Ibri,15960,Oman Club,5334,0,2,True,4027
1293074,2024-09-14T16:00:00+00:00,FT,Regular Season - 4,Saham,5335,Al-Khabourah,11380,1,0,True,4029
1293077,2024-09-15T13:20:00+00:00,FT,Regular Season - 4,Sur,5337,Al-Nahda,5327,0,1,True,4024
1293075,2024-09-15T13:30:00+00:00,FT,Regular Season - 4,Bahla,7505,Al Seeb,7504,1,2,True,4027
1293076,2024-09-15T16:00:00+00:00,FT,Regular Season - 4,Al-Shabab,5329,Sohar,5336,2,2,True,
1293078,2024-09-16T13:40:00+00:00,FT,Regular Season - 4,Al Nasr,2878,Al-Rustaq,5328,2,1,True,4028
1293079,2024-09-19T13:30:00+00:00,FT,Regular Season - 5,Sohar,5336,Sur,5337,1,1,True,4029
1293080,2024-09-19T16:00:00+00:00,FT,Regular Season - 5,Oman Club,5334,Al-Shabab,5329,1,0,True,4025
1293084,2024-09-20T13:40:00+00:00,FT,Regular Season - 5,Al Nasr,2878,Saham,5335,1,2,True,4028
1293082,2024-09-20T14:35:00+00:00,FT,Regular Season - 5,Al-Rustaq,5328,Ibri,15960,1,1,True,
1293083,2024-09-20T16:00:00+00:00,FT,Regular Season - 5,Al Seeb,7504,Al-Khabourah,11380,4,0,True,4025
1293081,2024-09-21T14:40:00+00:00,FT,Regular Season - 5,Al-Nahda,5327,Bahla,7505,2,0,True,
1293085,2024-09-24T13:25:00+00:00,FT,Regular Season - 6,Ibri,15960,Al Nasr,2878,0,2,True,4027
1293086,2024-09-24T15:45:00+00:00,FT,Regular Season - 6,Al-Shabab,5329,Al-Rustaq,5328,2,1,True,
1293088,2024-09-25T13:20:00+00:00,FT,Regular Season - 6,Saham,5335,Al Seeb,7504,1,4,True,4029
1293089,2024-09-25T15:45:00+00:00,FT,Regular Season - 6,Al-Khabourah,11380,Al-Nahda,5327,0,1,True,
1293087,2024-09-26T13:20:00+00:00,FT,Regular Season - 6,Bahla,7505,Sohar,5336,0,0,True,4027
1293090,2024-09-26T15:45:00+00:00,FT,Regular Season - 6,Sur,5337,Oman Club,5334,0,1,True,4024
1275563,2024-10-06T13:10:00+00:00,FT,Regular Season - 1,Bahla,7505,Sur,5337,3,0,True,4027
1293097,2024-10-19T12:55:00+00:00,FT,Regular Season - 8,Bahla,7505,Al-Rustaq,5328,2,1,True,11254
1293098,2024-10-19T15:20:00+00:00,FT,Regular Season - 8,Al-Khabourah,11380,Oman Club,5334,2,2,True,
1293099,2024-10-20T12:45:00+00:00,FT,Regular Season - 8,Sur,5337,Al Nasr,2878,1,0,True,4024
1293100,2024-10-20T13:00:00+00:00,FT,Regular Season - 8,Saham,5335,Al-Nahda,5327,0,2,True,4029
1293101,2024-10-20T15:20:00+00:00,FT,Regular Season - 8,Al-Shabab,5329,Ibri,15960,1,0,True,
1293102,2024-10-20T15:20:00+00:00,FT,Regular Season - 8,Al Seeb,7504,Sohar,5336,3,1,True,4025
1293103,2024-10-28T13:10:00+00:00,FT,Regular Season - 9,Al Nasr,2878,Bahla,7505,1,1,True,4028
1293104,2024-10-28T15:30:00+00:00,FT,Regular Season - 9,Sohar,5336,Al-Nahda,5327,1,3,True,4029
1293105,2024-10-29T12:50:00+00:00,FT,Regular Season - 9,Ibri,15960,Sur,5337,2,0,True,11254
1293106,2024-10-29T15:10:00+00:00,FT,Regular Season - 9,Al-Shabab,5329,Saham,5335,0,3,True,
1293107,2024-10-30T14:00:00+00:00,FT,Regular Season - 9,Al-Rustaq,5328,Al-Khabourah,11380,0,2,True,
1293109,2024-11-02T12:45:00+00:00,FT,Regular Season - 10,Bahla,7505,Ibri,15960,0,1,True,11254
1293113,2024-11-02T14:05:00+00:00,FT,Regular Season - 10,Al-Nahda,5327,Oman Club,5334,0,0,True,4026
1293110,2024-11-02T15:20:00+00:00,FT,Regular Season - 10,Sohar,5336,Saham,5335,1,0,True,4029
1293111,2024-11-03T12:45:00+00:00,FT,Regular Season - 10,Al-Khabourah,11380,Al Nasr,2878,0,1,True,
1293112,2024-11-03T15:00:00+00:00,FT,Regular Season - 10,Sur,5337,Al-Shabab,5329,1,0,True,4024
1275572,2024-11-06T12:45:00+00:00,FT,Regular Season - 2,Saham,5335,Bahla,7505,1,1,True,4029
1293116,2024-11-25T13:05:00+00:00,FT,Regular Season - 11,Al Nasr,2878,Al Seeb,7504,1,3,True,4028
1293117,2024-11-25T15:20:00+00:00,FT,Regular Season - 11,Oman Club,5334,Sohar,5336,2,1,True,4025
1293118,2024-11-26T12:40:00+00:00,FT,Regular Season - 11,Saham,5335,Sur,5337,1,0,True,4029
1293119,2024-11-26T15:00:00+00:00,FT,Regular Season - 11,Al-Rustaq,5328,Al-Nahda,5327,1,1,True,
1293115,2024-11-27T12:40:00+00:00,FT,Regular Season - 11,Al-Shabab,5329,Bahla,7505,1,0,True,
1293120,2024-11-27T15:00:00+00:00,FT,Regular Season - 11,Ibri,15960,Al-Khabourah,11380,1,0,True,4027
1293108,2024-11-30T13:50:00+00:00,FT,Regular Season - 9,Oman Club,5334,Al Seeb,7504,0,2,True,4025
1293114,2024-12-10T13:55:00+00:00,FT,Regular Season - 10,Al Seeb,7504,Al-Rustaq,5328,3,0,True,4025
1275575,2024-12-11T12:40:00+00:00,FT,Regular Season - 3,Al-Khabourah,11380,Bahla,7505,1,3,True,
1293095,2024-12-15T14:05:00+00:00,FT,Regular Season - 7,Al-Nahda,5327,Al Seeb,7504,1,3,True,
1293094,2025-01-09T13:00:00+00:00,FT,Regular Season - 7,Al-Rustaq,5328,Sur,5337,0,0,True,
1293092,2025-01-09T13:00:00+00:00,FT,Regular Season - 7,Ibri,15960,Saham,5335,1,1,True,4027
1293091,2025-01-10T13:25:00+00:00,FT,Regular Season - 7,Al Nasr,2878,Al-Shabab,5329,0,4,True,4028
1293093,2025-01-10T14:10:00+00:00,FT,Regular Season - 7,Oman Club,5334,Bahla,7505,0,1,True,4025
1293096,2025-01-10T15:30:00+00:00,FT,Regular Season - 7,Sohar,5336,Al-Khabourah,11380,1,2,True,4029
1334107,2025-01-22T13:00:00+00:00,FT,Regular Season - 12,Sur,5337,Bahla,7505,0,3,True,4024
1334108,2025-01-22T15:30:00+00:00,FT,Regular Season - 12,Saham,5335,Oman Club,5334,0,1,True,4029
1334109,2025-01-23T13:30:00+00:00,FT,Regular Season - 12,Al Nasr,2878,Al-Nahda,5327,0,2,True,4028
1334110,2025-01-23T15:45:00+00:00,FT,Regular Season - 12,Al-Rustaq,5328,Sohar,5336,1,1,True,
1334111,2025-01-24T13:15:00+00:00,FT,Regular Season - 12,Ibri,15960,Al Seeb,7504,0,2,True,4027
1334112,2025-01-24T15:30:00+00:00,FT,Regular Season - 12,Al-Shabab,5329,Al-Khabourah,11380,0,1,True,
