fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1437440,2025-09-14T18:00:00+00:00,CANC,Apertura - 8,Deportivo Binacional,2550,ADT,10492,,,False,1811
1335674,2025-02-07T20:00:00+00:00,FT,Apertura - 1,Sport Huancayo,2555,Alianza Atletico,2560,2,1,True,1239
1335673,2025-02-08T18:00:00+00:00,FT,Apertura - 1,FBC Melgar,2554,UTC Cajamarca,2539,3,0,True,
1335669,2025-02-08T20:15:00+00:00,FT,Apertura - 1,Atletico Grau,2564,Ayacucho FC,2542,1,0,True,1920
1335670,2025-02-09T00:00:00+00:00,FT,Apertura - 1,Alianza Lima,2553,Cusco,10013,3,0,True,1230
1335672,2025-02-09T18:00:00+00:00,FT,Apertura - 1,Alianza Universidad,2548,Sporting Cristal,2546,2,2,True,
1335675,2025-02-09T20:00:00+00:00,FT,Apertura - 1,Sport Boys,2544,Juan Pablo II College,22479,1,0,True,
1335671,2025-02-09T20:30:00+00:00,FT,Apertura - 1,Comerciantes Unidos,2558,Universitario,2540,1,1,True,1810
1335676,2025-02-09T23:00:00+00:00,FT,Apertura - 1,Cienciano,2562,ADT,10492,2,2,True,1233
1335677,2025-02-10T20:00:00+00:00,FT,Apertura - 1,Club Deportivo Los Chankas,2572,Deportivo Garcilaso,20960,2,2,True,1875
1335682,2025-02-14T22:30:00+00:00,FT,Apertura - 2,Cusco,10013,FBC Melgar,2554,0,1,True,1233
1335681,2025-02-15T16:00:00+00:00,FT,Apertura - 2,UTC Cajamarca,2539,Deportivo Binacional,2550,0,4,True,7052
1335678,2025-02-15T18:00:00+00:00,FT,Apertura - 2,ADT,10492,Atletico Grau,2564,4,3,True,
1335683,2025-02-15T20:30:00+00:00,FT,Apertura - 2,Alianza Atletico,2560,Alianza Lima,2553,3,1,True,1920
1335686,2025-02-16T00:30:00+00:00,FT,Apertura - 2,Universitario,2540,Cienciano,2562,3,2,True,1242
1335680,2025-02-16T16:00:00+00:00,FT,Apertura - 2,Sporting Cristal,2546,Sport Boys,2544,2,1,True,1240
1335679,2025-02-16T18:15:00+00:00,FT,Apertura - 2,Juan Pablo II College,22479,Sport Huancayo,2555,0,1,True,
1335685,2025-02-16T20:30:00+00:00,FT,Apertura - 2,Deportivo Garcilaso,20960,Comerciantes Unidos,2558,2,1,True,1233
1335684,2025-02-17T20:00:00+00:00,FT,Apertura - 2,Ayacucho FC,2542,Alianza Universidad,2548,3,2,True,1236
1340306,2025-02-22T01:00:00+00:00,FT,Apertura - 3,Alianza Lima,2553,Juan Pablo II College,22479,1,0,True,1230
1340307,2025-02-22T18:00:00+00:00,FT,Apertura - 3,Comerciantes Unidos,2558,Club Deportivo Los Chankas,2572,1,1,True,1810
1340308,2025-02-22T20:00:00+00:00,FT,Apertura - 3,Sport Boys,2544,Ayacucho FC,2542,2,1,True,
1340309,2025-02-22T20:30:00+00:00,FT,Apertura - 3,Sport Huancayo,2555,Sporting Cristal,2546,0,1,True,1239
1340310,2025-02-23T00:00:00+00:00,FT,Apertura - 3,Cienciano,2562,Deportivo Garcilaso,20960,2,3,True,1233
1340311,2025-02-23T18:00:00+00:00,FT,Apertura - 3,Alianza Universidad,2548,ADT,10492,2,3,True,
1340313,2025-02-24T00:00:00+00:00,FT,Apertura - 3,FBC Melgar,2554,Alianza Atletico,2560,2,1,True,
1340314,2025-02-24T23:00:00+00:00,FT,Apertura - 3,Deportivo Binacional,2550,Cusco,10013,1,2,True,1811
1340323,2025-02-27T20:30:00+00:00,FT,Apertura - 4,ADT,10492,Sport Boys,2544,2,2,True,
1340320,2025-02-28T20:00:00+00:00,FT,Apertura - 4,Deportivo Garcilaso,20960,Atletico Grau,2564,2,0,True,1233
1340316,2025-03-01T18:00:00+00:00,FT,Apertura - 4,Cusco,10013,UTC Cajamarca,2539,1,1,True,1233
1340321,2025-03-01T20:30:00+00:00,FT,Apertura - 4,Alianza Atletico,2560,Deportivo Binacional,2550,4,1,True,1920
1340322,2025-03-02T01:00:00+00:00,FT,Apertura - 4,Sporting Cristal,2546,Alianza Lima,2553,1,2,True,1240
