fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
947400,2023-04-04T17:00:00+00:00,CANC,Group B - 24,Machico,4764,Guarda Desportiva,17384,,,False,3608
947234,2022-09-17T12:00:00+00:00,FT,Group B - 1,Salgueiros,4859,Gondomar,4750,0,0,True,11027
947235,2022-09-18T14:00:00+00:00,FT,Group B - 1,Machico,4764,Castro Daire,6353,2,2,True,3608
947239,2022-09-18T14:00:00+00:00,FT,Group B - 1,Valadares Gaia,4805,Marítimo II,9911,2,1,True,10890
947236,2022-09-18T14:00:00+00:00,FT,Group B - 1,Camacha,4828,Beira-Mar,4661,0,1,True,10844
947237,2022-09-18T14:00:00+00:00,FT,Group B - 1,Rebordosa,6365,Lusitânia Lourosa,6358,2,1,True,4703
947233,2022-09-18T14:00:00+00:00,FT,Group B - 1,Resende,13162,Leça,4757,0,1,True,21929
947238,2022-09-18T14:00:00+00:00,FT,Group B - 1,Alpendorada,17775,Guarda Desportiva,17384,0,0,True,12405
947244,2022-09-25T14:00:00+00:00,FT,Group B - 2,Gondomar,4750,Resende,13162,3,2,True,3595
947241,2022-09-25T14:00:00+00:00,FT,Group B - 2,Leça,4757,Machico,4764,4,0,True,3601
947240,2022-09-25T14:00:00+00:00,FT,Group B - 2,Castro Daire,6353,Camacha,4828,1,1,True,4696
947245,2022-09-25T14:00:00+00:00,FT,Group B - 2,Lusitânia Lourosa,6358,Salgueiros,4859,0,1,True,4700
947242,2022-09-25T14:00:00+00:00,FT,Group B - 2,Marítimo II,9911,Alpendorada,17775,1,1,True,6988
947246,2022-09-25T14:00:00+00:00,FT,Group B - 2,Guarda Desportiva,17384,Rebordosa,6365,3,1,True,10893
947243,2022-09-25T15:00:00+00:00,FT,Group B - 2,Beira-Mar,4661,Valadares Gaia,4805,1,1,True,3513
947253,2022-10-09T10:00:00+00:00,FT,Group B - 3,Rebordosa,6365,Marítimo II,9911,2,0,True,4703
947251,2022-10-09T14:00:00+00:00,FT,Group B - 3,Gondomar,4750,Lusitânia Lourosa,6358,0,0,True,3595
947249,2022-10-09T14:00:00+00:00,FT,Group B - 3,Valadares Gaia,4805,Castro Daire,6353,0,0,True,10890
947247,2022-10-09T14:00:00+00:00,FT,Group B - 3,Camacha,4828,Leça,4757,1,0,True,10844
947252,2022-10-09T14:00:00+00:00,FT,Group B - 3,Salgueiros,4859,Guarda Desportiva,17384,2,0,True,11027
947248,2022-10-09T14:00:00+00:00,FT,Group B - 3,Resende,13162,Machico,4764,1,2,True,21929
947250,2022-10-09T14:00:00+00:00,FT,Group B - 3,Alpendorada,17775,Beira-Mar,4661,0,4,True,12405
947254,2022-10-23T14:00:00+00:00,FT,Group B - 4,Leça,4757,Valadares Gaia,4805,3,1,True,3601
947255,2022-10-23T14:00:00+00:00,FT,Group B - 4,Machico,4764,Camacha,4828,0,1,True,3608
947256,2022-10-23T14:00:00+00:00,FT,Group B - 4,Castro Daire,6353,Alpendorada,17775,1,0,True,4696
947259,2022-10-23T14:00:00+00:00,FT,Group B - 4,Lusitânia Lourosa,6358,Resende,13162,3,3,True,4700
947260,2022-10-23T14:00:00+00:00,FT,Group B - 4,Marítimo II,9911,Salgueiros,4859,2,1,True,6988
947257,2022-10-23T14:00:00+00:00,FT,Group B - 4,Guarda Desportiva,17384,Gondomar,4750,1,1,True,10893
947258,2022-10-23T15:00:00+00:00,FT,Group B - 4,Beira-Mar,4661,Rebordosa,6365,1,3,True,3513
947262,2022-10-30T15:00:00+00:00,FT,Group B - 5,Valadares Gaia,4805,Machico,4764,2,1,True,10890
947265,2022-10-30T15:00:00+00:00,FT,Group B - 5,Salgueiros,4859,Beira-Mar,4661,1,0,True,11027
947266,2022-10-30T15:00:00+00:00,FT,Group B - 5,Lusitânia Lourosa,6358,Guarda Desportiva,17384,4,1,True,4700
947263,2022-10-30T15:00:00+00:00,FT,Group B - 5,Rebordosa,6365,Castro Daire,6353,2,0,True,4703
947264,2022-10-30T15:00:00+00:00,FT,Group B - 5,Resende,13162,Camacha,4828,0,1,True,21929
947261,2022-10-30T15:00:00+00:00,FT,Group B - 5,Alpendorada,17775,Leça,4757,2,1,True,12405
947267,2022-10-30T16:00:00+00:00,FT,Group B - 5,Gondomar,4750,Marítimo II,9911,1,0,True,1289
947269,2022-11-05T15:00:00+00:00,FT,Group B - 6,Camacha,4828,Valadares Gaia,4805,2,2,True,10844
947272,2022-11-05T16:00:00+00:00,FT,Group B - 6,Beira-Mar,4661,Gondomar,4750,0,0,True,3513
947268,2022-11-06T15:00:00+00:00,FT,Group B - 6,Leça,4757,Rebordosa,6365,1,0,True,3601
947270,2022-11-06T15:00:00+00:00,FT,Group B - 6,Machico,4764,Alpendorada,17775,0,0,True,3608
947271,2022-11-06T15:00:00+00:00,FT,Group B - 6,Castro Daire,6353,Salgueiros,4859,1,2,True,4696
947274,2022-11-06T15:00:00+00:00,FT,Group B - 6,Marítimo II,9911,Lusitânia Lourosa,6358,1,1,True,6988
947273,2022-11-06T15:00:00+00:00,FT,Group B - 6,Guarda Desportiva,17384,Resende,13162,0,3,True,10893
947280,2022-11-13T11:00:00+00:00,FT,Group B - 7,Guarda Desportiva,17384,Marítimo II,9911,0,1,True,10893
947278,2022-11-13T13:00:00+00:00,FT,Group B - 7,Lusitânia Lourosa,6358,Beira-Mar,4661,2,2,True,4700
947281,2022-11-13T15:00:00+00:00,FT,Group B - 7,Gondomar,4750,Castro Daire,6353,3,1,True,3595
947279,2022-11-13T15:00:00+00:00,FT,Group B - 7,Salgueiros,4859,Leça,4757,2,1,True,11027
947276,2022-11-13T15:00:00+00:00,FT,Group B - 7,Rebordosa,6365,Machico,4764,2,1,True,4703
947277,2022-11-13T15:00:00+00:00,FT,Group B - 7,Resende,13162,Valadares Gaia,4805,2,1,True,21929
947275,2022-11-13T15:00:00+00:00,FT,Group B - 7,Alpendorada,17775,Camacha,4828,3,2,True,12405
947284,2022-11-20T15:00:00+00:00,FT,Group B - 8,Leça,4757,Gondomar,4750,0,2,True,3601
947282,2022-11-20T15:00:00+00:00,FT,Group B - 8,Machico,4764,Salgueiros,4859,0,2,True,3608
947285,2022-11-20T15:00:00+00:00,FT,Group B - 8,Valadares Gaia,4805,Alpendorada,17775,2,0,True,10890
947283,2022-11-20T15:00:00+00:00,FT,Group B - 8,Camacha,4828,Rebordosa,6365,0,2,True,10844
947286,2022-11-20T15:00:00+00:00,FT,Group B - 8,Castro Daire,6353,Lusitânia Lourosa,6358,0,2,True,4696
947287,2022-11-20T15:00:00+00:00,FT,Group B - 8,Marítimo II,9911,Resende,13162,1,0,True,6988
947288,2022-11-20T16:00:00+00:00,FT,Group B - 8,Beira-Mar,4661,Guarda Desportiva,17384,3,1,True,3513
947292,2022-11-27T15:00:00+00:00,FT,Group B - 9,Gondomar,4750,Machico,4764,3,2,True,3595
947289,2022-11-27T15:00:00+00:00,FT,Group B - 9,Salgueiros,4859,Camacha,4828,0,2,True,11027
947293,2022-11-27T15:00:00+00:00,FT,Group B - 9,Lusitânia Lourosa,6358,Leça,4757,1,0,True,4700
947291,2022-11-27T15:00:00+00:00,FT,Group B - 9,Rebordosa,6365,Valadares Gaia,4805,1,0,True,4703
947294,2022-11-27T15:00:00+00:00,FT,Group B - 9,Marítimo II,9911,Beira-Mar,4661,0,0,True,6988
947290,2022-11-27T15:00:00+00:00,FT,Group B - 9,Resende,13162,Alpendorada,17775,0,3,True,21929
947295,2022-11-27T15:00:00+00:00,FT,Group B - 9,Guarda Desportiva,17384,Castro Daire,6353,0,3,True,10893
947300,2022-12-04T15:00:00+00:00,FT,Group B - 10,Leça,4757,Guarda Desportiva,17384,2,0,True,3601
947299,2022-12-04T15:00:00+00:00,FT,Group B - 10,Machico,4764,Lusitânia Lourosa,6358,1,0,True,3608
947298,2022-12-04T15:00:00+00:00,FT,Group B - 10,Valadares Gaia,4805,Salgueiros,4859,0,1,True,10890
947296,2022-12-04T15:00:00+00:00,FT,Group B - 10,Camacha,4828,Gondomar,4750,0,2,True,10844
947302,2022-12-04T15:00:00+00:00,FT,Group B - 10,Castro Daire,6353,Marítimo II,9911,0,1,True,4696
947297,2022-12-04T15:00:00+00:00,FT,Group B - 10,Alpendorada,17775,Rebordosa,6365,0,3,True,12405
947301,2022-12-04T16:00:00+00:00,FT,Group B - 10,Beira-Mar,4661,Resende,13162,0,0,True,3513
947303,2022-12-11T15:00:00+00:00,FT,Group B - 11,Gondomar,4750,Valadares Gaia,4805,2,2,True,3595
947304,2022-12-11T15:00:00+00:00,FT,Group B - 11,Salgueiros,4859,Alpendorada,17775,5,4,True,11027
947305,2022-12-11T15:00:00+00:00,FT,Group B - 11,Lusitânia Lourosa,6358,Camacha,4828,2,1,True,4700
947309,2022-12-11T15:00:00+00:00,FT,Group B - 11,Marítimo II,9911,Leça,4757,3,0,True,6988
947306,2022-12-11T15:00:00+00:00,FT,Group B - 11,Resende,13162,Rebordosa,6365,2,2,True,21929
947307,2022-12-11T15:00:00+00:00,FT,Group B - 11,Guarda Desportiva,17384,Machico,4764,2,3,True,10893
947308,2022-12-11T17:00:00+00:00,FT,Group B - 11,Beira-Mar,4661,Castro Daire,6353,1,0,True,3513
947316,2022-12-18T15:00:00+00:00,FT,Group B - 12,Leça,4757,Beira-Mar,4661,1,0,True,3601
947314,2022-12-18T15:00:00+00:00,FT,Group B - 12,Machico,4764,Marítimo II,9911,0,2,True,3608
947310,2022-12-18T15:00:00+00:00,FT,Group B - 12,Valadares Gaia,4805,Lusitânia Lourosa,6358,2,0,True,10890
947313,2022-12-18T15:00:00+00:00,FT,Group B - 12,Camacha,4828,Guarda Desportiva,17384,4,1,True,10844
947311,2022-12-18T15:00:00+00:00,FT,Group B - 12,Rebordosa,6365,Salgueiros,4859,2,2,True,4703
947315,2022-12-18T15:00:00+00:00,FT,Group B - 12,Resende,13162,Castro Daire,6353,2,2,True,21929
947312,2022-12-18T15:00:00+00:00,FT,Group B - 12,Alpendorada,17775,Gondomar,4750,0,1,True,12405
947321,2023-01-07T15:00:00+00:00,FT,Group B - 13,Marítimo II,9911,Camacha,4828,2,0,True,6988
947323,2023-01-08T15:00:00+00:00,FT,Group B - 13,Beira-Mar,4661,Machico,4764,3,3,True,3513
947319,2023-01-08T15:00:00+00:00,FT,Group B - 13,Gondomar,4750,Rebordosa,6365,0,1,True,3595
947320,2023-01-08T15:00:00+00:00,FT,Group B - 13,Salgueiros,4859,Resende,13162,3,1,True,11027
947317,2023-01-08T15:00:00+00:00,FT,Group B - 13,Lusitânia Lourosa,6358,Alpendorada,17775,2,1,True,4700
947318,2023-01-08T15:00:00+00:00,FT,Group B - 13,Guarda Desportiva,17384,Valadares Gaia,4805,0,3,True,10893
947329,2023-01-15T15:00:00+00:00,FT,Group B - 14,Gondomar,4750,Salgueiros,4859,1,2,True,3595
947327,2023-01-15T15:00:00+00:00,FT,Group B - 14,Leça,4757,Resende,13162,0,1,True,3601
947325,2023-01-15T15:00:00+00:00,FT,Group B - 14,Castro Daire,6353,Machico,4764,0,1,True,4696
947330,2023-01-15T15:00:00+00:00,FT,Group B - 14,Lusitânia Lourosa,6358,Rebordosa,6365,2,0,True,4700
947328,2023-01-15T15:00:00+00:00,FT,Group B - 14,Guarda Desportiva,17384,Alpendorada,17775,2,2,True,10893
947326,2023-01-15T15:15:00+00:00,FT,Group B - 14,Marítimo II,9911,Valadares Gaia,4805,2,1,True,6988
947324,2023-01-15T16:00:00+00:00,FT,Group B - 14,Beira-Mar,4661,Camacha,4828,2,2,True,3513
947332,2023-01-22T15:00:00+00:00,FT,Group B - 15,Machico,4764,Leça,4757,0,1,True,3608
947331,2023-01-22T15:00:00+00:00,FT,Group B - 15,Valadares Gaia,4805,Beira-Mar,4661,0,2,True,10890
947333,2023-01-22T15:00:00+00:00,FT,Group B - 15,Camacha,4828,Castro Daire,6353,0,0,True,10844
947337,2023-01-22T15:00:00+00:00,FT,Group B - 15,Salgueiros,4859,Lusitânia Lourosa,6358,1,1,True,11027
947335,2023-01-22T15:00:00+00:00,FT,Group B - 15,Rebordosa,6365,Guarda Desportiva,17384,2,0,True,4703
947336,2023-01-22T15:00:00+00:00,FT,Group B - 15,Resende,13162,Gondomar,4750,2,1,True,21929
947334,2023-01-22T15:00:00+00:00,FT,Group B - 15,Alpendorada,17775,Marítimo II,9911,2,0,True,12405
947340,2023-01-29T15:00:00+00:00,FT,Group B - 16,Leça,4757,Camacha,4828,1,1,True,3601
947341,2023-01-29T15:00:00+00:00,FT,Group B - 16,Machico,4764,Resende,13162,3,2,True,3608
947338,2023-01-29T15:00:00+00:00,FT,Group B - 16,Castro Daire,6353,Valadares Gaia,4805,0,1,True,4696
947343,2023-01-29T15:00:00+00:00,FT,Group B - 16,Lusitânia Lourosa,6358,Gondomar,4750,4,0,True,4700
947344,2023-01-29T15:00:00+00:00,FT,Group B - 16,Guarda Desportiva,17384,Salgueiros,4859,0,1,True,10893
947342,2023-01-29T15:15:00+00:00,FT,Group B - 16,Marítimo II,9911,Rebordosa,6365,1,1,True,6988
947339,2023-01-29T16:00:00+00:00,FT,Group B - 16,Beira-Mar,4661,Alpendorada,17775,2,1,True,3513
947351,2023-02-05T15:00:00+00:00,FT,Group B - 17,Gondomar,4750,Guarda Desportiva,17384,2,2,True,3595
947347,2023-02-05T15:00:00+00:00,FT,Group B - 17,Valadares Gaia,4805,Leça,4757,2,2,True,10890
947346,2023-02-05T15:00:00+00:00,FT,Group B - 17,Camacha,4828,Machico,4764,1,1,True,10844
947349,2023-02-05T15:00:00+00:00,FT,Group B - 17,Salgueiros,4859,Marítimo II,9911,1,1,True,11027
947348,2023-02-05T15:00:00+00:00,FT,Group B - 17,Rebordosa,6365,Beira-Mar,4661,0,0,True,4703
947350,2023-02-05T15:00:00+00:00,FT,Group B - 17,Resende,13162,Lusitânia Lourosa,6358,0,3,True,21929
947345,2023-02-05T15:00:00+00:00,FT,Group B - 17,Alpendorada,17775,Castro Daire,6353,1,0,True,12405
947356,2023-02-12T15:00:00+00:00,FT,Group B - 18,Beira-Mar,4661,Salgueiros,4859,2,1,True,3513
947352,2023-02-12T15:00:00+00:00,FT,Group B - 18,Leça,4757,Alpendorada,17775,0,1,True,3601
947354,2023-02-12T15:00:00+00:00,FT,Group B - 18,Machico,4764,Valadares Gaia,4805,0,2,True,3608
947353,2023-02-12T15:00:00+00:00,FT,Group B - 18,Camacha,4828,Resende,13162,2,1,True,10844
947355,2023-02-12T15:00:00+00:00,FT,Group B - 18,Castro Daire,6353,Rebordosa,6365,2,2,True,4696
947358,2023-02-12T15:00:00+00:00,FT,Group B - 18,Marítimo II,9911,Gondomar,4750,2,2,True,6988
947357,2023-02-12T15:00:00+00:00,FT,Group B - 18,Guarda Desportiva,17384,Lusitânia Lourosa,6358,0,2,True,10893
947363,2023-02-19T15:00:00+00:00,FT,Group B - 19,Gondomar,4750,Beira-Mar,4661,0,2,True,3595
947360,2023-02-19T15:00:00+00:00,FT,Group B - 19,Valadares Gaia,4805,Camacha,4828,3,0,True,10890
947362,2023-02-19T15:00:00+00:00,FT,Group B - 19,Salgueiros,4859,Castro Daire,6353,1,1,True,11027
947365,2023-02-19T15:00:00+00:00,FT,Group B - 19,Lusitânia Lourosa,6358,Marítimo II,9911,3,1,True,4700
947359,2023-02-19T15:00:00+00:00,FT,Group B - 19,Rebordosa,6365,Leça,4757,1,1,True,4703
947364,2023-02-19T15:00:00+00:00,FT,Group B - 19,Resende,13162,Guarda Desportiva,17384,2,4,True,21929
947361,2023-02-19T15:00:00+00:00,FT,Group B - 19,Alpendorada,17775,Machico,4764,2,2,True,12405
947370,2023-02-26T15:00:00+00:00,FT,Group B - 20,Leça,4757,Salgueiros,4859,1,2,True,3601
947368,2023-02-26T15:00:00+00:00,FT,Group B - 20,Machico,4764,Rebordosa,6365,2,2,True,3608
947367,2023-02-26T15:00:00+00:00,FT,Group B - 20,Valadares Gaia,4805,Resende,13162,2,2,True,10890
947366,2023-02-26T15:00:00+00:00,FT,Group B - 20,Camacha,4828,Alpendorada,17775,0,1,True,10844
947372,2023-02-26T15:00:00+00:00,FT,Group B - 20,Castro Daire,6353,Gondomar,4750,0,0,True,4696
947371,2023-02-26T15:00:00+00:00,FT,Group B - 20,Marítimo II,9911,Guarda Desportiva,17384,3,0,True,6988
947369,2023-02-26T19:00:00+00:00,FT,Group B - 20,Beira-Mar,4661,Lusitânia Lourosa,6358,1,2,True,3513
947375,2023-03-05T15:00:00+00:00,FT,Group B - 21,Gondomar,4750,Leça,4757,2,0,True,3595
947373,2023-03-05T15:00:00+00:00,FT,Group B - 21,Salgueiros,4859,Machico,4764,2,0,True,11027
947377,2023-03-05T15:00:00+00:00,FT,Group B - 21,Lusitânia Lourosa,6358,Castro Daire,6353,2,1,True,4700
947374,2023-03-05T15:00:00+00:00,FT,Group B - 21,Rebordosa,6365,Camacha,4828,2,0,True,4703
947378,2023-03-05T15:00:00+00:00,FT,Group B - 21,Resende,13162,Marítimo II,9911,1,2,True,21929
947379,2023-03-05T15:00:00+00:00,FT,Group B - 21,Guarda Desportiva,17384,Beira-Mar,4661,1,2,True,10893
947376,2023-03-05T15:00:00+00:00,FT,Group B - 21,Alpendorada,17775,Valadares Gaia,4805,1,3,True,12405
947385,2023-03-12T15:00:00+00:00,FT,Group B - 22,Beira-Mar,4661,Marítimo II,9911,2,1,True,3513
947384,2023-03-12T15:00:00+00:00,FT,Group B - 22,Leça,4757,Lusitânia Lourosa,6358,1,2,True,3601
947383,2023-03-12T15:00:00+00:00,FT,Group B - 22,Machico,4764,Gondomar,4750,2,0,True,3608
947382,2023-03-12T15:00:00+00:00,FT,Group B - 22,Valadares Gaia,4805,Rebordosa,6365,1,1,True,10890
947380,2023-03-12T15:00:00+00:00,FT,Group B - 22,Camacha,4828,Salgueiros,4859,2,1,True,10844
947386,2023-03-12T15:00:00+00:00,FT,Group B - 22,Castro Daire,6353,Guarda Desportiva,17384,4,0,True,4696
947381,2023-03-12T15:00:00+00:00,FT,Group B - 22,Alpendorada,17775,Resende,13162,2,0,True,12405
947393,2023-03-18T15:00:00+00:00,FT,Group B - 23,Marítimo II,9911,Castro Daire,6353,5,1,True,6988
947387,2023-03-19T15:00:00+00:00,FT,Group B - 23,Gondomar,4750,Camacha,4828,2,1,True,3595
947390,2023-03-19T15:00:00+00:00,FT,Group B - 23,Salgueiros,4859,Valadares Gaia,4805,1,1,True,11027
947389,2023-03-19T15:00:00+00:00,FT,Group B - 23,Lusitânia Lourosa,6358,Machico,4764,2,0,True,4700
947388,2023-03-19T15:00:00+00:00,FT,Group B - 23,Rebordosa,6365,Alpendorada,17775,2,1,True,4703
947392,2023-03-19T15:00:00+00:00,FT,Group B - 23,Resende,13162,Beira-Mar,4661,0,1,True,21929
947391,2023-03-19T15:00:00+00:00,FT,Group B - 23,Guarda Desportiva,17384,Leça,4757,1,5,True,10893
947322,2023-03-26T14:00:00+00:00,FT,Group B - 13,Castro Daire,6353,Leça,4757,0,2,True,4696
947397,2023-04-02T12:00:00+00:00,FT,Group B - 24,Camacha,4828,Lusitânia Lourosa,6358,1,1,True,10844
947399,2023-04-02T15:00:00+00:00,FT,Group B - 24,Leça,4757,Marítimo II,9911,0,3,True,3601
947396,2023-04-02T15:00:00+00:00,FT,Group B - 24,Valadares Gaia,4805,Gondomar,4750,3,2,True,10890
947398,2023-04-02T15:00:00+00:00,FT,Group B - 24,Castro Daire,6353,Beira-Mar,4661,0,1,True,4696
947395,2023-04-02T15:00:00+00:00,FT,Group B - 24,Rebordosa,6365,Resende,13162,3,1,True,4703
947394,2023-04-02T15:00:00+00:00,FT,Group B - 24,Alpendorada,17775,Salgueiros,4859,0,1,True,12405
947407,2023-04-08T14:00:00+00:00,FT,Group B - 25,Marítimo II,9911,Machico,4764,1,1,True,6988
947404,2023-04-08T15:00:00+00:00,FT,Group B - 25,Beira-Mar,4661,Leça,4757,1,0,True,3513
947401,2023-04-08T15:00:00+00:00,FT,Group B - 25,Gondomar,4750,Alpendorada,17775,3,1,True,3595
947402,2023-04-08T15:00:00+00:00,FT,Group B - 25,Salgueiros,4859,Rebordosa,6365,1,1,True,11027
947406,2023-04-08T15:00:00+00:00,FT,Group B - 25,Castro Daire,6353,Resende,13162,3,1,True,4696
947403,2023-04-08T15:00:00+00:00,FT,Group B - 25,Lusitânia Lourosa,6358,Valadares Gaia,4805,1,1,True,4700
947405,2023-04-08T15:00:00+00:00,FT,Group B - 25,Guarda Desportiva,17384,Camacha,4828,1,2,True,10893
947412,2023-04-16T15:00:00+00:00,FT,Group B - 26,Leça,4757,Castro Daire,6353,1,0,True,3601
947411,2023-04-16T15:00:00+00:00,FT,Group B - 26,Machico,4764,Beira-Mar,4661,1,1,True,3608
947414,2023-04-16T15:00:00+00:00,FT,Group B - 26,Valadares Gaia,4805,Guarda Desportiva,17384,1,1,True,10890
947413,2023-04-16T15:00:00+00:00,FT,Group B - 26,Camacha,4828,Marítimo II,9911,3,2,True,10844
947408,2023-04-16T15:00:00+00:00,FT,Group B - 26,Rebordosa,6365,Gondomar,4750,2,0,True,4703
947409,2023-04-16T15:00:00+00:00,FT,Group B - 26,Resende,13162,Salgueiros,4859,1,2,True,21929
947410,2023-04-16T15:00:00+00:00,FT,Group B - 26,Alpendorada,17775,Lusitânia Lourosa,6358,1,6,True,12405
