fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1115530,2023-09-08T16:00:00+00:00,AET,1st Round,Os Limianos,4776,Varzim,237,2,2,False,3620
1115533,2023-09-09T10:00:00+00:00,AET,1st Round,União Lamas,4864,Paredes,4778,2,2,False,3686
1115512,2023-09-09T14:00:00+00:00,AET,1st Round,Peniche,4782,Marinhense,4845,1,1,False,3626
1115543,2023-09-09T14:30:00+00:00,FT,1st Round,Flamengos,4841,Fontinhas,6355,0,2,True,
1115539,2023-09-09T16:30:00+00:00,AET,1st Round,Academica,239,União de Coimbra,17391,3,0,False,1263
1115544,2023-09-10T11:00:00+00:00,FT,1st Round,Guadalupe,4842,Fabril Barreiro,4882,0,1,True,3668
1115526,2023-09-10T13:00:00+00:00,AET,1st Round,Fafe,809,Felgueiras 1932,4744,1,2,False,2814
1115515,2023-09-10T14:00:00+00:00,FT,1st Round,Alverca,4724,Gavionenses,4884,13,0,True,3572
1115511,2023-09-10T14:00:00+00:00,FT,1st Round,Amora,4726,Vitória do Pico,22170,8,0,True,3574
1115518,2023-09-10T14:00:00+00:00,FT,1st Round,Juventude Évora,4755,Portel,22166,3,0,True,3599
1115520,2023-09-10T14:00:00+00:00,FT,1st Round,Louletano,4758,Imortal Albufeira,17385,1,0,True,3602
1115535,2023-09-10T14:00:00+00:00,FT,1st Round,Lusitano FCV,4761,Tocha,4863,0,2,True,3605
1115541,2023-09-10T14:00:00+00:00,FT,1st Round,Valadares Gaia,4805,Torre de Moncorvo,4893,4,0,True,10890
1115542,2023-09-10T14:00:00+00:00,FT,1st Round,Vila Real,4812,Ribeirão,17778,0,2,True,
1115538,2023-09-10T14:00:00+00:00,FT,1st Round,AD Fornos Algodres,4819,Oliveira Hospital,4773,0,5,True,3650
1115523,2023-09-10T14:00:00+00:00,FT,1st Round,Castrense,4830,Penedo Gordo,6361,1,0,True,3659
1115531,2023-09-10T14:00:00+00:00,FT,1st Round,Mondinense,4848,Montalegre,4770,0,2,True,3673
1115524,2023-09-10T14:00:00+00:00,AET,1st Round,Pêro Pinheiro,4854,Caldas,4733,1,1,False,3678
1115528,2023-09-10T14:00:00+00:00,FT,1st Round,Salgueiros,4859,Foz,15206,2,0,True,11027
1115534,2023-09-10T14:00:00+00:00,FT,1st Round,Lusitânia Lourosa,6358,Régua,4790,10,0,True,4700
1115532,2023-09-10T14:00:00+00:00,FT,1st Round,Rebordelo,6364,Sandinenses,22088,1,3,True,22603
1115527,2023-09-10T14:00:00+00:00,FT,1st Round,Rebordosa,6365,Lobão,22161,2,1,True,4703
1115514,2023-09-10T14:00:00+00:00,FT,1st Round,União Santarém,6369,Proença-a-Nova,22167,6,0,True,10892
1115517,2023-09-10T14:00:00+00:00,FT,1st Round,Real,10149,CD Olivais e Moscavide,17776,1,2,True,7139
