fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1231291,2024-08-09T15:30:00+00:00,FT,Regular Season - 1,Al-Rayyan SC,2897,UMM Salal,2899,3,1,True,
1231292,2024-08-09T17:30:00+00:00,FT,Regular Season - 1,Al-Khor,2901,Al-Gharafa,2903,0,0,True,
1231293,2024-08-10T15:30:00+00:00,FT,Regular Season - 1,Qatar SC,2907,Al-Duhail SC,2904,1,6,True,19746
1231294,2024-08-10T17:30:00+00:00,FT,Regular Season - 1,Al Shamal,2916,Al Sadd,2895,2,1,True,
1231295,2024-08-11T15:30:00+00:00,FT,Regular Season - 1,Al Wakrah,2900,Al Ahli Doha,2896,2,2,True,
1231362,2024-08-11T17:30:00+00:00,FT,Regular Season - 1,Al Shahaniya,2893,Al-Arabi SC,2905,0,0,True,
1231297,2024-08-16T15:30:00+00:00,FT,Regular Season - 2,UMM Salal,2899,Al Shamal,2916,3,2,True,
1231298,2024-08-16T17:30:00+00:00,FT,Regular Season - 2,Al-Duhail SC,2904,Al-Rayyan SC,2897,4,0,True,19746
1231299,2024-08-17T15:30:00+00:00,FT,Regular Season - 2,Qatar SC,2907,Al Sadd,2895,1,5,True,19746
1231300,2024-08-17T17:30:00+00:00,FT,Regular Season - 2,Al-Arabi SC,2905,Al Wakrah,2900,1,1,True,
1231301,2024-08-18T15:30:00+00:00,FT,Regular Season - 2,Al-Khor,2901,Al Shahaniya,2893,0,0,True,
1231302,2024-08-18T17:30:00+00:00,FT,Regular Season - 2,Al Ahli Doha,2896,Al-Gharafa,2903,1,0,True,
1231303,2024-08-22T15:30:00+00:00,FT,Regular Season - 3,Al-Duhail SC,2904,UMM Salal,2899,1,0,True,19746
1231305,2024-08-22T17:30:00+00:00,FT,Regular Season - 3,Al Sadd,2895,Al-Arabi SC,2905,5,0,True,
1231304,2024-08-22T17:30:00+00:00,FT,Regular Season - 3,Al Shamal,2916,Qatar SC,2907,0,1,True,
1231306,2024-08-23T15:30:00+00:00,FT,Regular Season - 3,Al-Gharafa,2903,Al-Rayyan SC,2897,2,1,True,
1231308,2024-08-23T17:30:00+00:00,FT,Regular Season - 3,Al Shahaniya,2893,Al Wakrah,2900,0,1,True,
1231307,2024-08-23T17:30:00+00:00,FT,Regular Season - 3,Al Ahli Doha,2896,Al-Khor,2901,2,1,True,
1231309,2024-09-13T15:00:00+00:00,FT,Regular Season - 4,Al-Rayyan SC,2897,Al Shahaniya,2893,4,2,True,
1231312,2024-09-13T15:00:00+00:00,FT,Regular Season - 4,Al-Gharafa,2903,Al Shamal,2916,1,1,True,
1231311,2024-09-13T17:00:00+00:00,FT,Regular Season - 4,Al Sadd,2895,UMM Salal,2899,1,3,True,
1231314,2024-09-14T15:00:00+00:00,FT,Regular Season - 4,Al-Arabi SC,2905,Al-Khor,2901,1,1,True,
1231313,2024-09-14T15:00:00+00:00,FT,Regular Season - 4,Qatar SC,2907,Al Ahli Doha,2896,0,1,True,19746
1231310,2024-09-14T17:00:00+00:00,FT,Regular Season - 4,Al Wakrah,2900,Al-Duhail SC,2904,0,2,True,
1231317,2024-09-21T15:00:00+00:00,FT,Regular Season - 5,Al-Duhail SC,2904,Al Sadd,2895,5,1,True,19746
1231316,2024-09-21T17:00:00+00:00,FT,Regular Season - 5,UMM Salal,2899,Al Shahaniya,2893,4,2,True,
1231319,2024-09-21T17:00:00+00:00,FT,Regular Season - 5,Al-Khor,2901,Al Shamal,2916,1,2,True,
1231315,2024-09-22T15:00:00+00:00,FT,Regular Season - 5,Al-Rayyan SC,2897,Al Wakrah,2900,0,2,True,
1231320,2024-09-22T17:00:00+00:00,FT,Regular Season - 5,Al Ahli Doha,2896,Al-Arabi SC,2905,3,3,True,
1231318,2024-09-22T17:00:00+00:00,FT,Regular Season - 5,Qatar SC,2907,Al-Gharafa,2903,1,3,True,19746
1231321,2024-09-26T15:00:00+00:00,FT,Regular Season - 6,Al-Arabi SC,2905,Al-Rayyan SC,2897,2,1,True,
1231322,2024-09-26T17:00:00+00:00,FT,Regular Season - 6,Al Sadd,2895,Al-Gharafa,2903,4,2,True,
1231323,2024-09-26T17:00:00+00:00,FT,Regular Season - 6,Al Wakrah,2900,Al-Khor,2901,3,1,True,
1231325,2024-09-27T15:00:00+00:00,FT,Regular Season - 6,UMM Salal,2899,Qatar SC,2907,2,2,True,
1231326,2024-09-27T15:00:00+00:00,FT,Regular Season - 6,Al Shamal,2916,Al Ahli Doha,2896,2,4,True,
1231324,2024-09-27T17:00:00+00:00,FT,Regular Season - 6,Al Shahaniya,2893,Al-Duhail SC,2904,2,1,True,
1231327,2024-10-18T14:30:00+00:00,FT,Regular Season - 7,Al-Khor,2901,Al-Rayyan SC,2897,1,2,True,1301
1231329,2024-10-18T16:30:00+00:00,FT,Regular Season - 7,Al Sadd,2895,Al Shahaniya,2893,4,2,True,
1231331,2024-10-18T16:30:00+00:00,FT,Regular Season - 7,Al-Gharafa,2903,UMM Salal,2899,3,1,True,
1231332,2024-10-19T14:30:00+00:00,FT,Regular Season - 7,Al Shamal,2916,Al-Arabi SC,2905,5,2,True,1301
1231328,2024-10-19T16:30:00+00:00,FT,Regular Season - 7,Al Ahli Doha,2896,Al-Duhail SC,2904,0,1,True,
1231330,2024-10-19T16:30:00+00:00,FT,Regular Season - 7,Qatar SC,2907,Al Wakrah,2900,2,1,True,
1231338,2024-10-26T14:30:00+00:00,FT,Regular Season - 8,Al Shahaniya,2893,Al Shamal,2916,2,0,True,
1231337,2024-10-26T14:30:00+00:00,FT,Regular Season - 8,UMM Salal,2899,Al-Khor,2901,0,0,True,
1231333,2024-10-26T16:30:00+00:00,FT,Regular Season - 8,Al-Rayyan SC,2897,Al Ahli Doha,2896,2,2,True,
1231334,2024-10-27T14:30:00+00:00,FT,Regular Season - 8,Al Wakrah,2900,Al Sadd,2895,0,3,True,
1231335,2024-10-27T16:30:00+00:00,FT,Regular Season - 8,Al-Duhail SC,2904,Al-Gharafa,2903,1,1,True,1304
1231336,2024-10-27T16:30:00+00:00,FT,Regular Season - 8,Al-Arabi SC,2905,Qatar SC,2907,4,1,True,
1231344,2024-10-31T14:30:00+00:00,FT,Regular Season - 9,Al-Khor,2901,Qatar SC,2907,1,2,True,1301
1231340,2024-10-31T14:30:00+00:00,FT,Regular Season - 9,Al-Gharafa,2903,Al-Arabi SC,2905,3,1,True,
1231339,2024-10-31T16:30:00+00:00,FT,Regular Season - 9,Al Sadd,2895,Al-Rayyan SC,2897,2,1,True,
1231343,2024-11-01T14:30:00+00:00,FT,Regular Season - 9,Al Shamal,2916,Al-Duhail SC,2904,2,6,True,1301
1231341,2024-11-01T16:30:00+00:00,FT,Regular Season - 9,Al Ahli Doha,2896,Al Shahaniya,2893,2,1,True,
1231342,2024-11-01T16:30:00+00:00,FT,Regular Season - 9,Al Wakrah,2900,UMM Salal,2899,3,0,True,
1231345,2024-11-22T13:00:00+00:00,FT,Regular Season - 10,Al-Rayyan SC,2897,Al Shamal,2916,1,2,True,
1231346,2024-11-22T13:00:00+00:00,FT,Regular Season - 10,Al-Khor,2901,Al Sadd,2895,2,5,True,1301
1231347,2024-11-22T15:00:00+00:00,FT,Regular Season - 10,Al-Gharafa,2903,Al Wakrah,2900,3,1,True,
1231348,2024-11-23T12:00:00+00:00,FT,Regular Season - 10,Al-Arabi SC,2905,Al-Duhail SC,2904,0,5,True,
1231349,2024-11-23T14:30:00+00:00,FT,Regular Season - 10,UMM Salal,2899,Al Ahli Doha,2896,0,3,True,
1231350,2024-11-23T14:30:00+00:00,FT,Regular Season - 10,Qatar SC,2907,Al Shahaniya,2893,1,3,True,
