fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1098110,2023-08-05T15:30:00+00:00,FT,Regular Season - 1,Semendrija 1924,4254,Indjija,2631,2,0,True,3249
1098115,2023-08-05T15:30:00+00:00,FT,Regular Season - 1,Jedinstvo Ub,12319,RFK Novi Sad,20391,4,0,True,12141
1104970,2023-08-05T15:30:00+00:00,FT,Regular Season - 1,OFK Vršac,12329,Kolubara,2636,1,0,True,7861
1098113,2023-08-05T18:00:00+00:00,FT,Regular Season - 1,Sloboda Uzice,2641,OFK Beograd,2633,0,2,True,18676
1098114,2023-08-05T18:00:00+00:00,FT,Regular Season - 1,Metalac GM,2647,Grafičar,4252,1,3,True,1420
1098116,2023-08-06T15:30:00+00:00,FT,Regular Season - 1,Radnički Novi Beograd,12335,Dubočica,12312,2,0,True,7867
1098111,2023-08-06T15:30:00+00:00,FT,Regular Season - 1,Mladost Novi Sad,14261,Radnički Sr. Mitrovica,12338,1,1,True,1425
1098112,2023-08-06T18:00:00+00:00,FT,Regular Season - 1,Macva,2637,Tekstilac Odžaci,17438,0,0,True,1414
1098119,2023-08-11T15:30:00+00:00,FT,Regular Season - 2,Grafičar,4252,Jedinstvo Ub,12319,3,0,True,21264
1098117,2023-08-12T15:30:00+00:00,FT,Regular Season - 2,Indjija,2631,Dubočica,12312,2,2,True,19572
1098123,2023-08-12T15:30:00+00:00,FT,Regular Season - 2,Semendrija 1924,4254,Mladost Novi Sad,14261,1,1,True,3249
1098122,2023-08-12T15:30:00+00:00,FT,Regular Season - 2,Radnički Sr. Mitrovica,12338,OFK Vršac,12329,0,0,True,7870
1098121,2023-08-12T15:30:00+00:00,FT,Regular Season - 2,Tekstilac Odžaci,17438,Sloboda Uzice,2641,3,1,True,1413
1098120,2023-08-13T15:30:00+00:00,FT,Regular Season - 2,OFK Beograd,2633,Metalac GM,2647,4,1,True,2913
1098118,2023-08-13T15:30:00+00:00,FT,Regular Season - 2,RFK Novi Sad,20391,Radnički Novi Beograd,12335,1,1,True,2911
1104971,2023-08-13T18:00:00+00:00,FT,Regular Season - 2,Kolubara,2636,Macva,2637,3,2,True,2912
1098125,2023-08-18T15:00:00+00:00,FT,Regular Season - 3,OFK Vršac,12329,Semendrija 1924,4254,1,1,True,7861
1098126,2023-08-19T17:00:00+00:00,FT,Regular Season - 3,Macva,2637,Radnički Sr. Mitrovica,12338,3,0,True,1414
1104972,2023-08-19T17:00:00+00:00,FT,Regular Season - 3,Sloboda Uzice,2641,Kolubara,2636,0,0,True,18676
1098127,2023-08-19T17:00:00+00:00,FT,Regular Season - 3,Metalac GM,2647,Tekstilac Odžaci,17438,0,0,True,1420
1098128,2023-08-20T15:00:00+00:00,FT,Regular Season - 3,Jedinstvo Ub,12319,OFK Beograd,2633,0,3,True,12141
1098129,2023-08-20T15:00:00+00:00,FT,Regular Season - 3,Radnički Novi Beograd,12335,Grafičar,4252,1,1,True,7867
1098124,2023-08-20T15:00:00+00:00,FT,Regular Season - 3,Mladost Novi Sad,14261,Indjija,2631,0,1,True,18698
1098130,2023-08-21T18:00:00+00:00,FT,Regular Season - 3,Dubočica,12312,RFK Novi Sad,20391,2,1,True,
1098131,2023-08-26T15:00:00+00:00,FT,Regular Season - 4,Indjija,2631,RFK Novi Sad,20391,2,1,True,19572
1098136,2023-08-26T15:00:00+00:00,FT,Regular Season - 4,Semendrija 1924,4254,Macva,2637,0,0,True,3249
1098135,2023-08-26T15:00:00+00:00,FT,Regular Season - 4,Radnički Sr. Mitrovica,12338,Sloboda Uzice,2641,1,1,True,7870
1098133,2023-08-27T15:00:00+00:00,FT,Regular Season - 4,OFK Beograd,2633,Radnički Novi Beograd,12335,2,2,True,2913
1098132,2023-08-27T15:00:00+00:00,FT,Regular Season - 4,Grafičar,4252,Dubočica,12312,1,2,True,21264
1098137,2023-08-27T15:00:00+00:00,FT,Regular Season - 4,Mladost Novi Sad,14261,OFK Vršac,12329,1,2,True,18698
1098134,2023-08-27T15:00:00+00:00,FT,Regular Season - 4,Tekstilac Odžaci,17438,Jedinstvo Ub,12319,0,0,True,1413
1104973,2023-08-27T18:00:00+00:00,FT,Regular Season - 4,Kolubara,2636,Metalac GM,2647,1,1,True,2912
1104974,2023-09-02T15:00:00+00:00,FT,Regular Season - 5,Jedinstvo Ub,12319,Kolubara,2636,3,2,True,12141
1098138,2023-09-02T15:00:00+00:00,FT,Regular Season - 5,OFK Vršac,12329,Indjija,2631,0,1,True,7861
1098139,2023-09-02T17:00:00+00:00,FT,Regular Season - 5,Macva,2637,Mladost Novi Sad,14261,2,0,True,1414
1098140,2023-09-02T17:00:00+00:00,FT,Regular Season - 5,Sloboda Uzice,2641,Semendrija 1924,4254,1,1,True,18676
1098142,2023-09-03T15:00:00+00:00,FT,Regular Season - 5,Radnički Novi Beograd,12335,Tekstilac Odžaci,17438,1,3,True,7867
1098144,2023-09-03T15:00:00+00:00,FT,Regular Season - 5,RFK Novi Sad,20391,Grafičar,4252,2,2,True,2911
1098141,2023-09-03T17:00:00+00:00,FT,Regular Season - 5,Metalac GM,2647,Radnički Sr. Mitrovica,12338,1,0,True,1420
1098143,2023-09-03T17:00:00+00:00,FT,Regular Season - 5,Dubočica,12312,OFK Beograd,2633,3,5,True,
1098151,2023-09-08T14:30:00+00:00,FT,Regular Season - 6,OFK Vršac,12329,Macva,2637,0,0,True,7861
1098145,2023-09-09T14:30:00+00:00,FT,Regular Season - 6,Indjija,2631,Grafičar,4252,0,0,True,19572
1098149,2023-09-09T14:30:00+00:00,FT,Regular Season - 6,Semendrija 1924,4254,Metalac GM,2647,2,1,True,3249
1098148,2023-09-09T14:30:00+00:00,FT,Regular Season - 6,Radnički Sr. Mitrovica,12338,Jedinstvo Ub,12319,4,1,True,7870
1098146,2023-09-10T14:30:00+00:00,FT,Regular Season - 6,OFK Beograd,2633,RFK Novi Sad,20391,4,1,True,2913
1098150,2023-09-10T14:30:00+00:00,FT,Regular Season - 6,Mladost Novi Sad,14261,Sloboda Uzice,2641,0,1,True,18698
1098147,2023-09-10T14:30:00+00:00,FT,Regular Season - 6,Tekstilac Odžaci,17438,Dubočica,12312,1,0,True,12229
1104975,2023-09-10T17:00:00+00:00,FT,Regular Season - 6,Kolubara,2636,Radnički Novi Beograd,12335,2,0,True,2912
1098152,2023-09-16T17:00:00+00:00,FT,Regular Season - 7,Macva,2637,Indjija,2631,2,1,True,1414
1098153,2023-09-16T17:00:00+00:00,FT,Regular Season - 7,Sloboda Uzice,2641,OFK Vršac,12329,1,1,True,18676
1104976,2023-09-16T18:00:00+00:00,FT,Regular Season - 7,Dubočica,12312,Kolubara,2636,1,1,True,
1098158,2023-09-17T14:00:00+00:00,FT,Regular Season - 7,Grafičar,4252,OFK Beograd,2633,0,5,True,21264
1098156,2023-09-17T14:00:00+00:00,FT,Regular Season - 7,Radnički Novi Beograd,12335,Radnički Sr. Mitrovica,12338,0,1,True,7867
1098157,2023-09-17T14:00:00+00:00,FT,Regular Season - 7,RFK Novi Sad,20391,Tekstilac Odžaci,17438,1,0,True,2911
1098154,2023-09-17T17:00:00+00:00,FT,Regular Season - 7,Metalac GM,2647,Mladost Novi Sad,14261,0,0,True,1420
1098155,2023-09-18T14:00:00+00:00,FT,Regular Season - 7,Jedinstvo Ub,12319,Semendrija 1924,4254,0,0,True,12141
1098159,2023-09-22T14:00:00+00:00,FT,Regular Season - 8,Indjija,2631,OFK Beograd,2633,0,2,True,19572
1104977,2023-09-22T17:00:00+00:00,FT,Regular Season - 8,Kolubara,2636,RFK Novi Sad,20391,4,1,True,2912
1098165,2023-09-22T17:00:00+00:00,FT,Regular Season - 8,Macva,2637,Sloboda Uzice,2641,0,0,True,1414
1098162,2023-09-23T14:00:00+00:00,FT,Regular Season - 8,Semendrija 1924,4254,Radnički Novi Beograd,12335,2,1,True,3249
1098164,2023-09-23T14:00:00+00:00,FT,Regular Season - 8,OFK Vršac,12329,Metalac GM,2647,1,0,True,7861
1098161,2023-09-23T14:00:00+00:00,FT,Regular Season - 8,Radnički Sr. Mitrovica,12338,Dubočica,12312,1,1,True,7870
1098163,2023-09-23T14:00:00+00:00,FT,Regular Season - 8,Mladost Novi Sad,14261,Jedinstvo Ub,12319,3,4,True,18698
1098160,2023-09-23T14:00:00+00:00,FT,Regular Season - 8,Tekstilac Odžaci,17438,Grafičar,4252,4,0,True,12229
1098178,2023-09-30T17:00:00+00:00,FT,Regular Season - 10,Macva,2637,Jedinstvo Ub,12319,1,0,True,1414
1098173,2023-10-01T13:00:00+00:00,FT,Regular Season - 10,Indjija,2631,Tekstilac Odžaci,17438,1,0,True,19572
1098175,2023-10-01T13:00:00+00:00,FT,Regular Season - 10,Semendrija 1924,4254,RFK Novi Sad,20391,1,0,True,3249
1098177,2023-10-01T13:00:00+00:00,FT,Regular Season - 10,OFK Vršac,12329,Radnički Novi Beograd,12335,0,1,True,7861
1098174,2023-10-01T13:00:00+00:00,FT,Regular Season - 10,Radnički Sr. Mitrovica,12338,Grafičar,4252,2,1,True,7870
1098179,2023-10-01T17:00:00+00:00,FT,Regular Season - 10,Sloboda Uzice,2641,Metalac GM,2647,0,0,True,18676
1098176,2023-10-02T13:00:00+00:00,FT,Regular Season - 10,Mladost Novi Sad,14261,Dubočica,12312,1,1,True,18698
1104979,2023-10-02T17:00:00+00:00,FT,Regular Season - 10,Kolubara,2636,OFK Beograd,2633,1,1,True,2912
1098181,2023-10-07T13:00:00+00:00,FT,Regular Season - 11,Jedinstvo Ub,12319,Sloboda Uzice,2641,1,0,True,12141
1098180,2023-10-07T16:00:00+00:00,FT,Regular Season - 11,Metalac GM,2647,Indjija,2631,0,2,True,1420
1098186,2023-10-08T13:00:00+00:00,FT,Regular Season - 11,OFK Beograd,2633,Radnički Sr. Mitrovica,12338,1,0,True,2913
1098182,2023-10-08T13:00:00+00:00,FT,Regular Season - 11,Radnički Novi Beograd,12335,Macva,2637,1,1,True,7867
1104980,2023-10-08T13:00:00+00:00,FT,Regular Season - 11,Tekstilac Odžaci,17438,Kolubara,2636,0,1,True,12229
1098183,2023-10-08T16:00:00+00:00,FT,Regular Season - 11,Dubočica,12312,OFK Vršac,12329,1,0,True,
1098185,2023-10-09T13:00:00+00:00,FT,Regular Season - 11,Grafičar,4252,Semendrija 1924,4254,1,2,True,21264
1098184,2023-10-09T13:00:00+00:00,FT,Regular Season - 11,RFK Novi Sad,20391,Mladost Novi Sad,14261,3,1,True,2911
1104981,2023-10-14T13:00:00+00:00,FT,Regular Season - 12,Indjija,2631,Kolubara,2636,0,2,True,19572
1098192,2023-10-14T13:00:00+00:00,FT,Regular Season - 12,Sloboda Uzice,2641,Radnički Novi Beograd,12335,3,1,True,18676
1098188,2023-10-15T13:00:00+00:00,FT,Regular Season - 12,Semendrija 1924,4254,OFK Beograd,2633,1,2,True,3249
1098191,2023-10-15T16:00:00+00:00,FT,Regular Season - 12,Macva,2637,Dubočica,12312,0,1,True,1414
1098193,2023-10-15T16:00:00+00:00,FT,Regular Season - 12,Metalac GM,2647,Jedinstvo Ub,12319,0,0,True,1420
1098190,2023-10-16T13:00:00+00:00,FT,Regular Season - 12,OFK Vršac,12329,RFK Novi Sad,20391,1,0,True,7861
1098187,2023-10-16T13:00:00+00:00,FT,Regular Season - 12,Radnički Sr. Mitrovica,12338,Tekstilac Odžaci,17438,1,0,True,7870
1098189,2023-10-16T13:00:00+00:00,FT,Regular Season - 12,Mladost Novi Sad,14261,Grafičar,4252,0,0,True,18698
1098199,2023-10-21T12:00:00+00:00,FT,Regular Season - 13,OFK Beograd,2633,Mladost Novi Sad,14261,2,0,True,2913
1098194,2023-10-21T12:00:00+00:00,FT,Regular Season - 13,Jedinstvo Ub,12319,Indjija,2631,1,1,True,12141
1098195,2023-10-21T12:00:00+00:00,FT,Regular Season - 13,Radnički Novi Beograd,12335,Metalac GM,2647,2,0,True,7867
1098196,2023-10-21T16:00:00+00:00,FT,Regular Season - 13,Dubočica,12312,Sloboda Uzice,2641,1,0,True,
1098198,2023-10-22T12:00:00+00:00,FT,Regular Season - 13,Grafičar,4252,OFK Vršac,12329,1,2,True,21264
1098197,2023-10-22T12:00:00+00:00,FT,Regular Season - 13,RFK Novi Sad,20391,Macva,2637,1,0,True,2911
