fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1239416,2024-08-07T15:00:00+00:00,CANC,1st Round,Poltár,15027,Fiľakovo,14081,,,False,10785
1239425,2024-07-21T15:00:00+00:00,FT,Preliminary Round,Nemšová,21760,Jednota Sokol,14985,5,0,True,
1239424,2024-07-21T15:00:00+00:00,FT,Preliminary Round,AC Nitra,24394,Kolinany,24403,2,1,True,2352
1239426,2024-07-21T15:00:00+00:00,FT,Preliminary Round,Cifer,24395,Tatran Jablonica,21936,2,0,True,22242
1239423,2024-07-21T15:00:00+00:00,FT,Preliminary Round,Družstevník Rišňovce,24396,Veľké Zálužie,15074,1,2,True,
1239421,2024-07-21T15:00:00+00:00,FT,Preliminary Round,Horná Súča,24398,Družstevník Opatová,21742,1,3,True,
1239427,2024-07-21T15:00:00+00:00,PEN,Preliminary Round,Stefanov,24416,Holíč,14976,0,0,False,
1239420,2024-07-21T15:00:00+00:00,FT,Preliminary Round,Svaty Peter,24417,Družstevník Bešeňov,14958,1,4,True,22249
1239422,2024-07-21T15:00:00+00:00,FT,Preliminary Round,Šúrovce,24422,Slovan Hlohovec,15040,0,4,True,
1239348,2024-07-26T16:00:00+00:00,PEN,1st Round,NMŠK 1922 Bratislava,15012,Dunajská Lužná,14040,1,1,False,
1260785,2024-07-26T16:00:00+00:00,PEN,1st Round,Cifer,24395,Slovan Hlohovec,15040,0,0,False,22242
1239428,2024-07-27T13:00:00+00:00,FT,Preliminary Round,Bernolákovo,14038,Nová Dedinka,16893,0,2,True,18750
1239338,2024-07-27T14:30:00+00:00,PEN,1st Round,Nové Mesto nad Váhom,10553,Tatran Krásno,14091,2,2,False,7250
1239341,2024-07-27T15:00:00+00:00,FT,1st Round,Kostolné Kračany,14994,Galanta,14054,2,1,True,22185
1239339,2024-07-27T15:00:00+00:00,FT,1st Round,Lokomotíva Bánov,15004,Tvrdošovce,21937,1,0,True,
1239435,2024-07-27T15:00:00+00:00,PEN,Preliminary Round,Strečno,15058,Vrútky,15083,2,2,False,
1239340,2024-07-27T15:00:00+00:00,FT,1st Round,Trebatice,15069,Častkovce,14066,2,3,True,20960
1239342,2024-07-27T15:00:00+00:00,FT,1st Round,Šoporňa,15094,Slovan Duslo Šaľa,14063,2,3,True,22202
1239436,2024-07-27T15:00:00+00:00,PEN,Preliminary Round,TJ Družstevník Bitarová,16911,Teplička nad Váhom,16915,0,0,False,22211
1239409,2024-07-27T15:00:00+00:00,FT,1st Round,Spartak Radôstka,19396,Kysucké Nové Mesto,14999,2,5,True,22221
1239434,2024-07-27T15:00:00+00:00,FT,Preliminary Round,Vinohrad Čebovce,19402,Strojár Krupina,15059,3,1,True,22224
1239357,2024-07-27T15:00:00+00:00,PEN,1st Round,Dolné Krškany,21854,Nitra,3547,0,0,False,22238
1239440,2024-07-27T15:00:00+00:00,FT,Preliminary Round,Družstevník Čečejovce,24397,Perín,19379,2,3,True,
1239433,2024-07-27T15:00:00+00:00,FT,Preliminary Round,Kamenná Poruba,24401,Rosina,16900,1,5,True,
1239432,2024-07-27T15:00:00+00:00,FT,Preliminary Round,Kysučan Korňa,24404,Čierne,15089,1,3,True,22244
1239430,2024-07-27T15:00:00+00:00,FT,Preliminary Round,Partizán Ľubeľa,24408,Mikuláš-Palúdzka,21758,2,0,True,
1239431,2024-07-27T15:00:00+00:00,PEN,Preliminary Round,Sedem Námestovo,24411,Olympia Bobrov,16896,1,1,False,
1239343,2024-07-27T15:30:00+00:00,FT,1st Round,Limbach,15002,Domino,14957,1,5,True,22186
1239344,2024-07-27T15:30:00+00:00,FT,1st Round,Vrakuňa,15081,Tomášov,14052,0,4,True,18703
1239345,2024-07-27T15:30:00+00:00,FT,1st Round,Jarovce Bratislava,16883,Rusovce,14049,1,5,True,19877
1239418,2024-07-27T15:30:00+00:00,FT,1st Round,OFK Slovenská Ľupča,16894,Hamsik Academy,19460,0,5,True,22207
1239346,2024-07-27T15:30:00+00:00,PEN,1st Round,FC Topoľčany,19366,Tovarníky,15068,0,0,False,11658
1239347,2024-07-27T15:30:00+00:00,FT,1st Round,Priechod,19384,Badín,16878,0,3,True,22251
1239437,2024-07-27T15:30:00+00:00,PEN,Preliminary Round,Šenkvice,19407,Pezinok,14045,1,1,False,22225
1239438,2024-07-27T15:30:00+00:00,FT,Preliminary Round,Kaplna,24402,Kráľová pri Senci,16885,0,1,True,
1239405,2024-07-28T14:30:00+00:00,FT,1st Round,Spartak V. nad Kysucou,15057,MFK Bytča,15006,3,5,True,22195
1260786,2024-07-28T15:00:00+00:00,FT,1st Round,Družstevník Bešeňov,14958,Nové Zámky,14061,0,4,True,22173
1239351,2024-07-28T15:00:00+00:00,PEN,1st Round,Družstevník Rybky,14963,Slovan Dubovce,21765,2,2,False,
1239442,2024-07-28T15:00:00+00:00,FT,Preliminary Round,Fintice,14969,Sokol Chminianska,16907,2,3,True,
1239361,2024-07-28T15:00:00+00:00,FT,1st Round,Horná Krupá,14978,Boleráz,14948,0,5,True,22179
1239368,2024-07-28T15:00:00+00:00,FT,1st Round,Kanianka,14987,Baník Lehota p.Vtáčnikom,14942,2,4,True,22182
1239363,2024-07-28T15:00:00+00:00,FT,1st Round,Kmeťovo,14991,Šurany,15096,0,3,True,22183
1239362,2024-07-28T15:00:00+00:00,FT,1st Round,Komjatice,14993,Branč,19363,1,5,True,
1239355,2024-07-28T15:00:00+00:00,FT,1st Round,Melčice-Lieskové,15008,Trenčianske Stankovce,14799,0,7,True,
1239366,2024-07-28T15:00:00+00:00,PEN,1st Round,Nevidzany,15014,Slovan Levice,17256,2,2,False,
1239404,2024-07-28T15:00:00+00:00,PEN,1st Round,Pokrok Stará Bystrica,15026,Slovan Vavrečka,15045,1,1,False,22189
1239352,2024-07-28T15:00:00+00:00,FT,1st Round,Považan Pruské,15028,Spartak Kvašov,15054,2,3,True,
1239367,2024-07-28T15:00:00+00:00,FT,1st Round,Veľká Lomnica,15071,Harichovce,14974,2,4,True,22678
1239369,2024-07-28T15:00:00+00:00,FT,1st Round,Veľké Lovce,15072,Sereď,3551,0,6,True,22196
1239408,2024-07-28T15:00:00+00:00,FT,1st Round,Višňové,15079,Čadca,14092,0,2,True,22199
1239349,2024-07-28T15:00:00+00:00,FT,1st Round,Vrbové,15082,Blava 1928,14947,0,2,True,10793
1239370,2024-07-28T15:00:00+00:00,FT,1st Round,Báb,16880,Beluša,14053,0,3,True,22203
1239358,2024-07-28T15:00:00+00:00,FT,1st Round,Tatran Uhrovec,16913,Baník Prievidza,14943,0,2,True,
1239350,2024-07-28T15:00:00+00:00,FT,1st Round,Kopčany,19370,Sokol Borský Mikuláš,21767,3,2,True,
1239365,2024-07-28T15:00:00+00:00,PEN,1st Round,Salka,19386,Štúrovo,19409,0,0,False,
1239360,2024-07-28T15:00:00+00:00,FT,1st Round,Družstevník Topoľníky,21744,Gabčíkovo,21926,1,2,True,22228
1239371,2024-07-28T15:00:00+00:00,FT,1st Round,Horné Saliby,21748,Družstevník Trstice,14964,2,1,True,22231
1239439,2024-07-28T15:00:00+00:00,FT,Preliminary Round,Mokrance,21759,Slovan Poproč,15042,1,3,True,
1239354,2024-07-28T15:00:00+00:00,FT,1st Round,Slovan Šaštín-Stráže,21766,Nafta Gbely,15013,0,6,True,22235
