fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1263438,2024-08-24T16:30:00+00:00,FT,Group 2 - 1,Marbella,5267,Real Madrid II,9575,1,0,True,3981
1263435,2024-08-24T17:00:00+00:00,FT,Group 2 - 1,Ibiza,9390,Villarreal II,9595,1,1,True,12463
1263434,2024-08-24T17:00:00+00:00,FT,Group 2 - 1,Atlético Madrid II,9570,Sanluqueño,9601,0,1,True,1487
1263441,2024-08-24T18:00:00+00:00,FT,Group 2 - 1,Hércules,4666,AD Ceuta FC,10139,2,0,True,3517
1263437,2024-08-24T19:00:00+00:00,FT,Group 2 - 1,Real Betis II,9765,Intercity,8160,0,3,True,6849
1263439,2024-08-25T17:00:00+00:00,FT,Group 2 - 1,Yeclano,5283,Alcorcon,711,1,1,True,3997
1263440,2024-08-25T18:00:00+00:00,FT,Group 2 - 1,Sevilla Atletico,730,Real Murcia,5275,1,2,True,2919
1263442,2024-08-25T18:00:00+00:00,FT,Group 2 - 1,Fuenlabrada,4906,Antequera,9742,0,0,True,3707
1263436,2024-08-25T18:00:00+00:00,FT,Group 2 - 1,Alcoyano,9686,Algeciras,9597,1,1,True,6777
1263443,2024-08-25T18:00:00+00:00,FT,Group 2 - 1,Mérida AD,10140,Recreativo Huelva,9410,3,3,True,7132
1263445,2024-08-31T17:00:00+00:00,FT,Group 2 - 2,Alcorcon,711,Hércules,4666,4,1,True,1457
1263447,2024-08-31T17:00:00+00:00,FT,Group 2 - 2,AD Ceuta FC,10139,Fuenlabrada,4906,1,0,True,3969
1263444,2024-08-31T18:00:00+00:00,FT,Group 2 - 2,Real Madrid II,9575,Ibiza,9390,0,1,True,6669
1263451,2024-08-31T19:00:00+00:00,FT,Group 2 - 2,Recreativo Huelva,9410,Alcoyano,9686,1,1,True,6511
1263446,2024-09-01T17:00:00+00:00,FT,Group 2 - 2,Real Murcia,5275,Yeclano,5283,0,1,True,3989
1263450,2024-09-01T17:00:00+00:00,FT,Group 2 - 2,Intercity,8160,Atlético Madrid II,9570,1,1,True,20132
1263449,2024-09-01T17:00:00+00:00,FT,Group 2 - 2,Algeciras,9597,Sevilla Atletico,730,1,1,True,6690
1263452,2024-09-01T18:00:00+00:00,FT,Group 2 - 2,Villarreal II,9595,Real Betis II,9765,2,2,True,6688
1263453,2024-09-01T18:00:00+00:00,FT,Group 2 - 2,Sanluqueño,9601,Mérida AD,10140,0,3,True,6694
1263463,2024-09-06T19:00:00+00:00,FT,Group 2 - 3,Mérida AD,10140,Algeciras,9597,1,0,True,7132
1263462,2024-09-07T13:30:00+00:00,FT,Group 2 - 3,Atlético Madrid II,9570,Antequera,9742,0,1,True,1487
1263458,2024-09-07T17:30:00+00:00,FT,Group 2 - 3,Villarreal II,9595,Real Madrid II,9575,1,1,True,6688
1263456,2024-09-07T17:30:00+00:00,FT,Group 2 - 3,Real Betis II,9765,Recreativo Huelva,9410,3,1,True,6849
1263455,2024-09-07T19:30:00+00:00,FT,Group 2 - 3,Hércules,4666,Intercity,8160,1,1,True,3517
1263461,2024-09-08T10:00:00+00:00,FT,Group 2 - 3,Marbella,5267,AD Ceuta FC,10139,0,1,True,3981
1263460,2024-09-08T14:00:00+00:00,FT,Group 2 - 3,Yeclano,5283,Ibiza,9390,0,1,True,3997
1263459,2024-09-08T16:00:00+00:00,FT,Group 2 - 3,Fuenlabrada,4906,Alcorcon,711,0,0,True,3707
1263457,2024-09-08T17:00:00+00:00,FT,Group 2 - 3,Sevilla Atletico,730,Sanluqueño,9601,5,2,True,2919
1263454,2024-09-08T17:00:00+00:00,FT,Group 2 - 3,Alcoyano,9686,Real Murcia,5275,0,3,True,6777
1263468,2024-09-13T18:30:00+00:00,FT,Group 2 - 4,Recreativo Huelva,9410,Sevilla Atletico,730,2,2,True,6511
1263467,2024-09-14T13:30:00+00:00,FT,Group 2 - 4,Algeciras,9597,Marbella,5267,1,3,True,6690
1263466,2024-09-14T15:30:00+00:00,FT,Group 2 - 4,Antequera,9742,Villarreal II,9595,2,0,True,6828
1263464,2024-09-14T17:30:00+00:00,FT,Group 2 - 4,Alcorcon,711,Atlético Madrid II,9570,2,3,True,1457
1263469,2024-09-14T19:30:00+00:00,FT,Group 2 - 4,Yeclano,5283,Fuenlabrada,4906,0,1,True,3997
