fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
595126,2020-08-26T14:00:00+00:00,FT,1st Round,Hirnyk,6489,Cherkashchyna-Akademiya,4656,4,2,True,8322
595139,2020-08-28T14:00:00+00:00,FT,1st Round,Chayka,6483,Polessya,6496,0,1,True,19618
595141,2020-08-28T14:00:00+00:00,FT,1st Round,Karpaty Halych,14435,Nyva Ternopil,6493,1,2,True,
595128,2020-08-29T12:00:00+00:00,FT,1st Round,Peremoga,14439,Kremin',4657,0,2,True,2426
595129,2020-08-29T12:30:00+00:00,FT,1st Round,Metal Kharkiv,14437,VPK-Ahro Shevchenkivka,6500,1,3,True,
595133,2020-08-29T13:00:00+00:00,FT,1st Round,Nikopol,6492,Krystal,6491,1,3,True,4766
595136,2020-08-29T14:00:00+00:00,FT,1st Round,Balkany Zorya,3622,Mykolaiv,3629,0,1,True,
595131,2020-08-29T14:00:00+00:00,FT,1st Round,Alians Lypova Dolyna,6484,FC Kharkiv,3628,2,0,True,2434
595134,2020-08-29T14:00:00+00:00,FT,1st Round,Enerhiya Nova Kakhovka,6488,Chornomorets,3615,2,3,True,4762
595138,2020-08-29T14:00:00+00:00,FT,1st Round,Nyva Vinnytsya,6494,Chernihiv,14433,0,0,True,19517
595142,2020-08-29T14:00:00+00:00,FT,1st Round,Podillya Khmelnytskyi,6495,Prykarpattia,3631,1,1,True,4768
595143,2020-08-29T14:00:00+00:00,FT,1st Round,Uzhhorod,6499,Bukovyna,6486,2,0,True,10795
595130,2020-08-29T14:00:00+00:00,FT,1st Round,Viktoriya Mykolaivka,13223,Yarud Mariupol',14441,4,0,True,2431
595137,2020-08-29T14:00:00+00:00,FT,1st Round,Rubikon,14440,Dinaz Vyshhorod,6487,0,2,True,
595135,2020-08-30T13:00:00+00:00,FT,1st Round,Tavriya,6498,Real Pharm,6497,2,1,True,4771
595144,2020-08-30T14:00:00+00:00,FT,1st Round,Epitsentr Dunayivtsi,14434,Karpaty,3617,4,0,True,10796
595127,2020-08-30T14:00:00+00:00,AET,1st Round,Olimpiya Savyntsi,14438,Hirnyk-Sport,3624,1,2,False,
595140,2020-09-08T15:00:00+00:00,FT,1st Round,MSK Dnipro Cherkasy,14436,Veres Rivne,6501,0,5,True,3508
595132,2020-09-09T15:00:00+00:00,FT,1st Round,Metalurh Zaporizhya,5627,Kramatorsk,3621,0,0,True,
627938,2020-09-16T13:00:00+00:00,FT,2nd Round,Mykolaiv,3629,Chornomorets,3615,1,0,True,2431
627940,2020-09-16T13:00:00+00:00,FT,2nd Round,Hirnyk,6489,Tavriya,6498,4,1,True,
627939,2020-09-16T13:00:00+00:00,AET,2nd Round,Nyva Vinnytsya,6494,Krystal,6491,2,2,False,19517
627944,2020-09-16T13:00:00+00:00,FT,2nd Round,Uzhhorod,6499,Ahrobiznes Volochysk,3620,0,1,True,10795
627942,2020-09-16T13:00:00+00:00,FT,2nd Round,Viktoriya Mykolaivka,13223,Dinaz Vyshhorod,6487,0,0,True,2431
627946,2020-09-16T14:00:00+00:00,FT,2nd Round,Volyn,3634,Prykarpattia,3631,0,1,True,2435
627943,2020-09-16T15:00:00+00:00,FT,2nd Round,Obolon'-Brovar,3630,Polessya,6496,0,1,True,8330
627941,2020-09-16T15:00:00+00:00,FT,2nd Round,Alians Lypova Dolyna,6484,Veres Rivne,6501,0,3,True,8317
627937,2020-09-16T15:30:00+00:00,AET,2nd Round,VPK-Ahro Shevchenkivka,6500,Kremin',4657,2,2,False,4772
627945,2020-09-17T14:00:00+00:00,FT,2nd Round,Epitsentr Dunayivtsi,14434,Nyva Ternopil,6493,3,0,True,10796
627947,2020-09-17T15:00:00+00:00,FT,2nd Round,Metalurh Zaporizhya,5627,Hirnyk-Sport,3624,1,4,True,
631731,2020-09-30T11:00:00+00:00,AET,3rd Round,Hirnyk-Sport,3624,Dnipro-1,3623,3,5,False,2427
631724,2020-09-30T12:00:00+00:00,FT,3rd Round,Polessya,6496,Minai,4658,1,2,True,
631730,2020-09-30T12:00:00+00:00,AET,3rd Round,Veres Rivne,6501,Mykolaiv,3629,4,2,False,4773
631733,2020-09-30T12:00:00+00:00,FT,3rd Round,Viktoriya Mykolaivka,13223,FC Mariupol,2252,1,3,True,2431
631728,2020-09-30T13:00:00+00:00,FT,3rd Round,Hirnyk,6489,Nyva Vinnytsya,6494,0,1,True,
631729,2020-09-30T13:00:00+00:00,FT,3rd Round,Epitsentr Dunayivtsi,14434,Ahrobiznes Volochysk,3620,1,2,True,10796
631726,2020-09-30T14:00:00+00:00,FT,3rd Round,Vorskla Poltava,1121,Lviv,3618,2,0,True,20821
631732,2020-09-30T14:00:00+00:00,FT,3rd Round,Desna,3616,Rukh Vynnyky,3632,2,1,True,12044
631725,2020-09-30T14:30:00+00:00,FT,3rd Round,Prykarpattia,3631,Kolos Kovalivka,3627,0,1,True,2432
631727,2020-09-30T15:30:00+00:00,FT,3rd Round,Oleksandria,3619,Inhulets,3625,4,1,True,
631734,2020-11-13T12:00:00+00:00,FT,3rd Round,VPK-Ahro Shevchenkivka,6500,Olimpik Donetsk,639,1,0,True,
644909,2020-12-02T11:00:00+00:00,FT,4th Round,Nyva Vinnytsya,6494,Kolos Kovalivka,3627,0,4,True,19517
648122,2020-12-02T11:00:00+00:00,FT,4th Round,VPK-Ahro Shevchenkivka,6500,Dnipro-1,3623,0,5,True,
644908,2020-12-02T11:00:00+00:00,FT,4th Round,Veres Rivne,6501,FC Mariupol,2252,1,0,True,4773
