fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
597726,2020-09-05T14:00:00+00:00,FT,Regular Season - 1,Kramatorsk,3621,Chornomorets,3615,1,2,True,2424
597724,2020-09-05T14:00:00+00:00,FT,Regular Season - 1,Alians Lypova Dolyna,6484,VPK-Ahro Shevchenkivka,6500,3,2,True,2434
597722,2020-09-05T14:00:00+00:00,FT,Regular Season - 1,Krystal,6491,Mykolaiv,3629,1,2,True,4765
597725,2020-09-05T15:00:00+00:00,FT,Regular Season - 1,Volyn,3634,Kremin',4657,2,3,True,2435
597723,2020-09-05T16:25:00+00:00,FT,Regular Season - 1,FC Kharkiv,3628,Nyva Ternopil,6493,1,1,True,1595
597729,2020-09-11T14:00:00+00:00,FT,Regular Season - 2,Ahrobiznes Volochysk,3620,Krystal,6491,4,2,True,10033
597735,2020-09-11T14:00:00+00:00,FT,Regular Season - 2,Mykolaiv,3629,FC Kharkiv,3628,1,2,True,
597734,2020-09-11T14:00:00+00:00,FT,Regular Season - 2,Nyva Ternopil,6493,Alians Lypova Dolyna,6484,1,1,True,6338
597855,2020-09-11T15:00:00+00:00,FT,Regular Season - 2,Obolon'-Brovar,3630,Prykarpattia,3631,4,1,True,8330
597733,2020-09-11T15:30:00+00:00,FT,Regular Season - 2,VPK-Ahro Shevchenkivka,6500,Volyn,3634,1,1,True,
597731,2020-09-11T16:00:00+00:00,FT,Regular Season - 2,Chornomorets,3615,Hirnyk-Sport,3624,1,1,True,2418
597732,2020-09-12T13:00:00+00:00,FT,Regular Season - 2,Kremin',4657,Kramatorsk,3621,0,0,True,3509
597736,2020-09-12T13:00:00+00:00,FT,Regular Season - 2,Polessya,6496,Veres Rivne,6501,0,0,True,
597737,2020-09-20T12:00:00+00:00,FT,Regular Season - 3,Krystal,6491,Polessya,6496,0,1,True,4765
597743,2020-09-20T15:00:00+00:00,FT,Regular Season - 3,Obolon'-Brovar,3630,Chornomorets,3615,2,3,True,8330
597738,2020-09-20T16:25:00+00:00,FT,Regular Season - 3,FC Kharkiv,3628,Ahrobiznes Volochysk,3620,1,0,True,1595
597742,2020-09-21T13:00:00+00:00,FT,Regular Season - 3,Hirnyk-Sport,3624,Kremin',4657,2,0,True,2427
597744,2020-09-21T13:00:00+00:00,FT,Regular Season - 3,Veres Rivne,6501,Prykarpattia,3631,3,0,True,4773
597741,2020-09-21T15:00:00+00:00,FT,Regular Season - 3,Kramatorsk,3621,VPK-Ahro Shevchenkivka,6500,2,3,True,2424
597739,2020-09-21T15:00:00+00:00,FT,Regular Season - 3,Alians Lypova Dolyna,6484,Mykolaiv,3629,1,0,True,2434
597746,2020-09-26T12:00:00+00:00,FT,Regular Season - 4,Krystal,6491,FC Kharkiv,3628,1,2,True,4765
597752,2020-09-26T12:00:00+00:00,FT,Regular Season - 4,Polessya,6496,Prykarpattia,3631,1,1,True,
597745,2020-09-26T13:00:00+00:00,FT,Regular Season - 4,Ahrobiznes Volochysk,3620,Alians Lypova Dolyna,6484,2,1,True,10033
597749,2020-09-26T13:00:00+00:00,FT,Regular Season - 4,VPK-Ahro Shevchenkivka,6500,Hirnyk-Sport,3624,0,3,True,
597747,2020-09-26T14:00:00+00:00,FT,Regular Season - 4,Chornomorets,3615,Veres Rivne,6501,1,0,True,2418
597748,2020-09-26T14:00:00+00:00,FT,Regular Season - 4,Kremin',4657,Obolon'-Brovar,3630,1,0,True,3509
597750,2020-09-26T14:00:00+00:00,FT,Regular Season - 4,Nyva Ternopil,6493,Kramatorsk,3621,1,1,True,6338
597740,2020-10-01T15:30:00+00:00,FT,Regular Season - 3,Volyn,3634,Nyva Ternopil,6493,2,2,True,10795
597753,2020-10-05T16:25:00+00:00,FT,Regular Season - 5,FC Kharkiv,3628,Polessya,6496,0,0,True,1595
597757,2020-10-06T11:00:00+00:00,FT,Regular Season - 5,Hirnyk-Sport,3624,Nyva Ternopil,6493,4,1,True,2427
597756,2020-10-06T12:00:00+00:00,FT,Regular Season - 5,Kramatorsk,3621,Mykolaiv,3629,0,1,True,2424
597759,2020-10-06T12:00:00+00:00,FT,Regular Season - 5,Veres Rivne,6501,Kremin',4657,2,1,True,4773
597755,2020-10-06T13:00:00+00:00,FT,Regular Season - 5,Volyn,3634,Ahrobiznes Volochysk,3620,2,1,True,2435
597760,2020-10-06T14:30:00+00:00,FT,Regular Season - 5,Prykarpattia,3631,Chornomorets,3615,1,1,True,
597768,2020-10-11T11:00:00+00:00,FT,Regular Season - 6,Polessya,6496,Chornomorets,3615,1,1,True,19985
597767,2020-10-11T12:00:00+00:00,FT,Regular Season - 6,Mykolaiv,3629,Hirnyk-Sport,3624,6,1,True,
597766,2020-10-11T12:00:00+00:00,FT,Regular Season - 6,Nyva Ternopil,6493,Obolon'-Brovar,3630,2,1,True,6338
597762,2020-10-11T12:30:00+00:00,FT,Regular Season - 6,Krystal,6491,Volyn,3634,0,1,True,4765
597761,2020-10-11T13:00:00+00:00,FT,Regular Season - 6,Ahrobiznes Volochysk,3620,Kramatorsk,3621,1,0,True,10033
597764,2020-10-11T13:00:00+00:00,FT,Regular Season - 6,Kremin',4657,Prykarpattia,3631,0,1,True,3509
597772,2020-10-16T11:00:00+00:00,FT,Regular Season - 7,Hirnyk-Sport,3624,Ahrobiznes Volochysk,3620,0,0,True,2427
597774,2020-10-16T12:00:00+00:00,FT,Regular Season - 7,Veres Rivne,6501,Nyva Ternopil,6493,3,1,True,4773
597775,2020-10-16T13:00:00+00:00,FT,Regular Season - 7,Prykarpattia,3631,VPK-Ahro Shevchenkivka,6500,0,1,True,2432
597770,2020-10-16T13:00:00+00:00,FT,Regular Season - 7,Volyn,3634,FC Kharkiv,3628,0,0,True,2435
597771,2020-10-16T14:00:00+00:00,FT,Regular Season - 7,Kramatorsk,3621,Krystal,6491,2,1,True,2424
