fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1288404,2025-02-19T10:00:00+00:00,CANC,League Stage - 8,Ulsan Hyundai FC,2767,Shandong Luneng,844,,,False,1020
1215069,2024-08-06T16:15:00+00:00,AET,1st Preliminary Round,Sepahan FC,2744,Shabab Al Ahli Dubai,2870,1,4,False,
1215068,2024-08-13T12:00:00+00:00,PEN,2nd Preliminary Round,Shandong Luneng,844,Bangkok United,2770,1,1,False,359
1282249,2024-08-13T15:30:00+00:00,FT,2nd Preliminary Round,Al-Gharafa,2903,Shabab Al Ahli Dubai,2870,1,0,True,
1288310,2024-09-16T16:00:00+00:00,FT,League Stage - 1,Al Ain,2865,Al Sadd,2895,1,1,True,
1288311,2024-09-16T16:00:00+00:00,FT,League Stage - 1,Al Shorta,5242,Al-Nassr,2939,1,1,True,21301
1288312,2024-09-16T18:00:00+00:00,FT,League Stage - 1,Esteghlal FC,2733,Al-Gharafa,2903,3,0,True,854
1288313,2024-09-16T18:00:00+00:00,FT,League Stage - 1,Al-Ahli Jeddah,2929,Persepolis FC,2742,1,0,True,19932
1288315,2024-09-17T10:00:00+00:00,FT,League Stage - 1,Shandong Luneng,844,Central Coast Mariners,941,3,1,True,359
1288314,2024-09-17T10:00:00+00:00,FT,League Stage - 1,Gwangju FC,2759,Yokohama F. Marinos,296,7,3,True,1010
1288317,2024-09-17T12:00:00+00:00,FT,League Stage - 1,Shanghai Shenhua,833,Pohang Steelers,2764,4,1,True,19701
1288316,2024-09-17T12:00:00+00:00,FT,League Stage - 1,Buriram United,2780,Vissel Kobe,289,0,0,True,1559
1288318,2024-09-17T14:00:00+00:00,FT,League Stage - 1,Pakhtakor,4220,Al-Wasl FC,2872,0,1,True,
1288319,2024-09-17T16:00:00+00:00,FT,League Stage - 1,Al-Rayyan SC,2897,Al-Hilal Saudi FC,2932,1,3,True,
1288320,2024-09-18T10:00:00+00:00,FT,League Stage - 1,Ulsan Hyundai FC,2767,Kawasaki Frontale,294,0,1,True,1020
1288321,2024-09-18T12:00:00+00:00,FT,League Stage - 1,SHANGHAI SIPG,836,Johor Darul Takzim FC,2523,2,2,True,
1288323,2024-09-30T16:00:00+00:00,FT,League Stage - 2,Persepolis FC,2742,Pakhtakor,4220,1,1,True,854
1288324,2024-09-30T16:00:00+00:00,FT,League Stage - 2,Al-Wasl FC,2872,Al-Ahli Jeddah,2929,0,2,True,
1288322,2024-09-30T16:00:00+00:00,FT,League Stage - 2,Al Sadd,2895,Esteghlal FC,2733,2,0,True,
1288325,2024-09-30T18:00:00+00:00,FT,League Stage - 2,Al-Nassr,2939,Al-Rayyan SC,2897,2,1,True,
1288326,2024-10-01T08:00:00+00:00,FT,League Stage - 2,Central Coast Mariners,941,Buriram United,2780,1,2,True,20806
1288327,2024-10-01T10:00:00+00:00,FT,League Stage - 2,Kawasaki Frontale,294,Gwangju FC,2759,0,1,True,20516
1288328,2024-10-01T10:00:00+00:00,FT,League Stage - 2,Pohang Steelers,2764,SHANGHAI SIPG,836,3,0,True,1016
1288329,2024-10-01T12:00:00+00:00,FT,League Stage - 2,Johor Darul Takzim FC,2523,Shanghai Shenhua,833,3,0,True,
1288330,2024-10-01T18:00:00+00:00,FT,League Stage - 2,Al-Gharafa,2903,Al Ain,2865,4,2,True,
1288331,2024-10-01T18:00:00+00:00,FT,League Stage - 2,Al-Hilal Saudi FC,2932,Al Shorta,5242,5,0,True,
1288332,2024-10-02T10:00:00+00:00,FT,League Stage - 2,Vissel Kobe,289,Shandong Luneng,844,2,1,True,984
1288333,2024-10-02T10:00:00+00:00,FT,League Stage - 2,Yokohama F. Marinos,296,Ulsan Hyundai FC,2767,4,0,True,985
1288336,2024-10-21T16:00:00+00:00,FT,League Stage - 3,Al Ain,2865,Al-Hilal Saudi FC,2932,4,5,True,
1288335,2024-10-21T16:00:00+00:00,FT,League Stage - 3,Al Sadd,2895,Persepolis FC,2742,1,0,True,
1288334,2024-10-21T16:00:00+00:00,FT,League Stage - 3,Al Shorta,5242,Pakhtakor,4220,0,0,True,
1288337,2024-10-21T18:00:00+00:00,FT,League Stage - 3,Al-Rayyan SC,2897,Al-Ahli Jeddah,2929,1,2,True,
1288339,2024-10-22T10:00:00+00:00,FT,League Stage - 3,SHANGHAI SIPG,836,Central Coast Mariners,941,3,2,True,
1288338,2024-10-22T10:00:00+00:00,FT,League Stage - 3,Gwangju FC,2759,Johor Darul Takzim FC,2523,3,1,True,
1288340,2024-10-22T12:00:00+00:00,FT,League Stage - 3,Shandong Luneng,844,Yokohama F. Marinos,296,2,2,True,
1288341,2024-10-22T12:00:00+00:00,FT,League Stage - 3,Buriram United,2780,Pohang Steelers,2764,1,0,True,1559
1288342,2024-10-22T16:00:00+00:00,FT,League Stage - 3,Esteghlal FC,2733,Al-Nassr,2939,0,1,True,
1288343,2024-10-22T16:00:00+00:00,FT,League Stage - 3,Al-Gharafa,2903,Al-Wasl FC,2872,1,2,True,
1288344,2024-10-23T10:00:00+00:00,FT,League Stage - 3,Ulsan Hyundai FC,2767,Vissel Kobe,289,0,2,True,21636
1288345,2024-10-23T12:00:00+00:00,FT,League Stage - 3,Shanghai Shenhua,833,Kawasaki Frontale,294,2,0,True,19701
1288346,2024-11-04T14:00:00+00:00,FT,League Stage - 4,Al-Wasl FC,2872,Al Sadd,2895,1,1,True,
1288348,2024-11-04T16:00:00+00:00,FT,League Stage - 4,Persepolis FC,2742,Al-Gharafa,2903,1,1,True,
1288347,2024-11-04T16:00:00+00:00,FT,League Stage - 4,Al-Ahli Jeddah,2929,Al Shorta,5242,5,1,True,1364
1288349,2024-11-04T18:00:00+00:00,FT,League Stage - 4,Al-Hilal Saudi FC,2932,Esteghlal FC,2733,3,0,True,
1288350,2024-11-05T08:00:00+00:00,FT,League Stage - 4,Central Coast Mariners,941,Shanghai Shenhua,833,2,2,True,20806
1288352,2024-11-05T10:00:00+00:00,FT,League Stage - 4,Vissel Kobe,289,Gwangju FC,2759,2,0,True,984
1288351,2024-11-05T10:00:00+00:00,FT,League Stage - 4,Kawasaki Frontale,294,SHANGHAI SIPG,836,3,1,True,20516
1288353,2024-11-05T12:00:00+00:00,FT,League Stage - 4,Johor Darul Takzim FC,2523,Ulsan Hyundai FC,2767,3,0,True,
1288354,2024-11-05T14:00:00+00:00,FT,League Stage - 4,Pakhtakor,4220,Al-Rayyan SC,2897,0,1,True,
1288355,2024-11-05T18:00:00+00:00,FT,League Stage - 4,Al-Nassr,2939,Al Ain,2865,5,1,True,
1288357,2024-11-06T10:00:00+00:00,FT,League Stage - 4,Yokohama F. Marinos,296,Buriram United,2780,5,0,True,985
1288356,2024-11-06T10:00:00+00:00,FT,League Stage - 4,Pohang Steelers,2764,Shandong Luneng,844,4,2,True,
1288358,2024-11-25T14:00:00+00:00,FT,League Stage - 5,Al Ain,2865,Al-Ahli Jeddah,2929,1,2,True,
1288359,2024-11-25T16:00:00+00:00,FT,League Stage - 5,Esteghlal FC,2733,Pakhtakor,4220,0,0,True,
1288360,2024-11-25T16:00:00+00:00,FT,League Stage - 5,Al-Gharafa,2903,Al-Nassr,2939,1,3,True,
1288361,2024-11-25T18:00:00+00:00,FT,League Stage - 5,Al-Rayyan SC,2897,Persepolis FC,2742,1,1,True,
1288362,2024-11-26T10:00:00+00:00,FT,League Stage - 5,Vissel Kobe,289,Central Coast Mariners,941,3,2,True,984
1288363,2024-11-26T10:00:00+00:00,FT,League Stage - 5,Ulsan Hyundai FC,2767,SHANGHAI SIPG,836,1,3,True,1020
1288364,2024-11-26T12:00:00+00:00,FT,League Stage - 5,Shandong Luneng,844,Johor Darul Takzim FC,2523,1,0,True,
1288365,2024-11-26T12:00:00+00:00,FT,League Stage - 5,Buriram United,2780,Kawasaki Frontale,294,0,3,True,1559
1288367,2024-11-26T16:00:00+00:00,FT,League Stage - 5,Al Sadd,2895,Al-Hilal Saudi FC,2932,1,1,True,
1288366,2024-11-26T16:00:00+00:00,FT,League Stage - 5,Al Shorta,5242,Al-Wasl FC,2872,1,3,True,
1288369,2024-11-27T10:00:00+00:00,FT,League Stage - 5,Yokohama F. Marinos,296,Pohang Steelers,2764,2,0,True,985
1288368,2024-11-27T10:00:00+00:00,FT,League Stage - 5,Gwangju FC,2759,Shanghai Shenhua,833,1,0,True,1010
1288370,2024-12-02T14:00:00+00:00,FT,League Stage - 6,Persepolis FC,2742,Al Shorta,5242,2,1,True,
1288372,2024-12-02T16:00:00+00:00,FT,League Stage - 6,Al-Wasl FC,2872,Al-Rayyan SC,2897,1,1,True,
1288371,2024-12-02T16:00:00+00:00,FT,League Stage - 6,Al-Ahli Jeddah,2929,Esteghlal FC,2733,2,2,True,1364
1288373,2024-12-02T18:00:00+00:00,FT,League Stage - 6,Al-Nassr,2939,Al Sadd,2895,1,2,True,
1288374,2024-12-03T08:00:00+00:00,FT,League Stage - 6,Central Coast Mariners,941,Yokohama F. Marinos,296,0,4,True,20806
1288375,2024-12-03T10:00:00+00:00,FT,League Stage - 6,Pohang Steelers,2764,Vissel Kobe,289,3,1,True,
1288377,2024-12-03T12:00:00+00:00,FT,League Stage - 6,SHANGHAI SIPG,836,Gwangju FC,2759,1,1,True,
1288376,2024-12-03T12:00:00+00:00,FT,League Stage - 6,Johor Darul Takzim FC,2523,Buriram United,2780,0,0,True,
1288378,2024-12-03T14:00:00+00:00,FT,League Stage - 6,Pakhtakor,4220,Al Ain,2865,1,1,True,
1288379,2024-12-03T18:00:00+00:00,FT,League Stage - 6,Al-Hilal Saudi FC,2932,Al-Gharafa,2903,3,0,True,
1288380,2024-12-04T10:00:00+00:00,FT,League Stage - 6,Kawasaki Frontale,294,Shandong Luneng,844,4,0,True,20516
1288381,2024-12-04T12:00:00+00:00,FT,League Stage - 6,Shanghai Shenhua,833,Ulsan Hyundai FC,2767,1,2,True,19701
1288382,2025-02-03T14:00:00+00:00,FT,League Stage - 7,Al Ain,2865,Al-Rayyan SC,2897,1,2,True,
1288383,2025-02-03T16:00:00+00:00,FT,League Stage - 7,Esteghlal FC,2733,Al Shorta,5242,1,1,True,
1288384,2025-02-03T16:00:00+00:00,FT,League Stage - 7,Al Sadd,2895,Al-Ahli Jeddah,2929,1,3,True,
1288385,2025-02-03T18:00:00+00:00,FT,League Stage - 7,Al-Nassr,2939,Al-Wasl FC,2872,4,0,True,
1288386,2025-02-04T16:00:00+00:00,FT,League Stage - 7,Al-Gharafa,2903,Pakhtakor,4220,1,0,True,
1288387,2025-02-04T18:00:00+00:00,FT,League Stage - 7,Al-Hilal Saudi FC,2932,Persepolis FC,2742,4,1,True,
1288388,2025-02-11T08:00:00+00:00,FT,League Stage - 7,Central Coast Mariners,941,Johor Darul Takzim FC,2523,1,2,True,20806
1288389,2025-02-11T10:00:00+00:00,FT,League Stage - 7,Vissel Kobe,289,SHANGHAI SIPG,836,4,0,True,984
1288390,2025-02-11T10:00:00+00:00,FT,League Stage - 7,Pohang Steelers,2764,Kawasaki Frontale,294,0,4,True,
1288391,2025-02-11T12:00:00+00:00,FT,League Stage - 7,Shandong Luneng,844,Gwangju FC,2759,3,1,True,
1288392,2025-02-12T10:00:00+00:00,FT,League Stage - 7,Yokohama F. Marinos,296,Shanghai Shenhua,833,1,0,True,985
1288393,2025-02-12T12:00:00+00:00,FT,League Stage - 7,Buriram United,2780,Ulsan Hyundai FC,2767,2,1,True,1559
1288394,2025-02-17T14:00:00+00:00,FT,League Stage - 8,Pakhtakor,4220,Al Sadd,2895,2,1,True,
1288396,2025-02-17T16:00:00+00:00,FT,League Stage - 8,Persepolis FC,2742,Al-Nassr,2939,0,0,True,
1288395,2025-02-17T16:00:00+00:00,FT,League Stage - 8,Al Shorta,5242,Al Ain,2865,2,0,True,
1288397,2025-02-17T18:00:00+00:00,FT,League Stage - 8,Al-Ahli Jeddah,2929,Al-Gharafa,2903,4,2,True,
1288399,2025-02-18T10:00:00+00:00,FT,League Stage - 8,Kawasaki Frontale,294,Central Coast Mariners,941,2,0,True,20516
1288398,2025-02-18T10:00:00+00:00,FT,League Stage - 8,Gwangju FC,2759,Buriram United,2780,2,2,True,1010
1288400,2025-02-18T12:00:00+00:00,FT,League Stage - 8,Shanghai Shenhua,833,Vissel Kobe,289,4,2,True,19701
1288401,2025-02-18T12:00:00+00:00,FT,League Stage - 8,Johor Darul Takzim FC,2523,Pohang Steelers,2764,5,2,True,
1288403,2025-02-18T16:00:00+00:00,FT,League Stage - 8,Al-Wasl FC,2872,Al-Hilal Saudi FC,2932,0,2,True,
1288402,2025-02-18T16:00:00+00:00,FT,League Stage - 8,Al-Rayyan SC,2897,Esteghlal FC,2733,0,2,True,
