fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1452951,2025-09-02T10:00:00+00:00,FT,Group Stage - 1,Garde-côtes,26497,Police,8560,0,4,True,7770
1452952,2025-09-02T13:00:00+00:00,FT,Group Stage - 1,Singida Black Stars,24353,Ethiopia Bunna,4116,0,0,True,7770
1459496,2025-09-04T10:00:00+00:00,FT,Group Stage - 1,Kator,26503,Al Ahli Wad Medani,5543,0,0,True,7770
1466667,2025-09-04T13:00:00+00:00,FT,Group Stage - 1,Al Hilal Omdurman,5237,Mogadishu City,8066,1,1,True,7770
1452953,2025-09-05T10:00:00+00:00,FT,Group Stage - 2,Ethiopia Bunna,4116,Garde-côtes,26497,6,0,True,22568
1452954,2025-09-05T13:00:00+00:00,FT,Group Stage - 2,Police,8560,Singida Black Stars,24353,1,2,True,22568
1453694,2025-09-07T10:00:00+00:00,FT,Group Stage - 2,Al Ahli Wad Medani,5543,Al Hilal Omdurman,5237,1,1,True,22568
1453695,2025-09-07T13:00:00+00:00,FT,Group Stage - 2,Mogadishu City,8066,Kator,26503,0,0,True,22568
1452955,2025-09-08T10:00:00+00:00,FT,Group Stage - 3,Ethiopia Bunna,4116,Police,8560,0,2,True,7770
1452956,2025-09-08T10:00:00+00:00,FT,Group Stage - 3,Singida Black Stars,24353,Garde-côtes,26497,1,0,True,22568
1453696,2025-09-10T12:00:00+00:00,FT,Group Stage - 3,Mogadishu City,8066,Al Ahli Wad Medani,5543,2,1,True,7770
1468318,2025-09-13T09:30:00+00:00,AET,Semi-finals,APR,5309,Al Hilal Omdurman,5237,1,3,False,22568
1468319,2025-09-13T13:00:00+00:00,FT,Semi-finals,Singida Black Stars,24353,KMC,8061,2,0,True,22568
1469778,2025-09-15T12:00:00+00:00,FT,Final,Al Hilal Omdurman,5237,Singida Black Stars,24353,1,2,True,22568
