fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1554410,2026-07-07T17:15:00+00:00,FT,1st Qualifying Round,UNA Strassen,2036,La Fiorita,2249,1,0,True,
1554389,2026-07-07T18:00:00+00:00,FT,1st Qualifying Round,AF Elbasani,20406,Bate Borisov,388,1,1,True,
1554414,2026-07-08T16:00:00+00:00,FT,1st Qualifying Round,Zira,648,Torpedo Kutaisi,685,3,0,True,
1554393,2026-07-08T17:30:00+00:00,FT,1st Qualifying Round,GAP Connah S Quay FC,357,Ballkani,12733,0,0,True,
1554395,2026-07-08T17:30:00+00:00,FT,1st Qualifying Round,FC Differdange 03,684,Ilves,1163,0,0,True,
1554406,2026-07-09T14:00:00+00:00,FT,1st Qualifying Round,Atlètic Club d'Escaldes,3345,Mornar,3740,2,1,True,
1554390,2026-07-09T16:00:00+00:00,FT,1st Qualifying Round,Alashkert,582,Yelimay Semey,21011,1,1,True,
1554394,2026-07-09T16:00:00+00:00,FT,1st Qualifying Round,FK Liepaja,661,Dečić,3745,1,0,True,
1554403,2026-07-09T16:00:00+00:00,FT,1st Qualifying Round,Kalju Nomme,662,Linfield,583,1,0,True,
1554396,2026-07-09T16:00:00+00:00,FT,1st Qualifying Round,Dila,3499,Virtus,5308,3,1,True,
1554402,2026-07-09T16:00:00+00:00,FT,1st Qualifying Round,Hegelmann Litauen,3861,Paide,3528,1,1,True,
1554398,2026-07-09T17:00:00+00:00,FT,1st Qualifying Round,Dinamo Minsk,394,Sileks,4331,0,1,True,
1554411,2026-07-09T17:00:00+00:00,FT,1st Qualifying Round,Velež,3381,Milsami Orhei,691,1,1,True,
1554391,2026-07-09T17:00:00+00:00,FT,1st Qualifying Round,Bohemians,3840,St Joseph S Fc,698,2,0,True,
1554404,2026-07-09T17:00:00+00:00,FT,1st Qualifying Round,Marsaxlokk,14507,Pyunik Yerevan,709,0,3,True,
1554405,2026-07-09T17:15:00+00:00,FT,1st Qualifying Round,US Mondorf-les-bains,2037,Dinamo Tbilisi,2262,1,2,True,
1554392,2026-07-09T17:30:00+00:00,FT,1st Qualifying Round,Caernarfon Town,356,FC Levadia Tallinn,2273,0,5,True,
1554399,2026-07-09T17:30:00+00:00,FT,1st Qualifying Round,Europa,10125,Shkendija,609,0,5,True,
1554413,2026-07-09T18:00:00+00:00,FT,1st Qualifying Round,Vllaznia Shkodër,3339,Malisheva,15576,2,1,True,
1554401,2026-07-09T18:30:00+00:00,FT,1st Qualifying Round,Glentoran,5352,Rīgas FS,4160,1,2,True,
1554407,2026-07-09T18:45:00+00:00,FT,1st Qualifying Round,NSI Runavik,682,Hamrun Spartans,4626,1,1,True,
1554408,2026-07-09T18:45:00+00:00,FT,1st Qualifying Round,Penybont,2191,FC Santa Coloma,591,0,1,True,
1554409,2026-07-09T18:45:00+00:00,FT,1st Qualifying Round,Petrovac,3741,FK Zalgiris Vilnius,586,1,3,True,
1554412,2026-07-09T19:00:00+00:00,FT,1st Qualifying Round,Stjarnan,275,Vikingur Gota,580,3,1,True,
1554400,2026-07-09T19:00:00+00:00,FT,1st Qualifying Round,FK Sarajevo,679,Inter Turku,1164,1,1,True,
