fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1330036,2025-01-17T14:25:00+00:00,FT,Al-Nahda,5327,Saham,5335,1,0,True
1330038,2025-01-18T14:15:00+00:00,FT,Al-Shabab,5329,Sohar,5336,1,0,True
1330040,2025-01-19T14:15:00+00:00,FT,Al Seeb,7504,Ibri,15960,3,0,True
1330042,2025-01-19T16:30:00+00:00,FT,Dhofar,5330,Al Nasr,2878,0,1,True
1330037,2025-01-28T13:15:00+00:00,AET,Saham,5335,Al-Nahda,5327,1,0,False
1330041,2025-01-29T13:15:00+00:00,FT,Ibri,15960,Al Seeb,7504,0,3,True
1330043,2025-01-29T16:15:00+00:00,FT,Al Nasr,2878,Dhofar,5330,4,0,True
1330039,2025-01-29T16:15:00+00:00,FT,Sohar,5336,Al-Shabab,5329,0,0,True
1346855,2025-02-06T14:20:00+00:00,FT,Al Seeb,7504,Saham,5335,0,0,True
1346857,2025-02-06T16:30:00+00:00,FT,Al Nasr,2878,Al-Shabab,5329,0,1,True
1346854,2025-02-15T13:25:00+00:00,FT,Saham,5335,Al Seeb,7504,0,1,True
1346856,2025-02-15T16:30:00+00:00,PEN,Al-Shabab,5329,Al Nasr,2878,0,1,False
1352039,2025-02-20T15:00:00+00:00,FT,Al-Shabab,5329,Al Seeb,7504,1,0,True
