fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
865088,2022-07-15T16:00:00+00:00,FT,Regular Season - 1,Raków Częstochowa,3491,Warta Poznań,3496,1,0,True
865082,2022-07-15T18:30:00+00:00,FT,Regular Season - 1,Zaglebie Lubin,345,Slask Wroclaw,337,0,0,True
865084,2022-07-16T13:00:00+00:00,FT,Regular Season - 1,Lech Poznan,347,Stal Mielec,3493,0,2,True
865081,2022-07-16T15:30:00+00:00,FT,Regular Season - 1,Jagiellonia,336,Piast Gliwice,349,2,0,True
865083,2022-07-16T18:00:00+00:00,FT,Regular Season - 1,Korona Kielce,346,Legia Warszawa,339,1,1,True
865087,2022-07-17T10:30:00+00:00,FT,Regular Season - 1,Radomiak Radom,4248,Miedz Legnica,335,1,1,True
865089,2022-07-17T13:00:00+00:00,FT,Regular Season - 1,Wisla Plock,341,Lechia Gdansk,343,3,0,True
865086,2022-07-17T15:30:00+00:00,FT,Regular Season - 1,Pogon Szczecin,348,Widzew Łódź,6962,2,1,True
865085,2022-07-18T17:00:00+00:00,FT,Regular Season - 1,Gornik Zabrze,340,Cracovia Krakow,350,0,2,True
865097,2022-07-22T16:00:00+00:00,FT,Regular Season - 2,Warta Poznań,3496,Wisla Plock,341,0,4,True
865092,2022-07-22T18:30:00+00:00,FT,Regular Season - 2,Jagiellonia,336,Widzew Łódź,6962,0,2,True
865090,2022-07-23T15:30:00+00:00,FT,Regular Season - 2,Cracovia Krakow,350,Korona Kielce,346,2,0,True
865094,2022-07-23T18:00:00+00:00,FT,Regular Season - 2,Legia Warszawa,339,Zaglebie Lubin,345,2,0,True
865098,2022-07-24T15:30:00+00:00,FT,Regular Season - 2,Slask Wroclaw,337,Pogon Szczecin,348,2,1,True
865096,2022-07-25T17:00:00+00:00,FT,Regular Season - 2,Stal Mielec,3493,Radomiak Radom,4248,1,1,True
865100,2022-07-29T16:00:00+00:00,FT,Regular Season - 3,Piast Gliwice,349,Zaglebie Lubin,345,0,1,True
865099,2022-07-29T18:30:00+00:00,FT,Regular Season - 3,Cracovia Krakow,350,Legia Warszawa,339,3,0,True
865105,2022-07-30T15:30:00+00:00,FT,Regular Season - 3,Radomiak Radom,4248,Gornik Zabrze,340,0,3,True
865103,2022-07-30T18:00:00+00:00,FT,Regular Season - 3,Miedz Legnica,335,Warta Poznań,3496,1,2,True
865104,2022-07-31T13:00:00+00:00,FT,Regular Season - 3,Pogon Szczecin,348,Jagiellonia,336,1,0,True
865102,2022-07-31T15:30:00+00:00,FT,Regular Season - 3,Lech Poznan,347,Wisla Plock,341,1,3,True
865106,2022-07-31T15:30:00+00:00,FT,Regular Season - 3,Raków Częstochowa,3491,Stal Mielec,3493,3,2,True
865107,2022-07-31T18:00:00+00:00,FT,Regular Season - 3,Widzew Łódź,6962,Lechia Gdansk,343,2,3,True
865101,2022-08-01T17:00:00+00:00,FT,Regular Season - 3,Korona Kielce,346,Slask Wroclaw,337,3,1,True
865113,2022-08-05T16:00:00+00:00,FT,Regular Season - 4,Stal Mielec,3493,Cracovia Krakow,350,2,0,True
865111,2022-08-05T18:30:00+00:00,FT,Regular Season - 4,Legia Warszawa,339,Piast Gliwice,349,2,0,True
865110,2022-08-06T13:00:00+00:00,FT,Regular Season - 4,Lechia Gdansk,343,Korona Kielce,346,0,1,True
865108,2022-08-06T15:30:00+00:00,FT,Regular Season - 4,Jagiellonia,336,Radomiak Radom,4248,1,2,True
