fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1106137,2023-08-20T15:00:00+00:00,FT,Group C - 1,Fontinhas,6355,Rabo Peixe,4787,0,2,True
1106136,2023-08-20T16:00:00+00:00,FT,Group C - 1,Sertanense,4794,Peniche,4782,1,0,True
1106139,2023-08-20T16:00:00+00:00,FT,Group C - 1,Marinhense,4845,Benfica Castelo Branco,4731,4,3,True
1106140,2023-08-20T16:00:00+00:00,FT,Group C - 1,Mortágua,4850,Vitória de Sernache,4816,1,1,True
1106138,2023-08-20T16:00:00+00:00,FT,Group C - 1,União Santarém,6369,Gouveia,4751,2,2,True
1106141,2023-08-20T16:00:00+00:00,FT,Group C - 1,FC Alverca II,22092,União de Coimbra,17391,0,0,True
1106143,2023-08-27T15:00:00+00:00,FT,Group C - 2,Lusitânia,4763,Fontinhas,6355,0,0,True
1106146,2023-08-27T16:00:00+00:00,FT,Group C - 2,Benfica Castelo Branco,4731,União Santarém,6369,0,0,True
1106147,2023-08-27T16:00:00+00:00,FT,Group C - 2,Gouveia,4751,Mortágua,4850,1,1,True
1106145,2023-08-27T16:00:00+00:00,FT,Group C - 2,Peniche,4782,Marinhense,4845,0,1,True
1106149,2023-08-27T16:00:00+00:00,FT,Group C - 2,Vitória de Sernache,4816,FC Alverca II,22092,0,0,True
1106148,2023-08-27T16:00:00+00:00,FT,Group C - 2,União de Coimbra,17391,União de Tomar,4804,2,1,True
1106151,2023-09-03T15:00:00+00:00,FT,Group C - 3,Rabo Peixe,4787,Lusitânia,4763,3,2,True
1106152,2023-09-03T16:00:00+00:00,FT,Group C - 3,Sertanense,4794,Marinhense,4845,1,1,True
1106156,2023-09-03T16:00:00+00:00,FT,Group C - 3,União de Tomar,4804,Vitória de Sernache,4816,1,0,True
1106155,2023-09-03T16:00:00+00:00,FT,Group C - 3,Mortágua,4850,Benfica Castelo Branco,4731,1,2,True
1106153,2023-09-03T16:00:00+00:00,FT,Group C - 3,União Santarém,6369,Peniche,4782,0,1,True
1106154,2023-09-03T16:00:00+00:00,FT,Group C - 3,FC Alverca II,22092,Gouveia,4751,3,1,True
1106239,2023-09-10T15:00:00+00:00,FT,Group C - 15,Sertanense,4794,Rabo Peixe,4787,3,2,True
1106159,2023-09-17T14:00:00+00:00,FT,Group C - 4,Benfica Castelo Branco,4731,FC Alverca II,22092,0,0,True
1106161,2023-09-17T14:00:00+00:00,FT,Group C - 4,Gouveia,4751,União de Tomar,4804,2,0,True
1106162,2023-09-17T14:00:00+00:00,FT,Group C - 4,Lusitânia,4763,Sertanense,4794,3,1,True
1106157,2023-09-17T14:00:00+00:00,FT,Group C - 4,Peniche,4782,Mortágua,4850,3,1,True
1106163,2023-09-17T14:00:00+00:00,FT,Group C - 4,Vitória de Sernache,4816,Fontinhas,6355,4,1,True
1106158,2023-09-17T14:00:00+00:00,FT,Group C - 4,Marinhense,4845,União Santarém,6369,2,4,True
1106160,2023-09-17T14:00:00+00:00,FT,Group C - 4,União de Coimbra,17391,Rabo Peixe,4787,1,2,True
1106170,2023-10-01T11:00:00+00:00,FT,Group C - 5,Rabo Peixe,4787,Vitória de Sernache,4816,0,1,True
1106169,2023-10-01T14:00:00+00:00,FT,Group C - 5,Lusitânia,4763,União de Coimbra,17391,1,0,True
1106167,2023-10-01T14:00:00+00:00,FT,Group C - 5,Sertanense,4794,União Santarém,6369,0,0,True
1106166,2023-10-01T14:00:00+00:00,FT,Group C - 5,União de Tomar,4804,Benfica Castelo Branco,4731,1,0,True
1106165,2023-10-01T14:00:00+00:00,FT,Group C - 5,Mortágua,4850,Marinhense,4845,2,1,True
1106164,2023-10-01T14:00:00+00:00,FT,Group C - 5,FC Alverca II,22092,Peniche,4782,7,0,True
1106168,2023-10-01T15:00:00+00:00,FT,Group C - 5,Fontinhas,6355,Gouveia,4751,2,0,True
1106174,2023-10-08T14:00:00+00:00,FT,Group C - 6,Benfica Castelo Branco,4731,Fontinhas,6355,2,0,True
1106171,2023-10-08T14:00:00+00:00,FT,Group C - 6,Peniche,4782,União de Tomar,4804,2,2,True
1106177,2023-10-08T14:00:00+00:00,FT,Group C - 6,Vitória de Sernache,4816,Lusitânia,4763,0,0,True
1106173,2023-10-08T14:00:00+00:00,FT,Group C - 6,Marinhense,4845,FC Alverca II,22092,2,1,True
1106172,2023-10-08T14:00:00+00:00,FT,Group C - 6,União Santarém,6369,Mortágua,4850,3,0,True
1106176,2023-10-08T14:00:00+00:00,FT,Group C - 6,União de Coimbra,17391,Sertanense,4794,2,0,True
1106150,2023-10-14T13:00:00+00:00,FT,Group C - 3,Fontinhas,6355,União de Coimbra,17391,3,2,True
1106187,2023-10-15T10:00:00+00:00,FT,Group C - 8,Peniche,4782,Rabo Peixe,4787,1,1,True
1106142,2023-10-15T14:00:00+00:00,FT,Group C - 1,União de Tomar,4804,Lusitânia,4763,1,3,True
1106186,2023-10-21T14:00:00+00:00,FT,Group C - 8,União Santarém,6369,União de Tomar,4804,3,0,True
1106191,2023-10-22T14:00:00+00:00,FT,Group C - 8,Gouveia,4751,União de Coimbra,17391,1,5,True
1106190,2023-10-22T14:00:00+00:00,FT,Group C - 8,Vitória de Sernache,4816,Sertanense,4794,1,0,True
1106182,2023-10-28T11:00:00+00:00,FT,Group C - 7,Fontinhas,6355,Peniche,4782,0,1,True
1106181,2023-10-28T14:00:00+00:00,FT,Group C - 7,Lusitânia,4763,Gouveia,4751,0,0,True
1106180,2023-10-28T14:00:00+00:00,FT,Group C - 7,Sertanense,4794,Mortágua,4850,4,3,True
1106179,2023-10-28T14:00:00+00:00,FT,Group C - 7,União de Tomar,4804,Marinhense,4845,1,0,True
1106183,2023-10-28T14:00:00+00:00,FT,Group C - 7,União de Coimbra,17391,Vitória de Sernache,4816,2,0,True
1106178,2023-10-28T14:00:00+00:00,FT,Group C - 7,FC Alverca II,22092,União Santarém,6369,3,1,True
1106184,2023-10-28T15:00:00+00:00,FT,Group C - 7,Rabo Peixe,4787,Benfica Castelo Branco,4731,0,0,True
1106189,2023-11-01T11:00:00+00:00,FT,Group C - 8,Benfica Castelo Branco,4731,Lusitânia,4763,4,1,True
1106188,2023-11-01T15:00:00+00:00,FT,Group C - 8,Mortágua,4850,FC Alverca II,22092,0,0,True
1106193,2023-11-05T15:00:00+00:00,FT,Group C - 9,Sertanense,4794,FC Alverca II,22092,0,0,True
1106194,2023-11-05T15:00:00+00:00,FT,Group C - 9,União de Tomar,4804,Mortágua,4850,0,1,True
1106197,2023-11-05T15:00:00+00:00,FT,Group C - 9,Vitória de Sernache,4816,Gouveia,4751,1,1,True
1106192,2023-11-05T15:00:00+00:00,FT,Group C - 9,Fontinhas,6355,União Santarém,6369,3,2,True
1106198,2023-11-05T15:00:00+00:00,FT,Group C - 9,União de Coimbra,17391,Benfica Castelo Branco,4731,2,1,True
