fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
616320,2020-09-20T14:00:00+00:00,FT,Group G - 1,Real,10149,Fabril Barreiro,4882,2,1,True
616321,2020-09-20T15:00:00+00:00,FT,Group G - 1,Fontinhas,6355,Estrela,15130,1,2,True
616322,2020-11-15T12:30:00+00:00,FT,Group G - 1,Praiense,4786,Olímpico do Montijo,4774,2,2,True
616323,2020-09-20T14:00:00+00:00,FT,Group G - 1,Oriental Dragon,15131,Belenenses II,15129,0,1,True
616324,2020-09-21T16:00:00+00:00,FT,Group G - 1,Oriental Lisboa,4775,Sporting CP B,761,0,1,True
616325,2021-02-17T16:00:00+00:00,FT,Group G - 1,Ideal,4753,Rabo Peixe,4787,0,2,True
616326,2020-10-04T14:00:00+00:00,FT,Group G - 2,Belenenses II,15129,Fontinhas,6355,0,2,True
616327,2020-10-04T14:00:00+00:00,FT,Group G - 2,Fabril Barreiro,4882,Oriental Lisboa,4775,2,2,True
616328,2020-10-04T14:00:00+00:00,FT,Group G - 2,Sporting CP B,761,Praiense,4786,2,0,True
616329,2020-10-04T15:00:00+00:00,FT,Group G - 2,Rabo Peixe,4787,Real,10149,2,1,True
616330,2020-12-23T15:00:00+00:00,FT,Group G - 2,Olímpico do Montijo,4774,Oriental Dragon,15131,0,3,True
616331,2020-10-03T20:00:00+00:00,FT,Group G - 2,Estrela,15130,Ideal,4753,3,0,True
616332,2021-03-10T15:00:00+00:00,FT,Group G - 3,Belenenses II,15129,Olímpico do Montijo,4774,1,0,True
616333,2020-10-18T14:00:00+00:00,FT,Group G - 3,Oriental Lisboa,4775,Rabo Peixe,4787,0,1,True
616334,2020-10-17T17:00:00+00:00,FT,Group G - 3,Real,10149,Estrela,15130,1,1,True
616335,2020-10-18T15:00:00+00:00,FT,Group G - 3,Praiense,4786,Fabril Barreiro,4882,0,0,True
616336,2020-10-18T15:00:00+00:00,FT,Group G - 3,Fontinhas,6355,Ideal,4753,2,2,True
616337,2020-10-18T14:00:00+00:00,FT,Group G - 3,Oriental Dragon,15131,Sporting CP B,761,0,0,True
616338,2020-10-25T15:00:00+00:00,FT,Group G - 4,Fabril Barreiro,4882,Oriental Dragon,15131,0,2,True
616339,2020-10-25T16:00:00+00:00,FT,Group G - 4,Ideal,4753,Real,10149,2,1,True
616340,2020-10-25T15:00:00+00:00,FT,Group G - 4,Sporting CP B,761,Belenenses II,15129,4,1,True
616341,2020-10-24T16:00:00+00:00,FT,Group G - 4,Rabo Peixe,4787,Praiense,4786,0,0,True
616342,2021-01-20T15:00:00+00:00,FT,Group G - 4,Olímpico do Montijo,4774,Fontinhas,6355,1,0,True
616343,2020-10-25T15:00:00+00:00,FT,Group G - 4,Estrela,15130,Oriental Lisboa,4775,2,0,True
616344,2020-11-15T11:00:00+00:00,FT,Group G - 5,Belenenses II,15129,Fabril Barreiro,4882,1,0,True
616345,2020-11-11T15:00:00+00:00,FT,Group G - 5,Oriental Lisboa,4775,Ideal,4753,0,3,True
616346,2021-02-14T14:00:00+00:00,FT,Group G - 5,Praiense,4786,Estrela,15130,1,1,True
616347,2020-11-18T16:00:00+00:00,FT,Group G - 5,Fontinhas,6355,Real,10149,1,1,True
616348,2020-12-30T15:00:00+00:00,FT,Group G - 5,Olímpico do Montijo,4774,Sporting CP B,761,0,1,True
616349,2020-12-13T11:00:00+00:00,FT,Group G - 5,Oriental Dragon,15131,Rabo Peixe,4787,1,0,True
616350,2020-11-08T15:00:00+00:00,FT,Group G - 6,Fabril Barreiro,4882,Olímpico do Montijo,4774,2,2,True
616351,2020-12-23T14:00:00+00:00,FT,Group G - 6,Real,10149,Oriental Lisboa,4775,1,0,True
616352,2020-11-07T16:00:00+00:00,FT,Group G - 6,Ideal,4753,Praiense,4786,1,1,True
616353,2020-11-08T11:00:00+00:00,FT,Group G - 6,Sporting CP B,761,Fontinhas,6355,2,1,True
616354,2020-11-08T16:00:00+00:00,FT,Group G - 6,Rabo Peixe,4787,Belenenses II,15129,0,0,True
616355,2020-11-25T15:00:00+00:00,FT,Group G - 6,Estrela,15130,Oriental Dragon,15131,2,0,True
616356,2020-11-29T11:00:00+00:00,FT,Group G - 7,Belenenses II,15129,Estrela,15130,0,1,True
616357,2020-11-29T16:00:00+00:00,FT,Group G - 7,Praiense,4786,Real,10149,1,0,True
616358,2020-12-13T11:00:00+00:00,FT,Group G - 7,Sporting CP B,761,Fabril Barreiro,4882,3,0,True
616359,2020-11-29T16:00:00+00:00,FT,Group G - 7,Fontinhas,6355,Oriental Lisboa,4775,2,1,True
616360,2020-11-29T11:00:00+00:00,FT,Group G - 7,Olímpico do Montijo,4774,Rabo Peixe,4787,0,3,True
616361,2020-11-29T15:00:00+00:00,FT,Group G - 7,Oriental Dragon,15131,Ideal,4753,4,1,True
