fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
786723,2021-08-13T16:00:00+00:00,FT,Regular Season - 1,SC Braga B,246,Oliveirense,233,2,3,True
786724,2021-08-13T18:30:00+00:00,FT,Regular Season - 1,Real,10149,Sporting CP B,761,0,0,True
786725,2021-08-14T10:00:00+00:00,FT,Regular Season - 1,Anadia,4727,Canelas 2010,4829,1,1,True
786728,2021-08-14T16:00:00+00:00,FT,Regular Season - 1,Sanjoanense,4792,Felgueiras 1932,4744,0,1,True
786727,2021-08-14T16:00:00+00:00,FT,Regular Season - 1,Torreense,4799,União de Leiria,4662,1,1,True
786726,2021-08-14T16:00:00+00:00,FT,Regular Season - 1,Oriental Dragon,15131,União Santarém,6369,1,2,True
786729,2021-08-14T18:30:00+00:00,FT,Regular Season - 1,Vitoria Setubal,219,Amora,4726,1,0,True
786730,2021-08-15T10:00:00+00:00,FT,Regular Season - 1,Guimaraes B,232,Lusitânia Lourosa,6358,2,0,True
786731,2021-08-15T16:00:00+00:00,FT,Regular Season - 1,Cova De Piedade,241,Alverca,4724,2,1,True
786732,2021-08-15T16:00:00+00:00,FT,Regular Season - 1,Montalegre,4770,Pevidem,6362,1,0,True
786733,2021-08-15T16:00:00+00:00,FT,Regular Season - 1,São João Ver,6367,Fafe,809,1,1,True
786735,2021-08-20T16:00:00+00:00,FT,Regular Season - 2,Pevidem,6362,Sanjoanense,4792,1,3,True
786736,2021-08-20T19:30:00+00:00,FT,Regular Season - 2,Fafe,809,SC Braga B,246,2,2,True
786739,2021-08-21T16:00:00+00:00,FT,Regular Season - 2,Oliveirense,233,Guimaraes B,232,3,2,True
786737,2021-08-21T16:00:00+00:00,FT,Regular Season - 2,Oliveira Hospital,4773,Torreense,4799,0,1,True
786738,2021-08-21T16:00:00+00:00,FT,Regular Season - 2,União Santarém,6369,Real,10149,1,2,True
786740,2021-08-21T18:30:00+00:00,FT,Regular Season - 2,União de Leiria,4662,Vitoria Setubal,219,2,0,True
786741,2021-08-22T10:00:00+00:00,FT,Regular Season - 2,Alverca,4724,Oriental Dragon,15131,1,0,True
786742,2021-08-22T16:00:00+00:00,FT,Regular Season - 2,Sporting CP B,761,Caldas,4733,1,0,True
786744,2021-08-22T16:00:00+00:00,FT,Regular Season - 2,Felgueiras 1932,4744,Anadia,4727,1,0,True
786745,2021-08-22T16:00:00+00:00,FT,Regular Season - 2,Canelas 2010,4829,São João Ver,6367,1,5,True
786743,2021-08-22T16:00:00+00:00,FT,Regular Season - 2,Lusitânia Lourosa,6358,Montalegre,4770,2,1,True
786747,2021-08-27T16:00:00+00:00,FT,Regular Season - 3,SC Braga B,246,Guimaraes B,232,1,1,True
786748,2021-08-27T19:30:00+00:00,FT,Regular Season - 3,Fafe,809,Canelas 2010,4829,1,0,True
786749,2021-08-28T10:00:00+00:00,FT,Regular Season - 3,Torreense,4799,Sporting CP B,761,4,3,True
