fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1597736,2026-08-07T19:00:00+00:00,FT,Regular Season - 1,Paredes,4778,Guimaraes B,232,3,1,True,
1597734,2026-08-08T10:00:00+00:00,FT,Regular Season - 1,Oliveirense,233,Louletano,4758,0,0,True,10959
1597730,2026-08-08T16:00:00+00:00,FT,Regular Season - 1,SC Covilha,236,União Santarém,6369,2,0,True,
1597732,2026-08-08T16:00:00+00:00,FT,Regular Season - 1,Lusitano Évora 1911,15207,Atlético CP,4872,0,1,True,20174
1597735,2026-08-08T16:30:00+00:00,FT,Regular Season - 1,CF Os Belenenses,17692,Caldas,4733,1,0,True,
1597733,2026-08-08T19:00:00+00:00,FT,Regular Season - 1,Mafra,245,Vitória de Sernache,4816,5,0,True,1270
1597729,2026-08-09T10:00:00+00:00,FT,Regular Season - 1,AD Marco 09,22089,Pacos Ferreira,234,2,1,True,
1597728,2026-08-09T16:00:00+00:00,FT,Regular Season - 1,Fafe,809,Vianense,4809,0,0,True,
1597737,2026-08-09T16:00:00+00:00,FT,Regular Season - 1,Trofense,4801,Varzim,237,0,1,True,
1597731,2026-08-09T16:30:00+00:00,FT,Regular Season - 1,Leça,4757,São João Ver,6367,1,1,True,3601
1597742,2026-08-14T19:30:00+00:00,FT,Regular Season - 2,União Santarém,6369,Oliveirense,233,1,1,True,10892
1597738,2026-08-15T10:00:00+00:00,FT,Regular Season - 2,Atlético CP,4872,Mafra,245,1,1,True,
1597746,2026-08-15T16:00:00+00:00,FT,Regular Season - 2,Guimaraes B,232,Leça,4757,2,0,True,
1597740,2026-08-15T16:00:00+00:00,FT,Regular Season - 2,Louletano,4758,CF Os Belenenses,17692,1,3,True,
1597741,2026-08-15T16:30:00+00:00,FT,Regular Season - 2,Pacos Ferreira,234,Paredes,4778,0,1,True,
1597744,2026-08-15T16:30:00+00:00,FT,Regular Season - 2,Vianense,4809,Trofense,4801,2,0,True,
1597747,2026-08-16T16:00:00+00:00,FT,Regular Season - 2,Vitória de Sernache,4816,SC Covilha,236,0,0,True,
1597743,2026-08-16T16:00:00+00:00,FT,Regular Season - 2,São João Ver,6367,Fafe,809,1,3,True,
1597739,2026-08-16T16:30:00+00:00,FT,Regular Season - 2,Caldas,4733,Lusitano Évora 1911,15207,0,0,True,3581
1597745,2026-08-16T19:00:00+00:00,FT,Regular Season - 2,Varzim,237,AD Marco 09,22089,2,1,True,
1597748,2026-08-21T19:30:00+00:00,FT,Regular Season - 3,Fafe,809,Guimaraes B,232,1,1,True,
1597754,2026-08-22T10:00:00+00:00,FT,Regular Season - 3,CF Os Belenenses,17692,União Santarém,6369,5,0,True,
1597757,2026-08-22T16:00:00+00:00,FT,Regular Season - 3,Trofense,4801,São João Ver,6367,1,0,True,
1597752,2026-08-22T16:00:00+00:00,FT,Regular Season - 3,Lusitano Évora 1911,15207,Mafra,245,2,1,True,
1597751,2026-08-22T17:00:00+00:00,FT,Regular Season - 3,SC Covilha,236,Atlético CP,4872,0,3,True,
1597755,2026-08-22T19:30:00+00:00,FT,Regular Season - 3,Pacos Ferreira,234,Varzim,237,1,4,True,
1597756,2026-08-23T10:00:00+00:00,FT,Regular Season - 3,Paredes,4778,Leça,4757,1,2,True,
1597750,2026-08-23T16:00:00+00:00,FT,Regular Season - 3,Caldas,4733,Louletano,4758,2,4,True,3581
1597749,2026-08-23T16:00:00+00:00,FT,Regular Season - 3,AD Marco 09,22089,Vianense,4809,2,0,True,
1597753,2026-08-23T16:30:00+00:00,FT,Regular Season - 3,Oliveirense,233,Vitória de Sernache,4816,3,2,True,10959
1597762,2026-09-04T19:00:00+00:00,NS,Regular Season - 4,União Santarém,6369,Caldas,4733,,,False,10892
1597764,2026-09-05T13:00:00+00:00,NS,Regular Season - 4,Vianense,4809,Pacos Ferreira,234,,,False,
1597766,2026-09-05T16:00:00+00:00,NS,Regular Season - 4,Guimaraes B,232,Trofense,4801,,,False,
1597761,2026-09-05T16:00:00+00:00,NS,Regular Season - 4,Mafra,245,SC Covilha,236,,,False,1270
1597765,2026-09-05T17:30:00+00:00,NS,Regular Season - 4,Varzim,237,Paredes,4778,,,False,
1597759,2026-09-06T10:00:00+00:00,NS,Regular Season - 4,Leça,4757,Fafe,809,,,False,3601
1597767,2026-09-06T13:30:00+00:00,NS,Regular Season - 4,Vitória de Sernache,4816,CF Os Belenenses,17692,,,False,
1597758,2026-09-06T15:00:00+00:00,NS,Regular Season - 4,Atlético CP,4872,Oliveirense,233,,,False,
1597760,2026-09-06T16:00:00+00:00,NS,Regular Season - 4,Louletano,4758,Lusitano Évora 1911,15207,,,False,
1597763,2026-09-06T16:00:00+00:00,NS,Regular Season - 4,São João Ver,6367,AD Marco 09,22089,,,False,
1597772,2026-09-12T10:00:00+00:00,NS,Regular Season - 5,Oliveirense,233,Mafra,245,,,False,10959
1597777,2026-09-12T14:00:00+00:00,NS,Regular Season - 5,Varzim,237,Vianense,4809,,,False,
1597770,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Louletano,4758,União Santarém,6369,,,False,
1597776,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Trofense,4801,Leça,4757,,,False,
1597768,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,AD Marco 09,22089,Guimaraes B,232,,,False,
1597771,2026-09-12T16:00:00+00:00,NS,Regular Season - 5,Lusitano Évora 1911,15207,SC Covilha,236,,,False,
1597773,2026-09-13T10:00:00+00:00,NS,Regular Season - 5,CF Os Belenenses,17692,Atlético CP,4872,,,False,
