fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1283676,2024-09-07T10:00:00+00:00,FT,1st Round,União Santarém,6369,Sacavenense,4791,2,0,True
1283667,2024-09-07T13:30:00+00:00,PEN,1st Round,Ovarense,15363,São João Ver,6367,1,1,False
1283658,2024-09-07T14:00:00+00:00,FT,1st Round,Machico,4764,Macedo Cavaleiros,17386,3,0,True
1283663,2024-09-07T14:00:00+00:00,FT,1st Round,Rebordosa,6365,Juventude Gaula,24640,3,0,True
1283664,2024-09-07T16:00:00+00:00,FT,1st Round,Ginásio Figueirense,10122,Sanjoanense,4792,0,5,True
1283669,2024-09-07T16:00:00+00:00,AET,1st Round,Guarda,24535,Estarreja,4881,5,4,False
1283666,2024-09-07T16:30:00+00:00,FT,1st Round,Lusitânia Lourosa,6358,União Lamas,4864,2,1,True
1283674,2024-09-07T19:00:00+00:00,FT,1st Round,Academica,239,Benfica Castelo Branco,4731,2,0,True
1283661,2024-09-08T10:00:00+00:00,AET,1st Round,Leça,4757,AD Marco 09,22089,2,2,False
1283677,2024-09-08T10:00:00+00:00,FT,1st Round,Abrantes e Benfica,17378,Operário,4852,0,2,True
1283685,2024-09-08T13:00:00+00:00,AET,1st Round,União de Coimbra,17391,Beira-Mar,4661,2,2,False
1283651,2024-09-08T15:00:00+00:00,FT,1st Round,Valpaços,24644,Os Limianos,4776,3,5,True
1283657,2024-09-08T15:30:00+00:00,FT,1st Round,Fafe,809,Amarante,4725,1,4,True
1283678,2024-09-08T16:00:00+00:00,FT,1st Round,Caldas,4733,UD da Serra,20042,1,0,True
1283665,2024-09-08T16:00:00+00:00,FT,1st Round,Cinfães,4737,Resende,4857,3,0,True
1283684,2024-09-08T16:00:00+00:00,FT,1st Round,Louletano,4758,Lagos,6357,3,0,True
1283653,2024-09-08T16:00:00+00:00,FT,1st Round,Maria da Fonte,4765,Cardielense,24638,2,1,True
1283681,2024-09-08T16:00:00+00:00,FT,1st Round,Moura,4771,Portel,22166,1,0,True
1283682,2024-09-08T16:00:00+00:00,FT,1st Round,Praia Milfontes,4785,FC Serpa,17442,0,5,True
1283655,2024-09-08T16:00:00+00:00,FT,1st Round,Vianense,4809,Vinhais,4815,2,1,True
1283652,2024-09-08T16:00:00+00:00,FT,1st Round,Vieira,4810,Pedras Salgadas,4780,2,0,True
1283659,2024-09-08T16:00:00+00:00,PEN,1st Round,Vila Real,4812,Joane,4754,0,0,False
1283660,2024-09-08T16:00:00+00:00,AET,1st Round,Aliança de Gandra,4821,Salgueiros,4859,2,1,False
1283683,2024-09-08T16:00:00+00:00,FT,1st Round,Moncarapachense,4847,O Grandolense,24642,3,0,True
1283675,2024-09-08T16:00:00+00:00,FT,1st Round,Gavionenses,4884,Arronches e Benfica,17379,0,3,True
1283686,2024-09-08T16:00:00+00:00,AET,1st Round,São Roque (Açores),4892,Lusitânia,4763,1,2,False
1283679,2024-09-08T16:00:00+00:00,FT,1st Round,Viana Alentejo,4895,CF Os Belenenses,17692,1,2,True
1283668,2024-09-08T16:00:00+00:00,AET,1st Round,Vila Cortez,6372,Anadia,4727,2,4,False
1283656,2024-09-08T16:00:00+00:00,FT,1st Round,Brito,15126,Maia Lidador,24641,2,1,True
1283654,2024-09-08T16:00:00+00:00,FT,1st Round,Dumiense,20036,Vilaverdense,4814,2,3,True
1283671,2024-09-08T16:00:00+00:00,FT,1st Round,Pedrógão São Pedro,20039,Pombal,4853,1,3,True
1283680,2024-09-08T16:00:00+00:00,AET,1st Round,CF Benfica,24637,Comércio Indústria,17985,4,3,False
1283672,2024-09-08T16:00:00+00:00,FT,1st Round,Ferreira Zêzere,24639,Académico do Fundão,4870,2,0,True
1283670,2024-09-08T16:00:00+00:00,FT,1st Round,Oliveira de Frades,24643,Mortágua,4850,0,3,True
1283673,2024-09-08T16:00:00+00:00,FT,1st Round,Vieirense,24645,Sertanense,4794,1,4,True
1283687,2024-09-08T17:00:00+00:00,FT,1st Round,Madalena,15208,Estrela Vendas Novas,4839,0,2,True
1283662,2024-09-15T16:00:00+00:00,FT,1st Round,Velense,6371,Régua,4790,1,2,True
