fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1417376,2025-08-29T19:15:00+00:00,FT,Tre Penne,700,Fiorentino,5301,2,0,True
1417372,2025-08-29T19:15:00+00:00,FT,Libertas,5303,San Marino Academy,22179,1,1,True
1417373,2025-08-29T19:15:00+00:00,FT,Murata,5305,Faetano,5300,0,2,True
1417375,2025-08-29T19:15:00+00:00,FT,San Giovanni,5307,Juvenes / Dogana,5302,0,0,True
1417371,2025-08-30T15:30:00+00:00,FT,Folgore,672,Cailungo,5297,3,0,True
1417370,2025-08-30T15:30:00+00:00,FT,Cosmos,5298,Tre Fiori,2260,0,1,True
1417374,2025-08-30T15:30:00+00:00,FT,Pennarossa,5306,Domagnano,5299,0,4,True
1417377,2025-08-31T15:30:00+00:00,FT,Virtus,5308,La Fiorita,2249,2,2,True
1417385,2025-09-12T19:15:00+00:00,FT,Virtus,5308,Folgore,672,2,1,True
1417383,2025-09-12T19:15:00+00:00,FT,San Marino Academy,22179,La Fiorita,2249,0,5,True
1417378,2025-09-13T13:00:00+00:00,FT,Cailungo,5297,Murata,5305,1,1,True
1417380,2025-09-13T13:00:00+00:00,FT,Faetano,5300,Tre Penne,700,0,6,True
1417382,2025-09-13T13:00:00+00:00,FT,Juvenes / Dogana,5302,Cosmos,5298,1,0,True
1417384,2025-09-14T13:00:00+00:00,FT,Tre Fiori,2260,San Giovanni,5307,4,0,True
1417379,2025-09-14T13:00:00+00:00,FT,Domagnano,5299,Libertas,5303,5,2,True
1417381,2025-09-14T13:00:00+00:00,FT,Fiorentino,5301,Pennarossa,5306,2,0,True
1417386,2025-09-19T19:15:00+00:00,FT,Cosmos,5298,Domagnano,5299,0,0,True
1417389,2025-09-19T19:15:00+00:00,FT,Libertas,5303,Cailungo,5297,0,1,True
1417390,2025-09-19T19:15:00+00:00,FT,Pennarossa,5306,Virtus,5308,0,3,True
1417393,2025-09-20T13:00:00+00:00,FT,Tre Penne,700,San Marino Academy,22179,1,0,True
1417391,2025-09-20T13:00:00+00:00,FT,San Giovanni,5307,Fiorentino,5301,1,1,True
1417388,2025-09-21T13:00:00+00:00,FT,La Fiorita,2249,Murata,5305,3,1,True
1417392,2025-09-21T13:00:00+00:00,FT,Tre Fiori,2260,Juvenes / Dogana,5302,1,0,True
1417387,2025-09-21T16:30:00+00:00,FT,Folgore,672,Faetano,5300,2,0,True
1417396,2025-09-27T13:00:00+00:00,FT,Fiorentino,5301,Domagnano,5299,0,0,True
1417398,2025-09-27T13:00:00+00:00,FT,Libertas,5303,San Giovanni,5307,1,0,True
1417400,2025-09-27T13:00:00+00:00,FT,San Marino Academy,22179,Tre Fiori,2260,1,3,True
1417394,2025-09-27T16:30:00+00:00,FT,Cailungo,5297,Juvenes / Dogana,5302,0,2,True
1417397,2025-09-28T13:00:00+00:00,FT,La Fiorita,2249,Tre Penne,700,1,1,True
1417395,2025-09-28T13:00:00+00:00,FT,Faetano,5300,Pennarossa,5306,1,2,True
1417399,2025-09-28T13:00:00+00:00,FT,Murata,5305,Folgore,672,0,2,True
1417401,2025-09-28T13:00:00+00:00,FT,Virtus,5308,Cosmos,5298,2,0,True
1417404,2025-10-03T19:15:00+00:00,FT,Folgore,672,Fiorentino,5301,3,0,True
1417402,2025-10-03T19:15:00+00:00,FT,Cailungo,5297,Faetano,5300,0,1,True
1417407,2025-10-03T19:15:00+00:00,FT,San Giovanni,5307,Cosmos,5298,0,3,True
1417405,2025-10-04T13:00:00+00:00,FT,Juvenes / Dogana,5302,La Fiorita,2249,2,2,True
1417408,2025-10-04T13:00:00+00:00,FT,San Marino Academy,22179,Virtus,5308,0,2,True
1417409,2025-10-05T13:00:00+00:00,FT,Tre Penne,700,Pennarossa,5306,2,0,True
1417403,2025-10-05T13:00:00+00:00,FT,Domagnano,5299,Tre Fiori,2260,0,1,True
1417406,2025-10-05T13:00:00+00:00,FT,Murata,5305,Libertas,5303,1,1,True
1417417,2025-10-17T19:15:00+00:00,FT,Tre Fiori,2260,Folgore,672,2,1,True
1417410,2025-10-17T19:15:00+00:00,FT,Cosmos,5298,Tre Penne,700,3,0,True
1417411,2025-10-17T19:15:00+00:00,FT,Domagnano,5299,Juvenes / Dogana,5302,3,1,True
1417414,2025-10-18T13:00:00+00:00,FT,La Fiorita,2249,Cailungo,5297,3,0,True
1417412,2025-10-18T13:00:00+00:00,FT,Faetano,5300,Libertas,5303,1,1,True
1417415,2025-10-18T13:00:00+00:00,FT,Pennarossa,5306,San Giovanni,5307,2,1,True
1417413,2025-10-18T16:15:00+00:00,FT,Fiorentino,5301,Virtus,5308,0,4,True
1417416,2025-10-19T13:00:00+00:00,FT,San Marino Academy,22179,Murata,5305,1,5,True
1417424,2025-10-24T19:15:00+00:00,FT,Tre Penne,700,Tre Fiori,2260,0,0,True
1417419,2025-10-25T13:00:00+00:00,FT,Folgore,672,Pennarossa,5306,3,0,True
1417421,2025-10-25T13:00:00+00:00,FT,Libertas,5303,La Fiorita,2249,1,3,True
1417422,2025-10-25T13:00:00+00:00,FT,Murata,5305,Domagnano,5299,0,6,True
1417420,2025-10-26T14:00:00+00:00,FT,Juvenes / Dogana,5302,Fiorentino,5301,1,1,True
1417423,2025-10-26T14:00:00+00:00,FT,San Marino Academy,22179,Cosmos,5298,1,3,True
1417425,2025-10-26T15:00:00+00:00,FT,Virtus,5308,Faetano,5300,2,1,True
1417418,2025-10-26T17:15:00+00:00,FT,Cailungo,5297,San Giovanni,5307,1,3,True
1417426,2025-10-31T20:15:00+00:00,FT,Cosmos,5298,Murata,5305,1,1,True
1417428,2025-10-31T20:15:00+00:00,FT,Faetano,5300,La Fiorita,2249,1,2,True
1417430,2025-11-01T14:00:00+00:00,FT,Juvenes / Dogana,5302,Tre Penne,700,1,1,True
1417433,2025-11-01T14:00:00+00:00,FT,Virtus,5308,San Giovanni,5307,2,0,True
1417429,2025-11-01T17:15:00+00:00,FT,Folgore,672,Libertas,5303,6,1,True
1417432,2025-11-01T17:15:00+00:00,FT,Tre Fiori,2260,Fiorentino,5301,2,0,True
1417427,2025-11-02T14:00:00+00:00,FT,Domagnano,5299,Cailungo,5297,3,0,True
1417431,2025-11-02T14:00:00+00:00,FT,Pennarossa,5306,San Marino Academy,22179,3,1,True
1417434,2025-11-08T14:00:00+00:00,FT,Cailungo,5297,Tre Fiori,2260,1,4,True
1417435,2025-11-08T14:00:00+00:00,FT,Fiorentino,5301,Cosmos,5298,0,1,True
1417436,2025-11-08T14:00:00+00:00,FT,Juvenes / Dogana,5302,Virtus,5308,0,3,True
1417438,2025-11-08T14:00:00+00:00,FT,Libertas,5303,Pennarossa,5306,2,2,True
1417441,2025-11-08T17:15:00+00:00,FT,Tre Penne,700,Domagnano,5299,0,0,True
1417437,2025-11-09T14:00:00+00:00,FT,La Fiorita,2249,Folgore,672,2,2,True
1417439,2025-11-09T14:00:00+00:00,FT,Murata,5305,San Giovanni,5307,0,0,True
1417440,2025-11-09T14:00:00+00:00,FT,San Marino Academy,22179,Faetano,5300,1,1,True
1417445,2025-11-22T14:00:00+00:00,FT,Juvenes / Dogana,5302,Faetano,5300,3,1,True
1417449,2025-11-22T14:00:00+00:00,FT,Virtus,5308,Tre Fiori,2260,0,0,True
1417446,2025-11-22T17:15:00+00:00,FT,Pennarossa,5306,La Fiorita,2249,0,5,True
1417448,2025-11-22T17:45:00+00:00,FT,Tre Penne,700,Murata,5305,2,0,True
1417443,2025-11-23T14:00:00+00:00,FT,Domagnano,5299,San Marino Academy,22179,3,0,True
1417447,2025-11-23T14:00:00+00:00,FT,San Giovanni,5307,Folgore,672,1,1,True
1417442,2025-11-23T17:30:00+00:00,FT,Cosmos,5298,Libertas,5303,1,1,True
1417444,2025-11-23T17:30:00+00:00,FT,Fiorentino,5301,Cailungo,5297,1,0,True
1417453,2025-11-29T14:00:00+00:00,FT,Folgore,672,Tre Penne,700,1,3,True
1417454,2025-11-29T14:00:00+00:00,FT,La Fiorita,2249,Tre Fiori,2260,2,2,True
1417451,2025-11-29T14:00:00+00:00,FT,Domagnano,5299,Virtus,5308,1,0,True
1417457,2025-11-29T14:00:00+00:00,FT,San Marino Academy,22179,Juvenes / Dogana,5302,0,2,True
1417450,2025-11-30T14:00:00+00:00,FT,Cailungo,5297,Cosmos,5298,2,2,True
1417452,2025-11-30T14:00:00+00:00,FT,Faetano,5300,San Giovanni,5307,1,0,True
1417455,2025-11-30T14:00:00+00:00,FT,Libertas,5303,Fiorentino,5301,0,1,True
1417456,2025-11-30T14:00:00+00:00,FT,Murata,5305,Pennarossa,5306,1,2,True
1417464,2025-12-06T14:00:00+00:00,FT,Tre Fiori,2260,Murata,5305,4,0,True
1417458,2025-12-06T14:00:00+00:00,FT,Cosmos,5298,Folgore,672,1,0,True
1417461,2025-12-06T14:00:00+00:00,FT,Juvenes / Dogana,5302,Libertas,5303,0,1,True
1417463,2025-12-06T14:00:00+00:00,FT,San Giovanni,5307,La Fiorita,2249,0,2,True
1417465,2025-12-06T14:00:00+00:00,FT,Virtus,5308,Tre Penne,700,2,1,True
1417459,2025-12-07T14:00:00+00:00,FT,Domagnano,5299,Faetano,5300,4,1,True
