fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
943061,2022-10-04T18:45:00+00:00,FT,Round of 16,Cosmos,5298,Virtus,5308,0,1,True
943071,2022-10-04T18:45:00+00:00,FT,Round of 16,Domagnano,5299,Libertas,5303,0,2,True
943073,2022-10-04T18:45:00+00:00,FT,Round of 16,Fiorentino,5301,La Fiorita,2249,0,5,True
943067,2022-10-05T18:45:00+00:00,FT,Round of 16,Tre Penne,700,Pennarossa,5306,0,0,True
943063,2022-10-05T18:45:00+00:00,FT,Round of 16,Faetano,5300,Murata,5305,3,1,True
943069,2022-10-05T18:45:00+00:00,FT,Round of 16,Juvenes / Dogana,5302,Cailungo,5297,2,1,True
943065,2022-10-05T18:45:00+00:00,FT,Round of 16,San Giovanni,5307,Folgore,672,0,0,True
943066,2022-10-18T18:45:00+00:00,AET,Round of 16,Folgore,672,San Giovanni,5307,3,2,False
943074,2022-10-18T18:45:00+00:00,FT,Round of 16,La Fiorita,2249,Fiorentino,5301,3,1,True
943064,2022-10-18T18:45:00+00:00,FT,Round of 16,Murata,5305,Faetano,5300,4,0,True
943070,2022-10-19T18:45:00+00:00,FT,Round of 16,Cailungo,5297,Juvenes / Dogana,5302,1,1,True
943072,2022-10-19T18:45:00+00:00,FT,Round of 16,Libertas,5303,Domagnano,5299,6,2,True
943068,2022-10-19T18:45:00+00:00,FT,Round of 16,Pennarossa,5306,Tre Penne,700,1,4,True
943062,2022-10-19T18:45:00+00:00,AET,Round of 16,Virtus,5308,Cosmos,5298,1,1,False
967469,2022-11-30T19:45:00+00:00,FT,Quarter-finals,Tre Penne,700,Juvenes / Dogana,5302,1,3,True
967467,2022-11-30T19:45:00+00:00,FT,Quarter-finals,Tre Fiori,2260,Virtus,5308,1,0,True
967473,2022-11-30T19:45:00+00:00,FT,Quarter-finals,Libertas,5303,La Fiorita,2249,1,1,True
967471,2022-11-30T19:45:00+00:00,FT,Quarter-finals,Murata,5305,Folgore,672,1,1,True
967472,2022-12-14T19:45:00+00:00,AET,Quarter-finals,Folgore,672,Murata,5305,3,2,False
967474,2022-12-14T19:45:00+00:00,FT,Quarter-finals,La Fiorita,2249,Libertas,5303,0,1,True
967470,2022-12-14T19:45:00+00:00,FT,Quarter-finals,Juvenes / Dogana,5302,Tre Penne,700,0,3,True
967468,2022-12-14T19:45:00+00:00,FT,Quarter-finals,Virtus,5308,Tre Fiori,2260,3,1,True
980749,2023-01-25T19:45:00+00:00,FT,Semi-finals,Tre Penne,700,Libertas,5303,2,0,True
980747,2023-01-25T19:45:00+00:00,FT,Semi-finals,Virtus,5308,Folgore,672,3,0,True
980748,2023-02-08T19:45:00+00:00,FT,Semi-finals,Folgore,672,Virtus,5308,1,0,True
980750,2023-02-08T19:45:00+00:00,FT,Semi-finals,Libertas,5303,Tre Penne,700,0,2,True
1020470,2023-05-27T18:45:00+00:00,FT,Final,Virtus,5308,Tre Penne,700,3,1,True
