fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
727868,2021-08-10T00:00:00+00:00,CANC,1st Round,Livingston U21,6775,Albion Rovers,6756,,,False
727866,2021-08-10T00:00:00+00:00,CANC,1st Round,Ross County U21,6780,Stirling Albion,4669,,,False
727864,2021-08-10T18:30:00+00:00,FT,1st Round,Fraserburgh,6769,Cowdenbeath,4667,0,1,True
727877,2021-08-10T18:30:00+00:00,FT,1st Round,Stenhousemuir,6784,Dundee United II,16852,3,0,True
727875,2021-08-10T18:30:00+00:00,FT,1st Round,Stranraer,6785,Motherwell U21,6776,3,0,True
727865,2021-08-10T18:45:00+00:00,FT,1st Round,Forfar Athletic,4250,Formartine United,6768,1,0,True
727863,2021-08-10T18:45:00+00:00,FT,1st Round,Brora Rangers,6760,Aberdeen U21,6755,0,1,True
727861,2021-08-10T18:45:00+00:00,FT,1st Round,East Fife,6764,St. Johnstone U21,6782,1,0,True
727862,2021-08-10T18:45:00+00:00,FT,1st Round,Hibernian U21,6772,Elgin City,6767,1,2,True
727871,2021-08-10T18:45:00+00:00,PEN,1st Round,Queen's Park,6778,Bonnyrigg Rose Athletic,7431,1,1,False
727874,2021-08-10T18:45:00+00:00,PEN,1st Round,St. Mirren U21,6783,Kelty Hearts,6773,1,1,False
727873,2021-08-11T18:30:00+00:00,FT,1st Round,Falkirk,1389,East Kilbride,6765,3,0,True
727867,2021-08-11T18:45:00+00:00,FT,1st Round,Dumbarton,1382,Rangers U21,6779,2,3,True
727872,2021-08-11T18:45:00+00:00,FT,1st Round,BSC Glasgow,6758,Clyde,6762,1,0,True
727870,2021-08-11T18:45:00+00:00,FT,1st Round,Celtic II,16845,Annan Athletic,6757,2,0,True
727876,2021-08-11T18:45:00+00:00,FT,1st Round,Dundee II,16851,Peterhead,6777,1,2,True
727860,2021-08-11T19:00:00+00:00,FT,1st Round,Brechin,1390,Buckie Thistle,7432,1,3,True
727869,2021-08-17T18:45:00+00:00,FT,1st Round,Edinburgh City,6766,Hearts U21,6771,0,1,True
774973,2021-08-31T18:45:00+00:00,FT,2nd Round,Hamilton Academical,248,Hearts U21,6771,3,2,True
768726,2021-09-03T18:45:00+00:00,PEN,2nd Round,Airdrie United,4668,Queen's Park,6778,1,1,False
768730,2021-09-04T12:00:00+00:00,FT,2nd Round,Stranraer,6785,Partick,901,0,2,True
768718,2021-09-04T12:30:00+00:00,FT,2nd Round,Montrose,4251,Stirling Albion,4669,1,0,True
768732,2021-09-04T12:30:00+00:00,FT,2nd Round,Albion Rovers,6756,St. Mirren U21,6783,6,0,True
768729,2021-09-04T14:00:00+00:00,FT,2nd Round,Kilmarnock,250,Falkirk,1389,3,1,True
768724,2021-09-04T14:00:00+00:00,FT,2nd Round,Inverness CT,903,Buckie Thistle,7432,4,0,True
768722,2021-09-04T14:00:00+00:00,FT,2nd Round,Raith Rovers,1385,Forfar Athletic,4250,1,0,True
768721,2021-09-04T14:00:00+00:00,FT,2nd Round,Cowdenbeath,4667,Alloa Athletic,1391,0,2,True
768719,2021-09-04T14:00:00+00:00,PEN,2nd Round,Aberdeen U21,6755,Arbroath,4249,1,1,False
768720,2021-09-04T14:00:00+00:00,PEN,2nd Round,Cove Rangers,6763,Stenhousemuir,6784,0,0,False
768723,2021-09-04T14:00:00+00:00,FT,2nd Round,Elgin City,6767,Dunfermline,1388,3,0,True
768725,2021-09-04T14:00:00+00:00,FT,2nd Round,Peterhead,6777,East Fife,6764,0,1,True
768727,2021-09-04T14:00:00+00:00,FT,2nd Round,Celtic II,16845,Morton,1383,1,3,True
768731,2021-09-05T13:00:00+00:00,FT,2nd Round,Queen of the South,1384,BSC Glasgow,6758,3,0,True
768728,2021-09-14T18:30:00+00:00,FT,2nd Round,Rangers U21,6779,Ayr Utd,1387,0,3,True
790115,2021-10-06T18:45:00+00:00,FT,3rd Round,Hamilton Academical,248,Aberdeen U21,6755,2,0,True
790116,2021-10-08T18:45:00+00:00,FT,3rd Round,Kilmarnock,250,Queen's Park,6778,3,1,True
790170,2021-10-08T18:45:00+00:00,FT,3rd Round,Queen of the South,1384,Partick,901,2,0,True
790118,2021-10-09T12:00:00+00:00,FT,3rd Round,Raith Rovers,1385,East Fife,6764,3,1,True
790120,2021-10-09T12:30:00+00:00,PEN,3rd Round,Montrose,4251,Morton,1383,0,0,False
790119,2021-10-09T13:00:00+00:00,FT,3rd Round,Cove Rangers,6763,Albion Rovers,6756,4,1,True
790117,2021-10-09T13:00:00+00:00,FT,3rd Round,Elgin City,6767,Inverness CT,903,2,4,True
801016,2021-10-27T18:45:00+00:00,FT,3rd Round,Alloa Athletic,1391,Rangers U21,6779,2,3,True
804745,2021-11-30T19:45:00+00:00,FT,Quarter-finals,Hamilton Academical,248,Kilmarnock,250,2,3,True
804746,2021-11-30T19:45:00+00:00,PEN,Quarter-finals,Inverness CT,903,Raith Rovers,1385,0,0,False
813389,2021-11-30T19:45:00+00:00,FT,Quarter-finals,Cove Rangers,6763,Rangers U21,6779,5,1,True
804747,2021-12-01T19:30:00+00:00,FT,Quarter-finals,Queen of the South,1384,Morton,1383,2,1,True
814842,2022-03-01T19:30:00+00:00,FT,Semi-finals,Cove Rangers,6763,Queen of the South,1384,0,1,True
814841,2022-03-02T19:30:00+00:00,FT,Semi-finals,Kilmarnock,250,Raith Rovers,1385,1,2,True
846646,2022-04-03T15:15:00+00:00,FT,Final,Raith Rovers,1385,Queen of the South,1384,3,1,True
