fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
166733,2020-02-29T13:00:00+00:00,FT,Regular Season - 24,Dinamo Vranje,2630,Kolubara,2636,2,3,True
166735,2020-02-29T13:00:00+00:00,FT,Regular Season - 24,Radnicki Pirot,2640,Grafičar,4252,0,3,True
166731,2020-02-29T13:00:00+00:00,FT,Regular Season - 24,Radnicki 1923,2644,Zarkovo,2654,2,2,True
166730,2020-02-29T13:00:00+00:00,FT,Regular Season - 24,Metalac GM,2647,FK Zlatibor,2652,1,1,True
166732,2020-02-29T13:00:00+00:00,FT,Regular Season - 24,Backa,2659,FK Trayal,2651,1,0,True
166734,2020-02-29T13:00:00+00:00,FT,Regular Season - 24,Kabel Novi Sad,4253,Buducnost Dobanovci,2628,0,0,True
166729,2020-03-01T13:00:00+00:00,FT,Regular Season - 24,Semendrija 1924,4254,Sindjelic Beograd,2634,0,0,True
166736,2020-03-02T13:00:00+00:00,FT,Regular Season - 24,Zemun,2642,Novi Pazar,2643,1,1,True
166739,2020-03-06T13:00:00+00:00,FT,Regular Season - 25,Grafičar,4252,Kabel Novi Sad,4253,0,1,True
166744,2020-03-07T13:00:00+00:00,FT,Regular Season - 25,FK Zlatibor,2652,Sindjelic Beograd,2634,4,2,True
166743,2020-03-07T13:00:00+00:00,FT,Regular Season - 25,Zarkovo,2654,Metalac GM,2647,1,3,True
166740,2020-03-08T13:00:00+00:00,FT,Regular Season - 25,Buducnost Dobanovci,2628,Dinamo Vranje,2630,0,1,True
166737,2020-03-08T13:00:00+00:00,FT,Regular Season - 25,Zemun,2642,Semendrija 1924,4254,1,1,True
166738,2020-03-08T13:00:00+00:00,FT,Regular Season - 25,Novi Pazar,2643,Radnicki Pirot,2640,2,0,True
166741,2020-03-08T15:00:00+00:00,FT,Regular Season - 25,Kolubara,2636,Backa,2659,1,0,True
166742,2020-03-09T13:00:00+00:00,FT,Regular Season - 25,FK Trayal,2651,Radnicki 1923,2644,0,1,True
166749,2020-03-13T14:00:00+00:00,FT,Regular Season - 26,Backa,2659,Buducnost Dobanovci,2628,2,1,True
166746,2020-03-14T14:00:00+00:00,FT,Regular Season - 26,Sindjelic Beograd,2634,Zarkovo,2654,0,1,True
166745,2020-03-14T14:00:00+00:00,FT,Regular Season - 26,Semendrija 1924,4254,FK Zlatibor,2652,0,0,True
166750,2020-03-15T14:00:00+00:00,FT,Regular Season - 26,Dinamo Vranje,2630,Grafičar,4252,1,4,True
166748,2020-03-15T14:00:00+00:00,FT,Regular Season - 26,Radnicki 1923,2644,Kolubara,2636,0,0,True
166751,2020-03-15T14:00:00+00:00,FT,Regular Season - 26,Kabel Novi Sad,4253,Novi Pazar,2643,2,1,True
166747,2020-03-15T15:00:00+00:00,FT,Regular Season - 26,Metalac GM,2647,FK Trayal,2651,1,0,True
166757,2020-05-29T15:30:00+00:00,FT,Regular Season - 27,Buducnost Dobanovci,2628,Radnicki 1923,2644,2,1,True
166755,2020-05-30T15:30:00+00:00,FT,Regular Season - 27,Novi Pazar,2643,Dinamo Vranje,2630,3,0,True
166760,2020-05-30T15:30:00+00:00,FT,Regular Season - 27,Zarkovo,2654,FK Zlatibor,2652,0,3,True
166756,2020-05-30T15:30:00+00:00,FT,Regular Season - 27,Grafičar,4252,Backa,2659,0,0,True
166753,2020-05-31T15:30:00+00:00,FT,Regular Season - 27,Radnicki Pirot,2640,Semendrija 1924,4254,4,0,True
166754,2020-05-31T15:30:00+00:00,FT,Regular Season - 27,Zemun,2642,Kabel Novi Sad,4253,1,0,True
166759,2020-05-31T15:30:00+00:00,FT,Regular Season - 27,FK Trayal,2651,Sindjelic Beograd,2634,0,0,True
166758,2020-06-01T16:00:00+00:00,FT,Regular Season - 27,Kolubara,2636,Metalac GM,2647,3,0,True
166762,2020-06-05T15:30:00+00:00,FT,Regular Season - 28,FK Zlatibor,2652,FK Trayal,2651,1,0,True
166767,2020-06-06T15:30:00+00:00,FT,Regular Season - 28,Dinamo Vranje,2630,Zemun,2642,0,2,True
166763,2020-06-06T15:30:00+00:00,FT,Regular Season - 28,Sindjelic Beograd,2634,Kolubara,2636,1,3,True
166766,2020-06-06T15:30:00+00:00,FT,Regular Season - 28,Backa,2659,Novi Pazar,2643,4,0,True
166768,2020-06-06T15:30:00+00:00,FT,Regular Season - 28,Kabel Novi Sad,4253,Radnicki Pirot,2640,0,0,True
166764,2020-06-07T15:30:00+00:00,FT,Regular Season - 28,Metalac GM,2647,Buducnost Dobanovci,2628,1,0,True
