fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
876921,2022-07-08T18:00:00+00:00,FT,Regular Season - 1,FK Vozdovac,2658,Novi Pazar,2643,1,0,True
876918,2022-07-09T18:00:00+00:00,FT,Regular Season - 1,Mladost Lucani,699,FK Spartak Zdrepceva KRV,2251,1,1,True
876923,2022-07-09T18:00:00+00:00,FT,Regular Season - 1,Javor,2653,FK Partizan,573,0,4,True
876922,2022-07-09T18:00:00+00:00,FT,Regular Season - 1,Cukaricki,2656,TSC Backa Topola,2646,1,4,True
876916,2022-07-10T18:00:00+00:00,FT,Regular Season - 1,FK Crvena Zvezda,598,Radnicki NIS,2254,4,0,True
876920,2022-07-10T18:00:00+00:00,FT,Regular Season - 1,Vojvodina,702,Napredak,2655,1,0,True
876919,2022-07-10T18:00:00+00:00,FT,Regular Season - 1,Radnik Surdulica,2657,Mladost Novi Sad,14261,1,2,True
876917,2022-07-11T18:00:00+00:00,FT,Regular Season - 1,Kolubara,2636,Radnicki 1923,2644,1,1,True
876929,2022-07-15T18:00:00+00:00,FT,Regular Season - 2,FK Spartak Zdrepceva KRV,2251,Radnik Surdulica,2657,2,0,True
876924,2022-07-15T18:00:00+00:00,FT,Regular Season - 2,Radnicki NIS,2254,FK Partizan,573,3,3,True
876926,2022-07-15T18:00:00+00:00,FT,Regular Season - 2,Novi Pazar,2643,Cukaricki,2656,1,2,True
876931,2022-07-16T18:00:00+00:00,FT,Regular Season - 2,FK Crvena Zvezda,598,Kolubara,2636,5,0,True
876925,2022-07-16T18:00:00+00:00,FT,Regular Season - 2,TSC Backa Topola,2646,Javor,2653,0,0,True
876928,2022-07-16T18:00:00+00:00,FT,Regular Season - 2,Mladost Novi Sad,14261,Vojvodina,702,0,4,True
876930,2022-07-17T15:30:00+00:00,FT,Regular Season - 2,Radnicki 1923,2644,Mladost Lucani,699,1,0,True
876927,2022-07-17T18:00:00+00:00,FT,Regular Season - 2,Napredak,2655,FK Vozdovac,2658,0,0,True
876938,2022-07-22T18:00:00+00:00,FT,Regular Season - 3,Javor,2653,Novi Pazar,2643,2,1,True
876939,2022-07-23T19:00:00+00:00,FT,Regular Season - 3,FK Partizan,573,TSC Backa Topola,2646,0,0,True
876934,2022-07-23T19:00:00+00:00,FT,Regular Season - 3,Radnik Surdulica,2657,Radnicki 1923,2644,0,0,True
876933,2022-07-24T19:00:00+00:00,FT,Regular Season - 3,Mladost Lucani,699,FK Crvena Zvezda,598,1,2,True
876935,2022-07-24T19:00:00+00:00,FT,Regular Season - 3,Vojvodina,702,FK Spartak Zdrepceva KRV,2251,0,0,True
876937,2022-07-24T19:00:00+00:00,FT,Regular Season - 3,Cukaricki,2656,Napredak,2655,1,0,True
876936,2022-07-24T19:00:00+00:00,FT,Regular Season - 3,FK Vozdovac,2658,Mladost Novi Sad,14261,0,0,True
876941,2022-07-29T16:55:00+00:00,FT,Regular Season - 4,Novi Pazar,2643,FK Partizan,573,1,0,True
876946,2022-07-29T19:00:00+00:00,FT,Regular Season - 4,FK Crvena Zvezda,598,Radnik Surdulica,2657,6,0,True
876945,2022-07-30T15:30:00+00:00,FT,Regular Season - 4,Radnicki 1923,2644,Vojvodina,702,0,2,True
876944,2022-07-30T19:00:00+00:00,FT,Regular Season - 4,FK Spartak Zdrepceva KRV,2251,FK Vozdovac,2658,3,0,True
876942,2022-07-30T19:00:00+00:00,FT,Regular Season - 4,Napredak,2655,Javor,2653,2,4,True
876940,2022-07-31T16:55:00+00:00,FT,Regular Season - 4,Radnicki NIS,2254,TSC Backa Topola,2646,0,3,True
876947,2022-07-31T19:00:00+00:00,FT,Regular Season - 4,Kolubara,2636,Mladost Lucani,699,3,2,True
876943,2022-07-31T19:00:00+00:00,FT,Regular Season - 4,Mladost Novi Sad,14261,Cukaricki,2656,0,2,True
876951,2022-08-05T17:00:00+00:00,FT,Regular Season - 5,FK Vozdovac,2658,Radnicki 1923,2644,1,0,True
876955,2022-08-06T16:55:00+00:00,FT,Regular Season - 5,TSC Backa Topola,2646,Novi Pazar,2643,0,1,True
876948,2022-08-06T19:00:00+00:00,FT,Regular Season - 5,Mladost Lucani,699,Radnicki NIS,2254,2,2,True
876949,2022-08-07T16:55:00+00:00,FT,Regular Season - 5,Radnik Surdulica,2657,Kolubara,2636,0,0,True
876952,2022-08-07T19:00:00+00:00,FT,Regular Season - 5,Cukaricki,2656,FK Spartak Zdrepceva KRV,2251,2,0,True
876953,2022-08-08T17:00:00+00:00,FT,Regular Season - 5,Javor,2653,Mladost Novi Sad,14261,2,1,True
876956,2022-08-12T16:00:00+00:00,FT,Regular Season - 6,Radnicki NIS,2254,Novi Pazar,2643,1,3,True
876962,2022-08-13T17:00:00+00:00,FT,Regular Season - 6,Kolubara,2636,Vojvodina,702,2,2,True
876957,2022-08-13T17:00:00+00:00,FT,Regular Season - 6,Napredak,2655,TSC Backa Topola,2646,0,0,True
876961,2022-08-13T18:45:00+00:00,FT,Regular Season - 6,FK Crvena Zvezda,598,FK Vozdovac,2658,4,0,True
876963,2022-08-14T17:00:00+00:00,FT,Regular Season - 6,Mladost Lucani,699,Radnik Surdulica,2657,3,2,True
876959,2022-08-14T17:00:00+00:00,FT,Regular Season - 6,FK Spartak Zdrepceva KRV,2251,Javor,2653,2,2,True
876958,2022-08-14T17:30:00+00:00,FT,Regular Season - 6,Mladost Novi Sad,14261,FK Partizan,573,0,1,True
876960,2022-08-15T15:00:00+00:00,FT,Regular Season - 6,Radnicki 1923,2644,Cukaricki,2656,1,1,True
876932,2022-08-17T17:00:00+00:00,FT,Regular Season - 3,Kolubara,2636,Radnicki NIS,2254,1,0,True
876971,2022-08-19T18:00:00+00:00,FT,Regular Season - 7,Novi Pazar,2643,Napredak,2655,2,1,True
876965,2022-08-20T15:55:00+00:00,FT,Regular Season - 7,Vojvodina,702,Mladost Lucani,699,1,1,True
876968,2022-08-20T18:00:00+00:00,FT,Regular Season - 7,Javor,2653,Radnicki 1923,2644,0,1,True
876970,2022-08-21T16:00:00+00:00,FT,Regular Season - 7,TSC Backa Topola,2646,Mladost Novi Sad,14261,3,0,True
876964,2022-08-21T16:00:00+00:00,FT,Regular Season - 7,Radnik Surdulica,2657,Radnicki NIS,2254,1,3,True
876966,2022-08-22T15:00:00+00:00,FT,Regular Season - 7,FK Vozdovac,2658,Kolubara,2636,1,0,True
876979,2022-08-25T16:00:00+00:00,FT,Regular Season - 8,Radnik Surdulica,2657,Vojvodina,702,1,1,True
876973,2022-08-26T16:00:00+00:00,FT,Regular Season - 8,Mladost Novi Sad,14261,Novi Pazar,2643,1,2,True
876974,2022-08-26T18:00:00+00:00,FT,Regular Season - 8,FK Spartak Zdrepceva KRV,2251,TSC Backa Topola,2646,0,0,True
876972,2022-08-26T18:00:00+00:00,FT,Regular Season - 8,Radnicki NIS,2254,Napredak,2655,3,2,True
876978,2022-08-27T16:00:00+00:00,FT,Regular Season - 8,Mladost Lucani,699,FK Vozdovac,2658,1,2,True
876977,2022-08-27T18:00:00+00:00,FT,Regular Season - 8,Kolubara,2636,Cukaricki,2656,3,2,True
876976,2022-08-27T18:30:00+00:00,FT,Regular Season - 8,FK Crvena Zvezda,598,Javor,2653,4,1,True
876975,2022-08-28T15:00:00+00:00,FT,Regular Season - 8,Radnicki 1923,2644,FK Partizan,573,0,1,True
876986,2022-08-30T14:30:00+00:00,FT,Regular Season - 9,Novi Pazar,2643,FK Spartak Zdrepceva KRV,2251,2,0,True
876980,2022-08-30T16:30:00+00:00,FT,Regular Season - 9,Vojvodina,702,Radnicki NIS,2254,3,0,True
876987,2022-08-30T16:30:00+00:00,FT,Regular Season - 9,Napredak,2655,Mladost Novi Sad,14261,1,0,True
876983,2022-08-31T14:30:00+00:00,FT,Regular Season - 9,Javor,2653,Kolubara,2636,0,1,True
876981,2022-08-31T14:30:00+00:00,FT,Regular Season - 9,FK Vozdovac,2658,Radnik Surdulica,2657,4,1,True
876985,2022-08-31T16:30:00+00:00,FT,Regular Season - 9,TSC Backa Topola,2646,Radnicki 1923,2644,2,0,True
876984,2022-08-31T18:00:00+00:00,FT,Regular Season - 9,FK Partizan,573,FK Crvena Zvezda,598,1,1,True
876982,2022-09-01T16:00:00+00:00,FT,Regular Season - 9,Cukaricki,2656,Mladost Lucani,699,3,1,True
876988,2022-09-03T16:00:00+00:00,FT,Regular Season - 10,Radnicki NIS,2254,Mladost Novi Sad,14261,1,1,True
876989,2022-09-03T18:00:00+00:00,FT,Regular Season - 10,FK Spartak Zdrepceva KRV,2251,Napredak,2655,1,2,True
876995,2022-09-04T16:00:00+00:00,FT,Regular Season - 10,Vojvodina,702,FK Vozdovac,2658,2,1,True
876992,2022-09-04T16:00:00+00:00,FT,Regular Season - 10,Kolubara,2636,FK Partizan,573,1,5,True
876991,2022-09-04T18:00:00+00:00,FT,Regular Season - 10,FK Crvena Zvezda,598,TSC Backa Topola,2646,1,1,True
876990,2022-09-05T14:00:00+00:00,FT,Regular Season - 10,Radnicki 1923,2644,Novi Pazar,2643,1,3,True
876993,2022-09-05T16:00:00+00:00,FT,Regular Season - 10,Mladost Lucani,699,Javor,2653,4,1,True
876994,2022-09-05T16:00:00+00:00,FT,Regular Season - 10,Radnik Surdulica,2657,Cukaricki,2656,0,4,True
877000,2022-09-10T17:00:00+00:00,FT,Regular Season - 11,TSC Backa Topola,2646,Kolubara,2636,3,1,True
877002,2022-09-10T17:00:00+00:00,FT,Regular Season - 11,Napredak,2655,Radnicki 1923,2644,1,0,True
877001,2022-09-11T15:00:00+00:00,FT,Regular Season - 11,Novi Pazar,2643,FK Crvena Zvezda,598,1,2,True
877003,2022-09-11T15:00:00+00:00,FT,Regular Season - 11,Mladost Novi Sad,14261,FK Spartak Zdrepceva KRV,2251,1,0,True
876997,2022-09-11T17:00:00+00:00,FT,Regular Season - 11,Cukaricki,2656,Vojvodina,702,2,0,True
876999,2022-09-11T17:30:00+00:00,FT,Regular Season - 11,FK Partizan,573,Mladost Lucani,699,6,0,True
876998,2022-09-12T14:00:00+00:00,FT,Regular Season - 11,Javor,2653,Radnik Surdulica,2657,2,2,True
876996,2022-09-12T16:00:00+00:00,FT,Regular Season - 11,FK Vozdovac,2658,Radnicki NIS,2254,1,0,True
877005,2022-09-16T14:00:00+00:00,FT,Regular Season - 12,Radnicki 1923,2644,Mladost Novi Sad,14261,3,0,True
877008,2022-09-16T17:00:00+00:00,FT,Regular Season - 12,Mladost Lucani,699,TSC Backa Topola,2646,2,5,True
877011,2022-09-18T11:00:00+00:00,FT,Regular Season - 12,FK Vozdovac,2658,Cukaricki,2656,0,3,True
877006,2022-09-18T15:00:00+00:00,FT,Regular Season - 12,FK Crvena Zvezda,598,Napredak,2655,1,0,True
877010,2022-09-18T15:00:00+00:00,FT,Regular Season - 12,Vojvodina,702,Javor,2653,2,0,True
877009,2022-09-18T17:00:00+00:00,FT,Regular Season - 12,Radnik Surdulica,2657,FK Partizan,573,0,2,True
877007,2022-09-19T15:00:00+00:00,FT,Regular Season - 12,Kolubara,2636,Novi Pazar,2643,1,0,True
877004,2022-09-19T17:00:00+00:00,FT,Regular Season - 12,Radnicki NIS,2254,FK Spartak Zdrepceva KRV,2251,3,0,True
877016,2022-09-30T15:00:00+00:00,FT,Regular Season - 13,Novi Pazar,2643,Mladost Lucani,699,3,1,True
877015,2022-10-01T13:00:00+00:00,FT,Regular Season - 13,TSC Backa Topola,2646,Radnik Surdulica,2657,2,1,True
877013,2022-10-01T15:00:00+00:00,FT,Regular Season - 13,Javor,2653,FK Vozdovac,2658,0,2,True
877017,2022-10-01T17:00:00+00:00,FT,Regular Season - 13,Napredak,2655,Kolubara,2636,4,0,True
877019,2022-10-02T13:00:00+00:00,FT,Regular Season - 13,FK Spartak Zdrepceva KRV,2251,Radnicki 1923,2644,1,2,True
877018,2022-10-02T15:00:00+00:00,FT,Regular Season - 13,Mladost Novi Sad,14261,FK Crvena Zvezda,598,0,4,True
877014,2022-10-02T17:00:00+00:00,FT,Regular Season - 13,FK Partizan,573,Vojvodina,702,4,1,True
877012,2022-10-03T14:00:00+00:00,FT,Regular Season - 13,Cukaricki,2656,Radnicki NIS,2254,2,2,True
877024,2022-10-07T15:00:00+00:00,FT,Regular Season - 14,Radnik Surdulica,2657,Novi Pazar,2643,1,1,True
877023,2022-10-08T13:00:00+00:00,FT,Regular Season - 14,Mladost Lucani,699,Napredak,2655,3,1,True
877022,2022-10-08T15:00:00+00:00,FT,Regular Season - 14,Kolubara,2636,Mladost Novi Sad,14261,0,0,True
877025,2022-10-08T17:00:00+00:00,FT,Regular Season - 14,Vojvodina,702,TSC Backa Topola,2646,1,2,True
877027,2022-10-09T13:00:00+00:00,FT,Regular Season - 14,Cukaricki,2656,Javor,2653,3,0,True
877021,2022-10-09T13:30:00+00:00,FT,Regular Season - 14,FK Crvena Zvezda,598,FK Spartak Zdrepceva KRV,2251,3,0,True
877026,2022-10-09T17:30:00+00:00,FT,Regular Season - 14,FK Vozdovac,2658,FK Partizan,573,0,4,True
877020,2022-10-10T14:00:00+00:00,FT,Regular Season - 14,Radnicki NIS,2254,Radnicki 1923,2644,1,3,True
877033,2022-10-14T13:00:00+00:00,FT,Regular Season - 15,Mladost Novi Sad,14261,Mladost Lucani,699,1,1,True
877031,2022-10-14T15:00:00+00:00,FT,Regular Season - 15,Novi Pazar,2643,Vojvodina,702,1,1,True
877030,2022-10-14T17:00:00+00:00,FT,Regular Season - 15,TSC Backa Topola,2646,FK Vozdovac,2658,3,0,True
877034,2022-10-15T13:00:00+00:00,FT,Regular Season - 15,FK Spartak Zdrepceva KRV,2251,Kolubara,2636,2,1,True
877028,2022-10-15T15:00:00+00:00,FT,Regular Season - 15,Javor,2653,Radnicki NIS,2254,0,2,True
877032,2022-10-15T17:00:00+00:00,FT,Regular Season - 15,Napredak,2655,Radnik Surdulica,2657,1,0,True
877035,2022-10-16T12:00:00+00:00,FT,Regular Season - 15,Radnicki 1923,2644,FK Crvena Zvezda,598,0,1,True
877029,2022-10-16T16:30:00+00:00,FT,Regular Season - 15,FK Partizan,573,Cukaricki,2656,3,2,True
876954,2022-10-20T14:45:00+00:00,FT,Regular Season - 5,FK Partizan,573,Napredak,2655,1,0,True
876950,2022-10-20T16:55:00+00:00,FT,Regular Season - 5,Vojvodina,702,FK Crvena Zvezda,598,0,2,True
877042,2022-10-22T17:30:00+00:00,FT,Regular Season - 16,TSC Backa Topola,2646,Cukaricki,2656,1,1,True
877037,2022-10-23T12:00:00+00:00,FT,Regular Season - 16,Radnicki 1923,2644,Kolubara,2636,3,0,True
877036,2022-10-23T15:00:00+00:00,FT,Regular Season - 16,Radnicki NIS,2254,FK Crvena Zvezda,598,1,2,True
877043,2022-10-23T17:00:00+00:00,FT,Regular Season - 16,FK Partizan,573,Javor,2653,3,3,True
877041,2022-10-23T17:00:00+00:00,FT,Regular Season - 16,Novi Pazar,2643,FK Vozdovac,2658,0,0,True
877039,2022-10-24T14:00:00+00:00,FT,Regular Season - 16,Mladost Novi Sad,14261,Radnik Surdulica,2657,2,1,True
877038,2022-10-24T16:00:00+00:00,FT,Regular Season - 16,FK Spartak Zdrepceva KRV,2251,Mladost Lucani,699,1,1,True
877040,2022-10-24T18:00:00+00:00,FT,Regular Season - 16,Napredak,2655,Vojvodina,702,0,2,True
877045,2022-10-29T12:00:00+00:00,FT,Regular Season - 17,Javor,2653,TSC Backa Topola,2646,0,1,True
877046,2022-10-29T14:00:00+00:00,FT,Regular Season - 17,Cukaricki,2656,Novi Pazar,2643,2,2,True
877047,2022-10-29T16:00:00+00:00,FT,Regular Season - 17,FK Vozdovac,2658,Napredak,2655,0,0,True
877048,2022-10-29T18:00:00+00:00,FT,Regular Season - 17,Vojvodina,702,Mladost Novi Sad,14261,2,0,True
877049,2022-10-30T12:00:00+00:00,FT,Regular Season - 17,Radnik Surdulica,2657,FK Spartak Zdrepceva KRV,2251,2,0,True
877051,2022-10-30T16:00:00+00:00,FT,Regular Season - 17,Kolubara,2636,FK Crvena Zvezda,598,0,2,True
877050,2022-10-30T17:30:00+00:00,FT,Regular Season - 17,Mladost Lucani,699,Radnicki 1923,2644,0,0,True
877044,2022-10-30T18:00:00+00:00,FT,Regular Season - 17,FK Partizan,573,Radnicki NIS,2254,4,0,True
877056,2022-11-04T15:00:00+00:00,FT,Regular Season - 18,Mladost Novi Sad,14261,FK Vozdovac,2658,1,2,True
877058,2022-11-04T17:00:00+00:00,FT,Regular Season - 18,Novi Pazar,2643,Javor,2653,3,1,True
877057,2022-11-04T19:00:00+00:00,FT,Regular Season - 18,Napredak,2655,Cukaricki,2656,0,0,True
877054,2022-11-05T12:00:00+00:00,FT,Regular Season - 18,Radnicki 1923,2644,Radnik Surdulica,2657,1,0,True
877052,2022-11-05T15:00:00+00:00,FT,Regular Season - 18,Radnicki NIS,2254,Kolubara,2636,1,1,True
877055,2022-11-05T17:00:00+00:00,FT,Regular Season - 18,FK Spartak Zdrepceva KRV,2251,Vojvodina,702,1,1,True
877053,2022-11-06T14:30:00+00:00,FT,Regular Season - 18,FK Crvena Zvezda,598,Mladost Lucani,699,2,0,True
877059,2022-11-06T18:30:00+00:00,FT,Regular Season - 18,TSC Backa Topola,2646,FK Partizan,573,2,3,True
876969,2022-11-10T15:30:00+00:00,FT,Regular Season - 7,FK Partizan,573,FK Spartak Zdrepceva KRV,2251,0,1,True
876967,2022-11-10T17:45:00+00:00,FT,Regular Season - 7,Cukaricki,2656,FK Crvena Zvezda,598,0,2,True
877062,2022-11-11T17:00:00+00:00,FT,Regular Season - 19,Javor,2653,Napredak,2655,2,1,True
877067,2022-11-12T14:00:00+00:00,FT,Regular Season - 19,Mladost Lucani,699,Kolubara,2636,2,0,True
877060,2022-11-12T16:00:00+00:00,FT,Regular Season - 19,TSC Backa Topola,2646,Radnicki NIS,2254,2,0,True
877065,2022-11-12T18:00:00+00:00,FT,Regular Season - 19,Vojvodina,702,Radnicki 1923,2644,2,1,True
877066,2022-11-13T12:30:00+00:00,FT,Regular Season - 19,Radnik Surdulica,2657,FK Crvena Zvezda,598,1,2,True
877061,2022-11-13T14:30:00+00:00,FT,Regular Season - 19,FK Partizan,573,Novi Pazar,2643,1,0,True
877063,2022-11-13T16:30:00+00:00,FT,Regular Season - 19,Cukaricki,2656,Mladost Novi Sad,14261,2,0,True
877064,2022-11-13T18:30:00+00:00,FT,Regular Season - 19,FK Vozdovac,2658,FK Spartak Zdrepceva KRV,2251,2,0,True
877069,2023-02-03T17:00:00+00:00,FT,Regular Season - 20,Kolubara,2636,Radnik Surdulica,2657,1,0,True
877071,2023-02-04T12:00:00+00:00,FT,Regular Season - 20,Radnicki 1923,2644,FK Vozdovac,2658,0,1,True
877068,2023-02-04T13:00:00+00:00,FT,Regular Season - 20,Radnicki NIS,2254,Mladost Lucani,699,2,1,True
877070,2023-02-04T15:00:00+00:00,FT,Regular Season - 20,FK Crvena Zvezda,598,Vojvodina,702,1,1,True
877072,2023-02-04T17:00:00+00:00,FT,Regular Season - 20,FK Spartak Zdrepceva KRV,2251,Cukaricki,2656,1,3,True
877074,2023-02-05T13:30:00+00:00,FT,Regular Season - 20,Napredak,2655,FK Partizan,573,0,1,True
877075,2023-02-05T15:30:00+00:00,FT,Regular Season - 20,Novi Pazar,2643,TSC Backa Topola,2646,2,1,True
877073,2023-02-05T17:30:00+00:00,FT,Regular Season - 20,Mladost Novi Sad,14261,Javor,2653,2,3,True
877083,2023-02-10T15:00:00+00:00,FT,Regular Season - 21,Radnik Surdulica,2657,Mladost Lucani,699,1,0,True
