fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1611012,2026-08-11T15:00:00+00:00,FT,Round of 128,Snina,14075,Humenné,14068,1,2,True,
1610981,2026-08-12T15:00:00+00:00,PEN,Round of 128,Levoča,15000,Sokol Brezovica,24414,2,2,True,
1610985,2026-08-18T15:00:00+00:00,FT,Round of 128,Slovan Giraltovce,14073,Partizán Bardejov,10537,2,6,True,
1611014,2026-08-18T15:00:00+00:00,FT,Round of 128,Spišské Podhradie,14076,Ružomberok,3549,0,5,True,
1610974,2026-08-18T15:00:00+00:00,FT,Round of 128,Družstevník Bešeňov,14958,Nové Zámky,14061,0,2,True,
1611022,2026-08-18T15:00:00+00:00,FT,Round of 128,FC Topoľčany,19366,Baník Lehota p.Vtáčnikom,14942,0,5,True,
1611001,2026-08-18T15:00:00+00:00,FT,Round of 128,Partizán Osrblie,19377,Oravské Veselé,14089,1,2,True,
1611027,2026-08-18T15:00:00+00:00,FT,Round of 128,Starý Smokovec,24415,Poprad,10539,0,2,True,
1610972,2026-08-19T15:00:00+00:00,FT,Round of 128,Nové Mesto nad Váhom,10553,Skalica,10542,0,1,True,
1610973,2026-08-19T15:00:00+00:00,FT,Round of 128,Bernolákovo,14038,Rača,14046,0,3,True,
1611005,2026-08-19T15:00:00+00:00,FT,Round of 128,Rohožník,14047,Šamorín,10545,0,1,True,
1611020,2026-08-19T15:00:00+00:00,FT,Round of 128,Tomášov,14052,Gabčíkovo,21926,3,1,True,
1606104,2026-08-19T15:00:00+00:00,FT,Round of 128,Jednota Bánová,14083,AS Trencin,655,0,6,True,
1610991,2026-08-19T15:00:00+00:00,FT,Round of 128,Kováčová,14084,Lokomotíva Zvolen,10552,0,4,True,
1610993,2026-08-19T15:00:00+00:00,PEN,Round of 128,Tatran Krásno,14091,Podkonice,15025,1,1,True,
1610976,2026-08-19T15:00:00+00:00,FT,Round of 128,Brezno,14949,Baník Kalinovo,14080,4,1,True,
1610980,2026-08-19T15:00:00+00:00,FT,Round of 128,Dynamo Diviaky,14968,Nová Baňa,19258,1,3,True,
1610987,2026-08-19T15:00:00+00:00,FT,Round of 128,Holíč,14976,Spartak Myjava,12859,1,3,True,
1611317,2026-08-19T15:00:00+00:00,FT,Round of 128,Kechnec,14988,Slávia TU Košice,14074,0,3,True,
1610992,2026-08-19T15:00:00+00:00,FT,Round of 128,Kovarce,14996,Slovan Duslo Šaľa,14063,0,1,True,
1610999,2026-08-19T15:00:00+00:00,FT,Round of 128,Oravan,15018,Považská Bystrica,14062,0,2,True,
1611009,2026-08-19T15:00:00+00:00,FT,Round of 128,Rudňany,15033,Podbrezová,3548,0,3,True,
1610995,2026-08-19T15:00:00+00:00,FT,Round of 128,Slovan Vavrečka,15045,Tvrdošín,15070,2,0,True,
1610994,2026-08-19T15:00:00+00:00,FT,Round of 128,Spartak Kvašov,15054,Fomat Martin,14082,2,5,True,
1611016,2026-08-19T15:00:00+00:00,FT,Round of 128,Svätý Jur,15063,Malinovo,21757,5,1,True,
1610982,2026-08-19T15:00:00+00:00,FT,Round of 128,Čaňa,15088,Lokomotíva Košice,10549,0,4,True,
1611013,2026-08-19T15:00:00+00:00,FT,Round of 128,Šoporňa,15094,Malženice,14058,2,1,True,
1610988,2026-08-19T15:00:00+00:00,FT,Round of 128,Jelka,16884,Kostolné Kračany,14994,1,2,True,
1610998,2026-08-19T15:00:00+00:00,FT,Round of 128,Nová Dedinka,16893,Petržalka,10538,1,5,True,
1611006,2026-08-19T15:00:00+00:00,FT,Round of 128,Rosina,16900,MFK Bytča,15006,0,2,True,
1611008,2026-08-19T15:00:00+00:00,FT,Round of 128,Rožňava,16901,Spartak Medzev,15055,1,2,True,
1611029,2026-08-19T15:00:00+00:00,FT,Round of 128,Závažná Poruba,16920,Kysucké Nové Mesto,14999,0,2,True,
1611004,2026-08-19T15:00:00+00:00,FT,Round of 128,Raslavice,17258,FK Košice,10534,0,5,True,
1610989,2026-08-19T15:00:00+00:00,FT,Round of 128,Kopčany,19370,Piešťany,15023,1,8,True,
1611024,2026-08-19T15:00:00+00:00,FT,Round of 128,Vinohrad Čebovce,19402,Druzstevnik Latky,21740,0,4,True,
1611010,2026-08-19T15:00:00+00:00,FT,Round of 128,Šenkvice,19407,Dunajská Lužná,14040,0,4,True,
1610979,2026-08-19T15:00:00+00:00,FT,Round of 128,Družstevník Čirč,21745,Tatran Prešov,10550,0,3,True,
1606105,2026-08-19T15:00:00+00:00,FT,Round of 128,Lovca,21754,Dukla Banská Bystrica,10533,0,2,True,
1610975,2026-08-19T15:00:00+00:00,FT,Round of 128,Sokol Borský Mikuláš,21767,Beluša,14053,0,2,True,
1610997,2026-08-19T15:00:00+00:00,FT,Round of 128,Dolné Krškany,21854,Nitra,3547,0,2,True,
1610990,2026-08-19T15:00:00+00:00,FT,Round of 128,Kysučan Korňa,24404,Čadca,14092,0,7,True,
1611017,2026-08-19T15:00:00+00:00,FT,Round of 128,Svaty Peter,24417,Dunajska Streda,2257,0,13,True,
1610627,2026-08-19T15:00:00+00:00,FT,Round of 128,Jakubov,26320,Inter Bratislava,10547,1,4,True,
1611030,2026-08-19T15:00:00+00:00,FT,Round of 128,Zitavany,26760,Veľké Ludince,14064,1,4,True,
1610986,2026-08-19T15:00:00+00:00,FT,Round of 128,Hronec,26770,Fiľakovo,14081,0,4,True,
1610977,2026-08-19T15:00:00+00:00,FT,Round of 128,Cicarovce,28070,MSK Tesla Stropkov,14069,1,6,True,
1611026,2026-08-19T15:00:00+00:00,FT,Round of 128,Vycapy Opatovce,28073,Galanta,14054,1,4,True,
1611000,2026-08-19T15:00:00+00:00,PEN,Round of 128,Ostrovany,28074,Slovan Kendice,24412,2,2,True,
1611007,2026-08-19T15:00:00+00:00,FT,Round of 128,Rovnost Krajne,28075,Púchov,10540,1,3,True,
1611362,2026-08-19T15:00:00+00:00,PEN,Round of 128,Hranovnica,28080,Harichovce,14974,1,1,True,
1611021,2026-08-19T15:15:00+00:00,FT,Round of 128,Slovan Tomášovce,16905,Komárno,10535,0,5,True,
1611015,2026-08-19T16:30:00+00:00,FT,Round of 128,Spartak Trnava,1120,Trenčianske Stankovce,14799,3,0,True,
1611019,2026-08-25T14:30:00+00:00,FT,Round of 128,Višňové,15079,Námestovo,14088,0,4,True,
1610984,2026-08-26T14:30:00+00:00,FT,Round of 128,Gerlachov,14972,Liptovský Mikuláš,10536,0,1,True,
1610983,2026-08-26T14:30:00+00:00,FT,Round of 128,Geča,21927,Spišská Nová Ves,10555,0,4,True,
1611025,2026-08-26T14:30:00+00:00,FT,Round of 128,V. Kapusany,28076,Zemplín Michalovce,3552,0,3,True,
1611002,2026-08-26T15:00:00+00:00,FT,Round of 128,Priechod,19384,Zlaté Moravce,3553,0,2,True,
1611003,2026-08-26T15:00:00+00:00,FT,Round of 128,Priehrada,26786,Baník Prievidza,14943,1,3,True,
1611011,2026-08-26T15:00:00+00:00,FT,Round of 128,Slovan Halic,26790,Novohrad Lučenec,14087,0,5,True,
1610978,2026-08-26T15:00:00+00:00,FT,Round of 128,Divina,28071,Žilina,3554,0,8,True,
1611028,2026-08-26T15:00:00+00:00,PEN,Round of 128,Zahradne,28072,Vranov nad Topľou,14079,3,3,True,
