fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
862937,2022-05-25T00:00:00+00:00,Canc,Relegation Round,Dukla Banská Bystrica,10533,Zlaté Moravce,3553,,,False
862938,2022-05-29T00:00:00+00:00,Canc,Relegation Round,Zlaté Moravce,3553,Dukla Banská Bystrica,10533,,,False
709176,2021-07-23T18:00:00+00:00,FT,Regular Season - 1,AS Trencin,655,Zlaté Moravce,3553,4,0,True
709177,2021-07-24T16:00:00+00:00,FT,Regular Season - 1,Ružomberok,3549,Senica,3550,0,0,True
709175,2021-07-24T16:00:00+00:00,FT,Regular Season - 1,Liptovský Mikuláš,10536,Slovan Bratislava,656,1,4,True
709180,2021-07-25T15:00:00+00:00,FT,Regular Season - 1,Zemplín Michalovce,3552,Dunajska Streda,2257,4,1,True
709179,2021-07-25T16:00:00+00:00,FT,Regular Season - 1,Žilina,3554,Sereď,3551,3,0,True
709178,2021-07-25T18:00:00+00:00,FT,Regular Season - 1,Spartak Trnava,1120,Pohronie,4134,2,0,True
709183,2021-07-30T18:00:00+00:00,FT,Regular Season - 2,Sereď,3551,Ružomberok,3549,2,3,True
709184,2021-07-31T16:00:00+00:00,FT,Regular Season - 2,Pohronie,4134,Zemplín Michalovce,3552,2,0,True
709181,2021-07-31T18:00:00+00:00,FT,Regular Season - 2,Slovan Bratislava,656,AS Trencin,655,2,0,True
709186,2021-08-01T16:00:00+00:00,FT,Regular Season - 2,Dunajska Streda,2257,Liptovský Mikuláš,10536,3,1,True
709182,2021-08-01T16:00:00+00:00,FT,Regular Season - 2,Senica,3550,Spartak Trnava,1120,2,1,True
709185,2021-08-01T16:00:00+00:00,FT,Regular Season - 2,Zlaté Moravce,3553,Žilina,3554,0,1,True
709187,2021-08-06T18:00:00+00:00,FT,Regular Season - 3,Zlaté Moravce,3553,Senica,3550,1,1,True
709191,2021-08-07T16:00:00+00:00,FT,Regular Season - 3,Zemplín Michalovce,3552,AS Trencin,655,1,2,True
709190,2021-08-08T16:00:00+00:00,FT,Regular Season - 3,Žilina,3554,Pohronie,4134,3,1,True
709192,2021-08-08T18:00:00+00:00,FT,Regular Season - 3,Sereď,3551,Dunajska Streda,2257,1,0,True
709189,2021-08-09T16:00:00+00:00,FT,Regular Season - 3,Spartak Trnava,1120,Liptovský Mikuláš,10536,4,0,True
709197,2021-08-13T18:00:00+00:00,FT,Regular Season - 4,AS Trencin,655,Ružomberok,3549,1,1,True
709193,2021-08-14T16:00:00+00:00,FT,Regular Season - 4,Slovan Bratislava,656,Zemplín Michalovce,3552,3,1,True
709194,2021-08-14T16:00:00+00:00,FT,Regular Season - 4,Senica,3550,Dunajska Streda,2257,1,1,True
709198,2021-08-14T16:00:00+00:00,FT,Regular Season - 4,Pohronie,4134,Sereď,3551,1,1,True
709195,2021-08-15T16:00:00+00:00,FT,Regular Season - 4,Spartak Trnava,1120,Zlaté Moravce,3553,2,0,True
709196,2021-08-15T18:00:00+00:00,FT,Regular Season - 4,Liptovský Mikuláš,10536,Žilina,3554,2,1,True
709202,2021-08-20T18:00:00+00:00,FT,Regular Season - 5,Zlaté Moravce,3553,Pohronie,4134,1,0,True
709199,2021-08-21T16:00:00+00:00,FT,Regular Season - 5,Ružomberok,3549,Spartak Trnava,1120,0,0,True
709200,2021-08-21T16:00:00+00:00,FT,Regular Season - 5,Zemplín Michalovce,3552,Liptovský Mikuláš,10536,2,1,True
709204,2021-08-22T16:00:00+00:00,FT,Regular Season - 5,Sereď,3551,Slovan Bratislava,656,0,1,True
709203,2021-08-22T16:00:00+00:00,FT,Regular Season - 5,Žilina,3554,Senica,3550,3,0,True
709201,2021-08-22T18:00:00+00:00,FT,Regular Season - 5,Dunajska Streda,2257,AS Trencin,655,1,1,True
709210,2021-08-27T18:00:00+00:00,FT,Regular Season - 6,Pohronie,4134,Dunajska Streda,2257,0,3,True
709208,2021-08-28T16:00:00+00:00,FT,Regular Season - 6,AS Trencin,655,Sereď,3551,0,0,True
709207,2021-08-28T16:00:00+00:00,FT,Regular Season - 6,Ružomberok,3549,Zemplín Michalovce,3552,0,0,True
709205,2021-08-28T16:00:00+00:00,FT,Regular Season - 6,Liptovský Mikuláš,10536,Senica,3550,1,2,True
709206,2021-08-29T16:00:00+00:00,FT,Regular Season - 6,Slovan Bratislava,656,Zlaté Moravce,3553,4,1,True
709209,2021-08-29T18:00:00+00:00,FT,Regular Season - 6,Spartak Trnava,1120,Žilina,3554,1,1,True
709211,2021-09-10T15:00:00+00:00,FT,Regular Season - 7,Zlaté Moravce,3553,Ružomberok,3549,2,2,True
709214,2021-09-11T16:00:00+00:00,FT,Regular Season - 7,Senica,3550,Pohronie,4134,1,0,True
709216,2021-09-11T16:00:00+00:00,FT,Regular Season - 7,Sereď,3551,Liptovský Mikuláš,10536,2,0,True
709213,2021-09-11T16:00:00+00:00,FT,Regular Season - 7,Zemplín Michalovce,3552,Spartak Trnava,1120,1,2,True
709212,2021-09-11T16:00:00+00:00,FT,Regular Season - 7,Žilina,3554,AS Trencin,655,1,3,True
709215,2021-09-12T15:00:00+00:00,FT,Regular Season - 7,Dunajska Streda,2257,Slovan Bratislava,656,1,1,True
709222,2021-09-17T15:00:00+00:00,FT,Regular Season - 8,Spartak Trnava,1120,Sereď,3551,2,0,True
709217,2021-09-18T16:00:00+00:00,FT,Regular Season - 8,AS Trencin,655,Senica,3550,3,3,True
709218,2021-09-18T16:00:00+00:00,FT,Regular Season - 8,Ružomberok,3549,Dunajska Streda,2257,1,2,True
709219,2021-09-18T16:00:00+00:00,FT,Regular Season - 8,Zemplín Michalovce,3552,Zlaté Moravce,3553,2,1,True
709220,2021-09-18T16:00:00+00:00,FT,Regular Season - 8,Liptovský Mikuláš,10536,Pohronie,4134,5,1,True
709221,2021-09-19T15:00:00+00:00,FT,Regular Season - 8,Slovan Bratislava,656,Žilina,3554,2,2,True
709188,2021-09-22T16:00:00+00:00,FT,Regular Season - 3,Ružomberok,3549,Slovan Bratislava,656,1,0,True
709227,2021-09-24T15:00:00+00:00,FT,Regular Season - 9,Pohronie,4134,AS Trencin,655,2,2,True
709226,2021-09-25T16:00:00+00:00,FT,Regular Season - 9,Senica,3550,Slovan Bratislava,656,0,3,True
709228,2021-09-25T16:00:00+00:00,FT,Regular Season - 9,Sereď,3551,Zemplín Michalovce,3552,0,1,True
709225,2021-09-25T16:00:00+00:00,FT,Regular Season - 9,Zlaté Moravce,3553,Liptovský Mikuláš,10536,2,2,True
709223,2021-09-25T16:00:00+00:00,FT,Regular Season - 9,Žilina,3554,Ružomberok,3549,0,2,True
709224,2021-09-26T15:00:00+00:00,FT,Regular Season - 9,Dunajska Streda,2257,Spartak Trnava,1120,0,3,True
709231,2021-10-01T15:00:00+00:00,FT,Regular Season - 10,Dunajska Streda,2257,Zlaté Moravce,3553,4,2,True
709229,2021-10-02T16:00:00+00:00,FT,Regular Season - 10,Ružomberok,3549,Liptovský Mikuláš,10536,4,1,True
709233,2021-10-02T16:00:00+00:00,FT,Regular Season - 10,Sereď,3551,Senica,3550,2,1,True
709230,2021-10-02T16:00:00+00:00,FT,Regular Season - 10,Zemplín Michalovce,3552,Žilina,3554,1,0,True
709232,2021-10-03T13:00:00+00:00,FT,Regular Season - 10,Slovan Bratislava,656,Pohronie,4134,5,1,True
709234,2021-10-03T15:00:00+00:00,FT,Regular Season - 10,AS Trencin,655,Spartak Trnava,1120,0,1,True
709240,2021-10-15T15:00:00+00:00,FT,Regular Season - 11,Liptovský Mikuláš,10536,AS Trencin,655,2,1,True
709239,2021-10-16T14:00:00+00:00,FT,Regular Season - 11,Žilina,3554,Dunajska Streda,2257,0,2,True
709238,2021-10-16T16:00:00+00:00,FT,Regular Season - 11,Senica,3550,Zemplín Michalovce,3552,1,1,True
709235,2021-10-16T16:00:00+00:00,FT,Regular Season - 11,Zlaté Moravce,3553,Sereď,3551,2,2,True
709237,2021-10-16T16:00:00+00:00,FT,Regular Season - 11,Pohronie,4134,Ružomberok,3549,2,2,True
709236,2021-10-17T15:00:00+00:00,FT,Regular Season - 11,Spartak Trnava,1120,Slovan Bratislava,656,0,3,True
709246,2021-10-22T15:00:00+00:00,FT,Regular Season - 12,Sereď,3551,Žilina,3554,1,1,True
709243,2021-10-23T16:00:00+00:00,FT,Regular Season - 12,Senica,3550,Ružomberok,3549,0,2,True
709242,2021-10-23T16:00:00+00:00,FT,Regular Season - 12,Zlaté Moravce,3553,AS Trencin,655,0,1,True
709244,2021-10-23T16:00:00+00:00,FT,Regular Season - 12,Pohronie,4134,Spartak Trnava,1120,0,2,True
709241,2021-10-24T13:00:00+00:00,FT,Regular Season - 12,Slovan Bratislava,656,Liptovský Mikuláš,10536,4,0,True
709245,2021-10-24T15:00:00+00:00,FT,Regular Season - 12,Dunajska Streda,2257,Zemplín Michalovce,3552,1,0,True
709248,2021-10-29T15:00:00+00:00,FT,Regular Season - 13,Spartak Trnava,1120,Senica,3550,2,1,True
709249,2021-10-30T16:00:00+00:00,FT,Regular Season - 13,Ružomberok,3549,Sereď,3551,3,1,True
709251,2021-10-30T16:00:00+00:00,FT,Regular Season - 13,Zemplín Michalovce,3552,Pohronie,4134,0,2,True
709250,2021-10-30T16:00:00+00:00,FT,Regular Season - 13,Žilina,3554,Zlaté Moravce,3553,4,1,True
709252,2021-10-30T16:00:00+00:00,FT,Regular Season - 13,Liptovský Mikuláš,10536,Dunajska Streda,2257,1,0,True
709247,2021-10-31T16:00:00+00:00,FT,Regular Season - 13,AS Trencin,655,Slovan Bratislava,656,2,3,True
709258,2021-11-05T16:00:00+00:00,FT,Regular Season - 14,AS Trencin,655,Zemplín Michalovce,3552,4,2,True
709257,2021-11-06T14:00:00+00:00,FT,Regular Season - 14,Dunajska Streda,2257,Sereď,3551,1,3,True
709253,2021-11-06T14:00:00+00:00,FT,Regular Season - 14,Senica,3550,Zlaté Moravce,3553,1,2,True
